d5b6,r1b1kb1r/p1p2ppp/2ppq3/3nP3/2P4P/6P1/PP2QP2/RNB1KB1R b KQkq - 0 10
d6e5,r1b1kb1r/p1p2ppp/1nppq3/4P3/2P2B1P/6P1/PP2QP2/RN2KB1R b KQkq - 2 11
f8b4,r1b1kb1r/p1p2ppp/1np1q3/4Q3/2P2B1P/6P1/PP3P2/RN2KB1R b KQkq - 0 12
e8g8,r1b1k2r/p1p2ppp/1np1q3/4Q3/1bP2B1P/6P1/PP1N1P2/R3KB1R b KQkq - 2 13
b4d6,r1b2rk1/p1p2ppp/1np1q3/4Q3/1bP2B1P/6P1/PP1N1P2/2KR1B1R b - - 4 14
c8e6,r1b2rk1/p1p2ppp/1npbQ3/8/2P2B1P/6P1/PP1N1P2/2KR1B1R b - - 0 15
c6c5,r4rk1/p1p2ppp/1npbb3/8/2P4P/4B1P1/PP1N1P2/2KR1B1R b - - 1 16
f7f5,r4rk1/p1p2ppp/1n1bb3/2p5/2P4P/1P2B1P1/P2N1P2/2KR1B1R b - - 0 17
f8e8,r4rk1/p1p3pp/1n1bb3/2p2p2/2P2P1P/1P2B1P1/P2N4/2KR1B1R b - - 0 18
a7a5,r3r1k1/p1p3pp/1n1bb3/2p2p2/2P2P1P/1P1BB1P1/P2N4/2KR3R b - - 2 19
g7g6,r3r1k1/2p3pp/1n1bb3/p1p2p2/P1P2P1P/1P1BB1P1/3N4/2KR3R b - - 0 20
g8g7,r3r1k1/2p4p/1n1bb1p1/p1p2p1P/P1P2P2/1P1BB1P1/3N4/2KR3R b - - 0 21
g7f8,r3r3/2p3kp/1n1bb1pP/p1p2p2/P1P2P2/1P1BB1P1/3N4/2KR3R b - - 0 22
a8d8,r3rk2/2p4p/1n1bb1pP/p1p2p2/P1P2P2/1P1BB1P1/3N4/2K1R2R b - - 2 23
b6d7,3rrk2/2p4p/1n1bb1pP/p1p2p2/P1P2P2/1P1BB1P1/2KN4/4R2R b - - 4 24
d7b8,3rrk2/2pn3p/3bb1pP/p1p2p2/P1P2P2/1P1BBNP1/2K5/4R2R b - - 6 25
e6g8,1n1rrk2/2p4p/3bb1pP/p1p2pN1/P1P2P2/1P1BB1P1/2K5/4R2R b - - 8 26
b8c6,1n1rrkb1/2p4p/3b2pP/p1p2pN1/P1P2P2/1P1B2P1/2KB4/4R2R b - - 10 27
c6b4,3rrkb1/2p4p/2nb2pP/p1p2pN1/P1P2P2/1PBB2P1/2K5/4R2R b - - 12 28
d6f4,3rrkb1/2p4p/3b2pP/p1p2pN1/PnP2P2/1PBB2P1/3K4/4R2R b - - 14 29
e7e6,r2qkb1r/1p1bpppp/p4n2/n2p4/3P1B2/2NBP3/PPQ2PPP/R3K1NR b KQkq - 7 10
a8c8,r2qkb1r/1p1b1ppp/p3pn2/n2p4/3P1B2/2NBPN2/PPQ2PPP/R3K2R b KQkq - 1 11
f8e7,2rqkb1r/1p1b1ppp/p3pn2/n2p4/3P1B2/2NBPN2/PPQ2PPP/R4RK1 b k - 3 12
e8g8,2rqk2r/1p1bbppp/p3pn2/n2p4/3P1B2/2NBPN2/PPQ2PPP/R1R3K1 b k - 5 13
b7b5,2rq1rk1/1p1bbppp/p3pn2/n2pN3/3P1B2/2NBP3/PPQ2PPP/R1R3K1 b - - 7 14
a5c4,2rq1rk1/3bbppp/p3pn2/np1pN3/3P1B2/2NBP3/PP2QPPP/R1R3K1 b - - 1 15
c4d6,2rq1rk1/3bbppp/p3pn2/1p1pN3/2nP1B2/1PNBP3/P3QPPP/R1R3K1 b - - 0 16
b5b4,2rq1rk1/3bbppp/p2npn2/1p1pN3/P2P1B2/1PNBP3/4QPPP/R1R3K1 b - - 0 17
c8c3,2rq1rk1/3bbppp/B2npn2/3pN3/Pp1P1B2/1PN1P3/4QPPP/R1R3K1 b - - 0 18
b4c3,3q1rk1/3bbppp/B2npn2/3pN3/Pp1P1B2/1PR1P3/4QPPP/R5K1 b - - 0 19
d8a5,3q1rk1/3bbppp/B2npn2/3pN3/P2P1B2/1Pp1P3/4QPPP/2R3K1 b - - 1 20
f8b8,5rk1/3bbppp/3npn2/q2pN3/P2P1B2/1PpBP3/4QPPP/2R3K1 b - - 3 21
b8c8,1r4k1/3bbppp/3npn2/q2pN3/P2P1B2/1PpBP3/2Q2PPP/2R3K1 b - - 5 22
f6d7,2r3k1/3Nbppp/3npn2/q2p4/P2P1B2/1PpBP3/2Q2PPP/2R3K1 b - - 0 23
e7d6,2r3k1/3nbppp/3Bp3/q2p4/P2P4/1PpBP3/2Q2PPP/2R3K1 b - - 0 24
d7f6,2r3k1/3n1ppp/3bp3/qB1p4/P2P4/1Pp1P3/2Q2PPP/2R3K1 b - - 1 25
c3d5,r1bqkb1r/pp3p1p/5p2/2pp4/1nB5/2N1PN2/PP3PPP/R2QK2R w KQkq - 0 10
c4b5,r2qkb1r/pp3p1p/4bp2/2pN4/1nB5/4PN2/PP3PPP/R2QK2R w KQkq - 1 11
b5c6,r2qkb1r/pp3p1p/2n1bp2/1BpN4/8/4PN2/PP3PPP/R2QK2R w KQkq - 3 12
d5c3,r2qkb1r/p4p1p/2p1bp2/2pN4/8/4PN2/PP3PPP/R2QK2R w KQkq - 0 13
d1a4,1r1qkb1r/p4p1p/2p1bp2/2p5/8/2N1PN2/PP3PPP/R2QK2R w KQk - 2 14
e1g1,1r2kb1r/p1q2p1p/2p1bp2/2p5/Q7/2N1PN2/PP3PPP/R3K2R w KQk - 4 15
a1b1,4kb1r/p1q2p1p/2p1bp2/2p5/Q7/2N1PN2/Pr3PPP/R4RK1 w k - 0 16
a4c2,4kb1r/p1q2p1p/2p1bp2/2p5/Qr6/2N1PN2/P4PPP/1R3RK1 w k - 2 17
a2a3,4k2r/p1q1bp1p/2p1bp2/2p5/1r6/2N1PN2/P1Q2PPP/1R3RK1 w k - 4 18
c3e4,4k2r/p1q1bp1p/1rp1bp2/2p5/8/P1N1PN2/2Q2PPP/1R3RK1 w k - 1 19
f3d2,4k2r/p1q1bp1p/1rp2p2/2pb4/4N3/P3PN2/2Q2PPP/1R3RK1 w k - 3 20
g2g3,4k1r1/p1q1bp1p/1rp2p2/2pb4/4N3/P3P3/2QN1PPP/1R3RK1 w - - 5 21
