e4f5,r1bq1rk1/pp2n1bp/2np2p1/2p1pp2/2N1P3/2NP2P1/PPP2PBP/R1BQ1RK1 w - - 0 10
c4e3,r2q1rk1/pp2n1bp/2np2p1/2p1pb2/2N5/2NP2P1/PPP2PBP/R1BQ1RK1 w - - 0 11
c3d5,r2q1rk1/pp2n1bp/2npb1p1/2p1p3/8/2NPN1P1/PPP2PBP/R1BQ1RK1 w - - 2 12
c2c3,r4rk1/pp1qn1bp/2npb1p1/2pNp3/8/3PN1P1/PPP2PBP/R1BQ1RK1 w - - 4 13
a2a4,r5k1/pp1qnrbp/2npb1p1/2pNp3/8/2PPN1P1/PP3PBP/R1BQ1RK1 w - - 1 14
a4a5,5rk1/pp1qnrbp/2npb1p1/2pNp3/P7/2PPN1P1/1P3PBP/R1BQ1RK1 w - - 1 15
e3d5,5rk1/pp1q1rbp/2npb1p1/P1pnp3/8/2PPN1P1/1P3PBP/R1BQ1RK1 w - - 0 16
g2h3,5rk1/pp1q1rbp/2np2p1/P1pNp3/8/2PP2Pb/1P3PBP/R1BQ1RK1 w - - 1 17
a1a4,5rk1/pp3rbp/2np2p1/P1pNp3/8/2PP2Pq/1P3P1P/R1BQ1RK1 w - - 0 18
a4h4,5rk1/pp3rb1/2np2p1/P1pNp2p/R7/2PP2Pq/1P3P1P/2BQ1RK1 w - - 0 19
d5e3,5rk1/pp3rb1/2npq1p1/P1pNp2p/7R/2PP2P1/1P3P1P/2BQ1RK1 w - - 2 20
c3c4,5rk1/pp3rb1/3pq1p1/n1p1p2p/7R/2PPN1P1/1P3P1P/2BQ1RK1 w - - 0 21
e3c2,5rk1/pp3rb1/2npq1p1/2p1p2p/2P4R/3PN1P1/1P3P1P/2BQ1RK1 w - - 1 22
c4d5,5rk1/pp3rb1/2n1q1p1/2ppp2p/2P4R/3P2P1/1PN2P1P/2BQ1RK1 w - - 0 23
c2e3,5rk1/pp3rb1/2n3p1/2pqp2p/7R/3P2P1/1PN2P1P/2BQ1RK1 w - - 0 24
e3c4,5rk1/pp1q1rb1/2n3p1/2p1p2p/7R/3PN1P1/1P3P1P/2BQ1RK1 w - - 2 25
f2f4,5rk1/pp1q1rb1/6p1/2p1p2p/2Nn3R/3P2P1/1P3P1P/2BQ1RK1 w - - 4 26
f4e5,5rk1/pp1q1rb1/6p1/2p1pn1p/2N2P1R/3P2P1/1P5P/2BQ1RK1 w - - 1 27
c8g4,r1bq1rk1/ppp2pbp/2np2p1/4n3/8/1PN1PN2/PBP1BPPP/R1Q2RK1 b - - 3 10
c6e5,r2q1rk1/ppp2pbp/2np2p1/4N3/6b1/1PN1P3/PBP1BPPP/R1Q2RK1 b - - 0 11
e5g4,r2q1rk1/ppp2pbp/3p2p1/4n3/6B1/1PN1P3/PBP2PPP/R1Q2RK1 b - - 0 12
g4f6,r2q1rk1/ppp2pbp/3p2p1/8/6n1/1PN1P2P/PBP2PP1/R1Q2RK1 b - - 0 13
f8e8,r2q1rk1/ppp2pbp/3p1np1/8/8/1PN1P2P/PBP2PP1/R1QR2K1 b - - 2 14
d6d5,r2qr1k1/ppp2pbp/3p1np1/8/8/1P2P2P/PBP1NPP1/R1QR2K1 b - - 4 15
c7c6,r2qr1k1/ppp2pbp/5np1/3p4/2P5/1P2P2P/PB2NPP1/R1QR2K1 b - - 0 16
a8c8,r2qr1k1/pp3pbp/2p2np1/3p4/2P2N2/1P2P2P/PB3PP1/R1QR2K1 b - - 1 17
d8a5,2rqr1k1/pp3pbp/2p2np1/3p4/2P2N2/1P2P2P/PB3PP1/1RQR2K1 b - - 3 18
a5a2,2r1r1k1/pp3pbp/2p2np1/q2p4/2P2N2/1PB1P2P/P4PP1/1RQR2K1 b - - 5 19
a2a6,2r1r1k1/pp3pbp/2p2np1/3p4/2P2N2/1PB1P2P/q2R1PP1/1RQ3K1 b - - 1 20
d5d4,2r1r1k1/pp3pbp/q1p2np1/3p4/2P2N2/1PB1P2P/1Q1R1PP1/1R4K1 b - - 3 21
c6c5,2r1r1k1/pp3pbp/q1p2np1/8/2PB1N2/1P2P2P/1Q1R1PP1/1R4K1 b - - 0 22
c8c6,2r1r1k1/pp3pbp/q4np1/2p5/2P2N2/1PB1P2P/1Q1R1PP1/1R4K1 b - - 1 23
a6b6,4r1k1/pp3pbp/q1r2np1/2p5/2P2N2/1PB1P2P/1Q1R1PP1/R5K1 b - - 3 24
f6e4,4r1k1/pp3pbp/1qr2np1/B1p5/2P2N2/1P2P2P/1Q1R1PP1/R5K1 b - - 5 25
b6a6,4r1k1/pp3pbp/1qr3p1/B1p5/2P1nN2/1P2P2P/2QR1PP1/R5K1 b - - 7 26
e4d2,4r1k1/pp3pbp/q1r3p1/B1p5/2P1nN2/1P2P2P/R1QR1PP1/6K1 b - - 9 27
a6b6,4r1k1/pp3pbp/q1r3p1/2p5/2P2N2/1P2P2P/R1QB1PP1/6K1 b - - 0 28
b6a6,4r1k1/pp3pbp/1qr3p1/B1p5/2P2N2/1P2P2P/R1Q2PP1/6K1 b - - 2 29
f7e8,r1bq3r/pp1ppkbp/2n3p1/4P1N1/6nP/2P5/PP3PP1/RNBQK2R b KQ - 1 10
