g3g4,rnbqkbn1/pp3r2/2pppppp/8/7P/PPPPPPP1/8/RNBQKBNR w KQq - 0 10
f3f4,rnbqkbn1/p4r2/1ppppppp/8/6PP/PPPPPP2/8/RNBQKBNR w KQq - 0 11
e3e4,rnbqkbn1/5r2/pppppppp/8/5PPP/PPPPP3/8/RNBQKBNR w KQq - 0 12
d3d4,rnbqkbn1/4r3/pppppppp/8/4PPPP/PPPP4/8/RNBQKBNR w KQq - 1 13
c3c4,rnbqkbn1/3r4/pppppppp/8/3PPPPP/PPP5/8/RNBQKBNR w KQq - 1 14
b3b4,rnbqkbn1/2r5/pppppppp/8/2PPPPPP/PP6/8/RNBQKBNR w KQq - 1 15
a3a4,rnb1kbn1/2rq4/pppppppp/8/1PPPPPPP/P7/8/RNBQKBNR w KQq - 1 16
a4a5,rnb2bn1/2rqk3/pppppppp/8/PPPPPPPP/8/8/RNBQKBNR w KQ - 1 17
b4b5,rnb3n1/2rqk1b1/pppppppp/P7/1PPPPPPP/8/8/RNBQKBNR w KQ - 1 18
c4c5,rnb3n1/2rq1kb1/pppppppp/PP6/2PPPPPP/8/8/RNBQKBNR w KQ - 1 19
e4e5,rnb3n1/2rq1kb1/pppppp1p/PPP3p1/3PPPPP/8/8/RNBQKBNR w KQ - 0 20
d4d5,rnb3n1/2rq1kb1/ppppp2p/PPP1Ppp1/3P1PPP/8/8/RNBQKBNR w KQ - 0 21
h4h5,rnb3n1/2rq2b1/ppppp1kp/PPPPPpp1/5PPP/8/8/RNBQKBNR w KQ - 1 22
g1f3,rnb3n1/2rq1kb1/ppppp2p/PPPPPppP/5PP1/8/8/RNBQKBNR w KQ - 1 23
f3d2,rnbq2n1/2r2kb1/ppppp2p/PPPPPppP/5PP1/5N2/8/RNBQKB1R w KQ - 3 24
b1c3,rnbq2n1/2r1k1b1/ppppp2p/PPPPPppP/5PP1/8/3N4/RNBQKB1R w KQ - 5 25
c3e2,rnb1q1n1/2r1k1b1/ppppp2p/PPPPPppP/5PP1/2N5/3N4/R1BQKB1R w KQ - 7 26
e2d4,rnbkq1n1/2r3b1/ppppp2p/PPPPPppP/5PP1/8/3NN3/R1BQKB1R w KQ - 9 27
d2c4,rnbk2n1/2r2qb1/ppppp2p/PPPPPppP/3N1PP1/8/3N4/R1BQKB1R w KQ - 11 28
c1a3,rnbk2n1/2r1q1b1/ppppp2p/PPPPPppP/2NN1PP1/8/8/R1BQKB1R w KQ - 13 29
f7f6,rnbqkbnr/ppp1pppp/3p4/8/8/3PP3/PPPK1PPP/RNBQ1BNR b - - 10 10
e7e6,rnbqkbnr/ppp1p1pp/3p1p2/8/8/3PP3/PPPKQPPP/RNB2BNR b - - 1 11
g7g6,rnbqkbnr/ppp3pp/3ppp2/8/8/3PP3/PPP1QPPP/RNBK1BNR b - - 1 12
h7h6,rnbqkbnr/ppp4p/3pppp1/8/8/3PP3/PPPQ1PPP/RNBK1BNR b - - 1 13
h8h7,rnbqkbnr/ppp5/3ppppp/8/8/3PP3/PPPQ1PPP/RNB1KBNR b - - 1 14
c7c6,rnbqkbn1/ppp4r/3ppppp/8/8/3PP3/PPP2PPP/RNBQKBNR b - - 3 15
b7b6,rnbqkbn1/pp5r/2pppppp/8/8/3PP3/PPP1KPPP/RNBQ1BNR b - - 1 16
a7a6,rnbqkbn1/p6r/1ppppppp/8/8/3PP3/PPP1KPPP/RNB1QBNR b - - 1 17
a8a7,rnbqkbn1/7r/pppppppp/8/8/3PP3/PPPK1PPP/RNB1QBNR b - - 1 18
a7g7,1nbqkbn1/r6r/pppppppp/8/8/3PP3/PPPKQPPP/RNB2BNR b - - 3 19
f8e7,1nbqkbn1/6rr/pppppppp/8/8/3PP3/PPP1QPPP/RNBK1BNR b - - 5 20
e8f7,1nbqk1n1/4b1rr/pppppppp/8/8/3PP3/PPPQ1PPP/RNBK1BNR b - - 7 21
e7f8,1nbq2n1/4bkrr/pppppppp/8/8/3PP3/PPPQ1PPP/RNB1KBNR b - - 9 22
f7e8,1nbq1bn1/5krr/pppppppp/8/8/3PP3/PPP2PPP/RNBQKBNR b - - 11 23
g8e7,1nbqkbn1/6rr/pppppppp/8/8/3PP3/PPP1KPPP/RNBQ1BNR b - - 13 24
g7g8,1nbqkb2/4n1rr/pppppppp/8/8/3PP3/PPP1KPPP/RNB1QBNR b - - 15 25
f8g7,1nbqkbr1/4n2r/pppppppp/8/8/3PP3/PPPK1PPP/RNB1QBNR b - - 17 26
h7h8,1nbqk1r1/4n1br/pppppppp/8/8/3PP3/PPPKQPPP/RNB2BNR b - - 19 27
g8f8,1nbqk1rr/4n1b1/pppppppp/8/8/3PP3/PPP1QPPP/RNBK1BNR b - - 21 28
f8f7,1nbqkr1r/4n1b1/pppppppp/8/8/3PP3/PPPQ1PPP/RNBK1BNR b - - 23 29
h1h2,1nbqkbnr/r7/8/pppppppp/8/PPPPPPPP/R7/1NBQKBNR w Kk - 2 10
g1e2,1nb1kbnr/r2q4/8/pppppppp/8/PPPPPPPP/R6R/1NBQKBN1 w k - 4 11
b1d2,1nb1kbnr/r7/3q4/pppppppp/8/PPPPPPPP/R3N2R/1NBQKB2 w k - 6 12
c1b2,1nb2bnr/r3k3/3q4/pppppppp/8/PPPPPPPP/R2NN2R/2BQKB2 w - - 8 13
f1g2,1nb2bnr/r7/3qk3/pppppppp/8/PPPPPPPP/RB1NN2R/3QKB2 w - - 10 14
d1c2,1nb2b1r/r7/3qkn2/pppppppp/8/PPPPPPPP/RB1NN1BR/3QK3 w - - 12 15
e1d1,1nb4r/r5b1/3qkn2/pppppppp/8/PPPPPPPP/RBQNN1BR/4K3 w - - 14 16
d1c1,1nb5/r5b1/3qkn1r/pppppppp/8/PPPPPPPP/RBQNN1BR/3K4 w - - 16 17
c1b1,1nb5/r5b1/3qknr1/pppppppp/8/PPPPPPPP/RBQNN1BR/2K5 w - - 18 18
b1a1,1nb5/r3k1b1/3q1nr1/pppppppp/8/PPPPPPPP/RBQNN1BR/1K6 w - - 20 19
a1b1,1nb5/r2k2b1/3q1nr1/pppppppp/8/PPPPPPPP/RBQNN1BR/K7 w - - 22 20
b1c1,1nb5/r5b1/2kq1nr1/pppppppp/8/PPPPPPPP/RBQNN1BR/1K6 w - - 24 21
c1d1,2b5/r5b1/n1kq1nr1/pppppppp/8/PPPPPPPP/RBQNN1BR/2K5 w - - 26 22
d1e1,8/r2b2b1/n1kq1nr1/pppppppp/8/PPPPPPPP/RBQNN1BR/3K4 w - - 28 23
e1f1,8/1r1b2b1/n1kq1nr1/pppppppp/8/PPPPPPPP/RBQNN1BR/4K3 w - - 30 24
f1g1,8/1r4b1/n1kqbnr1/pppppppp/8/PPPPPPPP/RBQNN1BR/5K2 w - - 32 25
g1h1,8/1r6/n1kqbnrb/pppppppp/8/PPPPPPPP/RBQNN1BR/6K1 w - - 34 26
g3g4,8/8/nrkqbnrb/pppppppp/8/PPPPPPPP/RBQNN1BR/7K w - - 36 27
h3h4,1n6/8/1rkqbnrb/pppppppp/6P1/PPPPPP1P/RBQNN1BR/7K w - - 1 28
