e7e6,rnbqk2r/2p1ppb1/3p2pn/p2N2Np/1pBPP2P/4BQ2/PPP2PP1/R3K2R b KQkq - 3 10
c8a6,rnbqk2r/2p2pb1/3pp1pn/p5Np/1pBPPN1P/4BQ2/PPP2PP1/R3K2R b KQkq - 1 11
f7e6,rn1qk2r/2p2pb1/b2pN1pn/p5Np/1pBPP2P/4BQ2/PPP2PP1/R3K2R b KQkq - 0 12
d8d7,rn1qk2r/2p3b1/b2pN1pn/p6p/1pBPP2P/4BQ2/PPP2PP1/R3K2R b KQkq - 0 13
h8h6,rn2k2r/2pq2b1/b2pN1pB/p6p/1pBPP2P/5Q2/PPP2PP1/R3K2R b KQkq - 0 14
b8c6,rn2k3/2pq2b1/b2pN1pr/p6p/1p1PP2P/1B3Q2/PPP2PP1/R3K2R b KQq - 1 15
c6d8,r3k3/2pq2b1/b1npN1pr/p6p/1p1PP2P/1B3Q2/PPP2PP1/2KR3R b q - 3 16
a8a7,r2nk3/2pq2b1/b2pN1pr/p3P2p/1p1P3P/1B3Q2/PPP2PP1/2KR3R b q - 0 17
c7d6,3nk3/r1pq2b1/b2PN1pr/p6p/1p1P3P/1B3Q2/PPP2PP1/2KR3R b - - 0 18
d8e6,3nk3/r2q2b1/b2pN1pr/p6p/1p1P3P/1B3Q2/PPP2PP1/2KRR3 b - - 1 19
d7c7,4k3/r2q2b1/b2pB1pr/p6p/1p1P3P/5Q2/PPP2PP1/2KRR3 b - - 0 20
e8d7,4k3/r1q2Bb1/b2p2pr/p6p/1p1P3P/5Q2/PPP2PP1/2KRR3 b - - 2 21
c7b6,4R3/r1qk1Bb1/b2p2pr/p6p/1p1P3P/5Q2/PPP2PP1/2KR4 b - - 4 22
g7f8,4R3/r2k1Bb1/bq1p2pr/p6p/1p1P3P/5Q2/PPP2PP1/2K1R3 b - - 6 23
b6d4,5R2/r2k1B2/bq1p2pr/p6p/1p1P3P/5Q2/PPP2PP1/2K1R3 b - - 0 24
d7c7,5R2/r2k4/b2pB1pr/p6p/1p1q3P/5Q2/PPP2PP1/2K1R3 b - - 1 25
c7b6,8/r1k2R2/b2pB1pr/p6p/1p1q3P/5Q2/PPP2PP1/2K1R3 b - - 3 26
b6a7,8/R7/bk1pB1pr/p6p/1p1q3P/5Q2/PPP2PP1/2K1R3 b - - 0 27
a7b6,8/k4Q2/b2pB1pr/p6p/1p1q3P/8/PPP2PP1/2K1R3 b - - 1 28
h6h7,5Q2/8/bk1pB1pr/p6p/1p1q3P/8/PPP2PP1/2K1R3 b - - 3 29
h1g1,r1bq1rk1/ppnnbppp/3pp3/2p3P1/2PP3P/1PN2N2/PB2PP2/R2QKB1R w KQ - 1 10
e2e3,1rbq1rk1/ppnnbppp/3pp3/2p3P1/2PP3P/1PN2N2/PB2PP2/R2QKBR1 w Q - 3 11
h4h5,1rbq1rk1/1pnnbppp/p2pp3/2p3P1/2PP3P/1PN1PN2/PB3P2/R2QKBR1 w Q - 0 12
d4c5,1rbq1rk1/2nnbppp/p2pp3/1pp3PP/2PP4/1PN1PN2/PB3P2/R2QKBR1 w Q - 0 13
h5h6,1rbq1rk1/2n1bppp/p2pp3/1pn3PP/2P5/1PN1PN2/PB3P2/R2QKBR1 w Q - 0 14
c4b5,1rbq1rk1/2n1bp1p/p2pp1pP/1pn3P1/2P5/1PN1PN2/PB3P2/R2QKBR1 w Q - 0 15
d1d4,1rbq1rk1/2n1bp1p/3pp1pP/1pn3P1/8/1PN1PN2/PB3P2/R2QKBR1 w Q - 0 16
b3b4,1rbq1rk1/2n1b2p/3ppppP/1pn3P1/3Q4/1PN1PN2/PB3P2/R3KBR1 w Q - 0 17
c3e4,1rbq1rk1/2nnb2p/3ppppP/1p4P1/1P1Q4/2N1PN2/PB3P2/R3KBR1 w Q - 1 18
d4d2,1rbq1rk1/2nnb2p/3p1ppP/1p2p1P1/1P1QN3/4PN2/PB3P2/R3KBR1 w Q - 0 19
g5f6,2bq1rk1/2nnb2p/1r1p1ppP/1p2p1P1/1P2N3/4PN2/PB1Q1P2/R3KBR1 w Q - 2 20
e4f6,2bq1rk1/2n1b2p/1r1p1npP/1p2p3/1P2N3/4PN2/PB1Q1P2/R3KBR1 w Q - 0 21
f3g5,2bq2k1/2n1b2p/1r1p1rpP/1p2p3/1P6/4PN2/PB1Q1P2/R3KBR1 w Q - 0 22
g5e4,2bq2k1/2n1b2p/1r1p2pP/1p2prN1/1P6/4P3/PB1Q1P2/R3KBR1 w Q - 2 23
e4g3,2bq2k1/2n1b2p/1r4pP/1p1ppr2/1P2N3/4P3/PB1Q1P2/R3KBR1 w Q - 0 24
a1c1,2bq2k1/2n1b2p/1r4pP/1p1pp1r1/1P6/4P1N1/PB1Q1P2/R3KBR1 w Q - 2 25
a2a3,3q2k1/2n1b2p/1r2b1pP/1p1pp1r1/1P6/4P1N1/PB1Q1P2/2R1KBR1 w - - 4 26
f1e2,3q2k1/2n1b2p/3rb1pP/1p1pp1r1/1P6/P3P1N1/1B1Q1P2/2R1KBR1 w - - 1 27
e3d4,3q2k1/2n1b2p/3rb1pP/1p2p1r1/1P1p4/P3P1N1/1B1QBP2/2R1K1R1 w - - 0 28
d2f4,3q2k1/2n1b2p/3rb1pP/1p4r1/1P1p4/P5N1/1B1QBP2/2R1K1R1 w - - 0 29
e8g8,r1bqk2r/pp4pp/2n5/4pp2/4P1n1/2NPPN2/PP1Q2PP/R3KB1R b KQkq - 1 10
f5f4,r1bq1rk1/pp4pp/2n5/4pp2/4P1n1/2NPPN2/PP1Q2PP/2KR1B1R b - - 3 11
e5f4,r1bq1rk1/pp4pp/2n5/4p3/4PPn1/2NP1N2/PP1Q2PP/2KR1B1R b - - 0 12
g4e3,r1bq1rk1/pp4pp/2n5/8/4Ppn1/2NP1N2/PP1Q2PP/1K1R1B1R b - - 1 13
c8g4,r1bq1rk1/pp4pp/2n5/8/4Pp2/2NPnN2/PP1Q2PP/1KR2B1R b - - 3 14
g4f3,r2q1rk1/pp4pp/2n5/8/3PPpb1/2N1nN2/PP1Q2PP/1KR2B1R b - - 0 15
d8d4,r2q1rk1/pp4pp/2n5/8/3PPp2/2N1nP2/PP1Q3P/1KR2B1R b - - 0 16
c6d4,r4rk1/pp4pp/2n5/8/3QPp2/2N1nP2/PP5P/1KR2B1R b - - 0 17
d4f3,r4rk1/pp4pp/8/3N4/3nPp2/4nP2/PP5P/1KR2B1R b - - 1 18
f3d2,r4rk1/pp4pp/8/3N4/2B1Pp2/4nn2/PP5P/1KR4R b - - 1 19
c2c4,r1b1k2r/2ppqpp1/p2b1n1p/np2p3/6PP/NP2P3/PBPPBP2/R1Q1K1NR w KQkq - 0 10
h1h3,r3k2r/1bppqpp1/p2b1n1p/np2p3/2P3PP/NP2P3/PB1PBP2/R1Q1K1NR w KQkq - 1 11
a3c4,r3k2r/1bppqpp1/p2b1n1p/n3p3/2p3PP/NP2P2R/PB1PBP2/R1Q1K1N1 w Qkq - 0 12
c1c4,r3k2r/1bppqpp1/p2b1n1p/4p3/2n3PP/1P2P2R/PB1PBP2/R1Q1K1N1 w Qkq - 0 13
c4c2,r3k2r/2ppqpp1/p2b1n1p/3bp3/2Q3PP/1P2P2R/PB1PBP2/R3K1N1 w Qkq - 1 14
g4g5,r3k2r/2ppqpp1/3b1n1p/p2bp3/6PP/1P2P2R/PBQPBP2/R3K1N1 w Qkq - 0 15
g5g6,r3k1nr/2ppqpp1/3b3p/p2bp1P1/7P/1P2P2R/PBQPBP2/R3K1N1 w Qkq - 1 16
e2c4,r3k2r/2ppqpp1/3b1nPp/p2bp3/7P/1P2P2R/PBQPBP2/R3K1N1 w Qkq - 1 17
b3c4,r3k2r/2ppqpp1/3b1nPp/p3p3/2b4P/1P2P2R/PBQP1P2/R3K1N1 w Qkq - 0 18
g1e2,r4rk1/2ppqpp1/3b1nPp/p3p3/2P4P/4P2R/PBQP1P2/R3K1N1 w Q - 1 19
c2g6,r4rk1/2ppq1p1/3b1npp/p3p3/2P4P/4P2R/PBQPNP2/R3K3 w Q - 0 20
g6f7,r4rk1/2pp1qp1/3b1nQp/p3p3/2P4P/4P2R/PB1PNP2/R3K3 w Q - 1 21
e2g3,r5k1/2pp1rp1/3b1n1p/p3p3/2P4P/4P2R/PB1PNP2/R3K3 w Q - 0 22
b2c3,1r4k1/2pp1rp1/3b1n1p/p3p3/2P4P/4P1NR/PB1P1P2/R3K3 w Q - 2 23
c3e5,1r4k1/2pp1rp1/5n1p/p3p3/1bP4P/2B1P1NR/P2P1P2/R3K3 w Q - 4 24
e5c7,1r4k1/2pp1rp1/7p/p3B3/1bP3nP/4P1NR/P2P1P2/R3K3 w Q - 1 25
a2a3,2r3k1/2Bp1rp1/7p/p7/1bP3nP/4P1NR/P2P1P2/R3K3 w Q - 1 26
e1d2,2r3k1/2Bp1rp1/7p/p7/2P3nP/P3P1NR/3b1P2/R3K3 w Q - 0 27
d2c3,2r3k1/2Bp2p1/7p/p7/2P3nP/P3P1NR/3K1r2/R7 w - - 0 28
g3e4,6k1/2rp2p1/7p/p7/2P3nP/P1K1P1NR/5r2/R7 w - - 0 29
d2d3,r2q1rk1/pb2bppp/2p1pn2/2ppN3/5P2/1P2P3/PBPP2PP/RN1Q1RK1 w - - 2 10
b1d2,r2qnrk1/pb2bppp/2p1p3/2ppN3/5P2/1P1PP3/PBP3PP/RN1Q1RK1 w - - 1 11
e5f3,r2qnrk1/pb2b1pp/2p1pp2/2ppN3/5P2/1P1PP3/PBPN2PP/R2Q1RK1 w - - 0 12
a2a4,r2qnrk1/1b2b1pp/2p1pp2/p1pp4/5P2/1P1PPN2/PBPN2PP/R2Q1RK1 w - - 0 13
d1e2,r2q1rk1/1b2b1pp/2pnpp2/p1pp4/P4P2/1P1PPN2/1BPN2PP/R2Q1RK1 w - - 1 14
c2c4,r4rk1/1b2b1pp/1qpnpp2/p1pp4/P4P2/1P1PPN2/1BPNQ1PP/R4RK1 w - - 3 15
g2g4,r4rk1/1b2b1pp/1qp1pp2/p1pp1n2/P1P2P2/1P1PPN2/1B1NQ1PP/R4RK1 w - - 1 16
