c6c5,r2qkb1r/pb1n1ppp/2p1pn2/8/1p1PP3/3B1N2/PP3PPP/RNBQK2R b KQkq - 1 10
e6d5,r2qkb1r/pb1n1ppp/4pn2/2pP4/1p2P3/3B1N2/PP3PPP/RNBQK2R b KQkq - 0 11
b7d5,r2qkb1r/pb1n1ppp/5n2/2pP4/1p6/3B1N2/PP3PPP/RNBQK2R b KQkq - 0 12
f8e7,r2qkb1r/p2n1ppp/5n2/2pb4/1p6/3B1N2/PP3PPP/RNBQ1RK1 b kq - 1 13
e8g8,r2qk2r/p2nbppp/5n2/2pb2B1/1p6/3B1N2/PP3PPP/RN1Q1RK1 b kq - 3 14
c5c4,r2q1rk1/p2nbppp/5n2/2pb2B1/1p6/3B1N2/PP3PPP/RN1QR1K1 b - - 5 15
f8e8,r2q1rk1/p2nbppp/5n2/3b1BB1/1pp5/5N2/PP3PPP/RN1QR1K1 b - - 1 16
d7c5,r2qr1k1/p2nbppp/5n2/3b1BB1/1pp5/5N2/PP1N1PPP/R2QR1K1 b - - 3 17
g7g6,r2qr1k1/p3bppp/5n2/2nb1BB1/1pp5/5N2/PPQN1PPP/R3R1K1 b - - 5 18
c5d3,r2qr1k1/p3bp1p/5np1/2nb2B1/1pp5/5N1B/PPQN1PPP/R3R1K1 b - - 1 19
d3f2,r2qr1k1/p3bp1p/5np1/3b2B1/1pp5/3nRN1B/PPQN1PPP/R5K1 b - - 3 20
e7c5,r2qr1k1/p3bp1p/5np1/3b2B1/1pp5/4RN1B/PPQN1KPP/R7 b - - 0 21
f6e4,r2qr1k1/p4p1p/5np1/2bb2B1/1pN5/4RN1B/PPQ2KPP/R7 b - - 0 22
e8e4,r2qr1k1/p4p1p/6p1/2bb2B1/1pN1Q3/4RN1B/PP3KPP/R7 b - - 0 23
a8d8,r2B2k1/p4p1p/6p1/2bb4/1pN1r3/4RN1B/PP3KPP/R7 b - - 0 24
e4c4,3r2k1/p4p1p/6p1/2bb4/1pN1r3/4R2B/PP1N1KPP/R7 b - - 1 25
d5c4,3r2k1/p4p1p/6p1/2bb4/1pN5/4R2B/PP3KPP/R7 b - - 0 26
d8d2,3r2k1/p4p1p/6p1/2b5/1pb5/1P2R2B/P4KPP/R7 b - - 0 27
c4d5,6k1/p4p1p/6p1/2b5/1pb5/1P2RK1B/P2r2PP/R7 b - - 2 28
g6g5,6k1/p4p1p/6p1/2bb4/1p3K2/1P2R2B/P2r2PP/R7 b - - 4 29
e8g8,r1bqk2r/pp2bppp/2n1pn2/3p4/3P4/1QNBPN2/PP1B1PPP/R4RK1 b kq - 3 10
c8d7,r1bq1rk1/pp2bppp/2n1pn2/3p4/3P4/1QNBPN2/PP1B1PPP/R1R3K1 b - - 5 11
c6a5,r2q1rk1/pp1bbppp/2n1pn2/3p4/3P4/1QNBPN2/PP3PPP/R1R1B1K1 b - - 7 12
a8c8,r2q1rk1/pp1bbppp/4pn2/n2p4/3P4/2NBPN2/PP3PPP/R1RQB1K1 b - - 9 13
d7e8,2rq1rk1/pp1bbppp/4pn2/n2pN3/3P4/2NBP3/PP3PPP/R1RQB1K1 b - - 11 14
a7a6,2rqbrk1/pp2bppp/4pn2/n2pN3/3P1P2/2NBP3/PP4PP/R1RQB1K1 b - - 0 15
a5c4,2rqbrk1/1p2bppp/p3pn2/n2pN3/3P1P2/2NBPQ2/PP4PP/R1R1B1K1 b - - 1 16
c4d6,2rqbrk1/1p2bppp/p3pn2/3pN3/2nP1P2/1PNBPQ2/P5PP/R1R1B1K1 b - - 0 17
e8b5,2rqbrk1/1p2bppp/p2npn2/3pN3/3P1PP1/1PNBPQ2/P6P/R1R1B1K1 b - - 0 18
f6e4,2rq1rk1/1p2bppp/p2npn2/1b1pN1P1/3P1P2/1PNBPQ2/P6P/R1R1B1K1 b - - 0 19
d5e4,2rq1rk1/1p2bppp/p2np3/1b1pN1P1/3PBP2/1PN1PQ2/P6P/R1R1B1K1 b - - 0 20
d6e4,2rq1rk1/1p2bppp/p2np3/1b2N1P1/3PNP2/1P2PQ2/P6P/R1R1B1K1 b - - 0 21
e7a3,2rq1rk1/1p2bppp/p3p3/1b2N1P1/3PQP2/1P2P3/P6P/R1R1B1K1 b - - 0 22
d8c7,2rq1rk1/1p3ppp/p3p3/1b2N1P1/3PQP2/bP2P3/P6P/R2RB1K1 b - - 2 23
c7c2,2r2rk1/1pq2ppp/p3p3/1b2N1P1/3PQP2/bP2P1B1/P6P/R2R2K1 b - - 4 24
a3b2,2r2rk1/1Q3ppp/p3p3/1b2N1P1/3P1P2/bP2P1B1/P1q4P/R2R2K1 b - - 0 25
b5e2,2r2rk1/1Q3ppp/p3p3/1b2N1P1/3P1P2/1P2P1B1/Pbq4P/1R1R2K1 b - - 2 26
b2c3,2r2rk1/1Q3ppp/p3p3/4N1P1/3P1P2/1P2P1B1/Pbq1b2P/1R2R1K1 b - - 4 27
c3e1,2r2rk1/1Q1N1ppp/p3p3/6P1/3P1P2/1Pb1P1B1/P1q1b2P/1R2R1K1 b - - 6 28
e2b5,2r2rk1/1Q1N1ppp/p3p3/6P1/3P1P2/1P2P1B1/P1q1b2P/4R1K1 b - - 0 29
e8g8,r2qk2r/1b1nppbp/pp1p1np1/2p5/P1B1PB2/2NP1N2/1PP2PPP/R2QR1K1 b kq - 2 10
a8b8,r2q1rk1/1b1nppbp/pp1p1np1/2p5/P1B1PB2/2NP1N1P/1PP2PP1/R2QR1K1 b - - 0 11
b7c6,1r1q1rk1/1b1nppbp/pp1p1np1/2p5/P1B1PB2/2NP1N1P/1PPQ1PP1/R3R1K1 b - - 2 12
f6e8,1r1q1rk1/3nppbp/Bpbp1np1/2p5/P3PB2/2NP1N1P/1PPQ1PP1/R3R1K1 b - - 0 13
e7e6,1r1qnrk1/3nppbp/1pbp2p1/2p5/P1B1PB2/2NP1N1P/1PPQ1PP1/R3R1K1 b - - 2 14
c5d4,1r1qnrk1/3n1pbp/1pbpp1p1/2p5/P1BPPB2/2N2N1P/1PPQ1PP1/R3R1K1 b - - 0 15
e6e5,1r1qnrk1/3n1pbp/1pbpp1p1/1N6/P1BpPB2/5N1P/1PPQ1PP1/R3R1K1 b - - 1 16
g7f6,1r1qnrk1/3n1pbp/1pbp2p1/1N2p1B1/P1BpP3/5N1P/1PPQ1PP1/R3R1K1 b - - 1 17
d7c5,1r1qnrk1/3n1p1p/1pbp1bp1/1N2p1B1/P1BpP3/2P2N1P/1P1Q1PP1/R3R1K1 b - - 0 18
e8g7,1r1qnrk1/5p1p/1pbp1bpB/1Nn1p3/P1BpP3/2P2N1P/1P1Q1PP1/R3R1K1 b - - 2 19
c5e4,1r1q1rk1/5pnp/1pbp1bpB/1Nn1p3/P1BPP3/5N1P/1P1Q1PP1/R3R1K1 b - - 0 20
e4g5,1r1q1rk1/5pnp/1pbp1bpB/1N2p3/P1BPn3/5N1P/1PQ2PP1/R3R1K1 b - - 1 21
f6g5,1r1q1rk1/5pnp/1pbp1bp1/1N2p1B1/P1BP4/5N1P/1PQ2PP1/R3R1K1 b - - 0 22
f8f7,1r1q1rk1/5Bnp/1pbp2p1/1N2p1b1/P2P4/5N1P/1PQ2PP1/R3R1K1 b - - 0 23
g7f5,1r1q2k1/5rnp/1pQp2p1/1N2p1b1/P2P4/5N1P/1P3PP1/R3R1K1 b - - 0 24
b8c8,1r1q2k1/5r1p/1pQp2p1/1N2Pnb1/P7/5N1P/1P3PP1/R3R1K1 b - - 0 25
c8c5,2rq2k1/5r1p/1p1p2p1/1N1QPnb1/P7/5N1P/1P3PP1/R3R1K1 b - - 2 26
d6e5,3q2k1/5r1p/1p1p2p1/1Nr1Pnb1/P7/3Q1N1P/1P3PP1/R3R1K1 b - - 4 27
g5d8,3Q2k1/5r1p/1p4p1/1Nr1pnb1/P7/5N1P/1P3PP1/R3R1K1 b - - 0 28
f7e7,3b2k1/5r1p/1p4p1/1Nr1Nn2/P7/7P/1P3PP1/R3R1K1 b - - 0 29
e1g1,r1bq1rk1/pp1n1pbp/3p1np1/2pP4/4P3/2N5/PP1NBPPP/R1BQK2R w KQ - 6 10
f2f3,r1bqr1k1/pp1n1pbp/3p1np1/2pP4/4P3/2N5/PP1NBPPP/R1BQ1RK1 w - - 8 11
a2a4,r1bqr1k1/pp3pbp/3p1np1/2pPn3/4P3/2N2P2/PP1NB1PP/R1BQ1RK1 w - - 1 12
e2b5,r1bqr1k1/pp3pbp/3p1n2/2pPn1p1/P3P3/2N2P2/1P1NB1PP/R1BQ1RK1 w - - 0 13
f1e1,r1bq1rk1/pp3pbp/3p1n2/1BpPn1p1/P3P3/2N2P2/1P1N2PP/R1BQ1RK1 w - - 2 14
d2f1,r1bq1rk1/pp3pbp/3p4/1BpPn1pn/P3P3/2N2P2/1P1N2PP/R1BQR1K1 w - - 4 15
b5e2,r1bq1rk1/1p3pbp/p2p4/1BpPn1pn/P3P3/2N2P2/1P4PP/R1BQRNK1 w - - 0 16
f1e3,r1bq1rk1/1p3pbp/p2p4/2pPn1p1/P3Pn2/2N2P2/1P2B1PP/R1BQRNK1 w - - 2 17
e2f1,1rbq1rk1/1p3pbp/p2p4/2pPn1p1/P3Pn2/2N1NP2/1P2B1PP/R1BQR1K1 w - - 4 18
d1c2,1rb2rk1/1p3pbp/p2p1q2/2pPn1p1/P3Pn2/2N1NP2/1P4PP/R1BQRBK1 w - - 6 19
a4b5,1rb2rk1/5pbp/p2p1q2/1ppPn1p1/P3Pn2/2N1NP2/1PQ3PP/R1B1RBK1 w - - 0 20
c3b5,1rb2rk1/5pbp/3p1q2/1ppPn1p1/4Pn2/2N1NP2/1PQ3PP/R1B1RBK1 w - - 0 21
g1h1,1rb2rk1/5pbp/3p1q2/1NpPn1p1/4P3/4NP1n/1PQ3PP/R1B1RBK1 w - - 1 22
f1b5,2b2rk1/5pbp/3p1q2/1rpPn1p1/4P3/4NP1n/1PQ3PP/R1B1RB1K w - - 0 23
e1f1,2b2rk1/5pbp/3p1q2/1BpP2p1/4P3/4Nn1n/1PQ3PP/R1B1R2K w - - 0 24
f1f6,2b2rk1/5pbp/3p1q2/1BpP2p1/3nP3/4N2n/1PQ3PP/R1B2R1K w - - 2 25
e3c2,2b2rk1/5pbp/3p1R2/1BpP2p1/4P3/4N2n/1Pn3PP/R1B4K w - - 0 26
g2h3,2b2rk1/5p1p/3p1b2/1BpP2p1/4P3/7n/1PN3PP/R1B4K w - - 0 27
e8g8,r2qk2r/1p1bppbp/p2p1np1/3N2B1/2PQP3/5N2/PP3PPP/R3K2R b KQkq - 3 10
e7f6,r2q1rk1/1p1bppbp/p2p1Bp1/3N4/2PQP3/5N2/PP3PPP/R3K2R b KQ - 0 11
f6f5,r2q1rk1/1p1b1pbp/p2p1pp1/3N4/2PQP3/5N2/PP3PPP/R4RK1 b - - 1 12
d6e5,r2q1rk1/1p1b1pbp/p2p2p1/3NPp2/2PQ4/5N2/PP3PPP/R4RK1 b - - 0 13
d7e6,r2q1rk1/1p1b1pbp/p5p1/3NNp2/2PQ4/8/PP3PPP/R4RK1 b - - 0 14
f8e8,r2q1rk1/1p3pbp/p3b1p1/3NNp2/2PQ4/8/PP3PPP/3R1RK1 b - - 2 15
d8a5,r2qr1k1/1p3pbp/p3b1p1/3NNp2/2PQ4/8/PP3PPP/3RR1K1 b - - 4 16
a8d8,r3r1k1/1p3pbp/p3b1p1/q2NNp2/2PQ4/P7/1P3PPP/3RR1K1 b - - 0 17
b7b5,3rr1k1/1p3pbp/p3b1p1/q2NNp2/2PQ1P2/P7/1P4PP/3RR1K1 b - - 0 18
b5c4,3rr1k1/5pbp/p3b1p1/qp1NNp2/2P2P2/P7/1P3QPP/3RR1K1 b - - 1 19
a5d5,3rr1k1/5pbp/p1N1b1p1/q2N1p2/2p2P2/P7/1P3QPP/3RR1K1 b - - 1 20
d8d5,3rr1k1/5pbp/p1N1b1p1/3R1p2/2p2P2/P7/1P3QPP/4R1K1 b - - 0 21
d5b5,4r1k1/Q4pbp/p1N1b1p1/3r1p2/2p2P2/P7/1P4PP/4R1K1 b - - 1 22
b5b2,4r1k1/5pbp/Q1N1b1p1/1r3p2/2p2P2/P7/1P4PP/4R1K1 b - - 0 23
c4c3,4r1k1/5pbp/Q3b1p1/4Np2/2p2P2/P7/1r4PP/4R1K1 b - - 1 24
g7e5,4r1k1/5pbp/Q3b1p1/4Np2/5P2/P1p5/1r4PP/2R3K1 b - - 1 25
e6d5,4r1k1/5p1p/Q3b1p1/4Pp2/8/P1p5/1r4PP/2R3K1 b - - 0 26
e8e5,4r1k1/5p1p/Q5p1/3bPp2/8/P1R5/1r4PP/6K1 b - - 0 27
g8g7,2Q3k1/5p1p/6p1/3brp2/8/P1R5/1r4PP/6K1 b - - 1 28
b2b3,2Q5/5pkp/6p1/3brp2/8/P7/1rR3PP/6K1 b - - 3 29
h2h3,r1b1kb1r/1p1p1ppp/pq2p3/1N2n3/2P2Bn1/2N1P1P1/PP3P1P/R2QKB1R w KQkq - 0 10
c4b5,r1b1kb1r/1p1p1ppp/1q2p3/1p2n3/2P2Bn1/2N1P1PP/PP3P2/R2QKB1R w KQkq - 0 11
e1f2,r1b1kb1r/1p1p1ppp/1q2p3/1P2n3/5B2/2N1P1PP/PP3n2/R2QKB1R w KQkq - 0 12
d1d4,r1b1kb1r/1p3ppp/1q1pp3/1P2n3/5B2/2N1P1PP/PP3K2/R2Q1B1R w kq - 0 13
d4b6,r1b1kb1r/1p1n1ppp/1q1pp3/1P6/3Q1B2/2N1P1PP/PP3K2/R4B1R w kq - 2 14
e3e4,r1b1kb1r/1p3ppp/1n1pp3/1P6/5B2/2N1P1PP/PP3K2/R4B1R w kq - 0 15
a2a4,r1b1k2r/1p2bppp/1n1pp3/1P6/4PB2/2N3PP/PP3K2/R4B1R w kq - 1 16
f4d6,r1b1k2r/1p3ppp/1n1ppb2/1P6/P3PB2/2N3PP/1P3K2/R4B1R w kq - 1 17
b2c3,r1b1k2r/1p3ppp/1n1Bp3/1P6/P3P3/2b3PP/1P3K2/R4B1R w kq - 0 18
a1a4,2b1k2r/1p3ppp/1n1Bp3/1P6/r3P3/2P3PP/5K2/R4B1R w k - 0 19
c3c4,2b1k2r/1p3ppp/3Bp3/1P6/n3P3/2P3PP/5K2/5B1R w k - 0 20
f1d3,2b1k2r/1p4pp/3Bpp2/1P6/n1P1P3/6PP/5K2/5B1R w k - 0 21
e4e5,2b4r/1p3kpp/3Bpp2/1P6/n1P1P3/3B2PP/5K2/7R w - - 2 22
f2e3,2br4/1p3kpp/3Bpp2/1P2P3/n1P5/3B2PP/5K2/7R w - - 1 23
h1a1,2br4/1p3kpp/3Bp3/1P2Pp2/n1P5/3BK1PP/8/7R w - - 0 24
d3e2,2br4/1p3kpp/3Bp3/1P2Pp2/2P5/3BK1PP/1n6/R7 w - - 2 25
a1a2,3r4/1p1b1kpp/3Bp3/1P2Pp2/2P5/4K1PP/1n2B3/R7 w - - 4 26
e2c4,3r4/1p1b1kpp/3Bp3/1P2Pp2/2n5/4K1PP/R3B3/8 w - - 0 27
e3d4,2r5/1p1b1kpp/3Bp3/1P2Pp2/2B5/4K1PP/R7/8 w - - 1 28
d4e3,rn1q1rk1/pb2ppbp/1p3np1/2p5/3pPP2/N1PP1NP1/PPQ3BP/R1B2RK1 b - e3 0 10
