a5b6,rnbq1rk1/4bppp/p2p1n2/PppP4/8/2N2N2/1PP1BPPP/R1BQK2R w KQ b6 0 10
e1g1,r1bq1rk1/3nbppp/pP1p1n2/2pP4/8/2N2N2/1PP1BPPP/R1BQK2R w KQ - 1 11
c1g5,r1bq1rk1/4bppp/pn1p1n2/2pP4/8/2N2N2/1PP1BPPP/R1BQ1RK1 w - - 0 12
g5f6,r2q1rk1/1b2bppp/pn1p1n2/2pP2B1/8/2N2N2/1PP1BPPP/R2Q1RK1 w - - 2 13
c3e4,r2q1rk1/1b3ppp/pn1p1b2/2pP4/8/2N2N2/1PP1BPPP/R2Q1RK1 w - - 0 14
a1b1,r2q1rk1/1b3ppp/pn1p4/2pP4/4N3/5N2/1bP1BPPP/R2Q1RK1 w - - 0 15
e4d6,r2q1rk1/5ppp/pn1p4/2pb4/4N3/5N2/1bP1BPPP/1R1Q1RK1 w - - 0 16
b1b2,r4rk1/5ppp/pn1q4/2pb4/8/5N2/1bP1BPPP/1R1Q1RK1 w - - 0 17
d1a1,r2r2k1/5ppp/pn1q4/2pb4/8/5N2/1RP1BPPP/3Q1RK1 w - - 1 18
b2b1,r2r2k1/5ppp/p2q4/2pb4/2n5/5N2/1RP1BPPP/Q4RK1 w - - 3 19
e2f3,r2r2k1/5ppp/p2q4/2p5/2n5/5b2/2P1BPPP/QR3RK1 w - - 0 20
f3a8,r2r2k1/5ppp/p2q4/2p5/8/5B2/2Pn1PPP/QR3RK1 w - - 1 21
a8b7,B2r2k1/5ppp/p2q4/2p5/8/8/2P2PPP/QR3nK1 w - - 0 22
a1a6,3r2k1/1B3ppp/p2q4/2p5/8/8/2P2PPn/QR4K1 w - - 0 23
a6a5,3r2k1/1B3ppp/Q7/2p1q3/8/8/2P2PPn/1R4K1 w - - 1 24
f2f3,3r2k1/1B3ppp/3q4/Q1p5/8/8/2P2PPn/1R4K1 w - - 3 25
b1e1,3r2k1/1B3pp1/3q4/Q1p4p/8/5P2/2P3Pn/1R4K1 w - - 0 26
a5c3,3r2k1/1B3p2/3q4/Q1p3pp/8/5P2/2P3Pn/4R1K1 w - - 0 27
c3e5,3r2k1/1B3p2/3q4/2p3p1/7p/2Q2P2/2P3Pn/4R1K1 w - - 0 28
e5d6,3r2k1/1B6/3q1p2/2p1Q1p1/7p/5P2/2P3Pn/4R1K1 w - - 0 29
f5g6,r2q1rk1/pp2bppp/2p1pn2/3pNb2/1nPP2P1/N4P2/PP2P1BP/R1BQ1RK1 b - - 0 10
h7g6,r2q1rk1/pp2bppp/2p1pnN1/3p4/1nPP2P1/N4P2/PP2P1BP/R1BQ1RK1 b - - 0 11
d5c4,r2q1rk1/pp2bpp1/2p1pnp1/3p4/1nPP2P1/5P2/PPN1P1BP/R1BQ1RK1 b - - 1 12
e7b4,r2q1rk1/pp2bpp1/2p1pnp1/8/1NpP2P1/5P2/PP2P1BP/R1BQ1RK1 b - - 0 13
c4c3,r2q1rk1/pp3pp1/2p1pnp1/8/1bpPP1P1/5P2/PP4BP/R1BQ1RK1 b - - 0 14
c3b2,r2q1rk1/pp3pp1/2p1pnp1/8/1b1PP1P1/2p1BP2/PP4BP/R2Q1RK1 b - - 1 15
b4c3,r2q1rk1/pp3pp1/2p1pnp1/8/1b1PP1P1/4BP2/Pp4BP/1R1Q1RK1 b - - 1 16
d8a5,r2q1rk1/pp3pp1/2p1pnp1/8/3PP1P1/2bQBP2/Pp4BP/1R3RK1 b - - 3 17
f8d8,r4rk1/pp3pp1/2p1pnp1/q7/3PP1P1/2bQBP2/Pp4BP/1R1R2K1 b - - 5 18
c3d2,r2r2k1/pp3pp1/2p1pnp1/q7/3PP1P1/2bQ1P2/Pp1B2BP/1R1R2K1 b - - 7 19
e6e5,r2r2k1/pp3pp1/2p1pnp1/q7/3PP1P1/3Q1P2/Pp1R2BP/1R4K1 b - - 0 20
d8d4,r2r2k1/pp3pp1/2p2np1/q3p3/3PP1P1/3Q1P2/PR4BP/1R4K1 b - - 0 21
b7b6,r5k1/pp3pp1/2p2np1/q3p3/3rP1P1/5P2/PRQ3BP/1R4K1 b - - 1 22
a8d8,r5k1/p4pp1/1pQ2np1/q3p3/3rP1P1/5P2/PR4BP/1R4K1 b - - 0 23
f6d7,3r2k1/p4pp1/1p3np1/q3p3/3rP1P1/5P2/PR4BP/1RQ3K1 b - - 2 24
d7c5,3r2k1/p2n1pp1/1p4p1/q3p3/3rP1P1/5P2/PR5P/1RQ2BK1 b - - 4 25
c5d3,3r2k1/p4pp1/1p4p1/q1n1p3/3rP1P1/4QP2/PR5P/1R3BK1 b - - 6 26
d3f4,3r2k1/p4pp1/1p4p1/q3p3/3rP1P1/3nQP2/P2R3P/1R3BK1 b - - 8 27
d8d4,3r2k1/p4pp1/1p4p1/q3p3/3RPnP1/4QP2/P6P/1R3BK1 b - - 0 28
a5d2,6k1/p4pp1/1p4p1/q3p3/3rPnP1/P3QP2/7P/1R3BK1 b - - 0 29
e2b5,rn1qk2r/p3bppp/3B1n2/1bpP4/8/5P2/PPP1Q1PP/RN2K1NR w KQkq - 0 10
d6e7,r2qk2r/p2nbppp/3B1n2/1QpP4/8/5P2/PPP3PP/RN2K1NR w KQkq - 1 11
b5e2,r3k2r/p2nqppp/5n2/1QpP4/8/5P2/PPP3PP/RN2K1NR w KQkq - 0 12
e2e7,r3k2r/p2nqppp/8/2pn4/8/5P2/PPP1Q1PP/RN2K1NR w KQkq - 0 13
e1f2,r6r/p2nkppp/8/2pn4/8/5P2/PPP3PP/RN2K1NR w KQ - 0 14
b2b3,1r5r/p2nkppp/8/2pn4/8/5P2/PPP2KPP/RN4NR w - - 2 15
b1a3,1r5r/p2nkppp/8/2p5/1n6/1P3P2/P1P2KPP/RN4NR w - - 1 16
g1e2,1r1r4/p2nkppp/8/2p5/1n6/NP3P2/P1P2KPP/R5NR w - - 3 17
h1d1,1r1r4/p3kppp/8/2p1n3/1n6/NP3P2/P1P1NKPP/R6R w - - 5 18
a1d1,1r6/p3kppp/8/2p1n3/1n6/NP3P2/P1P1NKPP/R2r4 w - - 0 19
e2f4,1r6/p3kppp/8/2p1n3/8/NP3P2/n1P1NKPP/3R4 w - - 0 20
f4d5,1r6/p3kppp/8/2p1n3/1n3N2/NP3P2/2P2KPP/3R4 w - - 2 21
d1d5,1r6/p3kppp/8/2pnn3/8/NP3P2/2P2KPP/3R4 w - - 0 22
a3c4,1r6/p2nkppp/8/2pR4/8/NP3P2/2P2KPP/8 w - - 1 23
d5d1,1r6/p2nk1pp/5p2/2pR4/2N5/1P3P2/2P2KPP/8 w - - 0 24
c4e3,1r6/p3k1pp/1n3p2/2p5/2N5/1P3P2/2P2KPP/3R4 w - - 2 25
d1a1,1r6/p3k2p/1n3pp1/2p5/8/1P2NP2/2P2KPP/3R4 w - - 0 26
a1a5,8/pr2k2p/1n3pp1/2p5/8/1P2NP2/2P2KPP/R7 w - - 2 27
c2c4,8/p1r1k2p/1n3pp1/R1p5/8/1P2NP2/2P2KPP/8 w - - 4 28
f3f4,8/p1r1k2p/1n4p1/R1p2p2/2P5/1P2NP2/5KPP/8 w - - 0 29
e8g8,r2qk2r/pp2nppp/2p1b3/2bpP1B1/2P1p3/2N3P1/PP2PPBP/R2Q1RK1 b kq - 5 10
c5b4,r2q1rk1/pp2nppp/2p1b3/2bpP1B1/N1P1p3/6P1/PP2PPBP/R2Q1RK1 b - - 7 11
b4a5,r2q1rk1/pp2nppp/2p1b3/3pP1B1/NbP1p3/P5P1/1P2PPBP/R2Q1RK1 b - - 0 12
a8b8,r2q1rk1/pp2nppp/2p1b3/b1NpP1B1/2P1p3/P5P1/1P2PPBP/R2Q1RK1 b - - 2 13
h7h6,1r1q1rk1/pp2nppp/2p1b3/b1NpP1B1/2P1p3/P5P1/1P2PPBP/2RQ1RK1 b - - 4 14
a5b6,1r1q1rk1/pp2npp1/2p1b2p/b1NpP3/2P1p3/P3B1P1/1P2PPBP/2RQ1RK1 b - - 1 15
f7e6,1r1q1rk1/pp2npp1/1bp1N2p/3pP3/2P1p3/P3B1P1/1P2PPBP/2RQ1RK1 b - - 0 16
b6c7,1r1q1rk1/pp2n1p1/1bp1p2p/2PpP3/4p3/P3B1P1/1P2PPBP/2RQ1RK1 b - - 0 17
d8d7,1r1q1rk1/ppb1n1p1/2p1p2p/2PpP3/4p3/P3B1PB/1P2PP1P/2RQ1RK1 b - - 2 18
e7g6,1r3rk1/ppbqn1p1/2p1p2p/2PpP3/3Bp3/P5PB/1P2PP1P/2RQ1RK1 b - - 4 19
e4f3,1r3rk1/ppbq2p1/2p1p1np/2PpP3/3BpP2/P5PB/1P2P2P/2RQ1RK1 b - f3 0 20
c7e5,1r3rk1/ppbq2p1/2p1p1np/2PpP3/3B4/P4PPB/1P5P/2RQ1RK1 b - - 0 21
g6e5,1r3rk1/pp1q2p1/2p1p1np/2PpB3/8/P4PPB/1P5P/2RQ1RK1 b - - 0 22
f8f7,1r3rk1/pp1q2p1/2p1p2p/2Ppn3/8/P4PPB/1P2Q2P/2R2RK1 b - - 1 23
b8e8,1r4k1/pp1q1rp1/2p1p2p/2PpQ3/8/P4PPB/1P5P/2R2RK1 b - - 0 24
g8h8,4r1k1/pp1q1rp1/2p1p2p/2PpQ3/8/P4PPB/1P5P/4RRK1 b - - 2 25
d7e7,4r2k/pp1q1rp1/2p1p2p/2PpQ3/5P2/P5PB/1P5P/4RRK1 b - - 0 26
e7c5,4r2k/pp2qrp1/2p1Q2p/2Pp4/5P2/P5PB/1P5P/4RRK1 b - - 0 27
e8e6,4r2k/pp3rp1/2p1Q2p/2qp4/5P2/P5PB/1P5P/4RR1K b - - 1 28
f7e7,7k/pp3rp1/2p1B2p/2qp4/5P2/P5P1/1P5P/4RR1K b - - 0 29
f4g5,r2qkb1r/1p1n1ppp/2p1p3/p2p3n/2PP1B2/P3PN2/1PQ2PPP/1R2KB1R w Kkq - 2 10
f1e2,rq2kb1r/1p1n1ppp/2p1p3/p2p2Bn/2PP4/P3PN2/1PQ2PPP/1R2KB1R w Kkq - 4 11
