b8d7,rnbq1rk1/pp2bppp/4pn2/8/2BP1N2/P1N5/1P3PPP/R1BQ1RK1 b - - 0 10
a7a6,r1bq1rk1/pp1nbppp/4pn2/8/2BP1N2/P1N1B3/1P3PPP/R2Q1RK1 b - - 2 11
b7b5,r1bq1rk1/1p1nbppp/p3pn2/8/2BP1N2/P1NQB3/1P3PPP/R4RK1 b - - 1 12
c8b7,r1bq1rk1/3nbppp/p3pn2/1p6/3P1N2/PBNQB3/1P3PPP/R4RK1 b - - 1 13
g7g6,r2q1rk1/1b1nbppp/p3pn2/1p6/3P1N2/P1NQB3/1PB2PPP/R4RK1 b - - 3 14
d7b6,r2q1rk1/1b1nbp1p/p3pnp1/1p6/3P1N2/P1NQB3/1PB2PPP/3R1RK1 b - - 1 15
b6c4,r2q1rk1/1b2bp1p/pn2pnp1/1p6/3P1N1P/P1NQB3/1PB2PP1/3R1RK1 b - - 0 16
e7d6,r2q1rk1/1b2bp1p/p3pnp1/1p6/2nP1N1P/P1NQ4/1PB2PP1/2BR1RK1 b - - 2 17
f6g4,r2q1rk1/1b3p1p/p2bpnp1/1p6/2nP3P/P1NQ4/1PB1NPP1/2BR1RK1 b - - 4 18
d8c7,r2q1rk1/1b3p1p/p2bp1p1/1p4B1/2nP2nP/P1NQ4/1PB1NPP1/3R1RK1 b - - 6 19
c4b2,r4rk1/1bq2p1p/p2bp1p1/1p4B1/2nPN1nP/P2Q4/1PB1NPP1/3R1RK1 b - - 8 20
b2d1,r4rk1/1bq2p1p/p2bp1p1/1p4B1/3PN1nP/P6Q/1nB1NPP1/3R1RK1 b - - 1 21
c7c2,r4rk1/1bq2p1p/p2bp1p1/1p4B1/3PN1QP/P7/2B1NPP1/3n1RK1 b - - 0 22
g8h8,r4rk1/1b3p1p/p2bpNp1/1p4B1/3P2QP/P7/2q1NPP1/3n1RK1 b - - 1 23
f7f5,r4r1k/1b1N1p1p/p2bp1p1/1p4B1/3P2QP/P7/2q1NPP1/3n1RK1 b - - 3 24
c2e2,r4r1k/1b1N3p/p2bp1p1/1p3pB1/3P3P/P6Q/2q1NPP1/3n1RK1 b - - 1 25
g6h5,r4r1k/1b1N3p/p2bp1p1/1p3pBP/3P4/P6Q/4qPP1/3n1RK1 b - - 0 26
f8f6,r4r1k/1b1N3p/p2bpB2/1p3p1p/3P4/P6Q/4qPP1/3n1RK1 b - - 1 27
d1f2,r6k/1b5p/p2bpN2/1p3p1p/3P4/P6Q/4qPP1/3n1RK1 b - - 0 28
e2d1,r6k/1b5p/p2bpN2/1p3p1p/3P4/P6Q/4qRP1/6K1 b - - 0 29
d6e5,r1bqr1k1/1ppn1pbp/3p1np1/p3P3/2P5/1PN1PN2/PB2BPPP/R2Q1RK1 b - - 0 10
c7c6,r1bqr1k1/1ppn1pbp/5np1/p3p3/2P5/1PN1PN1P/PB2BPP1/R2Q1RK1 b - - 0 11
d8c7,r1bqr1k1/1p1n1pbp/2p2np1/p3p3/2P5/1PN1PN1P/PB1QBPP1/R4RK1 b - - 1 12
d7c5,r1b1r1k1/1pqn1pbp/2p2np1/p3p3/2P5/1PN1PN1P/PB1QBPP1/R2R2K1 b - - 3 13
c8f5,r1b1r1k1/1pq2pbp/2p2np1/p1n1p3/2P5/1PN1PN1P/PB1QBPP1/2RR2K1 b - - 5 14
a8d8,r3r1k1/1pq2pbp/2p2np1/p1n1pb2/2P5/1PN1PN1P/PB2BPP1/2RRQ1K1 b - - 7 15
e8d8,3Rr1k1/1pq2pbp/2p2np1/p1n1pb2/2P5/1PN1PN1P/PB2BPP1/2R1Q1K1 b - - 0 16
f5d3,3r2k1/1pq2pbp/2p2np1/p1n1pb2/2P5/1PN1PN1P/PB2BPP1/3RQ1K1 b - - 1 17
d3e2,3r2k1/1pq2pbp/2p2np1/p1n1p3/2P5/BPNbPN1P/P3BPP1/3RQ1K1 b - - 3 18
c7d8,3R2k1/1pq2pbp/2p2np1/p1n1p3/2P5/BPN1PN1P/P3bPP1/4Q1K1 b - - 0 19
c5d3,3q2k1/1p3pbp/2p2np1/p1n1p3/2P5/BPN1PN1P/P3QPP1/6K1 b - - 0 20
