h5g3,r1b1kb1r/pp3p2/1qn1p2p/2pp2pn/3P4/2P1PNB1/PP1N1PPP/1R1QKB1R b Kkq - 1 10
f8g7,r1b1kb1r/pp3p2/1qn1p2p/2pp2p1/3P4/2P1PNP1/PP1N1PP1/1R1QKB1R b Kkq - 0 11
c5c4,r1b1k2r/pp3pb1/1qn1p2p/2pp2p1/3P4/1NP1PNP1/PP3PP1/1R1QKB1R b Kkq - 2 12
b6a5,r1b1k2r/pp3pb1/1qn1p2p/3p2p1/2pP4/2P1PNP1/PP1N1PP1/1R1QKB1R b Kkq - 1 13
b7b5,r1b1k2r/pp3pb1/2n1p2p/q2p2p1/2pP4/P1P1PNP1/1P1N1PP1/1R1QKB1R b Kkq - 0 14
c8b7,r1b1k2r/p4pb1/2n1p2p/qp1p2p1/2pP4/P1P1PNP1/1P1NBPP1/1R1QK2R b Kkq - 1 15
d5e4,r3k2r/pb3pb1/2n1p2p/qp1p2p1/2pPP3/P1P2NP1/1P1NBPP1/1R1QK2R b Kkq - 0 16
a8d8,r3k2r/pb3pb1/2n1p2p/qp4p1/2pPN3/P1P2NP1/1P2BPP1/1R1QK2R b Kkq - 0 17
c6d4,3rk2r/pb3pb1/2n1p2p/qpN3p1/2pP4/P1P2NP1/1P2BPP1/1R1QK2R b Kk - 2 18
d4f3,3rk2r/pN3pb1/4p2p/qp4p1/2pn4/P1P2NP1/1P2BPP1/1R1QK2R b Kk - 0 19
d8d1,3rk2r/pN3pb1/4p2p/qp4p1/2p5/P1P2BP1/1P3PP1/1R1QK2R b Kk - 0 20
a5c7,4k2r/pN3pb1/4p2p/qp4p1/2p5/P1P2BP1/1P3PP1/3RK2R b Kk - 0 21
e8e7,4k2r/p1q2pb1/3Np2p/1p4p1/2p5/P1P2BP1/1P3PP1/3RK2R b Kk - 2 22
a7a6,7r/p1q1kpb1/3Np2p/1p4p1/2p5/P1P2BP1/1P3PP1/3R1RK1 b - - 4 23
h8d8,7r/2q1kpb1/p2Np2p/1p4pB/2p5/P1P3P1/1P3PP1/3R1RK1 b - - 1 24
d8d3,3r4/2q1kNb1/p3p2p/1p4pB/2p5/P1P3P1/1P3PP1/3R1RK1 b - - 0 25
c7c5,8/2q1kNb1/p3p2p/1p4pB/2p5/P1Pr2P1/1P3PP1/4RRK1 b - - 2 26
g5g4,8/4kNb1/p3p2p/1pq3pB/2p5/P1Pr2P1/1P2RPP1/5RK1 b - - 4 27
e7f6,8/4kNb1/p3p1Bp/1pq5/2p3p1/P1Pr2P1/1P2RPP1/5RK1 b - - 1 28
c4d3,8/5Nb1/p3pk1p/1pq5/2p3p1/P1PB2P1/1P2RPP1/5RK1 b - - 0 29
d1f3,r1b1k2r/p1p1nppp/1bpq4/3P4/2P5/1N6/PP3PPP/R1BQKB1R w KQkq - 1 10
c1f4,r1b1k2r/p1p1nppp/1b1q4/3p4/2P5/1N3Q2/PP3PPP/R1B1KB1R w KQkq - 0 11
f1e2,r1b1k2r/p1p1nppp/1b2q3/3p4/2P2B2/1N3Q2/PP3PPP/R3KB1R w KQkq - 2 12
