e8g8,r1b1k2r/pp1nqpbp/2p3p1/2p1p3/4P3/P1NP1N1P/1PP2PP1/R1BQR1K1 b kq - 0 10
a7a5,r1b2rk1/pp1nqpbp/2p3p1/2p1p3/4P3/P1NP1N1P/1PP2PP1/1RBQR1K1 b - - 2 11
f7f6,r1b2rk1/1p1nqpbp/2p3p1/p1p1p1B1/4P3/P1NP1N1P/1PP2PP1/1R1QR1K1 b - - 1 12
f8d8,r1b2rk1/1p1nq1bp/2p2pp1/p1p1p3/4P3/P1NP1N1P/1PPB1PP1/1R1QR1K1 b - - 1 13
b7b5,r1br2k1/1p1nq1bp/2p2pp1/p1p1p3/4P3/P1NP1N1P/1PPBQPP1/1R2R1K1 b - - 3 14
d7f8,r1br2k1/3nq1bp/2p2pp1/ppp1p3/4P3/P2P1N1P/1PPBQPP1/1R1NR1K1 b - - 1 15
c5b4,r1br1nk1/4q1bp/2p2pp1/ppp1p3/1P2P3/P2P1N1P/2PBQPP1/1R1NR1K1 b - - 0 16
a5a4,r1br1nk1/4q1bp/2p2pp1/pp2p3/1P2P3/3P1N1P/2PBQPP1/1R1NR1K1 b - - 0 17
f8e6,r1br1nk1/4q1bp/2p2pp1/1p2p3/pPP1P3/3P1N1P/3BQPP1/1R1NR1K1 b - - 0 18
e6c7,r1br2k1/4q1bp/2p1npp1/1p2p3/pPP1P3/2NP1N1P/3BQPP1/1R2R1K1 b - - 2 19
c8e6,r1br2k1/2n1q1bp/2p2pp1/1p2p3/pPP1P3/2NPBN1P/4QPP1/1R2R1K1 b - - 4 20
e7f7,r2r2k1/2n1q1bp/2p1bpp1/1pB1p3/pPP1P3/2NP1N1P/4QPP1/1R2R1K1 b - - 6 21
c7b5,r2r2k1/2n2qbp/2p1bpp1/1PB1p3/pP2P3/2NP1N1P/4QPP1/1R2R1K1 b - - 0 22
c6b5,r2r2k1/5qbp/2p1bpp1/1NB1p3/pP2P3/3P1N1P/4QPP1/1R2R1K1 b - - 0 23
e6c4,r2r2k1/5qbp/4bpp1/1pB1p3/pP1PP3/5N1P/4QPP1/1R2R1K1 b - - 0 24
e5d4,r2r2k1/5qbp/5pp1/1pB1p3/pPbPP3/4QN1P/5PP1/1R2R1K1 b - - 2 25
a4a3,r2r2k1/5qbp/5pp1/1p6/pPbBP3/4QN1P/5PP1/1R2R1K1 b - - 0 26
a3a2,r2r2k1/5qbp/5pp1/1p2P3/1PbB4/p3QN1P/5PP1/1R2R1K1 b - - 0 27
d8e8,r2r2k1/5qbp/5pp1/1p2P3/1PbB4/4QN1P/p4PP1/R3R1K1 b - - 1 28
f6e5,r3r1k1/5qbp/5pp1/1p2P3/1PbB4/2Q2N1P/p4PP1/R3R1K1 b - - 3 29
c5c4,rnb1k2r/pp2qpp1/4p2p/2ppP3/3P4/2PB1P2/P1PQ2PP/R3K1NR b KQkq - 1 10
b8c6,rnb1k2r/pp2qpp1/4p2p/3pP3/2pP4/2P2P2/P1PQB1PP/R3K1NR b KQkq - 1 11
c8d7,r1b1k2r/pp2qpp1/2n1p2p/3pP3/2pP4/2P2P1N/P1PQB1PP/R3K2R b KQkq - 3 12
e8c8,r3k2r/pp1bqpp1/2n1p2p/3pP3/2pP4/2P2P2/P1PQBNPP/R3K2R b KQkq - 5 13
c8c7,2kr3r/pp1bqpp1/2n1p2p/3pP3/2pP4/2P2P2/P1PQBNPP/R4RK1 b - - 7 14
d8b8,3r3r/ppkbqpp1/2n1p2p/3pP3/2pP4/2P2P2/P1PQBNPP/1R3RK1 b - - 9 15
b7b5,1r5r/ppkbqpp1/2n1p2p/3pP3/2pP4/2P2P2/P1P1BNPP/1RQ2RK1 b - - 11 16
a7a5,1r5r/p1kbqpp1/2n1p2p/1p1pP3/2pP4/2P2P2/P1P1B1PP/1RQN1RK1 b - - 1 17
h6h5,1r5r/2kbqpp1/2n1p2p/pp1pP3/2pP4/2P2P2/PNP1B1PP/1RQ2RK1 b - - 1 18
b5b4,1r5r/2kbqpp1/2n1p3/pp1pP2p/P1pP4/2P2P2/1NP1B1PP/1RQ2RK1 b - - 0 19
a5b4,1r5r/2kbqpp1/2n1p3/p2pP2p/PPpP4/5P2/1NP1B1PP/1RQ2RK1 b - - 0 20
