e6e5,rnb2rk1/ppp1qpb1/3pp1pp/8/3PPP2/2PB4/PP1NN1PP/R2Q1RK1 b - - 0 10
d6e5,rnb2rk1/ppp1qpb1/3p2pp/4P3/4PP2/2PB4/PP1NN1PP/R2Q1RK1 b - - 0 11
f8d8,rnb2rk1/ppp1qpb1/6pp/4pP2/4P3/2PB4/PP1NN1PP/R2Q1RK1 b - - 0 12
b8d7,rnbr2k1/ppp1qpb1/6pp/4pP2/4P3/2PB4/PPQNN1PP/R4RK1 b - - 2 13
g8h7,r1br2k1/pppnqpb1/6pp/4pP2/4P3/2PB4/PPQNN1PP/3R1RK1 b - - 4 14
d7f6,r1br4/pppnqpbk/6pp/4pP2/2B1P3/2P5/PPQNN1PP/3R1RK1 b - - 6 15
f6g4,r1br4/ppp1qpbk/5npp/4pP2/2B1P3/2P5/PPQNN1PP/3R1R1K b - - 8 16
e7h4,r1br4/ppp1qpbk/6pp/4pP2/2B1P1n1/2P2R2/PPQNN1PP/3R3K b - - 10 17
g4f2,r1br4/ppp2pbk/6pp/4pP2/2B1P1nq/2P2R1P/PPQNN1P1/3R3K b - - 0 18
f2d1,r1br4/ppp2pbk/6pp/4pP2/2B1P2q/2P2R1P/PPQNNnP1/3R2K1 b - - 2 19
h4e4,r1br4/ppp2pbk/6pp/4pP2/2B1P2q/2P2R1P/PP1NN1P1/3Q2K1 b - - 0 20
c8f5,r1br4/ppp2Bbk/6pp/4pP2/4q3/2P2R1P/PP1NN1P1/3Q2K1 b - - 0 21
e4c2,r2r4/ppp2Bbk/6pp/4pb2/4q3/2P2RNP/PP1N2P1/3Q2K1 b - - 1 22
f5c2,r2r4/ppp2Bbk/6pp/4pb2/8/2P2RNP/PPQN2P1/6K1 b - - 0 23
d8f8,r2r4/ppp2Bbk/6pp/4p3/4N3/2P2RNP/PPb3P1/6K1 b - - 1 24
a8d8,r4r2/ppp2Bbk/6pp/4p3/4N2P/2P2RN1/PPb3P1/6K1 b - - 0 25
g6h5,3r1r2/ppp2Bbk/6pp/4p2P/4N3/2P2RN1/PPb3P1/6K1 b - - 0 26
g7h6,r1bq1rk1/pp2ppbp/2n3p1/3p3n/3P4/2P2N1P/PP1NBPPB/R2QK2R b KQ - 4 10
h5f4,r1bq1rk1/pp2pp1p/2n3pb/3p3n/3P4/2P2N1P/PP1NBPPB/R2Q1RK1 b - - 6 11
h6f4,r1bq1rk1/pp2pp1p/2n3pb/3p4/3P1B2/2P2N1P/PP1NBPP1/R2Q1RK1 b - - 0 12
b7b6,r1bq1rk1/pp2pp1p/2n3p1/3p4/3P1b2/1NP2N1P/PP2BPP1/R2Q1RK1 b - - 1 13
c8f5,r1bq1rk1/p3pp1p/1pn3p1/3p4/3P1b2/2P2N1P/PP2BPP1/R1NQ1RK1 b - - 1 14
