c5c4,r1b1kb1r/p2n1ppp/1pn1p3/q1ppP3/N2P1P2/2P2N2/PP1B2PP/R2QKB1R b KQkq - 1 10
c6b4,r1b1kb1r/p2n1ppp/1pn1p3/q2pP3/NPpP1P2/2P2N2/P2B2PP/R2QKB1R b KQkq b3 0 11
f8b4,r1b1kb1r/p2n1ppp/1p2p3/q2pP3/NPpP1P2/5N2/P2B2PP/R2QKB1R b KQkq - 0 12
b4d2,r1b1k2r/p2n1ppp/1p2p3/q2pP3/NbpP1P2/5N2/P1QB2PP/R3KB1R b KQkq - 1 13
b6b5,r1b1k2r/p2n1ppp/1p2p3/q2pP3/N1pP1P2/8/P1QN2PP/R3KB1R b KQkq - 0 14
e8g8,r1b1k2r/p2n1ppp/4p3/qp1pP3/2pP1P2/2N5/P1QN2PP/R3KB1R b KQkq - 1 15
a5b6,r1b2rk1/p2n1ppp/4p3/qp1pP3/2pP1P2/P1N5/2QN2PP/R3KB1R b KQ - 0 16
b6d4,r1b2rk1/p2n1ppp/1q2p3/1p1pP3/2pP1P2/P1N5/2QN2PP/1R2KB1R b K - 2 17
d4b6,r1b2rk1/p2n1ppp/4p3/1p1pP3/2pq1P2/P7/2QNN1PP/1R2KB1R b K - 1 18
a7a5,r1b2rk1/p2n1ppp/1q2p3/1p1pP3/2p2P2/P4N2/2Q1N1PP/1R2KB1R b K - 3 19
b5b4,r1b2rk1/3n1ppp/1q2p3/pp1pP3/2pN1P2/P4N2/2Q3PP/1R2KB1R b K - 1 20
f7f6,r1b2rk1/3n1ppp/1q2p3/p2pP3/1ppN1P2/P4N2/2Q1B1PP/1R2K2R b K - 1 21
f8f6,r1b2rk1/3n2pp/1q2pP2/p2p4/1ppN1P2/P4N2/2Q1B1PP/1R2K2R b K - 0 22
d7c5,r1b3k1/3n2pp/1q2pr2/p2p4/1ppN1P2/P4NP1/2Q1B2P/1R2K2R b K - 0 23
b4b3,r1b3k1/6pp/1q2pr2/p1np4/1ppN1P2/P4NP1/2Q1B2P/1R3RK1 b - - 2 24
c5e4,r1b3k1/6pp/1q2pr2/p1np4/2pN1P2/Pp3NP1/4B2P/1R1Q1RK1 b - - 1 25
c8a6,r1b3k1/6pp/1q2pr2/p2p4/2pNnP2/Pp3NP1/4B2P/1R2QRK1 b - - 3 26
e6e5,r5k1/6pp/bq2pr2/p2p4/P1pNnP2/1p3NP1/4B2P/1R2QRK1 b - - 0 27
f6f3,r5k1/6pp/bq3r2/p2pP3/P1pNn3/1p3NP1/4B2P/1R2QRK1 b - - 0 28
b6d4,r5k1/6pp/bq6/p2pP3/P1pNn3/1p3BP1/7P/1R2QRK1 b - - 0 29
d4e5,r2qkb1r/pp1bpppp/1nn5/1B2p3/3P4/2N2N2/PP3PPP/R1BQK2R w KQkq - 0 10
e1g1,r2qkb1r/pp1bpp1p/1nn3p1/1B2P3/8/2N2N2/PP3PPP/R1BQK2R w KQkq - 0 11
h2h3,r2qk2r/pp1bppbp/1nn3p1/1B2P3/8/2N2N2/PP3PPP/R1BQ1RK1 w kq - 2 12
f3e5,r2qk2r/pp1bppbp/1n4p1/1B2n3/8/2N2N1P/PP3PP1/R1BQ1RK1 w kq - 0 13
d1e2,r2qk2r/pp1bpp1p/1n4p1/1B2b3/8/2N4P/PP3PP1/R1BQ1RK1 w kq - 0 14
c1g5,r2qk2r/pp1bppbp/1n4p1/1B6/8/2N4P/PP2QPP1/R1B2RK1 w kq - 2 15
c3b5,r2qk2r/pp2ppbp/1n4p1/1b4B1/8/2N4P/PP2QPP1/R4RK1 w kq - 0 16
f1d1,r2q1rk1/pp2ppbp/1n4p1/1N4B1/8/7P/PP2QPP1/R4RK1 w - - 1 17
g5e7,r1q2rk1/pp2ppbp/1n4p1/1N4B1/8/7P/PP2QPP1/R2R2K1 w - - 3 18
b5d6,r1q1r1k1/pp2Bpbp/1n4p1/1N6/8/7P/PP2QPP1/R2R2K1 w - - 1 19
d6e8,r3r1k1/ppq1Bpbp/1n1N2p1/8/8/7P/PP2QPP1/R2R2K1 w - - 3 20
d1e1,4r1k1/ppq1Bpbp/1n4p1/8/8/7P/PP2QPP1/R2R2K1 w - - 0 21
e2b5,4r1k1/ppq1Bpbp/6p1/3n4/8/7P/PP2QPP1/R3R1K1 w - - 2 22
b5d5,6k1/ppq1rpbp/6p1/1Q1n4/8/7P/PP3PP1/R3R1K1 w - - 0 23
e1e7,6k1/ppq1rp1p/6p1/3Q4/8/7P/Pb3PP1/R3R1K1 w - - 0 24
a1b1,6k1/pp2qp1p/6p1/3Q4/8/7P/Pb3PP1/R5K1 w - - 0 25
d5b7,6k1/pp2qp1p/6p1/3Q4/8/2b4P/P4PP1/1R4K1 w - - 2 26
b1c1,6k1/pQ3p1p/6p1/2q5/8/2b4P/P4PP1/1R4K1 w - - 1 27
b7c8,6k1/pQ3p1p/6p1/8/3q4/2b4P/P4PP1/2R3K1 w - - 3 28
c6a5,r1bq1rk1/pp2bppp/2n1pn2/8/2BP4/2N2N2/PP2QPPP/R1BR2K1 b - - 6 10
b7b6,r1bq1rk1/pp2bppp/4pn2/n7/3P4/2NB1N2/PP2QPPP/R1BR2K1 b - - 8 11
c8b7,r1bq1rk1/p3bppp/1p2pn2/n5B1/3P4/2NB1N2/PP2QPPP/R2R2K1 b - - 1 12
a8c8,r2q1rk1/pb2bppp/1p2pn2/n3N1B1/3P4/2NB4/PP2QPPP/R2R2K1 b - - 3 13
d8d6,2rq1rk1/pb2bppp/1p2pn2/n3N1B1/3P4/2NB4/PP2QPPP/2RR2K1 b - - 5 14
f8d8,2r2rk1/pb2bppp/1p1qpn2/n3N1B1/3P4/2N5/PP2QPPP/1BRR2K1 b - - 7 15
e7f6,2rr2k1/pb2bppp/1p1qpB2/n3N3/3P4/2N5/PP2QPPP/1BRR2K1 b - - 0 16
g8f8,2rr2k1/pb3ppB/1p1qpb2/n3N3/3P4/2N5/PP2QPPP/2RR2K1 b - - 0 17
g7g6,2rr1k2/pb3ppB/1p1qpb2/n3N2Q/3P4/2N5/PP3PPP/2RR2K1 b - - 2 18
f6g7,2rr1k2/pb3p1B/1p1qpbpQ/n3N3/3P4/2N5/PP3PPP/2RR2K1 b - - 1 19
g7e5,2rr1k2/pb3pbB/1p1qp1p1/n3N3/3P1Q2/2N5/PP3PPP/2RR2K1 b - - 3 20
d6c6,2rr1k2/pb3p1B/1p1qp1p1/n3P3/5Q2/2N5/PP3PPP/2RR2K1 b - - 0 21
c8d8,2rR1k2/pb3p1B/1pq1p1p1/n3P3/5Q2/2N5/PP3PPP/2R3K1 b - - 0 22
f8e8,3r1k2/pb3p1B/1pq1p1p1/n3P3/5Q2/2N2P2/PP4PP/2R3K1 b - - 0 23
c6b5,3rk3/pb3p1B/1pq1p1p1/n3P3/4NQ2/5P2/PP4PP/2R3K1 b - - 2 24
e8f8,3rk3/pb3p1B/1p2pNp1/nq2P3/5Q2/5P2/PP4PP/2R3K1 b - - 4 25
f8e7,3r1k2/pb3p1B/1p2pNpQ/nq2P3/8/5P2/PP4PP/2R3K1 b - - 6 26
f4g3,2kr1b1r/ppp1pppp/2n2n2/q7/3P1B2/2NQ4/PPP1NPPP/R4RK1 w - - 7 10
h2h3,2kr1b1r/ppp1ppp1/2n2n2/q6p/3P4/2NQ2B1/PPP1NPPP/R4RK1 w - - 0 11
g3h2,2kr1b1r/ppp1ppp1/2n2n2/q7/3P3p/2NQ2BP/PPP1NPP1/R4RK1 w - - 0 12
a2a3,2kr1b1r/ppp2pp1/2n1pn2/q7/3P3p/2NQ3P/PPP1NPPB/R4RK1 w - - 0 13
d3f5,2kr1b1r/ppp2pp1/2n1pn2/5q2/3P3p/P1NQ3P/1PP1NPPB/R4RK1 w - - 1 14
a1d1,2kr1b1r/ppp2pp1/2n2n2/5p2/3P3p/P1N4P/1PP1NPPB/R4RK1 w - - 0 15
h2d6,2kr3r/ppp2pp1/2nb1n2/5p2/3P3p/P1N4P/1PP1NPPB/3R1RK1 w - - 2 16
c3b5,2k4r/ppp2pp1/2nr1n2/5p2/3P3p/P1N4P/1PP1NPP1/3R1RK1 w - - 0 17
c2c4,2k4r/pppr1pp1/2n2n2/1N3p2/3P3p/P6P/1PP1NPP1/3R1RK1 w - - 2 18
b5c3,2k4r/1ppr1pp1/p1n2n2/1N3p2/2PP3p/P6P/1P2NPP1/3R1RK1 w - - 0 19
d4d5,2k1r3/1ppr1pp1/p1n2n2/5p2/2PP3p/P1N4P/1P2NPP1/3R1RK1 w - - 2 20
d1d4,2k1r3/1ppr1pp1/p4n2/n2P1p2/2P4p/P1N4P/1P2NPP1/3R1RK1 w - - 1 21
b2b4,2k1r3/1ppr1p2/p4n2/n2P1pp1/2PR3p/P1N4P/1P2NPP1/5RK1 w - - 0 22
d4d1,2k1r3/1p1r1p2/p4n2/n1pP1pp1/1PPR3p/P1N4P/4NPP1/5RK1 w - c6 0 23
a3b4,2k1r3/1p1r1p2/p4n2/n2P1pp1/1pP4p/P1N4P/4NPP1/3R1RK1 w - - 0 24
b4b5,2k1r3/1p1r1p2/p4n2/3P1pp1/1Pn4p/2N4P/4NPP1/3R1RK1 w - - 0 25
e2d4,2k1r3/1p1r1p2/5n2/1p1P1pp1/2n4p/2N4P/4NPP1/3R1RK1 w - - 0 26
c3b5,2k1r3/1p1r1p2/8/1p1n1pp1/2nN3p/2N4P/5PP1/3R1RK1 w - - 0 27
d4f5,1k2r3/1p1r1p2/8/1N1n1pp1/2nN3p/7P/5PP1/3R1RK1 w - - 1 28
f5d6,1k2r3/1p1r1p2/1n6/1N1n1Np1/7p/7P/5PP1/3R1RK1 w - - 1 29
a6a5,r2qkbnr/3b1ppp/p1p1p3/2PpP3/8/4B3/PPPNNPPP/R2Q1RK1 b kq - 1 10
g8e7,r2qkbnr/3b1ppp/2p1p3/p1PpP3/8/4BN2/PPP1NPPP/R2Q1RK1 b kq - 1 11
e7g6,r2qkb1r/3bnppp/2p1p3/p1PpP3/8/2P1BN2/PP2NPPP/R2Q1RK1 b kq - 0 12
d8c7,r2qkb1r/3b1ppp/2p1p1n1/p1PpP3/1P6/2P1BN2/P3NPPP/R2Q1RK1 b kq - 0 13
f8e7,r3kb1r/2qb1ppp/2p1p1n1/p1PpP3/1P1Q4/2P1BN2/P3NPPP/R4RK1 b kq - 2 14
e8g8,r3k2r/2qbbppp/2p1p1n1/p1PpP3/1P1Q1N2/2P1BN2/P4PPP/R4RK1 b kq - 4 15
f7g6,r4rk1/2qbbppp/2p1p1N1/p1PpP3/1P1Q4/2P1BN2/P4PPP/R4RK1 b - - 0 16
f8f3,r4rk1/2qbb1pp/2p1p1p1/p1PpP1B1/1P1Q4/2P2N2/P4PPP/R4RK1 b - - 1 17
f3f7,r5k1/2qbB1pp/2p1p1p1/p1PpP3/1P1Q4/2P2r2/P4PPP/R4RK1 b - - 0 18
c7b7,r5k1/2qb1rpp/2pBp1p1/p1PpP3/1P1Q4/2P5/P4PPP/R4RK1 b - - 2 19
h7h6,r5k1/1q1b1rpp/2pBp1p1/p1PpP3/PP1Q4/2P5/5PPP/R4RK1 b - - 0 20
b7a6,r5k1/1q1b1rp1/2pBp1pp/p1PpP3/PP1Q4/2P5/5PPP/RR4K1 b - - 1 21
g6g5,r5k1/3b1rp1/q1pBp1pp/p1PpP3/PP1Q4/2P5/1R3PPP/R5K1 b - - 3 22
f7f4,r5k1/3b1rp1/q1pBp2p/p1PpP1p1/PP1Q4/2P4P/1R3PP1/R5K1 b - - 0 23
a6c4,r5k1/3b2p1/q1pBp2p/p1PpP1p1/PP3r2/2P4P/1R1Q1PP1/R5K1 b - - 2 24
d7e8,r5k1/3b2p1/2pBp2p/p1PpP1p1/PPq2r2/2P2P1P/1R1Q2P1/R5K1 b - - 0 25
