b8d7,rnb1k1nB/pp2q2p/2p3p1/3p1p2/3Pp3/4P1P1/PPPN1PBP/RN1QK2R b KQq - 0 10
d7e5,r1b1k1n1/pp1nq2p/2p3p1/3pBp2/3Pp3/4P1P1/PPPN1PBP/RN1QK2R b KQq - 2 11
e7e5,r1b1k1n1/pp2q2p/2p3p1/3pPp2/4p3/4P1P1/PPPN1PBP/RN1QK2R b KQq - 0 12
e5b2,r1b1k1n1/pp5p/2p3p1/3pqp2/2P1p3/4P1P1/PP1N1PBP/RN1QK2R b KQq - 0 13
b2a1,r1b1k1n1/pp5p/2p3p1/3p1p2/2P1p3/4P1P1/Pq1N1PBP/RN1Q1RK1 b q - 1 14
c6d5,r1b1k1n1/pp5p/2p3p1/3P1p2/4p3/4P1P1/P2N1PBP/qN1Q1RK1 b q - 0 15
a1e5,r1b1k1n1/pp5p/6p1/3p1p2/4p3/1N2P1P1/P4PBP/qN1Q1RK1 b q - 1 16
e5d4,r1b1k1n1/pp5p/6p1/3pqp2/3Qp3/1N2P1P1/P4PBP/1N3RK1 b q - 3 17
g8f6,r1b1k1n1/pp5p/6p1/3p1p2/3Np3/4P1P1/P4PBP/1N3RK1 b q - 0 18
c8d7,r1b1k3/pp5p/5np1/3p1p2/3Np3/2N1P1P1/P4PBP/5RK1 b q - 2 19
a8c8,r3k3/pp1b3p/5np1/3p1p2/3Np3/2N1PPP1/P5BP/5RK1 b q - 0 20
c8c4,2r1k3/pp1b3p/5np1/3p1p2/3Np3/4PPP1/P3N1BP/5RK1 b - - 2 21
d5e4,4k3/pp1b3p/5np1/3p1p2/2rNP3/4P1P1/P3N1BP/5RK1 b - - 0 22
c4a4,4k3/pp1b3p/5np1/5p2/2rNpN2/4P1P1/P5BP/5RK1 b - - 1 23
b7b6,4k3/pp1b3p/5np1/5p2/r2NpN2/4P1P1/P5BP/1R4K1 b - - 3 24
a4a3,4k3/p2b3p/1p3np1/5p2/r2NpN2/4P1P1/PR4BP/6K1 b - - 1 25
f6g4,4k3/p2b3p/1p3np1/5p2/3NpN2/r3P1P1/P3R1BP/6K1 b - - 3 26
e8f7,4k3/p2b3p/1p4p1/3N1p2/3Np1n1/r3P1P1/P3R1BP/6K1 b - - 5 27
g4e5,8/p2b1k1p/1p4p1/3N1p2/3Np1n1/r3P1PP/P3R1B1/6K1 b - - 0 28
a3a5,8/p2b1k1p/1p4p1/3Nnp2/3Np3/r3P1PP/P1R3B1/6K1 b - - 2 29
d4c6,r2qkb1r/3b1ppp/p1nppn2/1p4B1/3NPP2/2N5/PPPQ2PP/2KR1B1R w kq - 0 10
e4e5,r2qkb1r/5ppp/p1bppn2/1p4B1/4PP2/2N5/PPPQ2PP/2KR1B1R w kq - 0 11
d2d8,r2qkb1r/5ppp/p1b1pn2/1p2p1B1/5P2/2N5/PPPQ2PP/2KR1B1R w kq - 0 12
d1d8,3rkb1r/5ppp/p1b1pn2/1p2p1B1/5P2/2N5/PPP3PP/2KR1B1R w k - 0 13
f4e5,3k1b1r/5ppp/p1b1pn2/1p2p1B1/5P2/2N5/PPP3PP/2K2B1R w - - 0 14
g5h4,3k1b1r/5pp1/p1b1pn1p/1p2P1B1/8/2N5/PPP3PP/2K2B1R w - - 0 15
h4f2,3k1b1r/5p2/p1b1pn1p/1p2P1p1/7B/2N5/PPP3PP/2K2B1R w - - 0 16
h2h4,3k1b1r/3n1p2/p1b1p2p/1p2P1p1/8/2N5/PPP2BPP/2K2B1R w - - 2 17
c3e2,3k1b1r/3n1p2/p1b1p2p/1p2P3/6pP/2N5/PPP2BP1/2K2B1R w - - 0 18
e2d4,3k3r/3n1pb1/p1b1p2p/1p2P3/6pP/8/PPP1NBP1/2K2B1R w - - 2 19
a2a4,3k3r/3n1pb1/p3p2p/1p1bP3/3N2pP/8/PPP2BP1/2K2B1R w - - 4 20
f1a6,3k3r/3n1pb1/p3p2p/3bP3/p2N2pP/8/1PP2BP1/2K2B1R w - - 0 21
h1d1,3k3r/3n1p2/B3p2p/3bb3/p2N2pP/8/1PP2BP1/2K4R w - - 0 22
g2g3,7r/3nkp2/B3p2p/3bb3/p2N2pP/8/1PP2BP1/2KR4 w - - 2 23
a6b5,r7/3nkp2/B3p2p/3bb3/p2N2pP/6P1/1PP2B2/2KR4 w - - 1 24
c2c4,1r6/3nkp2/4p2p/1B1bb3/p2N2pP/6P1/1PP2B2/2KR4 w - - 3 25
d4c6,1r6/4kp2/4p2p/1Bnbb3/p1PN2pP/6P1/1P3B2/2KR4 w - - 1 26
f2c5,1r6/4kp2/2b1p2p/1Bn1b3/p1P3pP/6P1/1P3B2/2KR4 w - - 0 27
b5c6,1r6/5p2/2b1pk1p/1BB1b3/p1P3pP/6P1/1P6/2KR4 w - - 1 28
c5f2,2r5/5p2/2B1pk1p/2B1b3/p1P3pP/6P1/1P6/2KR4 w - - 1 29
f8d6,rn1qkb1r/pp3p1p/2p1bpp1/8/3P4/3BQ3/PPP1NPPP/R1B1K2R b KQkq - 5 10
d8e7,rn1qk2r/pp3p1p/2pbbpp1/8/3P1N2/3BQ3/PPP2PPP/R1B1K2R b KQkq - 7 11
e7e6,rn2k2r/pp2qp1p/2pbNpp1/8/3P4/3BQ3/PPP2PPP/R1B1K2R b KQkq - 0 12
f7e6,rn2k2r/pp3p1p/2pbQpp1/8/3P4/3B4/PPP2PPP/R1B1K2R b KQkq - 0 13
e8f7,rn2k2r/pp5p/2pbppp1/8/3P3P/3B4/PPP2PP1/R1B1K2R b KQkq - 0 14
b8d7,rn5r/pp3k1p/2pbppp1/8/3P3P/3B4/PPPB1PP1/R3K2R b KQ - 2 15
a8d8,r6r/pp1n1k1p/2pbppp1/8/3P3P/3B4/PPPB1PP1/2KR3R b - - 4 16
d7b6,3r3r/pp1n1k1p/2pbppp1/8/3P3P/3B4/PPPB1PP1/1K1R3R b - - 6 17
h7h5,3r3r/pp3k1p/1npbppp1/8/3P3P/2PB4/PP1B1PP1/1K1R3R b - - 0 18
h8e8,3r3r/pp3k2/1npbppp1/7p/3P3P/2PB4/PPKB1PP1/3R3R b - - 1 19
f6f5,3rr3/pp3k2/1npbppp1/7p/3P3P/2PB4/PPKB1PP1/3RR3 b - - 3 20
d6e7,3rr3/pp3k2/1npbp1p1/5pBp/3P3P/2PB4/PPK2PP1/3RR3 b - - 1 21
e7h4,3rr3/pp2bk2/1np1p1p1/5p1p/3P1B1P/2PB4/PPK2PP1/3RR3 b - - 3 22
h4f6,3rr3/pp3k2/1np1p1p1/5p1p/3P1B1b/2PB2P1/PPK2P2/3RR3 b - - 0 23
b6d5,3rr3/pp3k2/1np1pbp1/5p1p/P2P1B2/2PB2P1/1PK2P2/3RR3 b - - 0 24
a7a5,3rr3/pp3k2/2p1pbp1/3n1p1p/P2P4/2PB2P1/1PKB1P2/3RR3 b - - 2 25
g6g5,3rr3/1p3k2/2p1pbp1/p2n1p1p/P2P4/2PB2P1/1PKBRP2/3R4 b - - 1 26
e8h8,3rr3/1p3k2/2p1pb2/p2n1ppp/P2P4/2PB2P1/1PKBRP2/7R b - - 1 27
d8e8,3r3r/1p3k2/2p1pb2/p2n1ppp/P2P4/2PB2P1/1PKBRP2/4R3 b - - 3 28
h5h4,4r2r/1p3k2/2p1pb2/p2n1ppp/P2P4/2PB2P1/1PKBRP2/7R b - - 5 29
e4d5,r2qkb1r/pp1n1pp1/4pn2/3p4/3PP2p/2N3PN/PP3PBP/R1BQ1RK1 w kq - 0 10
