c6d4,r1bq1rk1/pp2n1bp/2np2p1/2p1pp2/2P1P3/2NPBNP1/PP1Q1PBP/R4RK1 b - - 1 10
f5f4,r1bq1rk1/pp2n1bp/3p2p1/2p1ppB1/2PnP3/2NP1NP1/PP1Q1PBP/R4RK1 b - - 3 11
c5d4,r1bq1rk1/pp2n1bp/3p2p1/2p1p1B1/2PNPp2/2NP2P1/PP1Q1PBP/R4RK1 b - - 0 12
f8f7,r1bq1rk1/pp2n1bp/3p2p1/3Np1B1/2PpPp2/3P2P1/PP1Q1PBP/R4RK1 b - - 1 13
f7e7,r1bq2k1/pp2Nrbp/3p2p1/4p1B1/2PpPp2/3P2P1/PP1Q1PBP/R4RK1 b - - 0 14
d8e7,r1bq2k1/pp2B1bp/3p2p1/4p3/2PpPp2/3P2P1/PP1Q1PBP/R4RK1 b - - 0 15
g7h6,r1b3k1/pp2q1bp/3p2p1/4p3/2PpPP2/3P4/PP1Q1PBP/R4RK1 b - - 0 16
h6f4,r1b3k1/pp2q2p/3p2pb/4p3/2PpPP2/3P4/PP2QPBP/R4RK1 b - - 2 17
e7h4,r1b3k1/pp2q2p/3p2p1/4p3/1PPpPb2/3P4/P3QPBP/R4RK1 b - - 0 18
c8d7,r1b3k1/pp5p/3p2p1/4p3/1PPpPb1q/3P3P/P3QPB1/R4RK1 b - - 0 19
a8f8,r5k1/pp1b3p/3p2p1/4p3/1PPpPb1q/3P1Q1P/P4PB1/R4RK1 b - - 2 20
g6g5,5rk1/pp1b3p/3p2p1/4p3/1PPpPb1q/3P1Q1P/P4PB1/R4R1K b - - 4 21
g5g4,5rk1/pp1b3p/3p4/2P1p1p1/1P1pPb1q/3P1Q1P/P4PB1/R4R1K b - - 0 22
d6c5,5rk1/pp1b3p/3p4/2P1p3/1P1pPbpq/3P3P/P4PB1/R2Q1R1K b - - 1 23
g8h8,5rk1/pp1b3p/8/2P1p3/3pPbpq/3P3P/P4PB1/R2Q1R1K b - - 0 24
g4g3,5r1k/pp1b3p/8/2P1p3/3pPbpq/3P3P/P4PB1/1R1Q1R1K b - - 2 25
h4g3,5r1k/pp1b3p/8/2P1p3/3pPb1q/3P2PP/P5B1/1R1Q1R1K b - - 0 26
f8f4,5r1k/pp1b3p/8/2P1p3/3pPR2/3P2qP/P5B1/1R1Q3K b - - 0 27
