g5f6,r1bqk2r/ppp2pp1/2np1n1p/6B1/3PP3/1B6/PPP2RPP/RN1Q2K1 w kq - 0 10
c2c3,r1bqk2r/ppp2p2/2np1p1p/8/3PP3/1B6/PPP2RPP/RN1Q2K1 w kq - 0 11
b3e6,r2qk2r/ppp2p2/2npbp1p/8/3PP3/1BP5/PP3RPP/RN1Q2K1 w kq - 1 12
d1h5,r2qk2r/ppp5/2nppp1p/8/3PP3/2P5/PP3RPP/RN1Q2K1 w kq - 0 13
b1d2,r2q3r/pppk4/2nppp1p/7Q/3PP3/2P5/PP3RPP/RN4K1 w - - 2 14
d4d5,r6r/pppkq3/2nppp1p/7Q/3PP3/2P5/PP1N1RPP/R5K1 w - - 4 15
d2f3,r6r/pppkq3/3ppp1p/3Pn2Q/4P3/2P5/PP1N1RPP/R5K1 w - - 1 16
h5f3,r6r/pppkq3/3ppp1p/3P3Q/4P3/2P2n2/PP3RPP/R5K1 w - - 0 17
f3f5,r6r/pppkq3/3p1p1p/3Pp3/4P3/2P2Q2/PP3RPP/R5K1 w - - 0 18
a1f1,r2k3r/ppp1q3/3p1p1p/3PpQ2/4P3/2P5/PP3RPP/R5K1 w - - 2 19
f5g6,r2k1r2/ppp1q3/3p1p1p/3PpQ2/4P3/2P5/PP3RPP/5RK1 w - - 4 20
f2f6,r2k1r2/pp2q3/2pp1pQp/3Pp3/4P3/2P5/PP3RPP/5RK1 w - - 0 21
f1f6,r2k4/pp2q3/2pp1rQp/3Pp3/4P3/2P5/PP4PP/5RK1 w - - 0 22
f6f7,r7/pp1kq3/2pp1RQp/3Pp3/4P3/2P5/PP4PP/6K1 w - - 1 23
b7c6,r2qk2r/1p2bppp/p1Bpbn2/4p3/4P3/1NN1BP2/PPP3PP/R2QK2R b KQkq - 0 10
e8g8,r2qk2r/4bppp/p1ppbn2/4p3/4P3/1NN1BP2/PPPQ2PP/R3K2R b KQkq - 1 11
d6d5,r2q1rk1/4bppp/p1ppbn2/4p3/4P3/1NN1BP2/PPPQ2PP/2KR3R b - - 3 12
c6d5,r2q1rk1/4bppp/p1p1bn2/3Pp3/8/1NN1BP2/PPPQ2PP/2KR3R b - - 0 13
d5d4,r2q1rk1/4bppp/p3bn2/3pp3/8/1NN2P2/PPPQ1BPP/2KR3R b - - 1 14
f6e4,r2q1rk1/4bppp/p3bn2/4p3/3pN3/1N3P2/PPPQ1BPP/2KR3R b - - 1 15
e6b3,r2q1rk1/4bppp/p3b3/4p3/3pP3/1N6/PPPQ1BPP/2KR3R b - - 0 16
e7g5,r2q1rk1/4bppp/p7/4p3/3pP3/1P6/1PPQ1BPP/2KR3R b - - 0 17
f3e5,r1q1kb1r/ppp3pp/3ppn2/4n3/8/1Q3N2/PPP2PPP/RNB1K2R w KQkq - 0 10
e1g1,r1q1kb1r/ppp3pp/4pn2/4p3/8/1Q6/PPP2PPP/RNB1K2R w KQkq - 0 11
b1c3,r1q1k2r/ppp3pp/3bpn2/4p3/8/1Q6/PPP2PPP/RNB2RK1 w kq - 2 12
c1g5,r1q2rk1/ppp3pp/3bpn2/4p3/8/1QN5/PPP2PPP/R1B2RK1 w - - 4 13
c3e4,r1q2rk1/ppp3pp/3bpn2/6B1/4p3/1QN5/PPP2PPP/R4RK1 w - - 0 14
g5e3,r1q2rk1/ppp3pp/3bp3/6B1/4n3/1Q6/PPP2PPP/R4RK1 w - - 0 15
f1e1,r1q2rk1/ppp3pp/3bpn2/8/8/1Q2B3/PPP2PPP/R4RK1 w - - 2 16
h2h3,r1q2rk1/ppp3pp/3bp3/8/6n1/1Q2B3/PPP2PPP/R3R1K1 w - - 4 17
e1e3,r1q2rk1/ppp3pp/3bp3/8/8/1Q2n2P/PPP2PP1/R3R1K1 w - - 0 18
a1e1,r1q2r2/ppp2kpp/3bp3/8/8/1Q2R2P/PPP2PP1/R5K1 w - - 1 19
e3e6,r4r2/pppq1kpp/3bp3/8/8/1Q2R2P/PPP2PP1/4R1K1 w - - 3 20
e6e7,r4rk1/pppq2pp/3bR3/8/8/1Q5P/PPP2PP1/4R1K1 w - - 1 21
d8d7,r2qk2r/1p1Bbppp/p2pbn2/4p3/4P3/1NN1BP2/PPP3PP/R2QK2R b KQkq - 0 10
e8g8,r3k2r/1p1qbppp/p2pbn2/4p3/4P3/1NN1BP2/PPPQ2PP/R3K2R b KQkq - 1 11
f6d5,r4rk1/1p1qbppp/p2pbn2/3Np3/4P3/1N2BP2/PPPQ2PP/R3K2R b KQ - 3 12
e6f5,r4rk1/1p1qbppp/p2pb3/3Pp3/8/1N2BP2/PPPQ2PP/R3K2R b KQ - 0 13
b7b5,r4rk1/1p1qbppp/p2p4/3Ppb2/2P5/1N2BP2/PP1Q2PP/R3K2R b KQ - 0 14
d7b5,r4rk1/3qbppp/p2p4/1P1Ppb2/8/1N2BP2/PP1Q2PP/R3K2R b KQ - 0 15
a8c8,r4rk1/4bppp/p2p4/1q1Ppb2/8/1N2BP2/PP1Q1KPP/R6R b - - 1 16
b5a4,2r2rk1/4bppp/p2p4/1q1Ppb2/8/1N2BP2/PP1Q1KPP/2R4R b - - 3 17
e7h4,2r2rk1/4bppp/p2p4/3Ppb2/q5P1/1N2BP2/PP1Q1K1P/2R4R b - - 0 18
f5g6,2r2rk1/5ppp/p2p4/3Ppb2/q5Pb/1N2BP2/PP1Q2KP/2R4R b - - 2 19
h4g5,2r2rk1/5ppp/p2p2b1/3Pp1B1/q5Pb/1N3P2/PP1Q2KP/2R4R b - - 4 20
a4a2,2r2rk1/5ppp/p2p2b1/3Pp1Q1/q5P1/1N3P2/PP4KP/2R4R b - - 0 21
a2b2,2r2rk1/5ppp/p2p2b1/3Pp1Q1/6P1/5P2/qP1N2KP/2R4R b - - 1 22
f8c8,2R2rk1/5ppp/p2p2b1/3Pp1Q1/6P1/5P2/1q1N2KP/7R b - - 0 23
h7h6,2r3k1/5ppp/p2p2b1/3Pp1Q1/6PP/5P2/1q1N2K1/7R b - - 0 24
c8c2,2r3k1/5pp1/p2p2bp/3Pp3/6PP/4QP2/1q1N2K1/7R b - - 1 25
d1b3,r2qk2r/ppp2pp1/2npb2p/2bNp3/2B1P3/2PP1N2/PP3PPP/R2QK2R w KQkq - 1 10
b3b7,r3k2r/pppq1pp1/2npb2p/2bNp3/2B1P3/1QPP1N2/PP3PPP/R3K2R w KQkq - 3 11
b7a6,1r2k2r/pQpq1pp1/2npb2p/2bNp3/2B1P3/2PP1N2/PP3PPP/R3K2R w KQk - 1 12
a6a4,4k2r/p1pq1pp1/Qrnpb2p/2bNp3/2B1P3/2PP1N2/PP3PPP/R3K2R w KQk - 3 13
d5c7,4k2r/p1pqnpp1/1r1pb2p/2bNp3/Q1B1P3/2PP1N2/PP3PPP/R3K2R w KQk - 5 14
c7e6,3k3r/p1Nqnpp1/1r1pb2p/2b1p3/Q1B1P3/2PP1N2/PP3PPP/R3K2R w KQ - 1 15
