a2b3,rn2k2r/pp3ppp/2pbpn2/3p3b/2P5/1q1PBNPP/PP2PPB1/RN3RK1 w kq - 0 10
e3d4,rn2k2r/1p3ppp/p1pbpn2/3p3b/2P5/1P1PBNPP/1P2PPB1/RN3RK1 w kq - 0 11
d4c3,r3k2r/1p1n1ppp/p1pbpn2/3p3b/2PB4/1P1P1NPP/1P2PPB1/RN3RK1 w kq - 2 12
d8d7,r2q1rk1/pb2bppp/1pn1pn2/2pp4/5P2/PP1PP1P1/1BP1N1BP/RN1Q1RK1 b - - 0 10
a8d8,r4rk1/pb1qbppp/1pn1pn2/2pp4/5P2/PP1PP1PP/1BP1N1B1/RN1Q1RK1 b - - 0 11
f6e8,3r1rk1/pb1qbppp/1pn1pn2/2pp4/5P2/PP1PP1PP/1BPNN1B1/R2Q1RK1 b - - 2 12
e7f6,3rnrk1/pb1qbppp/1pn1p3/2pp4/5P2/PP1PPNPP/1BP1N1B1/R2Q1RK1 b - - 4 13
f6b2,3rnrk1/pb1q1ppp/1pn1pb2/2pp4/5P2/PP1PPNPP/1BP1N1B1/R1Q2RK1 b - - 6 14
e8d6,3rnrk1/pb1q1ppp/1pn1p3/2pp4/5P2/PP1PPNPP/1QP1N1B1/R4RK1 b - - 0 15
d6f5,3r1rk1/pb1q1ppp/1pnnp3/2pp4/5P2/PP1PPNPP/1QP1N1B1/3R1RK1 b - - 2 16
d5d4,3r1rk1/pb1q1ppp/1pn1p3/2pp1n2/5P2/PP1PPNPP/2P1N1B1/2QR1RK1 b - - 4 17
f5e3,3r1rk1/pb1q1ppp/1pn1p3/2p2n2/3pPP2/PP1P1NPP/2P1N1B1/2QR1RK1 b - - 0 18
e3d1,3r1rk1/pb1q1ppp/1pn1p3/2p5/3pPP2/PP1PnNPP/2P1NRB1/2QR2K1 b - - 2 19
f7f5,3r1rk1/pb1q1ppp/1pn1p3/2p5/3pPP2/PP1P1NPP/2P1NRB1/3Q2K1 b - - 0 20
h7h6,3r1rk1/pb1q2pp/1pn1p3/2p1Pp2/3p1P2/PP1P1NPP/2P1NRB1/3Q2K1 b - - 0 21
c6e7,3r1rk1/pb1q2p1/1pn1p2p/2p1Pp2/3p1P1P/PP1P1NP1/2P1NRB1/3Q2K1 b - - 0 22
