c6c5,rn1qkb1r/pp3pp1/2p1pn1p/8/3P3P/3Q1NN1/PPPB1PP1/R3K2R b KQkq - 2 10
b8c6,rn1qkb1r/pp3pp1/4pn1p/2p5/3PN2P/3Q1N2/PPPB1PP1/R3K2R b KQkq - 1 11
f8c5,r2qkb1r/pp3pp1/2n1pn1p/2N5/3P3P/3Q1N2/PPPB1PP1/R3K2R b KQkq - 0 12
d8d3,r2qk2r/pp3pp1/2n1pn1p/2P5/7P/3Q1N2/PPPB1PP1/R3K2R b KQkq - 0 13
e8c8,r3k2r/pp3pp1/2n1pn1p/2P5/7P/3P1N2/PP1B1PP1/R3K2R b KQkq - 0 14
d8d5,2kr3r/pp3pp1/2n1pn1p/2P5/7P/3P1N2/PP1BKPP1/R6R b - - 2 15
h8d8,2k4r/pp3pp1/2n1pn1p/2Pr4/7P/3PBN2/PP2KPP1/R6R b - - 4 16
f6g4,2kr4/pp3pp1/2n1pn1p/2Pr4/7P/3PBN2/PP2KPP1/R2R4 b - - 6 17
g4e5,2kr4/pp3pp1/2n1p2p/2Pr4/6nP/3PBN2/PP2KPP1/2RR4 b - - 8 18
c6e5,2kr4/pp3pp1/2n1p2p/2PrN3/7P/3PB3/PP2KPP1/2RR4 b - - 0 19
e5c6,2kr4/pp3pp1/4p2p/2Prn3/7P/2RPB3/PP2KPP1/3R4 b - - 1 20
e6e5,2kr4/pp3pp1/2n1p2p/2Pr4/7P/P1RPB3/1P2KPP1/3R4 b - - 0 21
f7f5,2kr4/pp3pp1/2n4p/2Prp3/1P5P/P1RPB3/4KPP1/3R4 b - - 0 22
c6d4,2kr4/pp4p1/2n4p/2Prpp2/1P5P/P1RPBP2/4K1P1/3R4 b - - 0 23
e5d4,2kr4/pp4p1/7p/2Prpp2/1P1B3P/P1RP1P2/4K1P1/3R4 b - - 0 24
d5e5,2kr4/pp4p1/7p/2Pr1p2/1PRp3P/P2P1P2/4K1P1/3R4 b - - 1 25
e5e3,2kr4/pp4p1/7p/2P1rp2/1PRp3P/P2P1P2/5KP1/3R4 b - - 3 26
d8d4,2kr4/pp4p1/7p/2P2p2/1P1R3P/P2PrP2/5KP1/3R4 b - - 0 27
d4h4,2k5/pp4p1/7p/2P2p2/1P1r3P/P2PKP2/6P1/3R4 b - - 0 28
h4h2,2k5/pp4p1/7p/2P2p2/1P1P3r/P3KP2/6P1/3R4 b - - 0 29
a7a6,rn1q1rk1/pb1pbpp1/1p2pn1p/8/2PN3B/2NBP3/PP3PPP/R2Q1RK1 b - - 0 10
