f4g5,r1bq1rk1/pp3ppp/2n1p3/2bp3n/5B2/3BPN2/PPPNQPPP/R4RK1 w - - 6 10
g5e7,r1bq1rk1/pp2bppp/2n1p3/3p2Bn/8/3BPN2/PPPNQPPP/R4RK1 w - - 8 11
c2c4,r1b2rk1/pp2qppp/2n1p3/3p3n/8/3BPN2/PPPNQPPP/R4RK1 w - - 0 12
d2c4,r1b2rk1/pp2qppp/2n1p3/7n/2p5/3BPN2/PP1NQPPP/R4RK1 w - - 0 13
f3e5,r4rk1/pp1bqppp/2n1p3/7n/2N5/3BPN2/PP2QPPP/R4RK1 w - - 1 14
e5d7,r4rk1/pp1bqppp/2n1pn2/4N3/2N5/3BP3/PP2QPPP/R4RK1 w - - 3 15
f1d1,r4rk1/pp1q1ppp/2n1pn2/8/2N5/3BP3/PP2QPPP/R4RK1 w - - 0 16
e3e4,r4rk1/pp2qppp/2n1pn2/8/2N5/3BP3/PP2QPPP/R2R2K1 w - - 2 17
c4e3,r4rk1/pp2qppp/2n2n2/4p3/2N1P3/3B4/PP2QPPP/R2R2K1 w - - 0 18
e2e1,r4rk1/pp2qppp/5n2/4p3/3nP3/3BN3/PP2QPPP/R2R2K1 w - - 2 19
a1c1,r2r2k1/pp2qppp/5n2/4p3/3nP3/3BN3/PP3PPP/R2RQ1K1 w - - 4 20
d3c4,r2r2k1/pp2qp1p/5np1/4p3/3nP3/3BN3/PP3PPP/2RRQ1K1 w - - 0 21
e3d5,2rr2k1/pp2qp1p/5np1/4p3/2BnP3/4N3/PP3PPP/2RRQ1K1 w - - 2 22
c4d5,2rr2k1/pp2qp1p/6p1/3np3/2BnP3/8/PP3PPP/2RRQ1K1 w - - 0 23
c1c3,2rr4/pp2qpkp/6p1/3Bp3/3nP3/8/PP3PPP/2RRQ1K1 w - - 1 24
b2c3,3r4/pp2qpkp/6p1/3Bp3/3nP3/2r5/PP3PPP/3RQ1K1 w - - 0 25
g2g3,3r4/pp2qpkp/4n1p1/3Bp3/4P3/2P5/P4PPP/3RQ1K1 w - - 1 26
e1e3,3r4/pp2qpkp/6p1/2nBp3/4P3/2P3P1/P4P1P/3RQ1K1 w - - 1 27
g1g2,3r4/p3qpkp/1p4p1/2nBp3/4P3/2P1Q1P1/P4P1P/3R2K1 w - - 0 28
h2h4,3r4/p3qpk1/1p4p1/2nBp2p/4P3/2P1Q1P1/P4PKP/3R4 w - - 0 29
d5d4,r2qkb1r/p1p2pp1/2p2n2/3p1b2/P3pP2/2N3P1/1PPPP1BP/R1BQK2R b KQkq - 0 10
a7a5,r2qkb1r/p1p2pp1/2p2n2/5b2/P2ppP2/6P1/NPPPP1BP/R1BQK2R b KQkq - 1 11
e4e3,r2qkb1r/2p2pp1/2p2n2/p4b2/P2ppP2/3P2P1/NPP1P1BP/R1BQK2R b KQkq - 0 12
f6g4,r2qkb1r/2p2pp1/2p2n2/p4b2/P2p1P2/2PPp1P1/NP2P1BP/R1BQK2R b KQkq - 0 13
f5e6,r2qkb1r/2p2pp1/2p5/p4b2/P2p1Pn1/2PPp1P1/NPQ1P1BP/R1B1K2R b KQkq - 2 14
e8e7,r2qkb1r/2p2pp1/2B1b3/p7/P2p1Pn1/2PPp1P1/NPQ1P2P/R1B1K2R b KQkq - 0 15
e7f6,r2q1b1r/2p1kpp1/2B1b3/p7/P2P1Pn1/3Pp1P1/NPQ1P2P/R1B1K2R b KQ - 0 16
d8a8,B2q1b1r/2p2pp1/4bk2/p7/P2P1Pn1/3Pp1P1/NPQ1P2P/R1B1K2R b KQ - 0 17
a8d5,q4b1r/2p2pp1/4bk2/p2P4/P4Pn1/3Pp1P1/NPQ1P2P/R1B1K2R b KQ - 0 18
h8h2,5b1r/2p2pp1/4bk2/p2q4/P4Pn1/3Pp1P1/NPQ1P2P/R1B1K1R1 b Q - 1 19
f6g6,5b2/2p2pp1/4bk2/p2q4/P4Pn1/1P1Pp1P1/N1Q1P2r/R1B1K1R1 b Q - 0 20
g4f2,5b2/2p2pp1/4b1k1/p2q4/P4Pn1/1P1Pp1P1/NBQ1P2r/R3K1R1 b Q - 2 21
e6f5,5b2/2p2pp1/4b1k1/p2q4/P2P1P2/1P2p1P1/NBQ1Pn1r/R3K1R1 b Q - 0 22
d5g2,5b2/2p2pp1/6k1/p2q1b2/P2P1P2/1PQ1p1P1/NB2Pn1r/R3K1R1 b Q - 2 23
g2g1,5b2/2p2pp1/6k1/p4b2/P2P1P2/1P2Q1P1/NB2Pnqr/R3K1R1 b Q - 0 24
g1g2,5b2/2p2pp1/6k1/p4b2/P2P1P2/1P2Q1P1/NB1KPn1r/R5q1 b - - 1 25
f8b4,5b2/2p2pp1/6k1/p4b2/P2P1P2/1PN1Q1P1/1B1KPnqr/R7 b - - 3 26
g2f3,8/2p2pp1/6k1/p4b2/Pb1P1P2/1PN2QP1/1B1KPnqr/R7 b - - 5 27
f2d3,8/2p2pp1/6k1/p4b2/Pb1P1P2/1PN2PP1/1B1K1n1r/R7 b - - 0 28
d3b2,8/2p2pp1/6k1/p4b2/Pb1P1P2/1PNnKPP1/1B5r/R7 b - - 2 29
f3d4,r1bq1rk1/pp3ppp/4pn2/2bp4/3nPB2/3B1N2/PPPNQPPP/R3K2R w KQ - 1 10
e4e5,r1bq1rk1/pp3ppp/4pn2/3p4/3bPB2/3B4/PPPNQPPP/R3K2R w KQ - 0 11
c2c3,r1bq1rk1/pp1n1ppp/4p3/3pP3/3b1B2/3B4/PPPNQPPP/R3K2R w KQ - 1 12
e1g1,r1bq1rk1/pp1n1ppp/1b2p3/3pP3/5B2/2PB4/PP1NQPPP/R3K2R w KQ - 1 13
d3c2,r1bq1rk1/pp3ppp/1b2p3/2npP3/5B2/2PB4/PP1NQPPP/R4RK1 w - - 3 14
d2f3,r1bq1rk1/1p3ppp/1b2p3/p1npP3/5B2/2P5/PPBNQPPP/R4RK1 w - - 0 15
f3d4,r1bq1rk1/1p3pp1/1b2p2p/p1npP3/5B2/2P2N2/PPB1QPPP/R4RK1 w - - 0 16
e2g4,r1bq1rk1/1p3pp1/1b2p2p/2npP3/p2N1B2/2P5/PPB1QPPP/R4RK1 w - - 0 17
a1e1,r1bq1r1k/1p3pp1/1b2p2p/2npP3/p2N1BQ1/2P5/PPB2PPP/R4RK1 w - - 2 18
e5f6,r1bq1r1k/1p4p1/1b2p2p/2npPp2/p2N1BQ1/2P5/PPB2PPP/4RRK1 w - f6 0 19
f4e5,r1b2r1k/1p4p1/1b2pq1p/2np4/p2N1BQ1/2P5/PPB2PPP/4RRK1 w - - 0 20
g4g5,r1b2r1k/1p4p1/1b2p2p/2npB1q1/p2N2Q1/2P5/PPB2PPP/4RRK1 w - - 2 21
e1e3,r1b2r1k/1p4p1/1b2p3/2npB1p1/p2N4/2P5/PPB2PPP/4RRK1 w - - 0 22
e3h3,r4r1k/1p1b2p1/1b2p3/2npB1p1/p2N4/2P1R3/PPB2PPP/5RK1 w - - 2 23
c2h7,r4rk1/1p1b2p1/1b2p3/2npB1p1/p2N4/2P4R/PPB2PPP/5RK1 w - - 4 24
e5d6,r4r2/1p1b1kpB/1b2p3/2npB1p1/p2N4/2P4R/PP3PPP/5RK1 w - - 6 25
h3f3,r6r/1p1b1kpB/1b1Bp3/2np2p1/p2N4/2P4R/PP3PPP/5RK1 w - - 8 26
h7g6,r3k2r/1p1b2pB/1b1Bp3/2np2p1/p2N4/2P2R2/PP3PPP/5RK1 w - - 10 27
