d4b3,r1b1kb1r/1pqn1p1p/p2p1np1/4p1B1/3NPP2/2N5/PPP1Q1PP/2KR1B1R w kq - 0 10
h2h4,r1b1kb1r/2qn1p1p/p2p1np1/1p2p1B1/4PP2/1NN5/PPP1Q1PP/2KR1B1R w kq - 0 11
g5f6,r1b1kb1r/2qn1p2/p2p1npp/1p2p1B1/4PP1P/1NN5/PPP1Q1P1/2KR1B1R w kq - 0 12
f4e5,r1b1kb1r/2q2p2/p2p1npp/1p2p3/4PP1P/1NN5/PPP1Q1P1/2KR1B1R w kq - 0 13
h4h5,r1b1kb1r/2q2p2/p4npp/1p2p3/4P2P/1NN5/PPP1Q1P1/2KR1B1R w kq - 0 14
e2f2,r1b1kb1r/2q2p2/p4n1p/1p2p1pP/4P3/1NN5/PPP1Q1P1/2KR1B1R w kq - 0 15
c3d5,r1b1k2r/2q1bp2/p4n1p/1p2p1pP/4P3/1NN5/PPP2QP1/2KR1B1R w kq - 2 16
e4d5,r1b1k2r/2q1bp2/p6p/1p1np1pP/4P3/1N6/PPP2QP1/2KR1B1R w kq - 0 17
c1b1,r1b2rk1/2q1bp2/p6p/1p1Pp1pP/8/1N6/PPP2QP1/2KR1B1R w - - 1 18
b3a5,r1b2rk1/4bp2/p2q3p/1p1Pp1pP/8/1N6/PPP2QP1/1K1R1B1R w - - 3 19
a5c6,r1b2rk1/4b3/p2q3p/Np1PpppP/8/8/PPP2QP1/1K1R1B1R w - - 0 20
c2c4,r1b2rk1/8/p1Nq1b1p/1p1PpppP/8/8/PPP2QP1/1K1R1B1R w - - 2 21
f1c4,r1b2rk1/8/p1Nq1b1p/3PpppP/2p5/8/PP3QP1/1K1R1B1R w - - 0 22
h1e1,r1b2rk1/8/p1Nq1b1p/3P1ppP/2B1p3/8/PP3QP1/1K1R3R w - - 0 23
e1e4,r1b2rk1/8/p1Nq1b1p/3P2pP/2B1pp2/8/PP3QP1/1K1RR3 w - - 0 24
f2c2,r4rk1/8/p1Nq1b1p/3P1bpP/2B1Rp2/8/PP3QP1/1K1R4 w - - 1 25
c4d3,4rrk1/8/p1Nq1b1p/3P1bpP/2B1Rp2/8/PPQ3P1/1K1R4 w - - 3 26
d3e4,4rrk1/8/p1Nq1b1p/3P2pP/4bp2/3B4/PPQ3P1/1K1R4 w - - 0 27
c6a5,4rrk1/8/2Nq1b1p/p2P2pP/4Bp2/8/PPQ3P1/1K1R4 w - - 0 28
e4h7,4rrk1/8/5b1p/N2P2pP/1q2Bp2/8/PPQ3P1/1K1R4 w - - 1 29
g7g6,rnbqkb1r/pp3ppp/3p4/2pPp2n/4P3/2P1BP2/PPN3PP/R2QKBNR b KQkq - 5 10
f7f5,rnbqkb1r/pp3p1p/3p2p1/2pPp2n/4P3/2P1BP2/PPNQ2PP/R3KBNR b KQkq - 1 11
e8f7,rnbqkb1r/pp5p/3p2p1/1BpPpp1n/4P3/2P1BP2/PPNQ2PP/R3K1NR b KQkq - 1 12
f5f4,rnbq1b1r/pp3k1p/3p2p1/2pPpp1n/4P3/2PBBP2/PPNQ2PP/R3K1NR b KQ - 3 13
f8e7,rnbq1b1r/pp3k1p/3p2p1/2pPp2n/4Pp2/2PB1P2/PPNQ1BPP/R3K1NR b KQ - 1 14
e7h4,rnbq3r/pp2bk1p/3p2p1/2pPp2n/4Pp2/2PB1P2/PPNQNBPP/R3K2R b KQ - 3 15
h4g5,rnbq3r/pp3k1p/3p2p1/2pPp2n/4Pp1b/2PB1PP1/PPNQNB1P/R3K2R b KQ - 0 16
h5g7,rnbq3r/pp3k1p/3p2p1/2pPp1bn/4PpP1/2PB1P2/PPNQNB1P/R3K2R b KQ - 0 17
g5e7,rnbq3r/pp3knp/3p2p1/2pPp1b1/4PpPP/2PB1P2/PPNQNB2/R3K2R b KQ - 0 18
