f8g7,rn2kb1r/1pq2p1p/p1p2pp1/5b2/2PP4/1Q3N2/PP2BPPP/R1B1K2R b KQkq - 3 10
e8g8,rn2k2r/1pq2pbp/p1p2pp1/5b2/2PP4/1Q3N2/PP2BPPP/R1B2RK1 b kq - 5 11
b8d7,rn3rk1/1pq2pbp/p1p2pp1/5b2/2PP4/1Q2BN2/PP2BPPP/R4RK1 b - - 7 12
f8e8,r4rk1/1pqn1pbp/p1p2pp1/5b2/2PP4/1Q2BN1P/PP2BPP1/R4RK1 b - - 0 13
b7b5,r3r1k1/1pqn1pbp/p1p2pp1/5b2/2PP4/1Q2BN1P/PP2BPP1/R3R1K1 b - - 2 14
f5e4,r3r1k1/2qn1pbp/p1p2pp1/1p1P1b2/2P5/1Q2BN1P/PP2BPP1/R3R1K1 b - - 0 15
e4d5,r3r1k1/2qn1pbp/p1p2pp1/1P1P4/4b3/1Q2BN1P/PP2BPP1/R3R1K1 b - - 0 16
c7b7,r3r1k1/2qn1pbp/pPp2pp1/3b4/8/1Q2BN1P/PP2BPP1/R3R1K1 b - - 0 17
d5c4,r3r1k1/1q1n1pbp/pPp2pp1/3b4/2B5/1Q2BN1P/PP3PP1/R3R1K1 b - - 2 18
d7b6,r3r1k1/1q1n1pbp/pPp2pp1/8/2Q5/4BN1P/PP3PP1/R3R1K1 b - - 0 19
e8b8,r3r1k1/1q3pbp/pnp2pp1/8/1Q6/4BN1P/PP3PP1/R3R1K1 b - - 1 20
g7f8,rr4k1/1q3pbp/pBp2pp1/8/1Q6/5N1P/PP3PP1/R3R1K1 b - - 0 21
b7b6,rr3bk1/1q3p1p/pBp2pp1/8/5Q2/5N1P/PP3PP1/R3R1K1 b - - 2 22
c6c5,rr3bk1/5p1p/pqp2pp1/8/5Q2/1P3N1P/P4PP1/R3R1K1 b - - 0 23
b6d6,rr3bk1/5p1p/pq3pp1/2p5/5Q2/1P5P/P2N1PP1/R3R1K1 b - - 1 24
f8d6,rr3bk1/5p1p/p2Q1pp1/2p5/8/1P5P/P2N1PP1/R3R1K1 b - - 0 25
d6e5,rr4k1/5p1p/p2b1pp1/2p5/4N3/1P5P/P4PP1/R3R1K1 b - - 1 26
a6a5,rr4k1/5p1p/p4pp1/2p1b3/4N3/1P5P/P4PP1/2R1R1K1 b - - 3 27
g8g7,rr4k1/5p1p/5pp1/p1N1b3/8/1P5P/P4PP1/2R1R1K1 b - - 0 28
b8b5,rr6/3N1pkp/5pp1/p3b3/8/1P5P/P4PP1/2R1R1K1 b - - 2 29
g1f3,rnbq1rk1/pp1n1pbp/3p2p1/1BpP4/P3PP2/2N5/1P4PP/R1BQK1NR w KQ - 1 10
e1g1,r1bq1rk1/pp1n1pbp/n2p2p1/1BpP4/P3PP2/2N2N2/1P4PP/R1BQK2R w KQ - 3 11
f1e1,r1bq1rk1/pp1n1pbp/3p2p1/1BpP4/Pn2PP2/2N2N2/1P4PP/R1BQ1RK1 w - - 5 12
c1e3,r1bqr1k1/pp1n1pbp/3p2p1/1BpP4/Pn2PP2/2N2N2/1P4PP/R1BQR1K1 w - - 7 13
b5c4,r1bqr1k1/1p1n1pbp/p2p2p1/1BpP4/Pn2PP2/2N1BN2/1P4PP/R2QR1K1 w - - 0 14
c4f1,r1bqr1k1/1p3pbp/pn1p2p1/2pP4/PnB1PP2/2N1BN2/1P4PP/R2QR1K1 w - - 2 15
a4a5,r2qr1k1/1p3pbp/pn1p2p1/2pP4/Pn2PPb1/2N1BN2/1P4PP/R2QRBK1 w - - 4 16
e3f2,r2qr1k1/1p1n1pbp/p2p2p1/P1pP4/1n2PPb1/2N1BN2/1P4PP/R2QRBK1 w - - 1 17
g2f3,r2qr1k1/1p1n1pbp/p2p2p1/P1pP4/1n2PP2/2N2b2/1P3BPP/R2QRBK1 w - - 0 18
f2g3,r2qr1k1/1p1n1p1p/p2p2pb/P1pP4/1n2PP2/2N2P2/1P3B1P/R2QRBK1 w - - 1 19
d1d2,r2qr1k1/1p3p1p/p2p1npb/P1pP4/1n2PP2/2N2PB1/1P5P/R2QRBK1 w - - 3 20
f1h3,r2qr1k1/1p3p1p/p2p2pb/P1pP3n/1n2PP2/2N2PB1/1P1Q3P/R3RBK1 w - - 5 21
a5b6,r2qr1k1/5p1p/p2p2pb/PppP3n/1n2PP2/2N2PBB/1P1Q3P/R3R1K1 w - b6 0 22
h3g4,r3r1k1/5p1p/pq1p2pb/2pP3n/1n2PP2/2N2PBB/1P1Q3P/R3R1K1 w - - 0 23
g1h1,r3r1k1/5p1p/pq1p1npb/2pP4/1n2PPB1/2N2PB1/1P1Q3P/R3R1K1 w - - 2 24
g3f2,r3r1k1/5p1p/pq1p1npb/3P4/1np1PPB1/2N2PB1/1P1Q3P/R3R2K w - - 0 25
f2d4,r3r1k1/1q3p1p/p2p1npb/3P4/1np1PPB1/2N2P2/1P1Q1B1P/R3R2K w - - 2 26
c3e2,r3r1k1/1q1n1p1p/p2p2pb/3P4/1npBPPB1/2N2P2/1P1Q3P/R3R2K w - - 4 27
