c5e3,rnbq1rk1/pp3pp1/5n1p/2bp4/8/2NBBN2/PPP2PPP/R2QR1K1 b - - 1 10
b8c6,rnbq1rk1/pp3pp1/5n1p/3p4/8/2NBRN2/PPP2PPP/R2Q2K1 b - - 0 11
c8g4,r1bq1rk1/pp3pp1/2n2n1p/3p4/8/3BRN2/PPP1NPPP/R2Q2K1 b - - 2 12
g4f3,r2q1rk1/pp3pp1/2n2n1p/3p4/6b1/3BRN1P/PPP1NPP1/R2Q2K1 b - - 0 13
f8e8,r2q1rk1/pp3pp1/2n2n1p/3p4/8/3B1R1P/PPP1NPP1/R2Q2K1 b - - 0 14
f6e4,r2qr1k1/pp3pp1/2n2n1p/3p4/8/3B1R1P/PPPQNPP1/R5K1 b - - 2 15
e4g5,r2qr1k1/pp3pp1/2n4p/3p4/4nQ2/3B1R1P/PPP1NPP1/R5K1 b - - 4 16
c6e5,r2qr1k1/pp3pp1/2n4p/3p2n1/5Q2/3B2RP/PPP1NPP1/R5K1 b - - 6 17
d8b6,r2qr1k1/pp3pp1/7p/3pn1n1/3N1Q2/3B2RP/PPP2PP1/R5K1 b - - 8 18
e5g6,r3r1k1/pp3pp1/1q5p/3pnNn1/5Q2/3B2RP/PPP2PP1/R5K1 b - - 10 19
b6d4,r3r1k1/pp3pp1/1q4np/3p1Nn1/3Q4/3B2RP/PPP2PP1/R5K1 b - - 12 20
g6f4,r3r1k1/pp3pp1/6np/3p2n1/3N4/3B2RP/PPP2PP1/R5K1 b - - 0 21
a8c8,r3r1k1/pp3pp1/7p/3p2n1/3N1n2/3B2RP/PPP2PP1/R4K2 b - - 2 22
g5e4,2r1r1k1/pp3pp1/7p/3p2n1/3N1n2/3B2RP/PPP2PP1/3R1K2 b - - 4 23
f4d3,2r1r1k1/pp3pp1/7p/3p4/3Nnn2/3B1R1P/PPP2PP1/3R1K2 b - - 6 24
e4d6,2r1r1k1/pp3pp1/7p/3p4/3Nn3/3R3P/PPP2PP1/3R1K2 b - - 0 25
a7a6,2r1r1k1/pp3pp1/3n3p/3p4/3N4/1P1R3P/P1P2PP1/3R1K2 b - - 0 26
e8e7,2r1r1k1/1p3pp1/p2n3p/3p4/3N4/1P1R1P1P/P1P3P1/3R1K2 b - - 0 27
e7c7,2r3k1/1p2rpp1/p2n3p/3p4/3N4/1PPR1P1P/P5P1/3R1K2 b - - 0 28
d6b5,2r3k1/1pr2pp1/p2n3p/3p4/8/1PPR1P1P/P3N1P1/3R1K2 b - - 2 29
f3d2,rnbqr1k1/pp3pbp/3p1np1/2pP2B1/4P3/2N2N2/PP2BPPP/R2QK2R w KQ - 1 10
g5e3,rnbqr1k1/pp3pb1/3p1npp/2pP2B1/4P3/2N5/PP1NBPPP/R2QK2R w KQ - 0 11
a2a4,rnbqr1k1/1p3pb1/p2p1npp/2pP4/4P3/2N1B3/PP1NBPPP/R2QK2R w KQ - 0 12
e1g1,r1bqr1k1/1p1n1pb1/p2p1npp/2pP4/P3P3/2N1B3/1P1NBPPP/R2QK2R w KQ - 1 13
h2h3,r1b1r1k1/1pqn1pb1/p2p1npp/2pP4/P3P3/2N1B3/1P1NBPPP/R2Q1RK1 w - - 3 14
d1c2,r1b1r1k1/2qn1pb1/pp1p1npp/2pP4/P3P3/2N1B2P/1P1NBPP1/R2Q1RK1 w - - 0 15
f1e1,r3r1k1/1bqn1pb1/pp1p1npp/2pP4/P3P3/2N1B2P/1PQNBPP1/R4RK1 w - - 2 16
c8g4,rnbq1rk1/1p2npbp/p2p2p1/2pP4/P3P3/2NB1N2/1P3PPP/R1BQ1RK1 b - - 0 10
g4f3,rn1q1rk1/1p2npbp/p2p2p1/2pP4/P3P1b1/2NB1N1P/1P3PP1/R1BQ1RK1 b - - 0 11
b8d7,rn1q1rk1/1p2npbp/p2p2p1/2pP4/P3P3/2NB1Q1P/1P3PP1/R1B2RK1 b - - 0 12
d7e5,r2q1rk1/1p1nnpbp/p2p2p1/2pP4/P3P3/2NB1Q1P/1P3PP1/R1B1R1K1 b - - 2 13
f7f5,r2q1rk1/1p2npbp/p2p2p1/2pPn3/P3P3/2NB3P/1P2QPP1/R1B1R1K1 b - - 4 14
e7f5,r2q1rk1/1p2n1bp/p2p2p1/2pPnP2/P7/2NB3P/1P2QPP1/R1B1R1K1 b - - 0 15
f5d4,r2q1rk1/1p4bp/p2p2p1/2pPnn2/P4B2/2NB3P/1P2QPP1/R3R1K1 b - - 1 16
e5d3,r2q1rk1/1p4bp/p2p2p1/2pPn3/P2n1B2/2NB3P/1P1Q1PP1/R3R1K1 b - - 3 17
d3e1,r2q1rk1/1p4bp/p2p2p1/2pP2B1/P2n4/2Nn3P/1P1Q1PP1/R3R1K1 b - - 1 18
e1f3,r2B1rk1/1p4bp/p2p2p1/2pP4/P2n4/2N4P/1P1Q1PP1/R3n1K1 b - - 0 19
d4f3,r2B1rk1/1p4bp/p2p2p1/2pP4/P2n4/2N2P1P/1P1Q1P2/R5K1 b - - 0 20
f1d1,rn1qkb1r/1bp2ppp/p3p3/1p1n4/8/3N2P1/PPQ1PPBP/RNB2RK1 w kq - 1 10
a2a4,rnq1kb1r/1bp2ppp/p3p3/1p1n4/8/3N2P1/PPQ1PPBP/RNBR2K1 w kq - 3 11
b1c3,r1q1kb1r/1bpn1ppp/p3p3/1p1n4/P7/3N2P1/1PQ1PPBP/RNBR2K1 w kq - 1 12
c2c3,r1q1kb1r/1bpn1ppp/p3p3/1p6/P7/2nN2P1/1PQ1PPBP/R1BR2K1 w kq - 0 13
d3b4,r1q1kb1r/1bpn1ppp/p3p3/8/Pp6/2QN2P1/1P2PPBP/R1BR2K1 w kq - 0 14
g1g2,r1q1kb1r/2pn1ppp/p3p3/8/PN6/2Q3P1/1P2PPbP/R1BR2K1 w kq - 0 15
c3c6,r3kb1r/1qpn1ppp/p3p3/8/PN6/2Q3P1/1P2PPKP/R1BR4 w kq - 1 16
b4c6,r3kb1r/2pn1ppp/p1q1p3/8/PN6/6P1/1P2PPKP/R1BR4 w kq - 0 17
c1f4,r3k2r/2pn1ppp/p1Nbp3/8/P7/6P1/1P2PPKP/R1BR4 w kq - 1 18
f4d2,r3k2r/2pn1ppp/p1Nb4/4p3/P4B2/6P1/1P2PPKP/R2R4 w kq - 0 19
a1c1,rn2k2r/2p2ppp/p1Nb4/4p3/P7/6P1/1P1BPPKP/R2R4 w kq - 2 20
c1c6,r3k2r/2p2ppp/p1nb4/4p3/P7/6P1/1P1BPPKP/2RR4 w kq - 0 21
c6c2,r6r/2pk1ppp/p1Rb4/4p3/P7/6P1/1P1BPPKP/3R4 w - - 1 22
d2c3,rr6/2pk1ppp/p2b4/4p3/P7/6P1/1PRBPPKP/3R4 w - - 3 23
c2d2,rr6/2p2ppp/p2bk3/4p3/P7/2B3P1/1PR1PPKP/3R4 w - - 5 24
a4a5,r7/2p2ppp/p2bk3/4p3/P7/1rB3P1/1P1RPPKP/3R4 w - - 7 25
d2d5,1r6/2p2ppp/p2bk3/P3p3/8/1rB3P1/1P1RPPKP/3R4 w - - 1 26
e2e4,8/2p2ppp/p2bk3/Pr1Rp3/8/1rB3P1/1P2PPKP/3R4 w - - 3 27
h2h3,8/2p2pp1/p2bk3/Pr1Rp2p/4P3/1rB3P1/1P3PKP/3R4 w - - 0 28
d1d3,8/2p2p2/p2bk1p1/Pr1Rp2p/4P3/1rB3PP/1P3PK1/3R4 w - - 0 29
f8e8,rnbq1rk1/1p3pbp/p2p1np1/2pP4/P3P3/2NB1N1P/1P3PP1/R1BQK2R b KQ - 0 10
b8d7,rnbqr1k1/1p3pbp/p2p1np1/2pP4/P3P3/2NB1N1P/1P3PP1/R1BQ1RK1 b - - 2 11
d8c7,r1bqr1k1/1p1n1pbp/p2p1np1/2pP4/P3PB2/2NB1N1P/1P3PP1/R2Q1RK1 b - - 4 12
b7b6,r1b1r1k1/1pqn1pbp/p2p1np1/2pP4/P3PB2/2NB1N1P/1P3PP1/R2QR1K1 b - - 6 13
c8b7,r1b1r1k1/2qn1pbp/pp1p1np1/2pP4/P3PB2/2NB1N1P/1P1Q1PP1/R3R1K1 b - - 1 14
f6h5,r3r1k1/1bqn1pbp/pp1p1np1/2pP4/P3P3/2NB1N1P/1P1Q1PPB/R3R1K1 b - - 3 15
d7e5,r3r1k1/1bqn1pbp/pp1p2p1/2pP3n/P3P3/2NB1N1P/1P1Q1PPB/2R1R1K1 b - - 5 16
e5f3,r3r1k1/1bq2pbp/pp1p2p1/2pPn2n/P3P3/2N2N1P/1P1QBPPB/2R1R1K1 b - - 7 17
h5f6,r3r1k1/1bq2pbp/pp1p2p1/2pP3n/P3P3/2N2B1P/1P1Q1PPB/2R1R1K1 b - - 0 18
d6e5,r3r1k1/1bq2pbp/pp1p1np1/2pPP3/P7/2N2B1P/1P1Q1PPB/2R1R1K1 b - - 0 19
c7d7,r3r1k1/1bq2pbp/pp1P1np1/2p1p3/P7/2N2B1P/1P1Q1PPB/2R1R1K1 b - - 0 20
d7b7,r3r1k1/1B1q1pbp/pp1P1np1/2p1p3/P7/2N4P/1P1Q1PPB/2R1R1K1 b - - 0 21
a8d8,r3r1k1/1q3pbp/pp1P1np1/2p1B3/P7/2N4P/1P1Q1PP1/2R1R1K1 b - - 0 22
e8e6,3rr1k1/1q3pbp/pp1P1np1/2p1B1Q1/P7/2N4P/1P3PP1/2R1R1K1 b - - 2 23
h7h6,3r2k1/1q3pbp/pp1Prnp1/2p3Q1/P7/2N4P/1P3PPB/2R1R1K1 b - - 4 24
f6e4,3r2k1/1q3pb1/pp1Prnpp/2p5/P7/2N4P/1P1Q1PPB/2R1R1K1 b - - 1 25
e6e4,3r2k1/1q3pb1/pp1Pr1pp/2p5/P3N3/7P/1P1Q1PPB/2R1R1K1 b - - 0 26
b7e4,3r2k1/1q3pb1/pp1P2pp/2p5/P3R3/7P/1P1Q1PPB/2R3K1 b - - 0 27
g7d4,3r2k1/3P1pb1/pp4pp/2p5/P3q3/7P/1P1Q1PPB/2R3K1 b - - 0 28
e4c6,3r2k1/3P1p2/pp4pp/2p5/P2bq3/7P/1P1Q1PPB/4R1K1 b - - 2 29
b2c3,r1bqk2r/pp3ppp/2n2n2/1B1pN3/3P4/2b5/PP3PPP/R1BQK2R w KQkq - 0 10
b5c6,r1b1k2r/pp3ppp/2n2n2/qB1pN3/3P4/2P5/P4PPP/R1BQK2R w KQkq - 1 11
d1b3,r1b1k2r/p4ppp/2p2n2/q2pN3/3P4/2P5/P4PPP/R1BQK2R w KQkq - 0 12
a7a5,r1bq1rk1/pp3pbp/2pp1np1/2nPp3/2P1P3/2N1B3/PP1NBPPP/R2Q1RK1 b - - 4 10
f6h5,r1bq1rk1/1p3pbp/2pp1np1/p1nPp3/2P1P3/1PN1B3/P2NBPPP/R2Q1RK1 b - - 0 11
g6h5,r1bq1rk1/1p3pbp/2pp2p1/p1nPp2B/2P1P3/1PN1B3/P2N1PPP/R2Q1RK1 b - - 0 12
f7f5,r1bq1rk1/1p3pbp/2pp4/p1nPp2Q/2P1P3/1PN1B3/P2N1PPP/R4RK1 b - - 0 13
d6c5,r1bq1rk1/1p4bp/2pp4/p1BPpp1Q/2P1P3/1PN5/P2N1PPP/R4RK1 b - - 0 14
c8f5,r1bq1rk1/1p4bp/2p5/p1pPpP1Q/2P5/1PN5/P2N1PPP/R4RK1 b - - 0 15
d8e7,r2q1rk1/1p4bp/2p5/p1pPpb1Q/2P1N3/1PN5/P4PPP/R4RK1 b - - 1 16
f5g6,r4rk1/1p2q1bp/2p5/p1pPpb1Q/2P1N3/1PN5/P4PPP/3R1RK1 b - - 3 17
a8d8,r4rk1/1p2q1bp/2p3b1/p1pPp3/2P1N3/1PN5/P3QPPP/3R1RK1 b - - 5 18
e7f7,3r1rk1/1p2q1bp/2pP2b1/p1p1p3/2P1N3/1PN5/P3QPPP/3R1RK1 b - - 0 19
b7b6,3r1rk1/1p3qbp/2pP2b1/p1N1p3/2P5/1PN5/P3QPPP/3R1RK1 b - - 0 20
g8h8,3r1rk1/5qbp/1ppP2b1/p3p3/2P1N3/1PN5/P3QPPP/3R1RK1 b - - 1 21
b6c5,3r1r1k/5qbp/1ppP2b1/p1P1p3/4N3/1PN5/P3QPPP/3R1RK1 b - - 0 22
f8g8,3r1r1k/5qbp/2pP2b1/p1N1p3/8/1PN5/P3QPPP/3R1RK1 b - - 0 23
g7h6,3r2rk/5qbp/2pP2b1/p1N1p3/4N3/1P6/P3QPPP/3R1RK1 b - - 2 24
g6f5,3r2rk/5q1p/2pP2bb/p1N1p3/4N3/1P3P2/P3Q1PP/3R1RK1 b - - 0 25
f5d7,3r2rk/3P1q1p/2p4b/p1N1pb2/4N3/1P3P2/P3Q1PP/3R1RK1 b - - 0 26
f7f6,3r2rk/3b1q1p/2p2N1b/p1N1p3/8/1P3P2/P3Q1PP/3R1RK1 b - - 1 27
f6g7,3r2rk/3N3p/2p2q1b/p3p3/8/1P3P2/P3Q1PP/3R1RK1 b - - 0 28
d8d1,3r2rk/6qp/2p4b/p3N3/8/1P3P2/P3Q1PP/3R1RK1 b - - 0 29
d1c2,r1bq1rk1/pppp3p/5np1/4bp2/2P5/2N1P3/PP1BBPPP/R2QK2R w KQ - 4 10
e1c1,r1bq1rk1/pp1p3p/2p2np1/4bp2/2P5/2N1P3/PPQBBPPP/R3K2R w KQ - 0 11
c4d5,r1bq1rk1/pp5p/2p2np1/3pbp2/2P5/2N1P3/PPQBBPPP/2KR3R w - - 0 12
c1b1,r1bq1rk1/pp5p/5np1/3pbp2/8/2N1P3/PPQBBPPP/2KR3R w - - 0 13
c2b3,r2q1rk1/pp5p/4bnp1/3pbp2/8/2N1P3/PPQBBPPP/1K1R3R w - - 2 14
c3b5,r4rk1/pp2q2p/4bnp1/3pbp2/8/1QN1P3/PP1BBPPP/1K1R3R w - - 4 15
b5d4,r4rk1/1p2q2p/4bnp1/pN1pbp2/8/1Q2P3/PP1BBPPP/1K1R3R w - - 0 16
h1e1,r4rk1/1p2qb1p/5np1/p2pbp2/3N4/1Q2P3/PP1BBPPP/1K1R3R w - - 2 17
f2f3,r4rk1/1p2qb1p/6p1/p2pbp2/3Nn3/1Q2P3/PP1BBPPP/1K1RR3 w - - 4 18
d1d2,r4rk1/1p2qb1p/6p1/p2pbp2/3N4/1Q2PP2/PP1nB1PP/1K1RR3 w - - 0 19
f3f4,r4rk1/1p2qb1p/6p1/p2p1p2/3N4/1Q2PP2/PP1RB1Pb/1K2R3 w - - 0 20
e1h1,r4rk1/1p2qb1p/6p1/p2p1p2/3N1P2/1Q2P1b1/PP1RB1P1/1K2R3 w - - 1 21
h1h3,r4rk1/1p2qb1p/6p1/p2p1p2/3N1P2/1Q2P3/PP1RBbP1/1K5R w - - 3 22
d2d3,r3r1k1/1p2qb1p/6p1/p2p1p2/3N1P2/1Q2P2R/PP1RBbP1/1K6 w - - 5 23
b3a3,r3r1k1/1p2qb1p/6p1/3p1p2/p2N1P2/1Q1RP2R/PP2BbP1/1K6 w - - 0 24
d3a3,r3r1k1/1p3b1p/6p1/3p1p2/p2N1P2/q2RP2R/PP2BbP1/1K6 w - - 0 25
b1c2,r5k1/1p2rb1p/6p1/3p1p2/p2N1P2/R3P2R/PP2BbP1/1K6 w - - 1 26
c2d1,r5k1/1p2rb1p/6p1/3p1p2/p2N1P2/R3P2R/PPK1B1P1/4b3 w - - 3 27
a3d3,r5k1/1p2rb1p/6p1/3p1p2/pb1N1P2/R3P2R/PP2B1P1/3K4 w - - 5 28
a2a3,2r3k1/1p2rb1p/6p1/3p1p2/pb1N1P2/3RP2R/PP2B1P1/3K4 w - - 7 29
b8c6,rnbq1rk1/ppp2pp1/5n1p/3p4/3P1N2/P1NB4/1PP2PPP/R2Q1RK1 b - - 0 10
d8d6,r1bq1rk1/ppp2pp1/2n2n1p/1B1p4/3P1N2/P1N5/1PP2PPP/R2Q1RK1 b - - 2 11
d6f4,r1b2rk1/ppp2pp1/2Bq1n1p/3p4/3P1N2/P1N5/1PP2PPP/R2Q1RK1 b - - 0 12
f6d5,r1b2rk1/ppp2pp1/2B2n1p/3N4/3P1q2/P7/1PP2PPP/R2Q1RK1 b - - 0 13
f8d8,r1b2rk1/ppp2pp1/7p/3B4/3P1q2/P7/1PP2PPP/R2Q1RK1 b - - 0 14
f4f3,r1br2k1/ppp2pp1/7p/3B4/3P1q2/P4Q2/1PP2PPP/R4RK1 b - - 2 15
d8d4,r1br2k1/ppp2pp1/7p/8/3P4/P4B2/1PP2PPP/R4RK1 b - - 0 16
d4d1,r1b3k1/ppp2pp1/7p/8/3r4/P4B2/1PP2PPP/3R1RK1 b - - 1 17
c8f5,r1b3k1/ppp2pp1/7p/8/8/P4B2/1PP2PPP/3R2K1 b - - 0 18
f5e6,r5k1/ppp2pp1/7p/5b2/6P1/P4B2/1PP2P1P/3R2K1 b - - 0 19
a8b8,r5k1/pBp2pp1/4b2p/8/6P1/P7/1PP2P1P/3R2K1 b - - 0 20
e6g4,1r4k1/p1p2pp1/4b2p/8/4B1P1/P7/1PP2P1P/3R2K1 b - - 2 21
g4e6,1r4k1/p1p2pp1/7p/3R4/4B1b1/P7/1PP2P1P/6K1 b - - 1 22
b8b2,1r4k1/p1p2pp1/4b2p/2R5/4B3/P7/1PP2P1P/6K1 b - - 3 23
f7f5,6k1/p1R2pp1/4b2p/8/4B3/P7/1rP2P1P/6K1 b - - 0 24
a7a5,6k1/p1R3p1/4b2p/5p2/8/P2B4/1rP2P1P/6K1 b - - 1 25
