e1g1,r1bq1rk1/pp1nppbp/2p3p1/8/B2PP3/2P5/P3NPPP/R1BQK2R w KQ - 4 10
c1e3,r1bq1rk1/pp1n1pbp/2p3p1/4p3/B2PP3/2P5/P3NPPP/R1BQ1RK1 w - - 0 11
e2g3,r1b2rk1/pp1nqpbp/2p3p1/4p3/B2PP3/2P1B3/P3NPPP/R2Q1RK1 w - - 2 12
c3d4,r1b2rk1/pp1nqpbp/2p3p1/8/B2pP3/2P1B1N1/P4PPP/R2Q1RK1 w - - 0 13
f2f3,r1b2rk1/pp1nqpb1/2p3p1/7p/B2PP3/4B1N1/P4PPP/R2Q1RK1 w - - 0 14
g3h1,r1b2rk1/pp1nqpb1/2p3p1/8/B2PP2p/4BPN1/P5PP/R2Q1RK1 w - - 0 15
g2g4,r1b2rk1/pp1nqpb1/2p3p1/8/B2PP3/4BP1p/P5PP/R2Q1RKN w - - 0 16
a4b3,r1br2k1/pp1nqpb1/2p3p1/8/B2PP1P1/4BP1p/P6P/R2Q1RKN w - - 1 17
d1d2,r1br2k1/pp2qpb1/2p3p1/2n5/3PP1P1/1B2BP1p/P6P/R2Q1RKN w - - 3 18
b3c2,r2r2k1/pp2qpb1/2p1b1p1/2n5/3PP1P1/1B2BP1p/P2Q3P/R4RKN w - - 5 19
f1d1,r2r2k1/pp2qpb1/2p3p1/2n5/2bPP1P1/4BP1p/P1BQ3P/R4RKN w - - 7 20
d2c3,r2r2k1/pp2qpb1/2p1n1p1/8/2bPP1P1/4BP1p/P1BQ3P/R2R2KN w - - 9 21
h1f2,r2r2k1/p3qpb1/2p1n1p1/1p6/2bPP1P1/2Q1BP1p/P1B4P/R2R2KN w - - 0 22
b8c6,rnbr2k1/ppq1bppp/4pn2/2P5/2N5/6P1/PP1NPPBP/R1BQ1RK1 b - - 2 10
e7c5,r1br2k1/ppq1bppp/2n1pn2/2P5/2N5/1P4P1/P2NPPBP/R1BQ1RK1 b - - 0 11
c7e7,r1br2k1/ppq2ppp/2n1pn2/2b5/2N5/1P4P1/PB1NPPBP/R2Q1RK1 b - - 1 12
c8d7,r1br2k1/pp2qppp/2n1pn2/2b5/2N5/1P4P1/PB1NPPBP/2RQ1RK1 b - - 3 13
a8c8,r2r2k1/pp1bqppp/2n1pn2/2b5/2N5/1P4P1/PBQNPPBP/2R2RK1 b - - 5 14
b7b5,2rr2k1/pp1bqppp/2n1pn2/2b5/2N5/1P4P1/PB1NPPBP/1QR2RK1 b - - 7 15
c6e5,2rr2k1/p2bqppp/2n1pn2/1pb1N3/8/1P4P1/PB1NPPBP/1QR2RK1 b - - 1 16
d7e8,2rr2k1/p2bqppp/4pn2/1pb1B3/8/1P4P1/P2NPPBP/1QR2RK1 b - - 0 17
g7f6,2rrb1k1/p3qppp/4pB2/1pb5/8/1P4P1/P2NPPBP/1QR2RK1 b - - 0 18
f6f5,2rrb1k1/p3qp1p/4pp2/1pb5/4N3/1P4P1/P3PPBP/1QR2RK1 b - - 1 19
c8c5,2rrb1k1/p3qp1p/4p3/1pN2p2/8/1P4P1/P3PPBP/1QR2RK1 b - - 0 20
b5b4,3rb1k1/p3qp1p/4p3/1pr2p2/8/1P4P1/PQ2PPBP/2R2RK1 b - - 1 21
e8b5,3rb1k1/p3qp1p/4p3/2r2p2/1p5P/1P4P1/PQ2PPB1/2R2RK1 b - - 0 22
e7c5,3r2k1/p3qp1p/4p3/1bR2p2/1p5P/1P4P1/PQ2PPB1/5RK1 b - - 0 23
c5d4,3r2k1/p4p1p/4pQ2/1bq2p2/1p5P/1P4P1/P3PPB1/5RK1 b - - 1 24
g8f8,3r2k1/p4p1p/4p3/1b3pQ1/1p1q3P/1P4P1/P3PPB1/5RK1 b - - 3 25
d8d7,3r1k2/p4p1p/4p3/1b3pQ1/1p1q3P/1P3BP1/P3PP2/5RK1 b - - 5 26
d7d8,5k2/p2r1p1p/4p3/1b3pQ1/1p1q3P/1P3BP1/P3PP2/2R3K1 b - - 7 27
d4d6,3r1k2/p4p1p/4p3/1b3pQ1/1p1q3P/1P2PBP1/P4P2/2R3K1 b - - 0 28
d6e7,3r1k2/p4p1p/3qp3/1b3pQP/1p6/1P2PBP1/P4P2/2R3K1 b - - 0 29
e1g1,r1bq1rk1/pp3ppp/2n1p3/3n4/1b1P4/2N2N2/PP1BBPPP/R2QK2R w KQ - 2 10
b2c3,r1bq1rk1/pp3ppp/2n1p3/8/1b1P4/2n2N2/PP1BBPPP/R2Q1RK1 w - - 0 11
f3g5,r1bq1rk1/pp3ppp/2nbp3/8/3P4/2P2N2/P2BBPPP/R2Q1RK1 w - - 1 12
e2c4,r1bq1rk1/pp3ppp/2nb4/4p1N1/3P4/2P5/P2BBPPP/R2Q1RK1 w - - 0 13
d1f3,r2q1rk1/pp3ppp/2nb4/4pbN1/2BP4/2P5/P2B1PPP/R2Q1RK1 w - - 2 14
f3h3,r2q1rk1/pp3ppp/2nb2b1/4p1N1/2BP4/2P2Q2/P2B1PPP/R4RK1 w - - 4 15
f2f4,r2q1rk1/pp3ppp/2nb2b1/6N1/2Bp4/2P4Q/P2B1PPP/R4RK1 w - - 0 16
f4f5,r2q1rk1/pp3ppp/2nb2b1/6N1/2B2P2/2p4Q/P2B2PP/R4RK1 w - - 0 17
g1h1,r2q1rk1/pp3ppp/2n3b1/5PN1/2B5/2p4Q/P2B2Pb/R4RK1 w - - 0 18
h3h2,r1q2rk1/pp3ppp/2n3b1/5PN1/2B5/2p4Q/P2B2Pb/R4R1K w - - 2 19
f1f5,r1q2rk1/pp3ppp/2n5/5bN1/2B5/2p5/P2B2PQ/R4R1K w - - 0 20
a1f1,r4rk1/pp3ppp/2n5/5qN1/2B5/2p5/P2B2PQ/R6K w - - 0 21
f1f5,r4rk1/pp3ppp/2n5/5qN1/2B5/8/P2p2PQ/5R1K w - - 0 22
f5f1,r4rk1/pp3ppp/2n5/5RN1/2B5/8/P5PQ/3q3K w - - 0 23
c4b3,r4rk1/pp3ppp/2n5/6N1/2B5/8/P1q3PQ/5R1K w - - 2 24
g5f7,r4rk1/pp3ppp/2n3q1/6N1/8/1B6/P5PQ/5R1K w - - 4 25
f1d1,r4rk1/pp3Npp/2n5/8/8/1B1q4/P5PQ/5R1K w - - 1 26
b3d1,r4rk1/pp3Npp/2n5/8/8/1B6/P5PQ/3q3K w - - 0 27
h2h7,r4r2/pp3kpp/2n5/8/8/8/P5PQ/3B3K w - - 0 28
d1h5,r6r/pp3kpQ/2n5/8/8/8/P5P1/3B3K w - - 1 29
b4a5,r1bq1rk1/1pp1npbp/3p1np1/p2Pp3/1PP1P3/2N2N2/P3BPPP/R1BQ1RK1 w - - 0 10
a2a4,2bq1rk1/1pp1npbp/3p1np1/r2Pp3/2P1P3/2N2N2/P3BPPP/R1BQ1RK1 w - - 0 11
f3d2,2bq1rk1/1p2npbp/3p1np1/r1pPp3/P1P1P3/2N2N2/4BPPP/R1BQ1RK1 w - c6 0 12
d2b3,2bq1rk1/1p2npbp/r2p1np1/2pPp3/P1P1P3/2N5/3NBPPP/R1BQ1RK1 w - - 2 13
a4a5,2bq1rk1/1p1nnpbp/r2p2p1/2pPp3/P1P1P3/1NN5/4BPPP/R1BQ1RK1 w - - 4 14
g1h1,2bq1rk1/1p1nn1bp/r2p2p1/P1pPpp2/2P1P3/1NN5/4BPPP/R1BQ1RK1 w - - 0 15
f2f3,2bq1rk1/1p2n1bp/r2p1np1/P1pPpp2/2P1P3/1NN5/4BPPP/R1BQ1R1K w - - 2 16
f1g1,2bq1rk1/1p2n1bp/r2p1np1/P1pPp3/2P1Pp2/1NN2P2/4B1PP/R1BQ1R1K w - - 0 17
g2g3,2bq1rk1/1p2n1bp/r2p1n2/P1pPp1p1/2P1Pp2/1NN2P2/4B1PP/R1BQ2RK w - - 0 18
c3b5,2bq1rk1/1p4bp/r2p1nn1/P1pPp1p1/2P1Pp2/1NN2PP1/4B2P/R1BQ2RK w - - 1 19
c1b2,2bq1rk1/1p4bp/r2p1nn1/PNpPp3/2P1Ppp1/1N3PP1/4B2P/R1BQ2RK w - - 0 20
d1c2,2bq1rk1/1p4b1/r2p1nn1/PNpPp2p/2P1Ppp1/1N3PP1/1B2B2P/R2Q2RK w - - 0 21
a1f1,2bq1r1k/1p4b1/r2p1nn1/PNpPp2p/2P1Ppp1/1N3PP1/1BQ1B2P/R5RK w - - 2 22
