b8c6,rn2kb1r/pp3ppp/1q2pn2/2p5/3pP3/N2P1Q1P/PPPB1PP1/2KR1B1R b kq - 1 10
b6a6,r3kb1r/pp3ppp/1qn1pn2/2p5/3pP3/N2P2QP/PPPB1PP1/2KR1B1R b kq - 3 11
d4c3,r3kb1r/pp3ppp/q1n1pn2/2p5/2PpP3/N2P2QP/PP1B1PP1/2KR1B1R b kq c3 0 12
c6d4,r3kb1r/pp3ppp/q1n1pn2/2p5/4P3/N1BP2QP/PP3PP1/2KR1B1R b kq - 0 13
a8d8,r3kb1r/pp3ppp/q3pn2/2p5/3nP3/N1BP2QP/PP3PP1/1K1R1B1R b kq - 2 14
d8d4,3rkb1r/pp3ppp/q3pn2/2p5/3BP3/N2P2QP/PP3PP1/1K1R1B1R b k - 0 15
d4d8,4kb1r/pp3ppp/q3pn2/2p5/3rP3/3P2QP/PPN2PP1/1K1R1B1R b k - 1 16
a6b6,3rkb1r/pp3ppp/q3pn2/2p5/3PP3/6QP/PPN2PP1/1K1R1B1R b k - 0 17
f6e4,3rkb1r/pp3ppp/1q2pn2/2pP4/4P3/6QP/PPN2PP1/1K1R1B1R b k - 0 18
e6d5,3rkb1r/pp3ppp/1q2p3/2pP4/4n3/4Q2P/PPN2PP1/1K1R1B1R b k - 1 19
f8e7,3rkb1r/pp3ppp/1q6/2pp4/4n3/4QP1P/PPN3P1/1K1R1B1R b k - 0 20
d5d4,3rk2r/pp2bppp/1q6/2pp4/4P3/4Q2P/PPN3P1/1K1R1B1R b k - 0 21
b6b3,3rk2r/pp2bppp/1q6/2p5/3pP3/1Q5P/PPN3P1/1K1R1B1R b k - 1 22
e8g8,3rk2r/pp2bppp/8/2p5/3pP3/1P5P/1PN3P1/1K1R1B1R b k - 0 23
e7d6,3r1rk1/pp2bppp/8/2p5/2BpP3/1P5P/1PN3P1/1K1R3R b - - 2 24
g7g6,3r1rk1/pp3ppp/3b4/2p5/2BpP3/1P5P/1PN3P1/1K1R1R2 b - - 4 25
g8g7,3r1rk1/pp3p1p/3b2p1/2p5/2BpP3/1P5P/1P4P1/1K1RNR2 b - - 1 26
f7f6,3r1r2/pp3pkp/3b2p1/2p5/2BpP3/1P1N3P/1P4P1/1K1R1R2 b - - 3 27
b7b6,3r1r2/pp4kp/3b1pp1/2pB4/3pP3/1P1N3P/1P4P1/1K1R1R2 b - - 1 28
d8e8,3r1r2/p5kp/1p1b1pp1/2pB4/3pP3/1P1N3P/1P4P1/1KR2R2 b - - 1 29
d1d2,1rbq1rk1/1p2ppbp/p1np1np1/2p3B1/2P1P3/2NP2P1/PP2NPBP/R2Q1RK1 w - - 0 10
g5h6,1r1q1rk1/1p1bppbp/p1np1np1/2p3B1/2P1P3/2NP2P1/PP1QNPBP/R4RK1 w - - 2 11
h6g7,1r1q1rk1/3bppbp/p1np1npB/1pp5/2P1P3/2NP2P1/PP1QNPBP/R4RK1 w - - 0 12
h2h3,1r1q1r2/3bppkp/p1np1np1/1pp5/2P1P3/2NP2P1/PP1QNPBP/R4RK1 w - - 0 13
f2f4,1r1q1r2/3bppk1/p1np1np1/1pp4p/2P1P3/2NP2PP/PP1QNPB1/R4RK1 w - - 0 14
g1h2,1rq2r2/3bppk1/p1np1np1/1pp4p/2P1PP2/2NP2PP/PP1QN1B1/R4RK1 w - - 1 15
c3d5,1rq4r/3bppk1/p1np1np1/1pp4p/2P1PP2/2NP2PP/PP1QN1BK/R4R2 w - - 3 16
d3c4,1rq4r/3bppk1/p1np1np1/2pN3p/2p1PP2/3P2PP/PP1QN1BK/R4R2 w - - 0 17
g3g4,1rq4r/3bppk1/p1np1np1/2pN4/2P1PP1p/6PP/PP1QN1BK/R4R2 w - - 0 18
h3g4,1rq4r/4ppk1/p1np1np1/2pN4/2P1PPbp/7P/PP1QN1BK/R4R2 w - - 0 19
h2h1,1rq4r/4ppk1/p1np2p1/2pN4/2P1PPnp/8/PP1QN1BK/R4R2 w - - 0 20
d5e3,1rq4r/5pk1/p1npp1p1/2pN4/2P1PPnp/8/PP1QN1B1/R4R1K w - - 0 21
b2b3,1rq4r/5pk1/p1np2p1/2p1p3/2P1PPnp/4N3/PP1QN1B1/R4R1K w - - 0 22
e2d4,1rq4r/5pk1/p2p2p1/2p1p3/2PnPPnp/1P2N3/P2QN1B1/R4R1K w - - 1 23
e3d5,1rq4r/5pk1/p2p2p1/4p3/2PpPPnp/1P2N3/P2Q2B1/R4R1K w - - 0 24
g2f3,1rq4r/5pk1/p2p2p1/3Np3/2PpPPn1/1P5p/P2Q2B1/R4R1K w - - 0 25
f4e5,1rq5/5pk1/p2p2p1/3Np3/2PpPPnr/1P3B1p/P2Q4/R4R1K w - - 2 26
