a6c7,r2q1rk1/p2pbppp/np2pn2/6B1/3P1P2/2P5/PP1NQ1PP/R3K1NR b KQ - 1 10
b6b5,r2q1rk1/p1npbppp/1p2pn2/6B1/3P1P2/2P2N2/PP1NQ1PP/R3K2R b KQ - 3 11
c7d5,r2q1rk1/p1npbppp/4pn2/1p2N1B1/3P1P2/2P5/PP1NQ1PP/R3K2R b KQ - 1 12
d8b6,r2q1rk1/p2pbppp/4pn2/1p1nN1B1/3P1P2/2P5/PP1NQ1PP/R4RK1 b - - 3 13
d7d6,r4rk1/p2pbppp/1q2pn2/1p1nN1B1/3P1P2/2P5/PP1NQ1PP/R4R1K b - - 5 14
f8e8,r4rk1/p3bppp/1q1ppn2/1p1n2B1/3P1P2/2PN4/PP1NQ1PP/R4R1K b - - 1 15
e6e5,r3r1k1/p3bppp/1q1ppn2/1p1n1PB1/3P4/2PN4/PP1NQ1PP/R4R1K b - - 0 16
d6e5,r3r1k1/p3bppp/1q1p1n2/1p1nPPB1/8/2PN4/PP1NQ1PP/R4R1K b - - 0 17
e7d6,r3r1k1/p3bppp/1q3n2/1p1nQPB1/8/2PN4/PP1N2PP/R4R1K b - - 0 18
b6d4,r3r1k1/p4ppp/1q1b1n2/1p1n1PB1/3Q4/2PN4/PP1N2PP/R4R1K b - - 2 19
f6g4,r3r1k1/p4ppp/3b1n2/1p1n1PB1/3P4/3N4/PP1N2PP/R4R1K b - - 0 20
g4e3,r3r1k1/p4ppp/3b4/1p1n1PB1/3P2n1/3N3P/PP1N2P1/R4R1K b - - 0 21
e3f5,r3r1k1/p4ppp/3b4/1p1n1PB1/3P4/3Nn2P/PP1N2P1/R3R2K b - - 2 22
a8e8,r3R1k1/p4ppp/3b4/1p1n1nB1/3P4/3N3P/PP1N2P1/R6K b - - 0 23
h7h6,4r1k1/p4ppp/3b4/1p1n1nB1/3P4/3N3P/PP1N2P1/2R4K b - - 1 24
h6g5,4r1k1/p4pp1/2Rb3p/1p1n1nB1/3P4/3N3P/PP1N2P1/7K b - - 1 25
e8e3,4r1k1/p4pp1/2Rb4/1p1n1np1/3P2P1/3N3P/PP1N4/7K b - - 0 26
e3h3,6k1/p4pp1/2Rb4/1p1n1Pp1/3P4/3Nr2P/PP1N4/7K b - - 0 27
d6h2,6k1/p4pp1/2Rb4/1p1n1Pp1/3P4/3N3r/PP1N4/6K1 b - - 1 28
h3d3,6k1/p4pp1/2R5/1p1n1Pp1/3P4/3N3r/PP1N2Kb/8 b - - 3 29
a2a3,r2q1rk1/ppp2pp1/2n1pn1p/5b2/1bQ5/3P1NP1/PP1NPPBP/R1B2RK1 w - - 0 10
b2b4,r2q1rk1/ppp1bpp1/2n1pn1p/5b2/2Q5/P2P1NP1/1P1NPPBP/R1B2RK1 w - - 1 11
