a8c8,r2q1rk1/p2nbppp/bpp1pn2/3p4/2PP4/1PNQ1NP1/P3PPBP/R1BR2K1 b - - 2 10
c6c5,2rq1rk1/p2nbppp/bpp1pn2/3p4/2PPP3/1PNQ1NP1/P4PBP/R1BR2K1 b - - 0 11
e6d5,2rq1rk1/p2nbppp/bp2pn2/2pP4/2PP4/1PNQ1NP1/P4PBP/R1BR2K1 b - - 0 12
d5c4,2rq1rk1/p2nbppp/bp3n2/2Pp4/2P5/1PNQ1NP1/P4PBP/R1BR2K1 b - - 0 13
e7c5,2rq1rk1/p2nbppp/bp3n2/2P5/2P5/2NQ1NP1/P4PBP/R1BR2K1 b - - 0 14
f6g4,2rq1rk1/p2n1ppp/bp3n2/1Nb5/2P5/3Q1NP1/P4PBP/R1BR2K1 b - - 1 15
d8f6,2rq1rk1/p2n1ppp/bp6/1Nb5/2P3n1/3Q1NP1/P2R1PBP/R1B3K1 b - - 3 16
g4f2,2r2rk1/p2n1ppp/bp3q2/1Nb5/2P3n1/3Q1NP1/PB1R1PBP/R5K1 b - - 5 17
f2d3,2r2rk1/p2n1ppp/bp3q2/1Nb5/2P5/5NP1/PBQR1nBP/R5K1 b - - 1 18
d3b2,2r2rk1/p2n1ppp/bp3q2/1Nb5/2P5/3n1NP1/PBQR2BP/R6K b - - 3 19
a6b5,2r2rk1/p2n1ppp/bp3q2/1Nb5/2P5/5NP1/PQ1R2BP/R6K b - - 0 20
f8d8,2r2rk1/p2n1ppp/1p3q2/1Pb5/8/5NP1/PQ1R2BP/R6K b - - 0 21
f6b2,2rr2k1/p2n1ppp/1p3q2/1Pb5/8/5NP1/PQ1R2BP/3R3K b - - 2 22
d7f6,2rr2k1/p2n1ppp/1p6/1Pb5/8/5NP1/PR4BP/3R3K b - - 0 23
c8d8,2rR2k1/p4ppp/1p3n2/1Pb5/8/5NP1/PR4BP/7K b - - 0 24
d8e8,3r2k1/p4ppp/1p3n2/1Pb5/8/5NP1/P2R2BP/7K b - - 1 25
g7g5,4r1k1/p4ppp/1p3n2/1Pb5/8/5NP1/P2R3P/5B1K b - - 3 26
e8e2,4r1k1/p4p1p/1p3n2/1Pb3p1/8/5NP1/P3R2P/5B1K b - - 1 27
f6e4,6k1/p4p1p/1p3n2/1Pb3p1/8/5NP1/P3B2P/7K b - - 0 28
f7f6,6k1/p4p1p/1p6/1Pb3p1/4n3/5NP1/P3B1KP/8 b - - 2 29
e1g1,r1bqk2r/pp3pbp/2n1p1p1/1B1n4/3P4/1QN2N2/PP3PPP/R1B1K2R w KQkq - 2 10
b5c6,r1bq1rk1/pp3pbp/2n1p1p1/1B1n4/3P4/1QN2N2/PP3PPP/R1B2RK1 w - - 4 11
f1e1,r1bq1rk1/p4pbp/2p1p1p1/3n4/3P4/1QN2N2/PP3PPP/R1B2RK1 w - - 0 12
c3e4,r1b2rk1/p1q2pbp/2p1p1p1/3n4/3P4/1QN2N2/PP3PPP/R1B1R1K1 w - - 2 13
d4c5,r1b2rk1/p1q2pbp/4p1p1/2pn4/3PN3/1Q3N2/PP3PPP/R1B1R1K1 w - - 0 14
b3c4,1rb2rk1/p1q2pbp/4p1p1/2Pn4/4N3/1Q3N2/PP3PPP/R1B1R1K1 w - - 1 15
c4c2,2b2rk1/p1q2pbp/4p1p1/2Pn4/1rQ1N3/5N2/PP3PPP/R1B1R1K1 w - - 3 16
