g5f6,r2qkb1r/3b1ppp/p1nppn2/1p4B1/3NPP2/2N5/PPPQ2PP/2KR1B1R w kq - 0 10
d4c6,r2qkb1r/3b1p1p/p1nppp2/1p6/3NPP2/2N5/PPPQ2PP/2KR1B1R w kq - 0 11
f1d3,r2qkb1r/5p1p/p1bppp2/1p6/4PP2/2N5/PPPQ2PP/2KR1B1R w kq - 0 12
c1b1,r3kb1r/5p1p/pqbppp2/1p6/4PP2/2NB4/PPPQ2PP/2KR3R w kq - 2 13
c3e2,r3kb1r/5p2/pqbppp2/1p5p/4PP2/2NB4/PPPQ2PP/1K1R3R w kq - 0 14
d2e1,r3k2r/5p2/pqbppp1b/1p5p/4PP2/3B4/PPPQN1PP/1K1R3R w kq - 2 15
h1f1,2kr3r/5p2/pqbppp1b/1p5p/4PP2/3B4/PPP1N1PP/1K1RQ2R w - - 4 16
f4f5,2kr3r/5p2/p1bppp1b/1pq4p/4PP2/3B4/PPP1N1PP/1K1RQR2 w - - 6 17
f5e6,2kr3r/5p2/p1bppp1b/1p2qP1p/4P3/3B4/PPP1N1PP/1K1RQR2 w - - 1 18
g2g3,2kr3r/8/p1bppp1b/1p2q2p/4P3/3B4/PPP1N1PP/1K1RQR2 w - - 0 19
e2f4,2kr4/7r/p1bppp1b/1p2q2p/4P3/3B2P1/PPP1N2P/1K1RQR2 w - - 1 20
a2a3,2kr4/2r5/p1bppp1b/1p2q2p/4PN2/3B2P1/PPP4P/1K1RQR2 w - - 3 21
e1a5,2krb3/2r5/p2ppp1b/1p2q2p/4PN2/P2B2P1/1PP4P/1K1RQR2 w - - 1 22
f1f2,3rb3/1kr5/p2ppp1b/Qp2q2p/4PN2/P2B2P1/1PP4P/1K1R1R2 w - - 3 23
d3f1,2r1b3/1kr5/p2ppp1b/Qp2q2p/4PN2/P2B2P1/1PP2R1P/1K1R4 w - - 5 24
f1d3,2r5/1kr5/p1bppp1b/Qp2q2p/4PN2/P5P1/1PP2R1P/1K1R1B2 w - - 7 25
a5b4,2r5/1kr3b1/p1bppp2/Qp2q2p/4PN2/P2B2P1/1PP2R1P/1K1R4 w - - 9 26
b4b3,2r5/2r3b1/pkbppp2/1p2q2p/1Q2PN2/P2B2P1/1PP2R1P/1K1R4 w - - 11 27
c2c3,2r5/2rb2b1/pk1ppp2/1p2q2p/4PN2/PQ1B2P1/1PP2R1P/1K1R4 w - - 13 28
d3c2,2r5/2rb2b1/pk1ppp2/1p2q3/4PN1p/PQPB2P1/1P3R1P/1K1R4 w - - 0 29
e1g1,r2q1rk1/p1p2ppp/np3n2/3p4/1b1P4/2N1PN2/PP1B1PPP/R2QK2R w KQ - 0 10
a1c1,r2q1rk1/p4ppp/np3n2/2pp4/1b1P4/2N1PN2/PP1B1PPP/R2Q1RK1 w - - 0 11
a2a3,r2q1rk1/p1n2ppp/1p3n2/2pp4/1b1P4/2N1PN2/PP1B1PPP/2RQ1RK1 w - - 2 12
d2c3,r2q1rk1/p1n2ppp/1p3n2/2pp4/3P4/P1b1PN2/1P1B1PPP/2RQ1RK1 w - - 0 13
f3e5,r2q1rk1/p1n2ppp/1p3n2/3p4/2pP4/P1B1PN2/1P3PPP/2RQ1RK1 w - - 0 14
f2f3,r2q1rk1/p4ppp/1p2nn2/3pN3/2pP4/P1B1P3/1P3PPP/2RQ1RK1 w - - 2 15
d1c2,r2q1rk1/p4ppp/4nn2/1p1pN3/2pP4/P1B1PP2/1P4PP/2RQ1RK1 w - - 0 16
c2f5,r2q1rk1/5ppp/4nn2/pp1pN3/2pP4/P1B1PP2/1PQ3PP/2R2RK1 w - - 0 17
c3e1,r4rk1/5ppp/1q2nn2/pp1pNQ2/2pP4/P1B1PP2/1P4PP/2R2RK1 w - - 2 18
e1h4,r3r1k1/5ppp/1q2nn2/pp1pNQ2/2pP4/P3PP2/1P4PP/2R1BRK1 w - - 4 19
e3d4,r3r1k1/5ppp/1q3n2/pp1pNQ2/2pn3B/P3PP2/1P4PP/2R2RK1 w - - 0 20
h4f2,r3r1k1/5ppp/5n2/pp1pNQ2/2pq3B/P4P2/1P4PP/2R2RK1 w - - 0 21
f5e5,r3r1k1/5ppp/5n2/pp1pqQ2/2p5/P4P2/1P3BPP/2R2RK1 w - - 0 22
f2d4,r5k1/5ppp/5n2/pp1pr3/2p5/P4P2/1P3BPP/2R2RK1 w - - 0 23
f1f2,r5k1/5ppp/5n2/pp1p4/2pB4/P4P2/1P2r1PP/2R2RK1 w - - 2 24
g1f1,4r1k1/5ppp/5n2/pp1p4/2pB4/P4P2/1P2rRPP/2R3K1 w - - 4 25
f1f2,4r1k1/5ppp/5n2/pp1p4/2pB4/P4P2/1P3rPP/2R2K2 w - - 0 26
g2g3,4r1k1/5ppp/8/pp1p3n/2pB4/P4P2/1P3KPP/2R5 w - - 1 27
c1d1,4r1k1/5p1p/6p1/pp1p3n/2pB4/P4PP1/1P3K1P/2R5 w - - 0 28
a3b4,4r1k1/5p1p/6p1/p2p3n/1ppB4/P4PP1/1P3K1P/3R4 w - - 0 29
g8f6,r1bqk1nr/1p2ppbp/p5p1/3p4/4P3/2PB4/P2PNPPP/R1BQ1RK1 b kq - 1 10
f6e4,r1bqk2r/1p2ppbp/p4np1/3pP3/8/2PB4/P2PNPPP/R1BQ1RK1 b kq - 0 11
e8g8,r1bqk2r/1p2ppbp/p5p1/3pP3/4nP2/2PB4/P2PN1PP/R1BQ1RK1 b kq - 0 12
c8f5,r1bq1rk1/1p2ppbp/p5p1/3pP3/4nP2/B1PB4/P2PN1PP/R2Q1RK1 b - - 2 13
a8c8,r2q1rk1/1p2ppbp/p5p1/3pPb2/3NnP2/B1PB4/P2P2PP/R2Q1RK1 b - - 4 14
f5g4,2rq1rk1/1p2ppbp/p5p1/3pPb2/3NnP2/B1PB1R2/P2P2PP/R2Q2K1 b - - 6 15
b7b5,2rq1rk1/1p2ppbp/p5p1/3pP3/3NnPb1/B1PB1R2/P2P2PP/1R1Q2K1 b - - 8 16
f8e8,2rq1rk1/4ppbp/p5p1/1p1pP3/3NnPb1/B1PB1R2/PR1P2PP/3Q2K1 b - - 1 17
g4f3,2rqr1k1/4ppbp/p5p1/1p1pP3/3NnPb1/B1PB1R1P/PR1P2P1/3Q2K1 b - - 0 18
e7e6,2rqr1k1/4ppbp/p5p1/1p1pP3/3NnP2/B1PB1Q1P/PR1P2P1/6K1 b - - 0 19
d5e4,2rqr1k1/5pbp/p3p1p1/1p1pP3/3NBP2/B1P2Q1P/PR1P2P1/6K1 b - - 0 20
