g4g5,r1bq1rk1/1pp2pb1/n2p1np1/p2Pp2p/2P1P1P1/2N1B2P/PP2NP2/R2QKB1R w KQ - 0 10
e2g3,r1bq1rk1/1ppn1pb1/n2p2p1/p2Pp1Pp/2P1P3/2N1B2P/PP2NP2/R2QKB1R w KQ - 1 11
g3f5,r1bq1rk1/1ppn1pb1/n2p2p1/p2Pp1P1/2P1P2p/2N1B1NP/PP3P2/R2QKB1R w KQ - 0 12
e4f5,r1bq1rk1/1ppn1pb1/n2p4/p2PppP1/2P1P2p/2N1B2P/PP3P2/R2QKB1R w KQ - 0 13
f5f6,r1bq1rk1/1pp2pb1/n2p4/p1nPpPP1/2P4p/2N1B2P/PP3P2/R2QKB1R w KQ - 1 14
d1f3,r1bq1rkb/1pp2p2/n2p1P2/p1nPp1P1/2P4p/2N1B2P/PP3P2/R2QKB1R w KQ - 1 15
e3c5,r1b2rkb/1ppq1p2/n2p1P2/p1nPp1P1/2P4p/2N1BQ1P/PP3P2/R3KB1R w KQ - 3 16
f1d3,r1b2rkb/1ppq1p2/3p1P2/p1nPp1P1/2P4p/2N2Q1P/PP3P2/R3KB1R w KQ - 0 17
f3d3,r1b2rkb/1ppq1p2/3p1P2/p2Pp1P1/2P4p/2Nn1Q1P/PP3P2/R3K2R w KQ - 0 18
c3e4,r1b2rkb/1pp2p2/3p1P2/p2PpqP1/2P4p/2NQ3P/PP3P2/R3K2R w KQ - 1 19
e1c1,r1b2rkb/1pp2p2/3p1Pq1/p2Pp1P1/2P1N2p/3Q3P/PP3P2/R3K2R w KQ - 3 20
f2f3,r4rkb/1pp2p2/3p1Pq1/p2PpbP1/2P1N2p/3Q3P/PP3P2/2KR3R w - - 5 21
h1g1,r1r3kb/1pp2p2/3p1Pq1/p2PpbP1/2P1N2p/3Q1P1P/PP6/2KR3R w - - 1 22
c1b1,2r3kb/1pp2p2/r2p1Pq1/p2PpbP1/2P1N2p/3Q1P1P/PP6/2KR2R1 w - - 3 23
g1g4,2r3kb/1pp2p2/r2p1Pq1/3PpbP1/p1P1N2p/3Q1P1P/PP6/1K1R2R1 w - - 0 24
h3g4,2r3kb/1pp2p2/r2p1Pq1/3Pp1P1/p1P1N1bp/3Q1P1P/PP6/1K1R4 w - - 0 25
d1h1,2r3kb/1p3p2/r1pp1Pq1/3Pp1P1/p1P1N1Pp/3Q1P2/PP6/1K1R4 w - - 0 26
c4d5,2r3kb/1p3p2/r2p1Pq1/3pp1P1/p1P1N1Pp/3Q1P2/PP6/1K5R w - - 0 27
a2a3,2r3kb/1p3p1q/r2p1P2/3Pp1P1/p3N1Pp/3Q1P2/PP6/1K5R w - - 1 28
b1a2,2r3kb/1p3p1q/3p1P2/r2Pp1P1/p3N1Pp/P2Q1P2/1P6/1K5R w - - 1 29
f5e4,r1bq1rnk/ppp1b1pp/2np4/4Pp2/2B1P3/2P2N2/PP1N1PPP/R1BQR1K1 b - - 0 10
d6e5,r1bq1rnk/ppp1b1pp/2np4/4P3/2B1N3/2P2N2/PP3PPP/R1BQR1K1 b - - 0 11
e7d8,r1bQ1rnk/ppp1b1pp/2n5/4p3/2B1N3/2P2N2/PP3PPP/R1B1R1K1 b - - 0 12
g8h6,r1bb1rnk/ppp3pp/2n5/4p1N1/2B5/2P2N2/PP3PPP/R1B1R1K1 b - - 1 13
c6e5,r1bb1r1k/ppp3pp/2n4n/4N1N1/2B5/2P5/PP3PPP/R1B1R1K1 b - - 0 14
d8f6,r1bb1r1k/ppp3pp/7n/4R1N1/2B5/2P5/PP3PPP/R1B3K1 b - - 0 15
c8d7,r1b2r1k/ppp3pp/5b1n/6N1/2B5/2P5/PP3PPP/R1B1R1K1 b - - 2 16
f8e8,r4r1k/pppb2pp/4Nb1n/8/2B5/2P5/PP3PPP/R1B1R1K1 b - - 4 17
g7h6,r3r2k/pppb2pp/4Nb1B/8/2B5/2P5/PP3PPP/R3R1K1 b - - 0 18
e8e7,r3r2k/pppb3p/4Nb1p/8/2B5/2P5/PP3PPP/3RR1K1 b - - 1 19
e7e1,r6k/ppNbr2p/5b1p/8/2B5/2P5/PP3PPP/3RR1K1 b - - 0 20
a8c8,r6k/ppNb3p/5b1p/8/2B5/2P5/PP3PPP/4R1K1 b - - 0 21
f6c3,2r4k/pp1b3p/5b1p/3N4/2B5/2P5/PP3PPP/4R1K1 b - - 2 22
c8c4,2r4k/pp1b3p/7p/3N4/2B5/2P5/P4PPP/4R1K1 b - - 0 23
d7f5,7k/pp1bR2p/7p/3N4/2r5/2P5/P4PPP/6K1 b - - 1 24
f5e4,7k/pR5p/7p/3N1b2/2r5/2P5/P4PPP/6K1 b - - 0 25
c4a4,7k/p2R3p/7p/3N4/2r1b3/2P5/P4PPP/6K1 b - - 2 26
e4f5,7k/p2R3p/5N1p/8/r3b3/2P5/P4PPP/6K1 b - - 4 27
a4a2,7k/p3R2p/5N1p/5b2/r7/2P5/P4PPP/6K1 b - - 6 28
f5d3,7k/p3R2p/5N1p/5b2/6P1/2P5/r4P1P/6K1 b - - 0 29
d7e5,r1bq1rk1/pp1n1pb1/2pp1npp/4P3/2P1P2B/2N2N2/PP2BPPP/R2Q1RK1 b - - 0 10
d8e7,r1bq1rk1/pp3pb1/2pp1npp/4n3/2P1P2B/2N2N2/PPQ1BPPP/R4RK1 b - - 1 11
c8e6,r1b2rk1/pp2qpb1/2pp1npp/4n3/2P1P2B/2N2N2/PPQ1BPPP/3R1RK1 b - - 3 12
a8d8,r4rk1/pp2qpb1/2ppbnpp/4n3/2P1P2B/1PN2N2/P1Q1BPPP/3R1RK1 b - - 0 13
e6c8,3r1rk1/pp2qpb1/2ppbnpp/4n3/2PNP2B/1PN5/P1Q1BPPP/3R1RK1 b - - 2 14
e5d7,2br1rk1/pp2qpb1/2pp1npp/4n3/2PNPP1B/1PN5/P1Q1B1PP/3R1RK1 b - - 0 15
f8e8,2br1rk1/pp1nqpb1/2pp1npp/8/2PNPP1B/1PN2B2/P1Q3PP/3R1RK1 b - - 2 16
e7f8,2brr1k1/pp1nqpb1/2pp1npp/8/2PNPP1B/1PN2B2/P1Q3PP/3RR1K1 b - - 4 17
a7a6,2brrqk1/pp1n1pb1/2pp1npp/8/2PNPP1B/1PN2B2/P4QPP/3RR1K1 b - - 6 18
d7c5,2brrqk1/1p1n1pb1/p1pp1npp/8/2PNPP1B/1PN2BQ1/P5PP/3RR1K1 b - - 1 19
d6e5,2brrqk1/1p3pb1/p1pp1npp/2n1P3/2PN1P1B/1PN2BQ1/P5PP/3RR1K1 b - - 0 20
f6h7,2brrqk1/1p3pb1/p1p2npp/2n1P3/2PN3B/1PN2BQ1/P5PP/3RR1K1 b - - 0 21
e8d8,2bBrqk1/1p3pbn/p1p3pp/2n1P3/2PN4/1PN2BQ1/P5PP/3RR1K1 b - - 0 22
c5e4,2br1qk1/1p3pbn/p1p3pp/2n1P3/2PNN3/1P3BQ1/P5PP/3RR1K1 b - - 1 23
