e6h3,r4rk1/pppqnppp/2nbb3/4p3/8/2NP1NP1/PPQ1PPBP/R1B2RK1 b - - 8 10
h3g2,r4rk1/pppqnppp/2nb4/4p3/4N3/3P1NPb/PPQ1PPBP/R1B2RK1 b - - 10 11
f7f5,r4rk1/pppqnppp/2nb4/4p3/4N3/3P1NP1/PPQ1PPKP/R1B2R2 b - - 0 12
d6c5,r4rk1/pppqn1pp/2nb4/2N1pp2/8/3P1NP1/PPQ1PPKP/R1B2R2 b - - 1 13
e5e4,r4rk1/pppqn1pp/2n5/2Q1pp2/8/3P1NP1/PP2PPKP/R1B2R2 b - - 0 14
f5e4,r4rk1/pppqn1pp/2n5/2Q2p2/4P3/5NP1/PP2PPKP/R1B2R2 b - - 0 15
d7d5,r4rk1/pppqn1pp/2n5/8/2Q1p3/5NP1/PP2PPKP/R1B2R2 b - - 1 16
e7d5,r4rk1/ppp1n1pp/2n5/3Q4/4p3/5NP1/PP2PPKP/R1B2R2 b - - 0 17
e4e3,r4rk1/ppp3pp/2n5/3n2N1/4p3/6P1/PP2PPKP/R1B2R2 b - - 1 18
f8e8,r4rk1/ppp3pp/2n5/3n2N1/8/4B1P1/PP2PPKP/R4R2 b - - 0 19
e8e2,r3r1k1/ppp3pp/2n5/3n2N1/8/6P1/PP1BPPKP/R4R2 b - - 2 20
a8f8,r5k1/ppp3pp/2n5/3n4/8/5NP1/PP1BrPKP/R4R2 b - - 1 21
f8e8,5rk1/ppp3pp/2n5/3n4/8/5NP1/PP1BrPKP/3R1R2 b - - 3 22
h7h6,4r1k1/ppp3pp/2n5/3n4/7P/5NP1/PP1BrPK1/3R1R2 b - - 0 23
g7h6,4r1k1/ppp3p1/2n4B/3n4/7P/5NP1/PP2rPK1/3R1R2 b - - 0 24
e2b2,4r1k1/ppp5/2n4p/3R4/7P/5NP1/PP2rPK1/5R2 b - - 0 25
e8e5,4r1k1/ppp5/2n4p/3R4/7P/6P1/Pr3PKN/5R2 b - - 1 26
e5e7,6k1/pppR4/2n4p/4r3/7P/6P1/Pr3PKN/5R2 b - - 3 27
b2a2,6k1/pppRr3/2n4p/8/7P/6P1/Pr3PKN/3R4 b - - 5 28
g8f8,6k1/pppRr3/2n4p/8/6NP/6P1/r4PK1/3R4 b - - 1 29
b1c3,r1bqr1k1/1pp2pbp/n2p1np1/p3p3/2P5/PP1PPN2/1B2BPPP/RN1Q1RK1 w - - 3 10
f3d2,r1bqr1k1/2p2pbp/np1p1np1/p3p3/2P5/PPNPPN2/1B2BPPP/R2Q1RK1 w - - 0 11
e2f3,r2qr1k1/1bp2pbp/np1p1np1/p3p3/2P5/PPNPP3/1B1NBPPP/R2Q1RK1 w - - 2 12
d2e4,r1q1r1k1/1bp2pbp/np1p1np1/p3p3/2P5/PPNPPB2/1B1N1PPP/R2Q1RK1 w - - 4 13
f3e4,r1q1r1k1/1bp2pbp/np1p2p1/p3p3/2P1n3/PPNPPB2/1B3PPP/R2Q1RK1 w - - 0 14
e4b7,r1q1r1k1/1bp2pbp/1p1p2p1/p1n1p3/2P1B3/PPNPP3/1B3PPP/R2Q1RK1 w - - 1 15
b3b4,r3r1k1/1qp2pbp/1p1p2p1/p1n1p3/2P5/PPNPP3/1B3PPP/R2Q1RK1 w - - 0 16
a3b4,r3r1k1/1qp2pbp/1p1p2p1/2n1p3/1pP5/P1NPP3/1B3PPP/R2Q1RK1 w - - 0 17
b2a1,4r1k1/1qp2pbp/1p1p2p1/2n1p3/1PP5/2NPP3/1B3PPP/r2Q1RK1 w - - 0 18
b4b5,4r1k1/1qp2pbp/1p1pn1p1/4p3/1PP5/2NPP3/5PPP/B2Q1RK1 w - - 1 19
c3d5,r5k1/1qp2pbp/1p1pn1p1/1P2p3/2P5/2NPP3/5PPP/B2Q1RK1 w - - 1 20
a1c3,r5k1/q1p2pbp/1p1pn1p1/1P1Np3/2P5/3PP3/5PPP/B2Q1RK1 w - - 3 21
h2h4,r5k1/2p2pbp/1p1pn1p1/1P1Np3/2P5/2BPP3/q4PPP/3Q1RK1 w - - 5 22
c3g7,r5k1/2p2pbp/1p1pn1p1/1P1N4/2P1p2P/2BPP3/q4PP1/3Q1RK1 w - - 0 23
d3e4,r7/2p2pkp/1p1pn1p1/1P1N4/2P1p2P/3PP3/q4PP1/3Q1RK1 w - - 0 24
d1f3,r7/2p2pkp/1p1pn1p1/1P1N4/2P1P2P/4P3/1q3PP1/3Q1RK1 w - - 1 25
h4h5,r7/2p2pkp/1p1pn1p1/1P1Nq3/2P1P2P/4PQ2/5PP1/5RK1 w - - 3 26
f3f4,r7/2p2pkp/1p1p2p1/1P1Nq1nP/2P1P3/4PQ2/5PP1/5RK1 w - - 1 27
e3f4,r7/2p2pkp/1p1p2p1/1P1N2nP/2P1Pq2/4P3/5PP1/5RK1 w - - 0 28
d5c7,r7/2p2pkp/1p1p2p1/1P1N3P/2P1nP2/8/5PP1/5RK1 w - - 0 29
f6h5,r2q1rk1/1ppb1pbp/p1np1np1/4p3/B3P3/2PP1N2/PP3PPP/R1BQRNK1 b - - 7 10
d8e8,r2q1rk1/1ppb1pbp/p1np2p1/4p1Bn/B3P3/2PP1N2/PP3PPP/R2QRNK1 b - - 9 11
h5g3,r3qrk1/1ppb1pbp/p1np2p1/4p1Bn/B3P3/2PP1NN1/PP3PPP/R2QR1K1 b - - 11 12
c6d4,r3qrk1/1ppb1pbp/p1np2p1/4p1B1/B3P3/2PP1NP1/PP4PP/R2QR1K1 b - - 0 13
d7a4,r3qrk1/1ppb1pbp/p2p2p1/4p1B1/B2PP3/3P1NP1/PP4PP/R2QR1K1 b - - 0 14
a4c6,r3qrk1/1pp2pbp/p2p2p1/4p1B1/b2PP3/1P1P1NP1/P5PP/R2QR1K1 b - - 0 15
c6d7,r3qrk1/1pp2pbp/p1bp2p1/3Pp1B1/4P3/1P1P1NP1/P5PP/R2QR1K1 b - - 0 16
a8c8,r3qrk1/1ppb1pbp/p2p2p1/3Pp1B1/4P3/1P1P1NP1/P5PP/2RQR1K1 b - - 2 17
f7f5,2r1qrk1/1ppb1pbp/p2p2p1/3Pp1B1/4P3/1P1P1NP1/P2Q2PP/2R1R1K1 b - - 4 18
f5f4,2r1qrk1/1ppb2bp/p2p2pB/3Ppp2/4P3/1P1P1NP1/P2Q2PP/2R1R1K1 b - - 1 19
g8g7,2r1qrk1/1ppb2Bp/p2p2p1/3Pp3/4Pp2/1P1P1NP1/P2Q2PP/2R1R1K1 b - - 0 20
f8f4,2r1qr2/1ppb2kp/p2p2p1/3Pp3/4PP2/1P1P1N2/P2Q2PP/2R1R1K1 b - - 0 21
d7g4,2r1q3/1ppb2kp/p2p2p1/3Pp3/3PPr2/1P3N2/P2Q2PP/2R1R1K1 b - - 0 22
d6e5,2r1q3/1pp3kp/p2p2p1/3PP3/4Prb1/1P3N2/P2Q2PP/2R1R1K1 b - - 0 23
e8e7,2r1q3/1pp3kp/p5p1/3Pp3/3NPrb1/1P6/P2Q2PP/2R1R1K1 b - - 1 24
g4h3,2r5/1pp1q1kp/p5p1/3Pp3/3NPrb1/1P5P/P2Q2P1/2R1R1K1 b - - 0 25
e7g5,2r5/1pp1q1kp/p5p1/3Pp3/3NPr2/1P5P/P2Q4/2R1R1K1 b - - 0 26
e5d4,2r5/1pp3kp/p5p1/3Pp1q1/3NPr2/1P5P/P2Q3K/2R1R3 b - - 2 27
g7h6,2r5/1pp3kp/p5p1/3P2q1/3QPr2/1P5P/P6K/2R1R3 b - - 0 28
g5h4,2r5/1pp4p/p5pk/3P2q1/3QPr2/1P5P/P6K/2R3R1 b - - 2 29
c2c3,r1bq1rk1/1pp1npbp/2n3p1/p3p3/2NpP3/3P1NP1/PPP2PBP/R1BQR1K1 w - - 0 10
c4a3,r1bq1rk1/2p1npbp/2n3p1/pp2p3/2NpP3/2PP1NP1/PP3PBP/R1BQR1K1 w - - 0 11
a3b5,r1bq1rk1/2p1npbp/2n3p1/pp2p3/4P3/N1pP1NP1/PP3PBP/R1BQR1K1 w - - 0 12
b5c3,r2q1rk1/2p1npbp/b1n3p1/pN2p3/4P3/2pP1NP1/PP3PBP/R1BQR1K1 w - - 1 13
c1g5,r2q1rk1/2p1npbp/b5p1/p3p3/1n2P3/2NP1NP1/PP3PBP/R1BQR1K1 w - - 1 14
g5e3,r2q1rk1/2p1n1bp/b4pp1/p3p1B1/1n2P3/2NP1NP1/PP3PBP/R2QR1K1 w - - 0 15
d1d3,r4rk1/2p1n1bp/b4pp1/p3p3/1n2P3/2NqBNP1/PP3PBP/R2QR1K1 w - - 0 16
e1d1,r4rk1/2p1n1bp/5pp1/p3p3/1n2P3/2NbBNP1/PP3PBP/R3R1K1 w - - 0 17
d1d7,r4rk1/2p1n1bp/5pp1/p3p3/1nb1P3/2N1BNP1/PP3PBP/R2R2K1 w - - 2 18
a1c1,r4rk1/2pRn1bp/5pp1/p3p3/2b1P3/2N1BNP1/PPn2PBP/R5K1 w - - 4 19
f2e3,r4rk1/2pRn1bp/5pp1/p3p3/2b1P3/2N1nNP1/PP3PBP/2R3K1 w - - 0 20
d7c7,r5k1/2pRnrbp/5pp1/p3p3/2b1P3/2N1PNP1/PP4BP/2R3K1 w - - 1 21
g2f1,r5k1/2R1nrbp/4bpp1/p3p3/4P3/2N1PNP1/PP4BP/2R3K1 w - - 1 22
g1f2,r5k1/2R1nr1p/4bppb/p3p3/4P3/2N1PNP1/PP5P/2R2BK1 w - - 3 23
b2b3,1r4k1/2R1nr1p/4bppb/p3p3/4P3/2N1PNP1/PP3K1P/2R2B2 w - - 5 24
c1d1,3r2k1/2R1nr1p/4bppb/p3p3/4P3/1PN1PNP1/P4K1P/2R2B2 w - - 1 25
c3d1,6k1/2R1nr1p/4bppb/p3p3/4P3/1PN1PNP1/P4K1P/3r1B2 w - - 0 26
c7c5,2n3k1/2R2r1p/4bppb/p3p3/4P3/1P2PNP1/P4K1P/3N1B2 w - - 1 27
d1c3,6k1/5r1p/3nbppb/p1R1p3/4P3/1P2PNP1/P4K1P/3N1B2 w - - 3 28
c5c6,6k1/5r1p/3nbppb/2R1p3/p3P3/1PN1PNP1/P4K1P/5B2 w - - 0 29
d8d7,r2qr1k1/ppp2ppp/2npbn2/1Q6/1b2P3/2N2P2/PPPBN1PP/2KR1B1R b - - 3 10
a7a6,r3r1k1/pppq1ppp/2npbn2/1Q6/1b2PN2/2N2P2/PPPB2PP/2KR1B1R b - - 5 11
h7h6,r3r1k1/1ppq1ppp/p1npbn2/6Q1/1b2PN2/2N2P2/PPPB2PP/2KR1B1R b - - 1 12
g8h8,r3r1k1/1ppq1pp1/p1npbn1p/8/1b2PN2/2N2PQ1/PPPB2PP/2KR1B1R b - - 1 13
b4c5,r3r2k/1ppq1pp1/p1npbn1p/8/1b2PN2/P1N2PQ1/1PPB2PP/2KR1B1R b - - 0 14
b7b5,r3r2k/1ppq1pp1/p1npbn1p/2b5/4PN1P/P1N2PQ1/1PPB2P1/2KR1B1R b - - 0 15
c5b6,r3r2k/2pq1pp1/p1npbn1p/1pb5/4P2P/P1NN1PQ1/1PPB2P1/2KR1B1R b - - 1 16
a6a5,r3r2k/2pq1pp1/pbnpbn1p/1p6/4P2P/P1NN1P2/1PPB2PQ/2KR1B1R b - - 3 17
b5b4,r3r2k/2pq1pp1/1bnpbn1p/pp6/4P1PP/P1NN1P2/1PPB3Q/2KR1B1R b - - 0 18
b4a3,r3r2k/2pq1pp1/1bnpbn1p/p7/Np2P1PP/P2N1P2/1PPB3Q/2KR1B1R b - - 1 19
c6d4,r3r2k/2pq1pp1/1bnpbn1p/p7/N3P1PP/pP1N1P2/2PB3Q/2KR1B1R b - - 0 20
b6a7,r3r2k/2pq1pp1/1b1pbn1p/p7/N2nP1PP/pPBN1P2/2P4Q/2KR1B1R b - - 2 21
e6b3,r3r2k/b1pq1pp1/3pbn1p/p7/N2nPQPP/pPBN1P2/2P5/2KR1B1R b - - 4 22
d6c5,r3r2k/b1pq1pp1/3p1n1p/p1N5/3nPQPP/pbBN1P2/2P5/2KR1B1R b - - 1 23
d4b3,r3r2k/b1pq1pp1/5n1p/p1p5/3nPQPP/pPBN1P2/8/2KR1B1R b - - 0 24
a3a2,r3r2k/b1pq1pp1/5n1p/p1p5/4PQPP/pnBN1P2/8/1K1R1B1R b - - 1 25
d7a4,r3r2k/b1pq1pp1/5n1p/p1p5/4PQPP/1nBN1P2/K7/3R1B1R b - - 0 26
a8b8,r3r2k/b1p2pp1/5n1p/p1p5/q3PQPP/1nBN1P2/8/1K1R1B1R b - - 2 27
b3d4,1r2r2k/b1p2pp1/5n1p/p1p5/q3PQPP/1nB2P2/1N6/1K1R1B1R b - - 4 28
b8b3,1r2r2k/b1p2pp1/5n1p/p1p5/q2nP1PP/2B2P2/1N6/1KQR1B1R b - - 6 29
e3e4,rn1qkb2/pp2np1r/2p1p3/3pBb1p/3P2pP/2NBP3/PPP1NPP1/R2QK2R w KQq - 2 10
c3e4,rn1qkb2/pp2np1r/2p1p3/4Bb1p/3Pp1pP/2NB4/PPP1NPP1/R2QK2R w KQq - 0 11
d3e4,rn1qkb2/pp2np1r/2p1p3/4B2p/3Pb1pP/3B4/PPP1NPP1/R2QK2R w KQq - 0 12
e4d3,rn1qkb2/pp2n2r/2p1p3/4Bp1p/3PB1pP/8/PPP1NPP1/R2QK2R w KQq - 0 13
d1d2,rn1qkb2/pp5r/2p1p1n1/4Bp1p/3P2pP/3B4/PPP1NPP1/R2QK2R w KQq - 2 14
d2c3,rn1qk3/pp5r/2p1p1nb/4Bp1p/3P2pP/3B4/PPPQNPP1/R3K2R w KQq - 4 15
e5g3,r2qk3/pp1n3r/2p1p1nb/4Bp1p/3P2pP/2QB4/PPP1NPP1/R3K2R w KQq - 6 16
c3b3,r2qk3/pp5r/2p1pnnb/5p1p/3P2pP/2QB2B1/PPP1NPP1/R3K2R w KQq - 8 17
e1g1,r2qk3/pp2r3/2p1pnnb/5p1p/3P2pP/1Q1B2B1/PPP1NPP1/R3K2R w KQq - 10 18
d3f5,r2q4/pp2rk2/2p1pnnb/5p1p/3P2pP/1Q1B2B1/PPP1NPP1/R4RK1 w - - 12 19
a1e1,r2q4/1p2rk2/2p1pnnb/p4B1p/3P2pP/1Q4B1/PPP1NPP1/R4RK1 w - - 0 20
a2a4,r2q1n2/1p2rk2/2p1pn1b/p4B1p/3P2pP/1Q4B1/PPP1NPP1/4RRK1 w - - 2 21
b3d5,r4n2/1p2rk2/2p1pn1b/p2q1B1p/P2P2pP/1Q4B1/1PP1NPP1/4RRK1 w - - 1 22
e2f4,r4n2/1p2rk2/2p2n1b/p2p1B1p/P2P2pP/6B1/1PP1NPP1/4RRK1 w - - 0 23
e1e7,4rn2/1p2rk2/2p2n1b/p2p1B1p/P2P1NpP/6B1/1PP2PP1/4RRK1 w - - 2 24
f4d3,5n2/1p2rk2/2p2n1b/p2p1B1p/P2P1NpP/6B1/1PP2PP1/5RK1 w - - 0 25
f1e1,8/1p2rk2/2p2nnb/p2p1B1p/P2P2pP/3N2B1/1PP2PP1/5RK1 w - - 2 26
d3e1,8/1p3k2/2p2nnb/p2p1B1p/P2P2pP/3N2B1/1PP2PP1/4r1K1 w - - 0 27
g1f1,8/1p3k2/2p2n1b/p2p1B1p/P2P1npP/6B1/1PP2PP1/4N1K1 w - - 1 28
g3e5,8/1p3k2/2p1nn1b/p2p1B1p/P2P2pP/6B1/1PP2PP1/4NK2 w - - 3 29
c6d5,r1b2rk1/pp1nqpbp/2pp1np1/3Pp3/2P5/2N2NP1/PPQ1PPBP/R1BR2K1 b - - 0 10
d7c5,r1b2rk1/pp1nqpbp/3p1np1/3Pp3/8/2N2NP1/PPQ1PPBP/R1BR2K1 b - - 0 11
c8d7,r1b2rk1/pp2qpbp/3p1np1/2nPp3/4P3/2N2NP1/PPQ2PBP/R1BR2K1 b - - 0 12
c5a6,r4rk1/pp1bqpbp/3p1np1/2nPp3/1P2P3/2N2NP1/P1Q2PBP/R1BR2K1 b - - 0 13
a8c8,r4rk1/pp1bqpbp/n2p1np1/3Pp3/1P2P3/1QN2NP1/P4PBP/R1BR2K1 b - - 2 14
f6e8,2r2rk1/pp1bqpbp/n2p1np1/3Pp3/1P2P3/1QN2NP1/P4PBP/R1B1R1K1 b - - 4 15
f7f5,2r1nrk1/pp1bqpbp/n2p2p1/3Pp3/1P2P3/1QN1BNP1/P4PBP/R3R1K1 b - - 6 16
f5f4,2r1nrk1/Bp1bq1bp/n2p2p1/3Ppp2/1P2P3/1QN2NP1/P4PBP/R3R1K1 b - - 0 17
