g7h6,rnbqr1k1/pp3pbp/3p1np1/2pP4/2P5/2NBBN1P/PP3PP1/R2QK2R b KQ - 2 10
h6e3,rnbqr1k1/pp3p1p/3p1npb/2pP4/2P5/2NBBN1P/PP3PP1/R2Q1RK1 b - - 4 11
b8d7,rnbqr1k1/pp3p1p/3p1np1/2pP4/2P5/2NBPN1P/PP4P1/R2Q1RK1 b - - 0 12
g8g7,r1bqr1k1/pp1n1p1p/3p1np1/2pP4/2P1P3/2NB1N1P/PP4P1/R2Q1RK1 b - - 0 13
d7e5,r1bqr3/pp1n1pkp/3p1np1/2pP4/2P1P3/2NB1N1P/PP1Q2P1/R4RK1 b - - 2 14
e8e5,r1bqr3/pp3pkp/3p1np1/2pPN3/2P1P3/2NB3P/PP1Q2P1/R4RK1 b - - 0 15
d8e7,r1bq4/pp3pkp/3p1np1/2pPr3/2P1PQ2/2NB3P/PP4P1/R4RK1 b - - 1 16
h7h5,r1b5/pp2qpkp/3p1np1/2pPr3/2P1PQP1/2NB3P/PP6/R4RK1 b - - 0 17
f6h7,r1b5/pp2qpk1/3p1np1/2pPr1Pp/2P1PQ2/2NB3P/PP6/R4RK1 b - - 0 18
h7g5,r1b5/pp2qpkn/3p2p1/2pPr1Pp/2P1PQ1P/2NB4/PP6/R4RK1 b - - 0 19
e5g5,r1b5/pp2qpk1/3p2p1/2pPr1Pp/2P1PQ2/2NB4/PP6/R4RK1 b - - 0 20
g5g4,r1b5/pp2qpk1/3p2p1/2pP2rp/2P1PQ2/2NB4/PP3K2/R4R2 b - - 1 21
g4h4,r1b5/pp2qpk1/3p2p1/2pP3p/2P1P1r1/2NB4/PP3K1Q/R4R2 b - - 3 22
h4h3,r1b5/pp2qpk1/3p2p1/2pP3p/2P1P2r/2NB2Q1/PP3K2/R4R2 b - - 5 23
h3d3,r1b5/pp2qpk1/3p2p1/2pP3p/2P1PQ2/2NB3r/PP3K2/R4R2 b - - 7 24
g6g5,r1b5/pp2qpk1/3p2p1/1NpP3p/2P1PQ2/3r4/PP3K2/R4R2 b - - 1 25
c8g4,r1b5/pp2qpk1/3p4/1NpP2pp/2P1PQ2/3r4/PP3K2/R5R1 b - - 1 26
h5g4,r7/pp2qpk1/3p4/1NpP2pp/2P1PQR1/3r4/PP3K2/R7 b - - 0 27
f7f5,r7/pp2qpk1/3p4/1NpP2p1/2P1P1Q1/3r4/PP3K2/R7 b - - 0 28
e7e3,r7/pp2q1k1/3p4/1NpP1Pp1/2P3Q1/3r4/PP3K2/R7 b - - 0 29
e5e6,r1bqk2r/p2pppbp/2p3pn/4P3/3B4/2N5/PPP2PPP/R2QKB1R w KQkq - 3 10
d4g7,r1bq1rk1/p2pppbp/2p1P1pn/8/3B4/2N5/PPP2PPP/R2QKB1R w KQ - 1 11
d1d4,r1bq1r2/p2pppkp/2p1P1pn/8/8/2N5/PPP2PPP/R2QKB1R w KQ - 0 12
e6d7,r1bq1r2/p2pp1kp/2p1Pppn/8/3Q4/2N5/PPP2PPP/R3KB1R w KQ - 0 13
