d6e5,r2q1rk1/pbpp2pp/1p1bpn2/2nP1p2/2PN4/P1N3P1/1P2PPBP/R1BQ1RK1 b - - 6 10
f6g4,r2q1rk1/pbpp2pp/1p2pn2/2nPbp2/2PN4/P1N1B1P1/1P2PPBP/R2Q1RK1 b - - 8 11
g4e3,r2q1rk1/pbpp2pp/1p2p3/2nPbp2/1PPN2n1/P1N1B1P1/4PPBP/R2Q1RK1 b - - 0 12
c5e4,r2q1rk1/pbpp2pp/1p2p3/2nPbp2/1PPN4/P1N1P1P1/4P1BP/R2Q1RK1 b - - 0 13
f5e4,r2q1rk1/pbpp2pp/1p2p3/3Pbp2/1PPNN3/P3P1P1/4P1BP/R2Q1RK1 b - - 0 14
d8g5,r2q1rk1/pbpp2pp/1p2p3/3Pb3/1PPNB3/P3P1P1/4P2P/R2Q1RK1 b - - 0 15
e5d4,r4rk1/pbpp2pp/1p2p3/3Pb1q1/1PPNB3/P2QP1P1/4P2P/R4RK1 b - - 2 16
e6d5,r4rk1/pbpp2pp/1p2p3/3P2q1/1PPPB3/P2Q2P1/4P2P/R4RK1 b - - 0 17
g8h8,r4rk1/pbpp2pB/1p6/3p2q1/1PPP4/P2Q2P1/4P2P/R4RK1 b - - 0 18
b7a6,r4r1k/pbpp2pB/1p6/2Pp2q1/1P1P4/P2Q2P1/4P2P/R4RK1 b - - 0 19
g5e3,r4r1k/p1pp2pB/Qp6/2Pp2q1/1P1P4/P5P1/4P2P/R4RK1 b - - 0 20
h8h7,r4r1k/p1pp2pB/Qp6/2Pp4/1P1P4/P3q1P1/4P1KP/R4R2 b - - 2 21
e3d3,r4r2/p1pp2pk/1p6/2Pp4/1P1P4/P2Qq1P1/4P1KP/R4R2 b - - 1 22
h7g6,r4r2/p1pp2pk/1p6/2Pp4/1P1P4/P2P2P1/6KP/R4R2 b - - 0 23
f8f1,r4r2/p1pp2p1/1p4k1/2Pp4/1P1P4/P2P2P1/6KP/4RR2 b - - 2 24
g6f6,r7/p1pp2p1/1p4k1/2Pp4/1P1P4/P2P2P1/7P/4RK2 b - - 0 25
c7c6,r7/p1pp2p1/1p3k2/2PpR3/1P1P4/P2P2P1/7P/5K2 b - - 2 26
b6c5,r7/p2p2p1/1pp2k2/2PpR3/1P1P3P/P2P2P1/8/5K2 b - - 0 27
a8b8,r7/p2p2p1/2p2k2/2PpR3/3P3P/P2P2P1/8/5K2 b - - 0 28
b8b3,1r6/p2p2p1/2p2k2/2PpR3/3P3P/P2P2P1/4K3/8 b - - 2 29
d7b5,r3kb1r/pp1bnppp/1q2p3/3pP3/8/2PB1N2/PP3PPP/R1BQK2R b KQkq - 5 10
e7c6,r3kb1r/pp2nppp/1q2p3/1b1pP3/8/2PB1N2/PP3PPP/R1BQ1RK1 b kq - 7 11
b6a6,r3kb1r/pp3ppp/1qn1p3/1b1pP3/8/2PBBN2/PP3PPP/R2Q1RK1 b kq - 9 12
a6b5,r3kb1r/pp3ppp/q1n1p3/1B1pP3/8/2P1BN2/PP3PPP/R2Q1RK1 b kq - 0 13
c6d4,r3kb1r/pp3ppp/2n1p3/1q1pP3/3N4/2P1B3/PP3PPP/R2Q1RK1 b kq - 1 14
f8e7,r3kb1r/pp3ppp/4p3/1q1pP3/3P4/4B3/PP3PPP/R2Q1RK1 b kq - 0 15
g7g6,r3k2r/pp2bppp/4p3/1q1pP3/3P2Q1/4B3/PP3PPP/R4RK1 b kq - 2 16
b5d3,r3k2r/pp2bp1p/4p1pB/1q1pP3/3P2Q1/8/PP3PPP/R4RK1 b kq - 1 17
e8d7,r3k2r/pp2bp1p/4p1pB/3pP3/3P2Q1/3q4/PP3PPP/2R2RK1 b kq - 3 18
d3e4,r6r/pp1kbp1p/4p1pB/3pP3/3P2Q1/2Rq4/PP3PPP/5RK1 b - - 5 19
h8c8,r6r/pp1kbp1p/4p1pB/3pP3/3Pq3/2R5/PP3PPP/3Q1RK1 b - - 7 20
d7d8,r1r5/pp1kbp1p/4p1pB/3pP3/Q2Pq3/2R5/PP3PPP/5RK1 b - - 9 21
g6g5,r1rk4/pp2bp1p/4p1pB/3pP3/Q2Pq3/5R2/PP3PPP/5RK1 b - - 11 22
e4g6,r1rk4/pp2bR1p/4p2B/3pP1p1/Q2Pq3/8/PP3PPP/5RK1 b - - 0 23
e7f8,r1rk1R2/pp2b2p/4p1qB/3pP1p1/Q2P4/8/PP3PPP/5RK1 b - - 2 24
g6f7,r1rk1B2/pp5p/4p1q1/3pP1p1/Q2P4/8/PP3PPP/5RK1 b - - 0 25
