e7e5,r2q1rk1/pp2ppbp/2np1np1/8/3P2b1/P1N1PNP1/1P3PBP/R1BQ1RK1 b - - 0 10
d8e7,r2q1rk1/pp3pbp/2np1np1/4p3/3P2b1/P1N1PNP1/1P1Q1PBP/R1B2RK1 b - - 1 11
g4f3,r4rk1/pp2qpbp/2np1np1/4p3/3P2b1/P1N1PNPP/1P1Q1PB1/R1B2RK1 b - - 0 12
a8d8,r4rk1/pp2qpbp/2np1np1/4p3/3P4/P1N1PBPP/1P1Q1P2/R1B2RK1 b - - 0 13
c6a5,3r1rk1/pp2qpbp/2np1np1/3Pp3/8/P1N1PBPP/1P1Q1P2/R1B2RK1 b - - 0 14
a5b3,3r1rk1/pp2qpbp/3p1np1/n2Pp3/4P3/P1N2BPP/1P1Q1P2/R1B2RK1 b - - 0 15
b3a1,3r1rk1/pp2qpbp/3p1np1/3Pp3/4P3/PnN2BPP/1P3P2/R1BQ1RK1 b - - 2 16
a7a5,3r1rk1/pp2qpbp/3p1np1/3Pp3/1P2P3/P1N2BPP/5P2/n1BQ1RK1 b - - 0 17
a5b4,3r1rk1/1p2qpbp/3p1np1/p2Pp3/1P2P3/P1N2BPP/1B3P2/n2Q1RK1 b - - 1 18
d8a8,3r1rk1/1p2qpbp/3p1np1/3Pp3/1P2P3/2N2BPP/1B3P2/n2Q1RK1 b - - 0 19
f8c8,r4rk1/1p2qpbp/3p1np1/3Pp3/1P2P3/2N2BPP/5P2/B2Q1RK1 b - - 0 20
f6d7,r1r3k1/1p2qpbp/3p1np1/3Pp3/1P2P3/2N2BPP/1B3P2/3Q1RK1 b - - 2 21
d7b6,r1r3k1/1p1nqpbp/3p2p1/3Pp3/1P2P3/2N3PP/1B3PB1/3Q1RK1 b - - 4 22
b6c4,r1r3k1/1p2qpbp/1n1p2p1/3Pp3/1P2P3/6PP/1B2NPB1/3Q1RK1 b - - 6 23
a8a1,r1r3k1/1p2qpbp/3p2p1/3Pp3/1Pn1P3/6PP/4NPB1/2BQ1RK1 b - - 8 24
a1a2,2r3k1/1p2qpbp/3p2p1/3Pp3/1Pn1P3/3Q2PP/4NPB1/r1B2RK1 b - - 10 25
a2a4,2r3k1/1p2qpbp/3p2p1/3Pp3/1Pn1P1P1/3Q3P/r3NPB1/2B2RK1 b - - 0 26
e7d7,2r3k1/1p2qpbp/3p2p1/3Pp3/rPn1P1P1/1Q5P/4NPB1/2B2RK1 b - - 2 27
a4a8,2r3k1/1p1q1pbp/3p2p1/1P1Pp3/r1n1P1P1/1Q5P/4NPB1/2B2RK1 b - - 0 28
a8a5,r1r3k1/1p1q1pbp/3p2p1/1P1Pp3/2n1P1P1/1Q4NP/5PB1/2B2RK1 b - - 2 29
g5f6,rnb1k2r/pp3ppp/2p1pq2/b4nB1/3P3Q/2PB4/PP3PPP/RN2K1NR w KQkq - 7 10
f6h4,rnb1k2r/pp3ppp/2p1pB2/b7/3P3n/2PB4/PP3PPP/RN2K1NR w KQkq - 0 11
h4f6,rnb1k2r/pp3p1p/2p1p1p1/b7/3P3B/2PB4/PP3PPP/RN2K1NR w KQkq - 0 12
g1f3,rnb1k1r1/pp3p1p/2p1pBp1/b7/3P4/2PB4/PP3PPP/RN2K1NR w KQq - 2 13
f6g5,r1b1k1r1/pp1n1p1p/2p1pBp1/b7/3P4/2PB1N2/PP3PPP/RN2K2R w KQq - 4 14
a2a3,r1b1k1r1/p2n1p1p/2p1p1p1/bp4B1/3P4/2PB1N2/PP3PPP/RN2K2R w KQq - 0 15
g5e3,r1b1k1r1/p2n3p/2p1ppp1/bp4B1/3P4/P1PB1N2/1P3PPP/RN2K2R w KQq - 0 16
b1d2,r3k1r1/pb1n3p/2p1ppp1/bp6/3P4/P1PBBN2/1P3PPP/RN2K2R w KQq - 2 17
h2h4,r3k1r1/pbbn3p/2p1ppp1/1p6/3P4/P1PBBN2/1P1N1PPP/R3K2R w KQq - 4 18
h4h5,2kr2r1/pbbn3p/2p1ppp1/1p6/3P3P/P1PBBN2/1P1N1PP1/R3K2R w KQ - 1 19
