f1g2,r1bqk2r/1p2bpp1/p1nppn1p/8/4P1PP/1NN1B3/PPP2P2/R2QKB1R w KQkq - 1 10
d1d2,r1bqk2r/1p1nbpp1/p1npp2p/8/4P1PP/1NN1B3/PPP2PB1/R2QK2R w KQkq - 3 11
d2e2,r1bqk2r/1p2bpp1/p1npp2p/4n3/4P1PP/1NN1B3/PPPQ1PB1/R3K2R w KQkq - 5 12
e1c1,r1bqk2r/1p3pp1/p1npp2p/4n3/4P1Pb/1NN1B3/PPP1QPB1/R3K2R w KQkq - 0 13
f2f4,r1bqk2r/1p3pp1/p1nppb1p/4n3/4P1P1/1NN1B3/PPP1QPB1/2KR3R w kq - 2 14
e4e5,r1bqk2r/1p3pp1/p1nppbnp/8/4PPP1/1NN1B3/PPP1Q1B1/2KR3R w kq - 1 15
e5d6,r1bqk2r/1p2bpp1/p1npp1np/4P3/5PP1/1NN1B3/PPP1Q1B1/2KR3R w kq - 1 16
c3e4,r1bqk2r/1p3pp1/p1nPpbnp/8/5PP1/1NN1B3/PPP1Q1B1/2KR3R w kq - 1 17
b3c5,r2qk2r/1p1b1pp1/p1nPpbnp/8/4NPP1/1N2B3/PPP1Q1B1/2KR3R w kq - 3 18
e4f6,r3k2r/1p1b1pp1/p1nPpbnp/q1N5/4NPP1/4B3/PPP1Q1B1/2KR3R w kq - 5 19
c1b1,r3k2r/1p1b1p2/p1nPppnp/q1N5/5PP1/4B3/PPP1Q1B1/2KR3R w kq - 0 20
e2f2,r3k2r/1p1b1p2/p1nPpp1p/q1N5/5nP1/4B3/PPP1Q1B1/1K1R3R w kq - 0 21
f2g2,r3k2r/1p1b1p2/p1nPpp1p/q1N5/6P1/4B3/PPP2Qn1/1K1R3R w kq - 0 22
g2f2,2kr3r/1p1b1p2/p1nPpp1p/q1N5/6P1/4B3/PPP3Q1/1K1R3R w - - 1 23
g4f5,2kr3r/1p1b1p2/p1nPp2p/q1N2p2/6P1/4B3/PPP2Q2/1K1R3R w - - 0 24
c5b3,2kr3r/1p1b1p2/p1nP3p/q1N2p2/8/4B3/PPP2Q2/1K1R3R w - - 0 25
b3a5,2k1r2r/1p1b1p2/p1nP3p/q4p2/8/1N2B3/PPP2Q2/1K1R3R w - - 2 26
e6d5,r2qkb1r/1p3ppp/p1npbn2/3Np1B1/4P3/8/PPP2PPP/RN1QKB1R b KQkq - 5 10
c6e7,r2qkb1r/1p3ppp/p1np1n2/3Pp1B1/8/8/PPP2PPP/RN1QKB1R b KQkq - 0 11
f6e4,r2qkb1r/1p2nppp/p2p1n2/3Pp1B1/2P5/8/PP3PPP/RN1QKB1R b KQkq - 0 12
d8a5,r2qkb1r/1p2nppp/p2p4/3Pp3/2P1n3/4B3/PP3PPP/RN1QKB1R b KQkq - 2 13
e7f5,r3kb1r/1p2nppp/p2p4/q2Pp3/2P1n3/4B3/PP1N1PPP/R2QKB1R b KQkq - 4 14
f5e3,r3kb1r/1p3ppp/p2p4/q2Ppn2/2P1n3/3BB3/PP1N1PPP/R2QK2R b KQkq - 6 15
e4f6,r3kb1r/1p3ppp/p2p4/q2Pp3/2P1n3/3BP3/PP1N2PP/R2QK2R b KQkq - 0 16
a8b8,r3kb1r/1p3ppp/p2p1n2/q2Pp3/2P5/1Q1BP3/PP1N2PP/R3K2R b KQkq - 2 17
f8e7,1r2kb1r/1p3ppp/p2p1n2/q2Pp3/2P5/1Q1BP3/PP1NK1PP/R6R b k - 4 18
e8g8,1r2k2r/1p2bppp/p2p1n2/q2Pp3/2P3P1/1Q1BP3/PP1NK2P/R6R b k - 0 19
f6d7,1r3rk1/1p2bppp/p2p1n2/q2Pp1P1/2P5/1Q1BP3/PP1NK2P/R6R b - - 0 20
f7f5,1r3rk1/1p1nbppp/p2p4/q2Pp1P1/2P1N3/1Q1BP3/PP2K2P/R6R b - - 2 21
d7f6,1r3rk1/1p1nb1pp/p2p1P2/q2Pp3/2P1N3/1Q1BP3/PP2K2P/R6R b - - 0 22
f6e4,1r3rk1/1p2b1pp/p2p1n2/q2Pp3/2P1N3/1Q1BP3/PP2K2P/5R1R b - - 1 23
b7b5,1r3rk1/1p2b1pp/p2p4/q2Pp3/2P1B3/1Q2P3/PP2K2P/5R1R b - - 0 24
b8f8,1r3Rk1/4b1pp/p2p4/qp1Pp3/2P1B3/1Q2P3/PP2K2P/7R b - - 0 25
e7h4,5rk1/4b1pp/p2p4/qpPPp3/4B3/1Q2P3/PP2K2P/7R b - - 0 26
f8f1,5rk1/6pp/p2p4/qpPPp3/4B2b/1Q2P3/PP2K2P/5R2 b - - 2 27
a5e1,6k1/6pp/p2p4/qpPPp3/4B2b/1Q2P3/PP5P/5K2 b - - 0 28
e1f2,6k1/6pp/p2p4/1pPPp3/4B2b/1Q2P3/PP4KP/4q3 b - - 2 29
e8g8,r1bqk2r/pp2npb1/2np2pp/2pNp3/2P1P3/P2P1N2/1P2BPPP/1RBQ1RK1 b kq - 0 10
b7b6,r1bq1rk1/pp2npb1/2np2pp/2pNp3/1PP1P3/P2P1N2/4BPPP/1RBQ1RK1 b - - 0 11
c8e6,r1bq1rk1/p3npb1/1pnp2pp/2pNp3/1PP1P3/P2PBN2/4BPPP/1R1Q1RK1 b - - 1 12
f7f5,r2q1rk1/p3npb1/1pnpb1pp/2pNp3/1PP1P3/P2PB3/4BPPP/1R1QNRK1 b - - 3 13
e6f7,r2q1rk1/p3n1b1/1pnpb1pp/2pNpp2/1PP1PP2/P2PB3/4B1PP/1R1QNRK1 b - - 0 14
e7d5,r2q1rk1/p3nbb1/1pnp2pp/2pNpp2/1PP1PP2/P2PB3/2N1B1PP/1R1Q1RK1 b - - 2 15
e5f4,r2q1rk1/p4bb1/1pnp2pp/2pPpp2/1PP2P2/P2PB3/2N1B1PP/1R1Q1RK1 b - - 0 16
c6d4,r2q1rk1/p4bb1/1pnp2pp/2pP1p2/1PP2B2/P2P4/2N1B1PP/1R1Q1RK1 b - - 0 17
g7d4,r2q1rk1/p4bb1/1p1p2pp/2pP1p2/1PPN1B2/P2P4/4B1PP/1R1Q1RK1 b - - 0 18
g6g5,r2q1rk1/p4b2/1p1p2pp/2pP1p2/1PPb1B2/P2P4/4B1PP/1R1Q1R1K b - - 1 19
f7g6,r2q1rk1/p4b2/1p1p3p/2pP1pp1/1PPb4/P2P4/3BB1PP/1R1Q1R1K b - - 1 20
b6c5,r2q1rk1/p7/1p1p2bp/2PP1pp1/2Pb4/P2P4/3BB1PP/1R1Q1R1K b - - 0 21
d8f6,r2q1rk1/pR6/3p2bp/2pP1pp1/2Pb4/P2P4/3BB1PP/3Q1R1K b - - 1 22
f8f7,r4rk1/pR6/3p1qbp/2pP1ppB/2Pb4/P2P4/3B2PP/3Q1R1K b - - 3 23
f6g6,r5k1/pR3r2/3p1qBp/2pP1pp1/2Pb4/P2P4/3B2PP/3Q1R1K b - - 0 24
g6f7,r5k1/p4R2/3p2qp/2pP1pp1/2Pb4/P2P4/3B2PP/3Q1R1K b - - 0 25
a8e8,r5k1/p4q2/3p3p/2pP1pp1/2Pb4/PQ1P4/3B2PP/5R1K b - - 1 26
e8e2,4r1k1/p4q2/3p3p/1QpP1pp1/2Pb4/P2P4/3B2PP/5R1K b - - 3 27
f5f4,6k1/p4q2/3p3p/BQpP1pp1/2Pb4/P2P4/4r1PP/5R1K b - - 5 28
f7f8,1Q4k1/p4q2/3p3p/B1pP2p1/2Pb1p2/P2P4/4r1PP/5R1K b - - 1 29
f2f4,r2qk2r/1p1nbppp/p2pbn2/4p3/4P3/1NN1B3/PPPQ1PPP/2KR1B1R w kq - 6 10
f4f5,2rqk2r/1p1nbppp/p2pbn2/4p3/4PP2/1NN1B3/PPPQ2PP/2KR1B1R w k - 1 11
g2g4,2rqk2r/1p1nbppp/p2p1n2/4pP2/2b1P3/1NN1B3/PPPQ2PP/2KR1B1R w k - 1 12
h1g1,2rqk2r/1p1nbppp/p2p4/4pP2/2b1P1n1/1NN1B3/PPPQ3P/2KR1B1R w k - 0 13
d2e3,2rqk2r/1p1nbppp/p2p4/4pP2/2b1P3/1NN1n3/PPPQ3P/2KR1BR1 w k - 0 14
f1c4,2rqk2r/1p1nbp1p/p2p4/4pPp1/2b1P3/1NN1Q3/PPP4P/2KR1BR1 w k g6 0 15
h2h4,3qk2r/1p1nbp1p/p2p4/4pPp1/2r1P3/1NN1Q3/PPP4P/2KR2R1 w k - 0 16
c1b1,3qk2r/1p1nbp2/p2p3p/4pPp1/2r1P2P/1NN1Q3/PPP5/2KR2R1 w k - 0 17
h4g5,3qk2r/1p2bp2/p2p1n1p/4pPp1/2r1P2P/1NN1Q3/PPP5/1K1R2R1 w k - 2 18
b3d2,3qk2r/1p2bp2/p2p1n2/4pPp1/2r1P3/1NN1Q3/PPP5/1K1R2R1 w k - 0 19
c3d5,2rqk2r/1p2bp2/p2p1n2/4pPp1/4P3/2N1Q3/PPPN4/1K1R2R1 w k - 2 20
e4d5,2rqk2r/1p2bp2/p2p4/3npPp1/4P3/4Q3/PPPN4/1K1R2R1 w k - 0 21
e3d3,2r1k2r/1pq1bp2/p2p4/3PpPp1/8/4Q3/PPPN4/1K1R2R1 w k - 1 22
g1h1,2r1k2r/1pq1b3/p2p1p2/3PpPp1/8/3Q4/PPPN4/1K1R2R1 w k - 0 23
d3b3,2r4r/1pqkb3/p2p1p2/3PpPp1/8/3Q4/PPPN4/1K1R3R w - - 2 24
c2c3,2r4r/2qkb3/p2p1p2/1p1PpPp1/8/1Q6/PPPN4/1K1R3R w - - 0 25
a2a4,2r4r/3kb3/p2p1p2/1pqPpPp1/8/1QP5/PP1N4/1K1R3R w - - 1 26
a4b5,2r4r/3kb3/p2p1p2/1pqPpP2/P5p1/1QP5/1P1N4/1K1R3R w - - 0 27
d2e4,2r4r/3kb3/3p1p2/1pqPpP2/6p1/1QP5/1P1N4/1K1R3R w - - 0 28
b3c2,2r4r/3kb3/3p1p2/1p1PpP2/2q1N1p1/1QP5/1P6/1K1R3R w - - 2 29
g5f6,r2qkb1r/3b1ppp/p1nppn2/1p4B1/3NPP2/2N5/PPPQ2PP/2KR1B1R w kq - 0 10
c1b1,r2qkb1r/3b1p1p/p1nppp2/1p6/3NPP2/2N5/PPPQ2PP/2KR1B1R w kq - 0 11
d4c6,r3kb1r/3b1p1p/pqnppp2/1p6/3NPP2/2N5/PPPQ2PP/1K1R1B1R w kq - 2 12
f4f5,r3kb1r/5p1p/pqbppp2/1p6/4PP2/2N5/PPPQ2PP/1K1R1B1R w kq - 0 13
f1d3,r3kb1r/5p1p/p1bppp2/1pq2P2/4P3/2N5/PPPQ2PP/1K1R1B1R w kq - 1 14
f5e6,r3kb1r/5p2/p1bppp2/1pq2P1p/4P3/2NB4/PPPQ2PP/1K1R3R w kq - 0 15
h1f1,r3kb1r/8/p1bppp2/1pq4p/4P3/2NB4/PPPQ2PP/1K1R3R w kq - 0 16
c3e2,r3kb1r/8/p1bppp2/2q4p/1p2P3/2NB4/PPPQ2PP/1K1R1R2 w kq - 0 17
d2e1,r3k2r/8/p1bppp1b/2q4p/1p2P3/3B4/PPPQN1PP/1K1R1R2 w kq - 2 18
e1g3,r6r/4k3/p1bppp1b/2q4p/1p2P3/3B4/PPP1N1PP/1K1RQR2 w - - 4 19
g3h3,6rr/4k3/p1bppp1b/2q4p/1p2P3/3B2Q1/PPP1N1PP/1K1R1R2 w - - 6 20
e2f4,6rr/4k3/2bppp1b/p1q4p/1p2P3/3B3Q/PPP1N1PP/1K1R1R2 w - - 0 21
f1f4,6rr/4k3/2bppp2/p1q4p/1p2Pb2/3B3Q/PPP3PP/1K1R1R2 w - - 0 22
d1f1,6rr/4k3/2bppp2/p3q2p/1p2PR2/3B3Q/PPP3PP/1K1R4 w - - 1 23
h3e3,6r1/4k3/2bppp1r/p3q2p/1p2PR2/3B3Q/PPP3PP/1K3R2 w - - 3 24
e3b6,6r1/4k3/2bpppr1/p3q2p/1p2PR2/3BQ3/PPP3PP/1K3R2 w - - 5 25
g2g3,6r1/3bk3/1Q1pppr1/p3q2p/1p2PR2/3B4/PPP3PP/1K3R2 w - - 7 26
b6c5,6r1/3bk3/1Q1pppr1/p1q4p/1p2PR2/3B2P1/PPP4P/1K3R2 w - - 1 27
e4e5,6r1/3bk3/4ppr1/p1p4p/1p2PR2/3B2P1/PPP4P/1K3R2 w - - 0 28
d3e2,6r1/3bk3/4p1r1/p1p1Pp1p/1p3R2/3B2P1/PPP4P/1K3R2 w - - 0 29
e1g1,r3kb1r/1p1nnppp/pq2p3/2ppPb2/Q2P3N/2P5/PP1NBPPP/R1B1K2R w KQkq - 0 10
h4g6,r3kb1r/1p1nnppp/pq2p1b1/2ppP3/Q2P3N/2P5/PP1NBPPP/R1B2RK1 w kq - 2 11
d2f3,r3kb1r/1p1nnpp1/pq2p1p1/2ppP3/Q2P4/2P5/PP1NBPPP/R1B2RK1 w kq - 0 12
a4d1,r3kb1r/1p1nnpp1/p1q1p1p1/2ppP3/Q2P4/2P2N2/PP2BPPP/R1B2RK1 w kq - 2 13
h2h4,r3kb1r/3nnpp1/p1q1p1p1/1pppP3/3P4/2P2N2/PP2BPPP/R1BQ1RK1 w kq - 0 14
g2g3,r3kb1r/4npp1/pnq1p1p1/1pppP3/3P3P/2P2N2/PP2BPP1/R1BQ1RK1 w kq - 1 15
g1g2,r3kb1r/5pp1/pnq1p1p1/1pppPn2/3P3P/2P2NP1/PP2BP2/R1BQ1RK1 w kq - 1 16
c1f4,r3k2r/4bpp1/pnq1p1p1/1pppPn2/3P3P/2P2NP1/PP2BPK1/R1BQ1R2 w kq - 3 17
a1c1,2r1k2r/4bpp1/pnq1p1p1/1pppPn2/3P1B1P/2P2NP1/PP2BPK1/R2Q1R2 w k - 5 18
b2b3,2r1k2r/4bpp1/p1q1p1p1/1pppPn2/2nP1B1P/2P2NP1/PP2BPK1/2RQ1R2 w k - 7 19
d1d2,2r1k2r/4bpp1/pnq1p1p1/1pppPn2/3P1B1P/1PP2NP1/P3BPK1/2RQ1R2 w k - 1 20
c1b1,2r1k2r/4bpp1/1nq1p1p1/ppppPn2/3P1B1P/1PP2NP1/P2QBPK1/2R2R2 w k - 0 21
a2a4,2r1k2r/4bpp1/1nq1p1p1/pp1pPn2/2pP1B1P/1PP2NP1/P2QBPK1/1R3R2 w k - 0 22
b3a4,2r1k2r/4bpp1/1nq1p1p1/p2pPn2/p1pP1B1P/1PP2NP1/3QBPK1/1R3R2 w k - 0 23
b1a1,2r1k2r/4bpp1/2q1p1p1/p2pPn2/n1pP1B1P/2P2NP1/3QBPK1/1R3R2 w k - 0 24
e2d1,1r2k2r/4bpp1/2q1p1p1/p2pPn2/n1pP1B1P/2P2NP1/3QBPK1/R4R2 w k - 2 25
d1b3,4k2r/4bpp1/2q1p1p1/p2pPn2/n1pP1B1P/1rP2NP1/3Q1PK1/R2B1R2 w k - 4 26
f1b1,4k2r/4bpp1/2q1p1p1/p2pPn2/n2P1B1P/1pP2NP1/3Q1PK1/R4R2 w k - 0 27
b1b2,4k2r/4bpp1/2q1p1p1/p2pPn2/n2P1B1P/2P2NP1/1p1Q1PK1/RR6 w k - 0 28
d2b2,4k2r/4bpp1/2q1p1p1/p2pPn2/3P1B1P/2P2NP1/1n1Q1PK1/R7 w k - 0 29
d5c3,rn1qk2r/pbp3bp/1p2ppp1/3n4/3PP3/P1N2N2/1PQB1PPP/R3KB1R b KQkq - 0 10
e8g8,rn1qk2r/pbp3bp/1p2ppp1/8/3PP3/P1B2N2/1PQ2PPP/R3KB1R b KQkq - 0 11
f8e8,rn1q1rk1/pbp3bp/1p2ppp1/8/2BPP3/P1B2N2/1PQ2PPP/R3K2R b KQ - 2 12
g8h8,rn1qr1k1/pbp3bp/1p2ppp1/8/2BPP3/P1B2N2/1PQ2PPP/R4RK1 b - - 4 13
b8d7,rn1qr2k/pbp3bp/1p2ppp1/8/2BPP3/P1B2N2/1PQ2PPP/3R1RK1 b - - 6 14
c7c5,r2qr2k/pbpn2bp/1p2ppp1/8/2BPP3/P1B2N2/1PQ2PPP/3RR1K1 b - - 8 15
e6e5,r2qr2k/pb1n2bp/1p2ppp1/2pP4/2B1P3/P1B2N2/1PQ2PPP/3RR1K1 b - - 0 16
b7c6,r2qr2k/pb1n2bp/1p1P1pp1/2p1p3/2B1P3/P1B2N2/1PQ2PPP/3RR1K1 b - - 0 17
