f3d4,r3kb1r/pp1bnppp/1q2p3/3pP3/3n4/3B1N2/PP1N1PPP/R1BQ1RK1 w kq - 2 10
d2f3,r3kb1r/pp1bnppp/4p3/3pP3/3q4/3B4/PP1N1PPP/R1BQ1RK1 w kq - 0 11
c1e3,r3kb1r/pp1bnppp/1q2p3/3pP3/8/3B1N2/PP3PPP/R1BQ1RK1 w kq - 2 12
a1c1,r3kb1r/ppqbnppp/4p3/3pP3/8/3BBN2/PP3PPP/R2Q1RK1 w kq - 4 13
a2a3,r3kb1r/ppqb1ppp/2n1p3/3pP3/8/3BBN2/PP3PPP/2RQ1RK1 w kq - 6 14
b2b4,r3k2r/ppqbbppp/2n1p3/3pP3/8/P2BBN2/1P3PPP/2RQ1RK1 w kq - 1 15
h2h4,r3k2r/1pqbbppp/p1n1p3/3pP3/1P6/P2BBN2/5PPP/2RQ1RK1 w kq - 0 16
d1e2,r3k2r/1pqbbpp1/p1n1p2p/3pP3/1P5P/P2BBN2/5PP1/2RQ1RK1 w kq - 0 17
h4g5,r3k2r/1pqbbp2/p1n1p2p/3pP1p1/1P5P/P2BBN2/4QPP1/2R2RK1 w kq - 0 18
g2g4,r3k2r/1pqbbp2/p1n1p3/3pP1p1/1P6/P2BBN2/4QPP1/2R2RK1 w kq - 0 19
b4b5,2kr3r/1pqbbp2/p1n1p3/3pP1p1/1P4P1/P2BBN2/4QP2/2R2RK1 w - - 1 20
d3b5,2kr3r/1pqbbp2/2n1p3/1p1pP1p1/6P1/P2BBN2/4QP2/2R2RK1 w - - 0 21
g1g2,2kr4/1pqbbp2/2n1p3/1B1pP1p1/6P1/P3BN1r/4QP2/2R2RK1 w - - 1 22
f1h1,2k4r/1pqbbp2/2n1p3/1B1pP1p1/6P1/P3BN1r/4QPK1/2R2R2 w - - 3 23
c1h1,2k4r/1pqbbp2/2n1p3/1B1pP1p1/6P1/P3BN2/4QPK1/2R4r w - - 0 24
g2h1,2k5/1pqbbp2/2n1p3/1B1pP1p1/6P1/P3BN2/4QPK1/7r w - - 0 25
f3e5,2k5/1pqbbp2/4p3/1B1pn1p1/6P1/P3BN2/4QP2/7K w - - 0 26
b5d7,2k5/1p1bbp2/4p3/1B1pq1p1/6P1/P3B3/4QP2/7K w - - 0 27
e2b5,8/1p1kbp2/4p3/3pq1p1/6P1/P3B3/4QP2/7K w - - 0 28
b5e8,2k5/1p2bp2/4p3/1Q1pq1p1/6P1/P3B3/5P2/7K w - - 2 29
h6f7,r1bq1rk1/p2pp1bp/2p2ppn/8/3PP3/5N1P/PP3PP1/RNBQR1K1 b - - 0 10
d7d6,r1bq1rk1/p2ppnbp/2p2pp1/8/3PP3/2N2N1P/PP3PP1/R1BQR1K1 b - - 2 11
d8a5,r1bq1rk1/p3pnbp/2pp1pp1/8/3PP3/1PN2N1P/P4PP1/R1BQR1K1 b - - 0 12
c8d7,r1b2rk1/p3pnbp/2pp1pp1/q7/3PP3/1PN2N1P/PB3PP1/R2QR1K1 b - - 2 13
e7e5,r4rk1/p2bpnbp/2pp1pp1/q7/3PP3/1P3N1P/PB2NPP1/R2QR1K1 b - - 4 14
d7e6,r4rk1/p2b1nbp/2pp1pp1/q3p3/3PP3/1P5P/PB1NNPP1/R2QR1K1 b - - 1 15
a5a6,r4rk1/p4nbp/2ppbpp1/q3p3/3PP3/1P5P/PBQNNPP1/R3R1K1 b - - 3 16
a8c8,r4rk1/p4nbp/q1ppbpp1/4p3/2NPP3/1P5P/PBQ1NPP1/R3R1K1 b - - 5 17
f8e8,2r2rk1/p4nbp/q1ppbpp1/4p3/3PP3/1P2N2P/PBQ1NPP1/R3R1K1 b - - 7 18
a6b7,2r1r1k1/p4nbp/q1ppbpp1/4p3/3PP3/PP2N2P/1BQ1NPP1/R3R1K1 b - - 0 19
g7h6,2r1r1k1/pq3nbp/2ppbpp1/4p3/1P1PP3/P3N2P/1BQ1NPP1/R3R1K1 b - - 0 20
e6g4,2r1r1k1/pq3n1p/2ppbppb/4p3/1P1PP1N1/P6P/1BQ1NPP1/R3R1K1 b - - 2 21
f7g5,2r1r1k1/pq3n1p/2pp1ppb/4p3/1P1PP1P1/P7/1BQ1NPP1/R3R1K1 b - - 0 22
g5e6,2r1r1k1/pq5p/2pp1ppb/4p1n1/1P1PP1P1/P7/1BQ1NPP1/3RR1K1 b - - 2 23
d6e5,2r1r1k1/pq5p/2ppnppb/4P3/1P2P1P1/P7/1BQ1NPP1/3RR1K1 b - - 0 24
b7f7,2r1r1k1/pq5p/2p1nppb/4p3/1PQ1P1P1/P7/1B2NPP1/3RR1K1 b - - 1 25
c6c5,2r1r1k1/p4q1p/2pRnppb/4p3/1PQ1P1P1/P7/1B2NPP1/4R1K1 b - - 3 26
c8d8,2r1r1k1/p4q1p/3Rnppb/1Pp1p3/2Q1P1P1/P7/1B2NPP1/4R1K1 b - - 0 27
e6d4,3rr1k1/p4q1p/3Rnppb/1Pp1p3/2Q1P1P1/P7/1B2NPP1/3R2K1 b - - 2 28
g8f7,3rr1k1/p4Q1p/3R1ppb/1Pp1p3/3nP1P1/P7/1B2NPP1/3R2K1 b - - 0 29
c1e3,r1bqk2r/1p1nbppp/p1npp3/8/3NP1P1/2N4P/PPP2PB1/R1BQ1RK1 w kq - 5 10
f2f4,r1bq1rk1/1p1nbppp/p1npp3/8/3NP1P1/2N1B2P/PPP2PB1/R2Q1RK1 w - - 7 11
d1d4,r1bq1rk1/1p1nbppp/p2pp3/8/3nPPP1/2N1B2P/PPP3B1/R2Q1RK1 w - - 0 12
d4d2,r1bq1rk1/1p1nbppp/p2p4/4p3/3QPPP1/2N1B2P/PPP3B1/R4RK1 w - - 0 13
e3f4,r1bq1rk1/1p1nbppp/p2p4/8/4PpP1/2N1B2P/PPPQ2B1/R4RK1 w - - 0 14
c3d5,r1bq1rk1/1p2bppp/p2p4/4n3/4PBP1/2N4P/PPPQ2B1/R4RK1 w - - 1 15
d5e7,r2q1rk1/1p2bppp/p2pb3/3Nn3/4PBP1/7P/PPPQ2B1/R4RK1 w - - 3 16
a1d1,r4rk1/1p2qppp/p2pb3/4n3/4PBP1/7P/PPPQ2B1/R4RK1 w - - 0 17
a2a4,r2r2k1/1p2qppp/p2pb3/4n3/4PBP1/7P/PPPQ2B1/3R1RK1 w - - 2 18
b2b3,2rr2k1/1p2qppp/p2pb3/4n3/P3PBP1/7P/1PPQ2B1/3R1RK1 w - - 1 19
f1f2,2rr2k1/1pq2ppp/p2pb3/4n3/P3PBP1/1P5P/2PQ2B1/3R1RK1 w - - 1 20
a4b5,2rr2k1/2q2ppp/p2pb3/1p2n3/P3PBP1/1P5P/2PQ1RB1/3R2K1 w - - 0 21
d2b4,2rr2k1/2q2ppp/3pb3/1p2n3/4PBP1/1P5P/2PQ1RB1/3R2K1 w - - 0 22
b4d4,2rr2k1/5ppp/1q1pb3/1p2n3/1Q2PBP1/1P5P/2P2RB1/3R2K1 w - - 2 23
