f2f4,r2q1rk1/pp2ppbp/2npbnp1/6B1/4P3/1NN5/PPP1BPPP/R2Q1RK1 w - - 2 10
e2f3,2rq1rk1/pp2ppbp/2npbnp1/6B1/4PP2/1NN5/PPP1B1PP/R2Q1RK1 w - - 1 11
e4e5,2rq1rk1/pp2ppbp/3pbnp1/n5B1/4PP2/1NN2B2/PPP3PP/R2Q1RK1 w - - 3 12
g1h1,2r2rk1/pp2ppbp/1q1pbnp1/n3P1B1/5P2/1NN2B2/PPP3PP/R2Q1RK1 w - - 1 13
f4e5,2r2rk1/pp2ppbp/1q2bnp1/n3p1B1/5P2/1NN2B2/PPP3PP/R2Q1R1K w - - 0 14
c3d5,2r2rk1/pp1nppbp/1q2b1p1/n3P1B1/8/1NN2B2/PPP3PP/R2Q1R1K w - - 1 15
f3d5,2r2rk1/pp1nppbp/1q4p1/n2bP1B1/8/1N3B2/PPP3PP/R2Q1R1K w - - 0 16
b3a5,2r2rk1/pp1n1pbp/1q2p1p1/n2BP1B1/8/1N6/PPP3PP/R2Q1R1K w - - 0 17
d1d5,2r2rk1/pp1n1pbp/1q4p1/N2pP1B1/8/8/PPP3PP/R2Q1R1K w - - 0 18
a5b7,2r2rk1/pp3pbp/1q4p1/N2Qn1B1/8/8/PPP3PP/R4R1K w - - 0 19
g5e7,5rk1/pN3pbp/1q4p1/3Qn1B1/8/8/PPr3PP/R4R1K w - - 0 20
e7a3,4r1k1/pN2Bpbp/1q4p1/3Qn3/8/8/PPr3PP/R4R1K w - - 2 21
d5e6,4r1k1/pN3pbp/4q1p1/3Qn3/8/B7/PPr3PP/R4R1K w - - 4 22
a1d1,6k1/pN3pbp/4r1p1/4n3/8/B7/PPr3PP/R4R1K w - - 0 23
b7c5,6k1/pN3pb1/4r1p1/4n2p/8/B7/PPr3PP/3R1R1K w - - 0 24
d1e1,4r1k1/p4pb1/6p1/2N1n2p/8/B7/PPr3PP/3R1R1K w - - 2 25
c5e4,2r3k1/p4pb1/6p1/2N1n2p/8/B7/PPr3PP/4RR1K w - - 4 26
e4g5,2r3k1/p4pb1/6p1/7p/2n1N3/B7/PPr3PP/4RR1K w - - 6 27
b2a3,2r3k1/p4pb1/6p1/6Np/8/n7/PPr3PP/4RR1K w - - 0 28
g5f7,2r3k1/p4pb1/6p1/6Np/8/P7/r5PP/4RR1K w - - 0 29
d8d7,r2qkb1r/pp1Npppp/1nn5/1B6/3P4/8/PP3PPP/RNBQK2R b KQkq - 0 10
e7e6,r3kb1r/pp1qpppp/1nn5/1B6/3P4/2N5/PP3PPP/R1BQK2R b KQkq - 1 11
f8e7,r3kb1r/pp1q1ppp/1nn1p3/1B6/3P4/2N5/PP3PPP/R1BQ1RK1 b kq - 1 12
e8g8,r3k2r/pp1qbppp/1nn1p3/1B6/3P2Q1/2N5/PP3PPP/R1B2RK1 b kq - 3 13
b7c6,r4rk1/pp1qbppp/1nB1p3/8/3P2Q1/2N5/PP3PPP/R1B2RK1 b - - 0 14
e7f6,r4rk1/p2qbppp/1np1p2B/8/3P2Q1/2N5/PP3PPP/R4RK1 b - - 1 15
g8h8,r4rk1/p2q1ppp/1np1pb1B/8/3P2Q1/2N5/PP3PPP/3R1RK1 b - - 3 16
d7d8,r4r1k/p2q1ppp/1np1pb1B/8/3PN1Q1/8/PP3PPP/3R1RK1 b - - 5 17
b6d5,r2q1r1k/p4ppp/1np1pb2/8/3PNBQ1/8/PP3PPP/3R1RK1 b - - 7 18
f8g8,r2q1r1k/p4ppp/2p1pb2/3nB3/3PN1Q1/8/PP3PPP/3R1RK1 b - - 9 19
d8e7,r2q2rk/p4ppp/2p1pb2/3nB3/3PN1Q1/3R4/PP3PPP/5RK1 b - - 11 20
f6e5,r5rk/p3qppp/2p1pb2/3nB3/3PN1Q1/7R/PP3PPP/5RK1 b - - 13 21
e1g1,r1b1k2r/pp2ppbp/2np1np1/q7/4PP2/2NBBN2/PPP1Q1PP/R3K2R w KQkq - 4 10
a2a3,r3k2r/pp2ppbp/2np1np1/q7/4PPb1/2NBBN2/PPP1Q1PP/R4RK1 w kq - 6 11
h2h3,r4rk1/pp2ppbp/2np1np1/q7/4PPb1/P1NBBN2/1PP1Q1PP/R4RK1 w - - 1 12
e2f3,r4rk1/pp2ppbp/2np1np1/q7/4PP2/P1NBBb1P/1PP1Q1P1/R4RK1 w - - 0 13
e3d2,r4rk1/pp2ppbp/2np2p1/q6n/4PP2/P1NBBQ1P/1PP3P1/R4RK1 w - - 1 14
f3d1,r4rk1/pp2ppbp/3p2p1/q6n/3nPP2/P1NB1Q1P/1PPB2P1/R4RK1 w - - 3 15
f1e1,r4rk1/pp2ppbp/3p2p1/q7/3nPP2/P1NB2nP/1PPB2P1/R2Q1RK1 w - - 5 16
g1h2,r4rk1/pp2ppbp/1q1p2p1/8/3nPP2/P1NB2nP/1PPB2P1/R2QR1K1 w - - 7 17
c3d5,r4rk1/pp2ppbp/1q1p2p1/7n/3nPP2/P1NB3P/1PPB2PK/R2QR3 w - - 9 18
c2c3,r2q1rk1/pp2ppbp/3p2p1/3N3n/3nPP2/P2B3P/1PPB2PK/R2QR3 w - - 11 19
d1f3,r2q1rk1/pp2ppbp/2np2p1/3N3n/4PP2/P1PB3P/1P1B2PK/R2QR3 w - - 1 20
d5e3,r2q1rk1/pp3pbp/2npp1p1/3N3n/4PP2/P1PB1Q1P/1P1B2PK/R3R3 w - - 0 21
d8d7,r2qkb1r/pp3p1p/2n1bp2/3p4/2pP4/2N1PNP1/PP3PBP/R2QK2R b KQkq - 2 10
e8c8,r3kb1r/pp1q1p1p/2n1bp2/3p4/2pP4/2N1PNP1/PP3PBP/R2Q1RK1 b kq - 4 11
c8b8,2kr1b1r/pp1q1p1p/2n1bp2/3p4/2pP3N/2N1P1P1/PP3PBP/R2Q1RK1 b - - 6 12
f8b4,1k1r1b1r/pp1q1p1p/2n1bp2/3p4/2pP3N/2N1PBP1/PP3P1P/R2Q1RK1 b - - 8 13
b4a5,1k1r3r/pp1q1p1p/2n1bp2/3p4/1bpP3N/2N1PBP1/PP3P1P/2RQ1RK1 b - - 10 14
c6b4,1k1r3r/pp1q1p1p/2n1bp2/b2p4/2pP3N/1PN1PBP1/P4P1P/2RQ1RK1 b - - 0 15
d5c4,1k1r3r/pp1q1p1p/4bp2/b2p4/1nPP3N/2N1PBP1/P4P1P/2RQ1RK1 b - - 0 16
b7b6,1k1r3r/pp1q1p1p/4bp2/b7/1npP3N/2N1PBP1/P4P1P/1R1Q1RK1 b - - 1 17
b4d3,1k1r3r/p2q1p1p/1p2bp2/b7/1npP4/2N1PBP1/P4PNP/1R1Q1RK1 b - - 1 18
f6f5,1k1r3r/p2q1p1p/1p2bp2/b7/2pPN3/3nPBP1/P4PNP/1R1Q1RK1 b - - 3 19
d7e7,1k1r3r/p2q1p1p/1p2bN2/b4p2/2pP4/3nPBP1/P4PNP/1R1Q1RK1 b - - 1 20
d8c8,1k1r3r/p3qp1p/1p2b3/b4p1N/2pP4/3nPBP1/P4PNP/1R1Q1RK1 b - - 3 21
d3f4,1kr4r/p3qp1p/1p2b3/b4p2/2pP1N2/3nPBP1/P4PNP/1R1Q1RK1 b - - 5 22
c4c3,1kr4r/p3qp1p/1p2b3/b4p2/2pP1N2/4PBP1/P4P1P/1R1Q1RK1 b - - 0 23
e6d7,1kr4r/p3qp1p/1p2b3/b4p2/Q2P1N2/2p1PBP1/P4P1P/1R3RK1 b - - 1 24
d3e4,r1bq1rk1/pp2ppbp/2n2np1/2p5/4pP2/2NP1NP1/PPP1Q1BP/R1B2RK1 w - - 0 10
f3e5,r1bq1rk1/pp3pbp/2n2np1/2p1p3/4PP2/2N2NP1/PPP1Q1BP/R1B2RK1 w - - 0 11
f4e5,r1bq1rk1/pp3pbp/5np1/2p1n3/4PP2/2N3P1/PPP1Q1BP/R1B2RK1 w - - 0 12
c3d5,r1bq1rk1/pp3pbp/6p1/2p1P3/4P1n1/2N3P1/PPP1Q1BP/R1B2RK1 w - - 1 13
c1e3,r1bq1rk1/pp3pbp/6p1/2pNn3/4P3/6P1/PPP1Q1BP/R1B2RK1 w - - 0 14
a2a3,r1b2rk1/pp3pbp/6p1/q1pNn3/4P3/4B1P1/PPP1Q1BP/R4RK1 w - - 2 15
b2b4,r1b2rk1/p4pbp/1p4p1/q1pNn3/4P3/P3B1P1/1PP1Q1BP/R4RK1 w - - 0 16
b4b5,r1b2rk1/p4pbp/qp4p1/2pNn3/1P2P3/P3B1P1/2P1Q1BP/R4RK1 w - - 1 17
d5f6,r1b2rk1/p4pbp/1p4p1/1PpNn3/q3P3/P3B1P1/2P1Q1BP/R4RK1 w - - 1 18
h2h3,r1b2r1k/p4pbp/1p3Np1/1Pp1n3/q3P3/P3B1P1/2P1Q1BP/R4RK1 w - - 3 19
e2f2,r4r1k/p4pbp/1p2bNp1/1Pp1n3/q3P3/P3B1PP/2P1Q1B1/R4RK1 w - - 1 20
a1d1,r4r1k/p4pbp/1p2bNp1/1qp1n3/4P3/P3B1PP/2P2QB1/R4RK1 w - - 0 21
g3g4,3r1r1k/p4pbp/1p2bNp1/1qp1n3/4P3/P3B1PP/2P2QB1/3R1RK1 w - - 2 22
f2h4,3r1r1k/p4pbp/1p2bNp1/2p1n3/4P1P1/P3B2P/1qP2QB1/3R1RK1 w - - 1 23
g4h5,3r1r1k/p4pb1/1p2bNp1/2p1n2p/4P1PQ/P3B2P/1qP3B1/3R1RK1 w - - 0 24
h4g5,3r1r1k/p4pb1/1p2bN2/2p1n1pP/4P2Q/P3B2P/1qP3B1/3R1RK1 w - - 0 25
e3c1,3r1r1k/p4pb1/1p2bN2/2p3QP/2n1P3/P3B2P/1qP3B1/3R1RK1 w - - 1 26
h5h6,3r1r1k/p4pb1/1p2bN2/2p1q1QP/2n1P3/P6P/2P3B1/2BR1RK1 w - - 3 27
d1d8,3r1r1k/p4p2/1p2bb1P/2p1q1Q1/2n1P3/P6P/2P3B1/2BR1RK1 w - - 0 28
