b8d7,rn1q1rk1/pbp1ppbp/1p1p2p1/8/2PPP3/2N2NP1/PP1Q1PBP/R4RK1 b - - 0 10
e7e6,r2q1rk1/pbpnppbp/1p1p2p1/8/2PPP3/2N2NP1/PP1Q1PBP/3R1RK1 b - - 2 11
a7a6,r2q1rk1/pbpn1pbp/1p1pp1p1/8/2PPP3/2N2NP1/PP1Q1PBP/3RR1K1 b - - 1 12
d8e7,r2q1rk1/1bpn1pbp/pp1pp1p1/8/2PPP2P/2N2NP1/PP1Q1PB1/3RR1K1 b - - 0 13
d7f6,r4rk1/1bpnqpbp/pp1pp1p1/8/2PPP2P/2N1QNP1/PP3PB1/3RR1K1 b - - 2 14
f6g4,r4rk1/1bp1qpbp/pp1ppnp1/4P3/2PP3P/2N1QNP1/PP3PB1/3RR1K1 b - - 0 15
h7h5,r4rk1/1bp1qpbp/pp1pp1p1/4P3/2PP1QnP/2N2NP1/PP3PB1/3RR1K1 b - - 2 16
d6e5,r4rk1/1bp1qpb1/pp1pp1p1/4P2p/2PP1QnP/2N3P1/PP3PBN/3RR1K1 b - - 1 17
b7g2,r4rk1/1bp1qpb1/pp2p1p1/4P2p/2P2QnP/2N3P1/PP3PBN/3RR1K1 b - - 0 18
g4h2,r4rk1/2p1qpb1/pp2p1p1/4P2p/2P2QnP/2N3P1/PP3PKN/3RR3 b - - 0 19
e7b4,r4rk1/2p1qpb1/pp2p1p1/4P2p/2P2Q1P/2N3P1/PP3P1K/3RR3 b - - 0 20
a8d8,r4rk1/2p2pb1/pp2p1p1/4P2p/1qP2Q1P/2N3P1/PP2RP1K/3R4 b - - 2 21
d8d2,3r1rk1/2p2pb1/pp2p1p1/4P2p/1qP2Q1P/2N3P1/PP1R1P1K/3R4 b - - 4 22
b4c5,5rk1/2p2pb1/pp2p1p1/4P2p/1qP2Q1P/2N3P1/PP1R1P1K/8 b - - 0 23
f8d8,5rk1/2p2pb1/pp2p1p1/2q1P2p/2P2Q1P/2N3P1/PP2RP1K/8 b - - 2 24
d8d3,3r2k1/2p2pb1/pp2p1p1/2q1P2p/2P2Q1P/1PN3P1/P3RP1K/8 b - - 0 25
c5b4,6k1/2p2pb1/pp2p1p1/2q1P2p/N1P2Q1P/1P1r2P1/P3RP1K/8 b - - 2 26
d3d2,6k1/2p2pb1/pp2p1p1/4P2p/NqP1Q2P/1P1r2P1/P3RP1K/8 b - - 4 27
b4c3,6k1/2p2pb1/pp2p1p1/4P2p/1qP1Q2P/1P4P1/PN1rRP1K/8 b - - 6 28
d2e2,6k1/2p2pb1/pp2p1p1/4P2p/N1P1Q2P/1Pq3P1/P2rRP1K/8 b - - 8 29
c2c5,r1bqkb1r/pp2pp1p/2n5/1Np2p2/8/1P6/P1QPPPPP/2R1KBNR w Kkq - 4 10
b5c3,r1bqkb1r/1p2pp1p/p1n5/1NQ2p2/8/1P6/P2PPPPP/2R1KBNR w Kkq - 0 11
c5e3,r1bqkb1r/1p3p1p/p1n5/2Q1pp2/8/1PN5/P2PPPPP/2R1KBNR w Kkq - 0 12
c1b1,r1bqk2r/1p3p1p/p1n5/4pp2/8/bPN1Q3/P2PPPPP/2R1KBNR w Kkq - 2 13
g1f3,r1bq1rk1/1p3p1p/p1n5/4pp2/8/bPN1Q3/P2PPPPP/1R2KBNR w K - 4 14
e3g5,r1bq1rk1/1p3p1p/p1n5/5p2/4p3/bPN1QN2/P2PPPPP/1R2KB1R w K - 0 15
f3g5,r1b2rk1/1p3p1p/p1n5/5pq1/4p3/bPN2N2/P2PPPPP/1R2KB1R w K - 0 16
g5h3,r1b2rk1/1p3p2/p1n4p/5pN1/4p3/bPN5/P2PPPPP/1R2KB1R w K - 0 17
h3f4,r4rk1/1p3p2/p1n1b2p/5p2/4p3/bPN4N/P2PPPPP/1R2KB1R w K - 2 18
e2e3,3r1rk1/1p3p2/p1n1b2p/5p2/4pN2/bPN5/P2PPPPP/1R2KB1R w K - 4 19
g2g4,5rk1/1p3p2/p1nrb2p/5p2/4pN2/bPN1P3/P2P1PPP/1R2KB1R w K - 1 20
h1g1,3r2k1/1p3p2/p1nrb2p/5p2/4pNP1/bPN1P3/P2P1P1P/1R2KB1R w K - 1 21
f4e6,3r1k2/1p3p2/p1nrb2p/5p2/4pNP1/bPN1P3/P2P1P1P/1R2KBR1 w - - 3 22
g4f5,3r1k2/1p6/p1nrp2p/5p2/4p1P1/bPN1P3/P2P1P1P/1R2KBR1 w - - 0 23
f1c4,3r1k2/1p6/p1nr3p/5p2/4p3/bPN1P3/P2P1P1P/1R2KBR1 w - - 0 24
g1g8,3r1k2/1p6/p2r3p/4np2/2B1p3/bPN1P3/P2P1P1P/1R2K1R1 w - - 2 25
g8d8,3r2R1/1p2k3/p2r3p/4np2/2B1p3/bPN1P3/P2P1P1P/1R2K3 w - - 4 26
c3d5,3r4/1p2k3/p6p/4np2/2B1p3/bPN1P3/P2P1P1P/1R2K3 w - - 0 27
d5f4,3r4/1p6/p2k3p/3Nnp2/2B1p3/bP2P3/P2P1P1P/1R2K3 w - - 2 28
d2d4,2r5/1p6/p2k3p/4np2/2B1pN2/bP2P3/P2P1P1P/1R2K3 w - - 4 29
b5b4,r1b1k1nr/pp3pbp/2n1p1p1/1q1P4/P2p4/6P1/1P1NPPBP/R1BQK2R b KQkq - 0 10
g8e7,r1b1k1nr/pp3pbp/2P1p1p1/8/Pq1p4/6P1/1P1NPPBP/R1BQK2R b KQkq - 0 11
e7d5,r1b1k2r/pp2npbp/2P1p1p1/8/Pq1p4/1P4P1/3NPPBP/R1BQK2R b KQkq - 0 12
b4a5,r1b1k2r/pp3pbp/2P1p1p1/3n4/Pq1p4/BP4P1/3NPPBP/R2QK2R b KQkq - 2 13
d5c3,r1b1k2r/pp3pbp/2P1p1p1/q2n4/P2p4/BP4P1/3NPPBP/R2Q1RK1 b kq - 4 14
a5d8,r1b1k2r/pp3pbp/2P1p1p1/q7/P1Np4/BPn3P1/4PPBP/R2Q1RK1 b kq - 6 15
d8d6,r1bqk2r/pp3pbp/2PNp1p1/8/P2p4/BPn3P1/4PPBP/R2Q1RK1 b kq - 8 16
c3d1,r1b1k2r/pp3pbp/2PBp1p1/8/P2p4/1Pn3P1/4PPBP/R2Q1RK1 b kq - 0 17
c8b7,r1b1k2r/pP3pbp/3Bp1p1/8/P2p4/1P4P1/4PPBP/R2n1RK1 b kq - 0 18
e8d7,r3k2r/pB3pbp/3Bp1p1/8/P2p4/1P4P1/4PP1P/R2n1RK1 b kq - 0 19
d7d6,r6r/pB1k1pbp/3Bp1p1/8/P2p4/1P4P1/4PP1P/R2R2K1 b - - 0 20
h8a8,B6r/p4pbp/3kp1p1/8/P2p4/1P4P1/4PP1P/R2R2K1 b - - 0 21
e6e5,r7/p4pbp/3kp1p1/8/PP1p4/6P1/4PP1P/R2R2K1 b - - 0 22
e5e4,r7/p4pbp/3k2p1/1P2p3/P2p4/6P1/4PP1P/R2R2K1 b - - 0 23
d6d5,r7/p4pbp/3k2p1/1P6/P2pp3/6P1/4PP1P/2RR2K1 b - - 1 24
c2c4,r3k2r/pp3ppp/3qpn2/2pp4/6b1/1P4P1/P1PPPPBP/RN1Q1RK1 w kq - 0 10
h2h3,r4rk1/pp3ppp/3qpn2/2pp4/2P3b1/1P4P1/P2PPPBP/RN1Q1RK1 w - - 1 11
d2d3,r4rk1/pp3ppp/3qpn2/2pp3b/2P5/1P4PP/P2PPPB1/RN1Q1RK1 w - - 1 12
d3d4,r4rk1/pp3ppp/4pn2/2ppq2b/2P5/1P1P2PP/P3PPB1/RN1Q1RK1 w - - 1 13
g3g4,r4rk1/pp3ppp/4pn2/3pq2b/2Pp4/1P4PP/P3PPB1/RN1Q1RK1 w - - 0 14
h3g4,r4rk1/pp3ppp/4pn2/3pq3/2Pp2b1/1P5P/P3PPB1/RN1Q1RK1 w - - 0 15
f2f4,r4rk1/pp3ppp/4p3/3pq3/2Pp2n1/1P6/P3PPB1/RN1Q1RK1 w - - 0 16
g1h1,r4rk1/pp3ppp/4p3/3p4/2Pp1Pn1/1P2q3/P3P1B1/RN1Q1RK1 w - - 1 17
b8c6,rnb1kb1r/pp3ppp/4p3/3pP3/8/3B1N2/PqPB1PPP/R2Q1RK1 b kq - 1 10
f8e7,r1b1kb1r/pp3ppp/2n1p3/3pP3/8/3B1N2/PqPB1PPP/R2QR1K1 b kq - 3 11
