h5h6,rn1q1rk1/pp3p1p/2pbbpp1/7Q/3P4/3B4/PPP1NPPP/R1B1K2R w KQ - 0 10
h2h4,rn1qr1k1/pp3p1p/2pbbppQ/8/3P4/3B4/PPP1NPPP/R1B1K2R w KQ - 2 11
d3f5,rn1qr1k1/pp3p1p/2pb1ppQ/5b2/3P3P/3B4/PPP1NPP1/R1B1K2R w KQ - 1 12
c2c3,rn2r1k1/pp3p1p/2pb1ppQ/q4B2/3P3P/8/PPP1NPP1/R1B1K2R w KQ - 1 13
h4h5,rn2r1k1/pp3p1p/2pb1ppQ/5q2/3P3P/2P5/PP2NPP1/R1B1K2R w KQ - 0 14
g2g4,rn2r1k1/pp3p1p/2pb1p1Q/5qpP/3P4/2P5/PP2NPP1/R1B1K2R w KQ - 0 15
d7f6,r1bq1rk1/pp1n1pbp/2p3p1/3p1p2/2PP4/4PNP1/PP1N1PBP/R2Q1RK1 b - - 0 10
f6d5,r1bq1rk1/pp3pbp/2p2np1/3P1p2/3P4/4PNP1/PP1N1PBP/R2Q1RK1 b - - 0 11
f8e8,r1bq1rk1/pp3pbp/2p3p1/3n1p2/3P4/P3PNP1/1P1N1PBP/R2Q1RK1 b - - 0 12
c8e6,r1bqr1k1/pp3pbp/2p3p1/3n1p2/3P4/P3PNP1/1P1N1PBP/2RQ1RK1 b - - 2 13
a7a5,r2qr1k1/pp3pbp/2p1b1p1/3n1p2/2NP4/P3PNP1/1P3PBP/2RQ1RK1 b - - 4 14
d5f6,r2qr1k1/1p3pbp/2p1b1p1/p2n1p2/2NP4/P3PNP1/1P1Q1PBP/2R2RK1 b - - 1 15
f6e4,r2qr1k1/1p3pbp/2p1bnp1/p4p2/2NP4/P3PNP1/1P1Q1PBP/2RR2K1 b - - 3 16
e6d5,r2qr1k1/1p3pbp/2p1b1p1/p4p2/2NPn3/P3PNP1/1PQ2PBP/2RR2K1 b - - 5 17
f7f6,r2qr1k1/1p3pbp/2p3p1/p2bNp2/3Pn3/P3PNP1/1PQ2PBP/2RR2K1 b - - 7 18
g6g5,r2qr1k1/1p4bp/2p2pp1/p2b1p2/3Pn3/P2NPNP1/1PQ2PBP/2RR2K1 b - - 1 19
d8e7,r2qr1k1/1p4bp/2p2p2/p1Nb1pp1/3Pn3/P3PNP1/1PQ2PBP/2RR2K1 b - - 1 20
d5e4,r3r1k1/1p2q1bp/2p2p2/p2b1pp1/3PN3/P3PNP1/1PQ2PBP/2RR2K1 b - - 0 21
e4d5,r3r1k1/1p2q1bp/2p2p2/p4pp1/3Pb3/PQ2PNP1/1P3PBP/2RR2K1 b - - 1 22
e7e6,r3r1k1/1p2q1bp/2p2p2/p2b1pp1/3P4/P3PNP1/1PQ2PBP/2RR2K1 b - - 3 23
a8d8,r3r1k1/1p4bp/2p1qp2/p2b1pp1/3P4/P3P1P1/1PQN1PBP/2RR2K1 b - - 5 24
d8d5,3rr1k1/1p4bp/2p1qp2/p2B1pp1/3P4/P3P1P1/1PQN1P1P/2RR2K1 b - - 0 25
f5f4,4r1k1/1p4bp/2p1qp2/p2r1pp1/2NP4/P3P1P1/1PQ2P1P/2RR2K1 b - - 1 26
d5b5,4r1k1/1p4bp/1Np1qp2/p2r2p1/3P1p2/P3P1P1/1PQ2P1P/2RR2K1 b - - 1 27
f4g3,4r1k1/1p4bp/2p1qp2/pr4p1/2NP1p2/P3P1P1/1PQ2P1P/2RR2K1 b - - 3 28
