a1c1,r1bq1rk1/1pp1bpp1/p1n2n1p/3p4/3P1B2/2N2NP1/PP2PPBP/R2Q1RK1 w - - 0 10
f3e5,r1bq1rk1/1pp1bpp1/p1n4p/3p4/3PnB2/2N2NP1/PP2PPBP/2RQ1RK1 w - - 2 11
c1c3,r1bq1rk1/1pp1bpp1/p1n4p/3pN3/3P1B2/2n3P1/PP2PPBP/2RQ1RK1 w - - 0 12
f4e5,r1bq1rk1/1pp1bpp1/p6p/3pn3/3P1B2/2R3P1/PP2PPBP/3Q1RK1 w - - 0 13
d1b3,r1bq1rk1/1p2bpp1/p1p4p/3pB3/3P4/2R3P1/PP2PPBP/3Q1RK1 w - - 0 14
e2e4,r1bq1rk1/1p2bp2/p1p4p/3pB1p1/3P4/1QR3P1/PP2PPBP/5RK1 w - - 0 15
e4d5,r1bq1rk1/1p2b3/p1p2p1p/3pB1p1/3PP3/1QR3P1/PP3PBP/5RK1 w - - 0 16
d5c6,r1bq1rk1/1p2b3/p1p4p/3Pp1p1/3P4/1QR3P1/PP3PBP/5RK1 w - - 0 17
c6b7,r1bq1r2/1p2b1k1/p1P4p/4p1p1/3P4/1QR3P1/PP3PBP/5RK1 w - - 1 18
b3b7,r2q1r2/1b2b1k1/p6p/4p1p1/3P4/1QR3P1/PP3PBP/5RK1 w - - 0 19
b7a7,1r1q1r2/1Q2b1k1/p6p/4p1p1/3P4/2R3P1/PP3PBP/5RK1 w - - 1 20
d4e5,1r1q1r1k/Q3b3/p6p/4p1p1/3P4/2R3P1/PP3PBP/5RK1 w - - 3 21
c3c7,3q1r1k/Q3b3/p6p/4P1p1/8/2R3P1/Pr3PBP/5RK1 w - - 0 22
a7a6,3qr2k/Q1R1b3/p6p/4P1p1/8/6P1/Pr3PBP/5RK1 w - - 2 23
a6c6,3qrb1k/2R5/Q6p/4P1p1/8/6P1/Pr3PBP/5RK1 w - - 1 24
c6c3,3q1b1k/2R5/2Q4p/4r1p1/8/6P1/Pr3PBP/5RK1 w - - 0 25
g2f3,3q1b1k/2R5/7p/4r1p1/8/2Q3P1/P3rPBP/5RK1 w - - 2 26
f3e2,3q3k/2R3b1/7p/4r1p1/8/2Q2BP1/P3rP1P/5RK1 w - - 4 27
c7c8,3q3k/2R1r1b1/7p/6p1/8/2Q3P1/P3BP1P/5RK1 w - - 1 28
g8f6,r3k1nr/ppq2ppp/2nbp3/3p3b/3P4/2PBNN1P/PP3PP1/R1BQK2R b KQkq - 3 10
e8c8,r3k2r/ppq2ppp/2nbpn2/3p3b/3P4/2PBNN1P/PP1B1PP1/R2QK2R b KQkq - 5 11
c8b8,2kr3r/ppq2ppp/2nbpn2/3p3b/3P4/2PBNN1P/PPQB1PP1/R3K2R b KQ - 7 12
f6e4,1k1r3r/ppq2ppp/2nbpn2/3p3b/3P4/2PBNN1P/PPQB1PP1/2KR3R b - - 9 13
d5e4,1k1r3r/ppq2ppp/2nbp3/3p3b/3PB3/2P1NN1P/PPQB1PP1/2KR3R b - - 0 14
h5g6,1k1r3r/ppq2ppp/2nbp3/7b/3Pp1P1/2P1NN1P/PPQB1P2/2KR3R b - - 0 15
d6e7,1k1r3r/ppq2ppp/2nbp1b1/8/3Pp1PN/2P1N2P/PPQB1P2/2KR3R b - - 2 16
h7g6,1k1r3r/ppq1bppp/2n1p1N1/8/3Pp1P1/2P1N2P/PPQB1P2/2KR3R b - - 0 17
c6d4,1k1r3r/ppq1bpp1/2n1p1p1/8/3PQ1P1/2P1N2P/PP1B1P2/2KR3R b - - 0 18
d4c6,1k1r3r/ppq1bpp1/4p1p1/8/3nQ1P1/2P4P/PPNB1P2/2KR3R b - - 1 19
e6e5,1k1r3r/ppq1bpp1/2n1p1p1/8/4QBP1/2P4P/PPN2P2/2KR3R b - - 3 20
c7c8,1k1r3r/ppq1bpp1/2n3p1/4p3/4Q1P1/2P1B2P/PPN2P2/2KR3R b - - 1 21
f7f5,1kqr3r/pp2bpp1/2n3p1/3Rp3/4Q1P1/2P1B2P/PPN2P2/2K4R b - - 3 22
g6f5,1kqr3r/pp2b1p1/2n3p1/3RpP2/4Q3/2P1B2P/PPN2P2/2K4R b - - 0 23
d8d5,1kqr3r/pp2b1p1/2n5/3Rpp2/8/2PQB2P/PPN2P2/2K4R b - - 1 24
h8d8,1kq4r/pp2b1p1/2n5/3Qpp2/8/2P1B2P/PPN2P2/2K4R b - - 0 25
f5f4,1kqr4/pp2b1p1/2n5/4pp2/2Q5/2P1B2P/PPN2P2/2K4R b - - 2 26
c8d7,1kqr4/pp2b1p1/2n5/4p3/2Q2p2/2P4P/PPNB1P2/2K4R b - - 1 27
d7h3,1k1r4/pp1qb1p1/2n5/4p3/2Q2p2/2P4P/PPNB1P2/2KR4 b - - 3 28
h3d3,1k1r4/pp2b1p1/2n5/4p3/1PQ2p2/2P4q/P1NB1P2/2KR4 b - - 0 29
f3d2,r1bq1rk1/pp1n1ppp/2pb1n2/3p4/2PPp3/1PN1PN2/PBQ1BPPP/R3K2R w KQ - 0 10
h2h3,r1bq1rk1/pp1n1pp1/2pb1n2/3p3p/2PPp3/1PN1P3/PBQNBPPP/R3K2R w KQ - 0 11
g2g4,r1bqr1k1/pp1n1pp1/2pb1n2/3p3p/2PPp3/1PN1P2P/PBQNBPP1/R3K2R w KQ - 1 12
e1c1,r1bqr1k1/pp1n1pp1/2pb1n2/3p4/2PPp1Pp/1PN1P2P/PBQNBP2/R3K2R w KQ - 0 13
h1f1,r1bqrnk1/pp3pp1/2pb1n2/3p4/2PPp1Pp/1PN1P2P/PBQNBP2/2KR3R w - - 2 14
f2f4,r1bqr1k1/pp3ppn/2pb1n2/3p4/2PPp1Pp/1PN1P2P/PBQNBP2/2KR1R2 w - - 4 15
d2f3,r1bqr1k1/pp3ppn/2pb1n2/3p4/2PP2Pp/1PN1Pp1P/PBQNB3/2KR1R2 w - - 0 16
e2d3,r1bq2k1/pp3ppn/2pb1n2/3p4/2PP2Pp/1PN1rN1P/PBQ1B3/2KR1R2 w - - 0 17
d3h7,r1bq2k1/pp3ppn/2pb1n2/3p4/2PP2Pp/1PNB1r1P/PBQ5/2KR1R2 w - - 0 18
f1f3,r1bq2k1/pp3ppn/2pb4/3p4/2PP2Pp/1PN2r1P/PBQ5/2KR1R2 w - - 0 19
f3d3,r1bq2k1/pp3pp1/2pb4/3p2n1/2PP2Pp/1PN2R1P/PBQ5/2KR4 w - - 1 20
