f1e2,r1bq1rk1/1p3ppp/p1nbpn2/3p4/1PP5/P1N1PN2/1B3PPP/R2QKB1R w KQ - 3 10
e2c4,r1bq1rk1/1p3ppp/p1nbpn2/8/1Pp5/P1N1PN2/1B2BPPP/R2QK2R w KQ - 0 11
c4d3,r1bq1rk1/5ppp/p1nbpn2/1p6/1PB5/P1N1PN2/1B3PPP/R2QK2R w KQ - 0 12
c3e4,r2q1rk1/1b3ppp/p1nbpn2/1p6/1P6/P1NBPN2/1B3PPP/R2QK2R w KQ - 2 13
d3e4,r2q1rk1/1b3ppp/p1nbp3/1p6/1P2n3/P2BPN2/1B3PPP/R2QK2R w KQ - 0 14
e1g1,r2q1rk1/1b2bppp/p1n1p3/1p6/1P2B3/P3PN2/1B3PPP/R2QK2R w KQ - 1 15
f3d4,r2q1rk1/1b2bppp/2n1p3/pp6/1P2B3/P3PN2/1B3PPP/R2Q1RK1 w - - 0 16
d4c6,r4rk1/1b2bppp/1qn1p3/pp6/1P1NB3/P3P3/1B3PPP/R2Q1RK1 w - - 2 17
d1g4,r4rk1/4bppp/1qb1p3/pp6/1P2B3/P3P3/1B3PPP/R2Q1RK1 w - - 0 18
e4c6,r4rk1/4bp1p/1qb1p1p1/pp6/1P2B1Q1/P3P3/1B3PPP/R4RK1 w - - 0 19
g4d4,r4rk1/4bp1p/2q1p1p1/pp6/1P4Q1/P3P3/1B3PPP/R4RK1 w - - 0 20
f1c1,r4rk1/4b2p/2q1ppp1/pp6/1P1Q4/P3P3/1B3PPP/R4RK1 w - - 0 21
d4g4,r4rk1/1q2b2p/4ppp1/pp6/1P1Q4/P3P3/1B3PPP/R1R3K1 w - - 2 22
g4h3,r4r2/1q2bk1p/4ppp1/pp6/1P4Q1/P3P3/1B3PPP/R1R3K1 w - - 4 23
b4a5,r4r2/1q2bk2/4ppp1/pp5p/1P6/P3P2Q/1B3PPP/R1R3K1 w - - 0 24
h3g3,5r2/1q2bk2/4ppp1/rp5p/8/P3P2Q/1B3PPP/R1R3K1 w - - 0 25
g3f4,2r5/1q2bk2/4ppp1/rp5p/8/P3P1Q1/1B3PPP/R1R3K1 w - - 2 26
f4h6,2r5/1q2bk2/4ppp1/r6p/1p3Q2/P3P3/1B3PPP/R1R3K1 w - - 0 27
h6h8,2r2b2/1q3k2/4pppQ/r6p/1p6/P3P3/1B3PPP/R1R3K1 w - - 2 28
c1c8,2r2b1Q/1q3k2/5pp1/r3p2p/1p6/P3P3/1B3PPP/R1R3K1 w - - 0 29
f3g5,rn1qk2r/1b2bppp/pp1ppn2/8/2PQ4/2N2NP1/PP2PPBP/R1BR2K1 w kq - 2 10
