c5d6,r1bq1rk1/ppp1n1bp/3p1ppn/2PPp3/4P3/2N1BN2/PP3PPP/R2QKB1R w KQ - 1 10
f1e2,r1bq1rk1/pp2n1bp/3p1ppn/3Pp3/4P3/2N1BN2/PP3PPP/R2QKB1R w KQ - 0 11
e3d2,r1bq1rk1/pp2n1bp/3p1pp1/3Pp3/4P1n1/2N1BN2/PP2BPPP/R2QK2R w KQ - 2 12
e1g1,r1bq1rk1/pp2n1bp/3p2p1/3Ppp2/4P1n1/2N2N2/PP1BBPPP/R2QK2R w KQ - 0 13
a1c1,r1bq1rk1/pp2n1b1/3p2pp/3Ppp2/4P1n1/2N2N2/PP1BBPPP/R2Q1RK1 w - - 0 14
d1b3,r1bq2k1/pp2nrb1/3p2pp/3Ppp2/4P1n1/2N2N2/PP1BBPPP/2RQ1RK1 w - - 2 15
b3b4,r1bq2k1/1p2nrb1/p2p2pp/3Ppp2/4P1n1/1QN2N2/PP1BBPPP/2R2RK1 w - - 0 16
e4f5,r1bq2k1/1p2nrb1/p2p1npp/3Ppp2/1Q2P3/2N2N2/PP1BBPPP/2R2RK1 w - - 2 17
f1e1,r1bq2k1/1p2nrb1/p2p1n1p/3Ppp2/1Q6/2N2N2/PP1BBPPP/2R2RK1 w - - 0 18
a2a4,r1bq2k1/4nrb1/p2p1n1p/1p1Ppp2/1Q6/2N2N2/PP1BBPPP/2R1R1K1 w - - 0 19
c3d5,r1bq2k1/5rb1/p2p1n1p/1p1npp2/PQ6/2N2N2/1P1BBPPP/2R1R1K1 w - - 0 20
b4b3,r1bq2k1/5rb1/p2p3p/1p1npp2/PQ6/5N2/1P1BBPPP/2R1R1K1 w - - 0 21
a4b5,r2q2k1/5rb1/p2pb2p/1p1npp2/P7/1Q3N2/1P1BBPPP/2R1R1K1 w - - 2 22
e2b5,r2q2k1/5rb1/3pb2p/1p1npp2/8/1Q3N2/1P1BBPPP/2R1R1K1 w - - 0 23
b3a4,1r1q2k1/5rb1/3pb2p/1B1npp2/8/1Q3N2/1P1B1PPP/2R1R1K1 w - - 1 24
d2a5,1r1q2k1/5rb1/3pb2p/1B1n1p2/Q3p3/5N2/1P1B1PPP/2R1R1K1 w - - 0 25
f3d2,1r4k1/5rb1/3pbq1p/BB1n1p2/Q3p3/5N2/1P3PPP/2R1R1K1 w - - 2 26
b5c4,1r4k1/5rb1/3pb2p/BB1n1p2/Q3p3/8/1q1N1PPP/2R1R1K1 w - - 0 27
a4a2,1r4k1/5rb1/3pb2p/B2nqp2/Q1B1p3/8/3N1PPP/2R1R1K1 w - - 2 28
g2g3,1r4k1/5rb1/3pb2p/B3qp2/2B1pn2/8/Q2N1PPP/2R1R1K1 w - - 4 29
f8e7,r2qkb1r/p1pn1ppp/b3p3/3p4/P2Pn3/N1P2NP1/2Q1PPBP/R1B2RK1 b kq - 4 10
e8g8,r2qk2r/p1pnbppp/b3p3/3p4/P1PPn3/N4NP1/2Q1PPBP/R1B2RK1 b kq - 0 11
e6d5,r2q1rk1/p1pnbppp/b3p3/3P4/P2Pn3/N4NP1/2Q1PPBP/R1B2RK1 b - - 0 12
d7e5,r2q1rk1/p1pnbppp/b7/3pN3/P2Pn3/N5P1/2Q1PPBP/R1B2RK1 b - - 1 13
d8d7,r2q1rk1/p1p1bppp/b7/3pP3/P3n3/N5P1/2Q1PPBP/R1B2RK1 b - - 0 14
d5e4,r4rk1/p1pqbppp/b7/3pP3/P3B3/N5P1/2Q1PP1P/R1B2RK1 b - - 0 15
a8b8,r4rk1/p1pqbppp/b7/4P3/P3Q3/N5P1/4PP1P/R1B2RK1 b - - 0 16
a6e2,1r3rk1/p1pqbppp/b7/4P3/P3Q3/N3B1P1/4PP1P/R4RK1 b - - 2 17
b8b4,1r3rk1/p1pqbppp/8/4P3/P3Q3/N3B1P1/4bP1P/R1R3K1 b - - 1 18
d7h3,5rk1/p1pqbppp/2Q5/4P3/Pr6/N3B1P1/4bP1P/R1R3K1 b - - 3 19
h3h5,5rk1/p1p1bppp/8/4P3/Pr6/N3B1Pq/4bPQP/R1R3K1 b - - 5 20
e2f3,5rk1/p1R1bppp/8/4P2q/Pr6/N3B1P1/4bPQP/R5K1 b - - 0 21
b4h4,5rk1/p1R1bppp/8/4P2q/Pr6/N3BbP1/5P1P/R4QK1 b - - 2 22
f1e2,rn1q1rk1/pp2ppbp/2p2np1/8/2QPPBb1/2N2N2/PP3PPP/R3KB1R w KQ - 1 10
e1g1,r2q1rk1/pp1nppbp/2p2np1/8/2QPPBb1/2N2N2/PP2BPPP/R3K2R w KQ - 3 11
c4d3,r2q1rk1/pp2ppbp/1np2np1/8/2QPPBb1/2N2N2/PP2BPPP/R4RK1 w - - 5 12
f1d1,r2qnrk1/pp2ppbp/1np3p1/8/3PPBb1/2NQ1N2/PP2BPPP/R4RK1 w - - 7 13
h2h3,r2qnrk1/pp2ppb1/1np3pp/8/3PPBb1/2NQ1N2/PP2BPPP/R2R2K1 w - - 0 14
e2f3,r2qnrk1/pp2ppb1/1np3pp/8/3PPB2/2NQ1b1P/PP2BPP1/R2R2K1 w - - 0 15
a1c1,r2q1rk1/ppn1ppb1/1np3pp/8/3PPB2/2NQ1B1P/PP3PP1/R2R2K1 w - - 1 16
f4e3,r2q1rk1/pp2ppb1/1np1n1pp/8/3PPB2/2NQ1B1P/PP3PP1/2RR2K1 w - - 3 17
f3g4,r2q1rk1/pp2ppb1/1np3pp/6n1/3PP3/2NQBB1P/PP3PP1/2RR2K1 w - - 5 18
d4d5,r2q1rk1/pp3pb1/1np3pp/4p1n1/3PP1B1/2NQB2P/PP3PP1/2RR2K1 w - - 0 19
e4d5,r2q1rk1/pp3pb1/1n4pp/3pp1n1/4P1B1/2NQB2P/PP3PP1/2RR2K1 w - - 0 20
g4c8,r1nq1rk1/pp3pb1/6pp/3Pp1n1/6B1/2NQB2P/PP3PP1/2RR2K1 w - - 1 21
d5d6,2rq1rk1/pp3pb1/6pp/3Pp1n1/8/2NQB2P/PP3PP1/2RR2K1 w - - 0 22
e3a7,2rq1rk1/pp4b1/3P2pp/4ppn1/8/2NQB2P/PP3PP1/2RR2K1 w - - 0 23
d6d7,2rq1rk1/Bp4b1/3P2pp/4p1n1/5p2/2NQ3P/PP3PP1/2RR2K1 w - - 0 24
d3d5,3q1rk1/Bp1P2b1/2r3pp/4p1n1/5p2/2NQ3P/PP3PP1/2RR2K1 w - - 1 25
a7c5,3q1r2/Bp1P2bk/2r3pp/3Qp1n1/5p2/2N4P/PP3PP1/2RR2K1 w - - 3 26
d5c5,3q1r2/1p1P2bk/6pp/2rQp1n1/5p2/2N4P/PP3PP1/2RR2K1 w - - 0 27
c5c8,3q1r2/1p1P2bk/6pp/2Q1p1n1/8/2N2p1P/PP3PP1/2RR2K1 w - - 0 28
d7c8q,2q2r2/1p1P2bk/6pp/4p1n1/8/2N2p1P/PP3PP1/2RR2K1 w - - 0 29
d8c7,r1bqk2r/1p1nbppp/p1npp3/6P1/3NP2P/2N1B3/PPP1BP2/R2QK2R b KQkq - 0 10
b7b5,r1b1k2r/1pqnbppp/p1npp3/6P1/3NPP1P/2N1B3/PPP1B3/R2QK2R b KQkq - 0 11
c8b7,r1b1k2r/2qnbppp/p1npp3/1p4P1/3NPP1P/2N1BB2/PPP5/R2QK2R b KQkq - 1 12
a8c8,r3k2r/1bqnbppp/p1npp3/1p4P1/3NPP1P/2N1BB2/PPPQ4/R3K2R b KQkq - 3 13
b7c6,2r1k2r/1bqnbppp/p1Npp3/1p4P1/4PP1P/2N1BB2/PPPQ4/R3K2R b KQk - 0 14
c7b7,2r1k2r/2qnbppp/p1bpp3/1p4P1/4PP1P/4BB2/PPPQN3/R3K2R b KQk - 1 15
d7c5,2r1k2r/1q1nbppp/p1bpp3/1p4P1/4PP1P/4BBN1/PPPQ4/R3K2R b KQk - 3 16
f7f5,2r1k2r/1q2bppp/p1bpp3/1pn3P1/4PP1P/4BBN1/PPP3Q1/R3K2R b KQk - 5 17
d6c5,2r1k2r/1q2b1pp/p1bpp3/1pB2pP1/4PP1P/5BN1/PPP3Q1/R3K2R b KQk - 0 18
f5e4,2r1k2r/1q2b1pp/p1b1p3/1pp2pP1/4PP1P/5BN1/PPP3Q1/R4RK1 b k - 1 19
e8g8,2r1k2r/1q2b1pp/p1b1p3/1pp3P1/4BP1P/6N1/PPP3Q1/R4RK1 b k - 0 20
c5c4,2r2rk1/1q2b1pp/p1b1p3/1pp3P1/4BP1P/6N1/PPP3Q1/4RRK1 b - - 2 21
c8c6,2r2rk1/1q2b1pp/p1B1p3/1p4P1/2p2P1P/6N1/PPP3Q1/4RRK1 b - - 0 22
b7b6,5rk1/1q2b1pp/p1r1R3/1p4P1/2p2P1P/6N1/PPP3Q1/5RK1 b - - 0 23
c6e6,5rk1/4b1pp/pqr1R3/1p4P1/2p2P1P/6N1/PPP3QK/5R2 b - - 2 24
e6e3,5rk1/4b1pp/pq2r3/1p3PP1/2p4P/6N1/PPP3QK/5R2 b - - 0 25
g7f6,5rk1/4b1pp/pq3P2/1p4P1/2p4P/4r1N1/PPP3QK/5R2 b - - 0 26
