e1g1,rnbq1rk1/p3ppbp/1p4p1/2p5/3PP3/2P1BN2/P3BPPP/R2QK2R w KQ - 0 10
d1b1,rn1q1rk1/pb2ppbp/1p4p1/2p5/3PP3/2P1BN2/P3BPPP/R2Q1RK1 w - - 2 11
f1c1,rn3rk1/pbq1ppbp/1p4p1/2p5/3PP3/2P1BN2/P3BPPP/RQ3RK1 w - - 4 12
a2a4,r4rk1/pbqnppbp/1p4p1/2p5/3PP3/2P1BN2/P3BPPP/RQR3K1 w - - 6 13
a1a2,r4rk1/1bqnppbp/pp4p1/2p5/P2PP3/2P1BN2/4BPPP/RQR3K1 w - - 0 14
a2b2,r4rk1/1bqn1pbp/pp2p1p1/2p5/P2PP3/2P1BN2/R3BPPP/1QR3K1 w - - 0 15
h2h4,r4rk1/2qn1pbp/ppb1p1p1/2p5/P2PP3/2P1BN2/1R2BPPP/1QR3K1 w - - 2 16
b2a2,r4rk1/2qn1pbp/pp2p1p1/2p5/b2PP2P/2P1BN2/1R2BPP1/1QR3K1 w - - 0 17
a2a6,r4rk1/2qn1pbp/ppb1p1p1/2p5/3PP2P/2P1BN2/R3BPP1/1QR3K1 w - - 2 18
e2a6,5rk1/2qn1pbp/rpb1p1p1/2p5/3PP2P/2P1BN2/4BPP1/1QR3K1 w - - 0 19
a6d3,r5k1/2qn1pbp/Bpb1p1p1/2p5/3PP2P/2P1BN2/5PP1/1QR3K1 w - - 1 20
f3d2,r5k1/1q1n1pbp/1pb1p1p1/2p5/3PP2P/2PBBN2/5PP1/1QR3K1 w - - 3 21
d2c4,r5k1/2qn1pbp/1pb1p1p1/2p5/3PP2P/2PBB3/3N1PP1/1QR3K1 w - - 5 22
g2g3,1r4k1/2qn1pbp/1pb1p1p1/2p5/2NPP2P/2PBB3/5PP1/1QR3K1 w - - 7 23
c4d2,1r4k1/2qn1pbp/2b1p1p1/1pp5/2NPP2P/2PBB1P1/5P2/1QR3K1 w - - 0 24
e3f4,1r4k1/3n1pbp/2bqp1p1/1pp5/3PP2P/2PBB1P1/3N1P2/1QR3K1 w - - 2 25
d4e5,1r4k1/3n1pbp/2bq2p1/1pp1p3/3PPB1P/2PB2P1/3N1P2/1QR3K1 w - - 0 26
d3e2,1r4k1/5pbp/2bq2p1/1pp1n3/4PB1P/2PB2P1/3N1P2/1QR3K1 w - - 0 27
f4e3,1r4k1/5pbp/2b1q1p1/1pp1n3/4PB1P/2P3P1/3NBP2/1QR3K1 w - - 2 28
d2f3,1r4k1/5pbp/2b1q1p1/1p2n3/2p1P2P/2P1B1P1/3NBP2/1QR3K1 w - - 0 29
e6e5,rnbqk2r/pp3ppp/4p3/8/2BNn1Q1/2P5/P4PPP/R1B2RK1 b kq - 1 10
d8f6,rnbqk2r/pp3pQp/8/4p3/2BNn3/2P5/P4PPP/R1B2RK1 b kq - 0 11
e4f6,rnb1k2r/pp3p1p/5Q2/4p3/2BNn3/2P5/P4PPP/R1B2RK1 b kq - 0 12
f6d7,rnb1k2r/pp3p1p/5n2/4p3/2BN4/2P5/P4PPP/R1B1R1K1 b kq - 1 13
f7f6,rnb1k2r/pp1n1p1p/8/4p3/2BN1P2/2P5/P5PP/R1B1R1K1 b kq - 0 14
b7b6,rnb1k2r/pp1n3p/4Np2/4p3/2B2P2/2P5/P5PP/R1B1R1K1 b kq - 1 15
e8d8,rnb1k2r/p1Nn3p/1p3p2/4p3/2B2P2/2P5/P5PP/R1B1R1K1 b kq - 1 16
c8b7,Nnbk3r/p2n3p/1p3p2/4p3/2B2P2/2P5/P5PP/R1B1R1K1 b - - 0 17
f6e5,Nn1k3r/pb1n3p/1p3p2/4P3/2B5/2P5/P5PP/R1B1R1K1 b - - 0 18
d8c8,Nn1k3r/pb1n3p/1p6/4p1B1/2B5/2P5/P5PP/R3R1K1 b - - 1 19
b7a8,Nnk4r/pb1n3p/1p2B3/4p1B1/8/2P5/P5PP/R3R1K1 b - - 3 20
c8c7,bnk4r/p2n3p/1p2B3/4p1B1/8/2P5/P5PP/3RR1K1 b - - 1 21
h7h6,bn5r/p1kn3p/1p2B3/4p1B1/7P/2P5/P5P1/3RR1K1 b - - 0 22
h8e8,bn5r/p1knB3/1p2B2p/4p3/7P/2P5/P5P1/3RR1K1 b - - 1 23
c7c8,bn2r3/p1kn4/1p1BB2p/4p3/7P/2P5/P5P1/3RR1K1 b - - 3 24
c8b7,bnk1r3/p2n4/1p1B3p/4pB2/7P/2P5/P5P1/3RR1K1 b - - 5 25
b7a6,bn2r3/pk1n4/1p1B3p/4pB2/2P4P/8/P5P1/3RR1K1 b - - 0 26
d7b8,bB2r3/p2n4/kp5p/4pB2/2P4P/8/P5P1/3RR1K1 b - - 0 27
e8g8,bn2r3/p7/kp1R3p/4pB2/2P4P/8/P5P1/4R1K1 b - - 1 28
h6h5,bn4r1/p7/kp1R3p/4pB2/2P3PP/8/P7/4R1K1 b - - 0 29
f1e1,r1bq1rk1/pp1nppbp/6p1/1Bp5/3PP3/2P2N2/P4PPP/R1BQ1RK1 w - - 4 10
c1g5,r1b2rk1/ppqnppbp/6p1/1Bp5/3PP3/2P2N2/P4PPP/R1BQR1K1 w - - 6 11
a2a4,r1b2rk1/ppqn1pbp/4p1p1/1Bp3B1/3PP3/2P2N2/P4PPP/R2QR1K1 w - - 0 12
a1c1,r1b2rk1/p1qn1pbp/1p2p1p1/1Bp3B1/P2PP3/2P2N2/5PPP/R2QR1K1 w - - 0 13
b5c4,r1b2rk1/2qn1pbp/pp2p1p1/1Bp3B1/P2PP3/2P2N2/5PPP/2RQR1K1 w - - 0 14
d4d5,r1b1r1k1/2qn1pbp/pp2p1p1/2p3B1/P1BPP3/2P2N2/5PPP/2RQR1K1 w - - 2 15
d5d6,r3r1k1/1bqn1pbp/pp2p1p1/2pP2B1/P1B1P3/2P2N2/5PPP/2RQR1K1 w - - 1 16
e4e5,r3r1k1/1b1n1pbp/ppqPp1p1/2p3B1/P1B1P3/2P2N2/5PPP/2RQR1K1 w - - 1 17
c4e2,r3r1k1/1b3pbp/ppqPp1p1/2p1n1B1/P1B5/2P2N2/5PPP/2RQR1K1 w - - 0 18
g5e7,r3r1k1/1b1n1pbp/ppqPp1p1/2p3B1/P7/2P2N2/4BPPP/2RQR1K1 w - - 2 19
a4b5,r3r1k1/1b1nBpbp/p1qPp1p1/1pp5/P7/2P2N2/4BPPP/2RQR1K1 w - - 0 20
c1b1,r3r1k1/1b1nBpbp/2qPp1p1/1pp5/8/2P2N2/4BPPP/2RQR1K1 w - - 0 21
f3d4,r3r1k1/1b1nBpbp/2qPp1p1/1p6/2p5/2P2N2/4BPPP/1R1QR1K1 w - - 0 22
a7a6,rnb1k2r/ppp2p2/3p1npp/8/4P3/2N2P2/PPP3PP/2KR1BNR b kq - 1 10
b8c6,rnb1k2r/1pp2p2/p2p1npp/8/2B1P3/2N2P2/PPP3PP/2KR2NR b kq - 1 11
f6d5,r1b1k2r/1pp2p2/p1np1npp/3N4/2B1P3/5P2/PPP3PP/2KR2NR b kq - 3 12
c6e5,r1b1k2r/1pp2p2/p1np2pp/3B4/4P3/5P2/PPP3PP/2KR2NR b kq - 0 13
e8e7,r1b1k2r/1pp2p2/p2p2pp/3Bn3/4P3/5P2/PPP1N1PP/2KR3R b kq - 2 14
e5g4,r1b4r/1pp1kp2/p2p2pp/3Bn3/4PP2/8/PPP1N1PP/2KR3R b - - 0 15
g4e3,r1b4r/1pp1kp2/p2p2pp/3B4/4PPn1/8/PPP1N1PP/2K2R1R b - - 2 16
e3d5,r1b4r/1pp1kp2/p2p2pp/3B4/4PP2/4n3/PPP1NRPP/2K4R b - - 4 17
h6h5,r1b4r/1pp1kp2/p2p2pp/3P4/5P2/8/PPP1NRPP/2K4R b - - 0 18
e7f6,r1b4r/1pp1kp2/p2p2p1/3P3p/5P2/8/PPP1NRPP/2K1R3 b - - 1 19
c8f5,r1b4r/1pp2p2/p2p1kp1/3P3p/5P2/2N5/PPP2RPP/2K1R3 b - - 3 20
h8e8,r6r/1pp2p2/p2p1kp1/3P1b1p/5P2/2N3P1/PPP2R1P/2K1R3 b - - 0 21
e8e2,r3r3/1pp2p2/p2p1kp1/3P1b1p/5P2/2N3P1/PPP1R2P/2K1R3 b - - 2 22
h5h4,r7/1pp2p2/p2p1kp1/3P1b1p/5P2/2N3P1/PPP1R2P/2K5 b - - 0 23
h4g3,r7/1pp2p2/p2p1kp1/3P1b2/5P1p/2N3P1/PPPKR2P/8 b - - 1 24
a8h8,r7/1pp2p2/p2p1kp1/3P1b2/5P2/2N3P1/PPPKR3/8 b - - 0 25
h8h1,7r/1pp2p2/p2p1kp1/3P1b2/5P2/2N1K1P1/PPP1R3/8 b - - 2 26
f5e4,8/1pp2p2/p2p1kp1/3P1b2/4NP2/4K1P1/PPP1R3/7r b - - 4 27
h1d1,8/1pp2p2/p2p1kp1/3P4/4KP2/6P1/PPP1R3/7r b - - 0 28
a6a5,8/1pp2p2/p2p1kp1/3P4/2P1KP2/6P1/PP2R3/3r4 b - - 0 29
h7h5,r1b1kb1r/1p3p1p/pqnppp2/8/4PP2/1NN5/PPPQ2PP/R3KB1R b KQkq - 1 10
c8d7,r1b1kb1r/1p3p2/pqnppp2/7p/4PP2/1NN5/PPPQ2PP/2KR1B1R b kq - 1 11
e8c8,r3kb1r/1p1b1p2/pqnppp2/7p/4PP2/1NN5/PPPQ2PP/1K1R1B1R b kq - 3 12
h5h4,2kr1b1r/1p1b1p2/pqnppp2/7p/4PP2/1NN5/PPPQB1PP/1K1R3R b - - 5 13
c6e7,2kr1b1r/1p1b1p2/pqnppp2/8/4PP1p/1NN5/PPPQB1PP/1K1R1R2 b - - 1 14
d7c6,2kr1b1r/1p1bnp2/pq1ppp2/8/4PPBp/1NN5/PPPQ2PP/1K1R1R2 b - - 3 15
c8b8,2kr1b1r/1p2np2/pqbppp2/8/3NPPBp/2N5/PPPQ2PP/1K1R1R2 b - - 5 16
b6c6,1k1r1b1r/1p2np2/pqNppp2/8/4PPBp/2N5/PPPQ2PP/1K1R1R2 b - - 0 17
e7g6,1k1r1b1r/1p2np2/p1qppp2/8/4PPBp/2N2R2/PPPQ2PP/1K1R4 b - - 1 18
f8h6,1k1r1b1r/1p3p2/p1qpppn1/8/4PP1p/2N2R1B/PPPQ2PP/1K1R4 b - - 3 19
g6f4,1k1r3r/1p3p2/p1qpppnb/8/4PP1p/2N2R1B/PPPQ2PP/1K3R2 b - - 5 20
e6e5,1k1r3r/1p3p2/p1qppp1b/8/4PR1p/2N4B/PPPQ2PP/1K3R2 b - - 0 21
e5f4,1k1r3r/1p3p2/p1qp1p1b/3Np3/4PR1p/7B/PPPQ2PP/1K3R2 b - - 1 22
h6g5,1k1r3r/1p3p2/p1qp1p1b/3N4/3QPp1p/7B/PPP3PP/1K3R2 b - - 1 23
c6c5,1k1r3r/1p3p2/p1qp1p2/3N2b1/3QPp1p/P6B/1PP3PP/1K3R2 b - - 0 24
h8e8,1k1r3r/1p3p2/p2p1p2/2qN2b1/4Pp1p/P2Q3B/1PP3PP/1K3R2 b - - 2 25
e8e5,1k1rr3/1p3p2/p2p1p2/2qN1Bb1/4Pp1p/P2Q4/1PP3PP/1K3R2 b - - 4 26
d8e8,1k1r4/1p3p2/p2p1p2/2qNrBb1/4Pp1p/P2Q4/KPP3PP/5R2 b - - 6 27
e5d5,1k2r3/1p3p2/p2p1p2/2qNrBb1/4Pp1p/P1PQ4/KP4PP/5R2 b - - 0 28
e8e3,1k2r3/1p3p2/p2p1p2/2qP1Bb1/5p1p/P1PQ4/KP4PP/5R2 b - - 0 29
c4d5,r1bq1rk1/p2nbpp1/1pp1pn1p/3p4/2PP3B/2N1PN2/PPQ2PPP/2R1KB1R w K - 0 10
h4e7,r1bq1rk1/p2nbpp1/1pp1p2p/3n4/3P3B/2N1PN2/PPQ2PPP/2R1KB1R w K - 0 11
f1e2,r1b2rk1/p2nqpp1/1pp1p2p/3n4/3P4/2N1PN2/PPQ2PPP/2R1KB1R w K - 0 12
e1g1,r4rk1/pb1nqpp1/1pp1p2p/3n4/3P4/2N1PN2/PPQ1BPPP/2R1K2R w K - 2 13
c2c3,r4rk1/pb1nqpp1/1pp1p2p/8/3P4/2n1PN2/PPQ1BPPP/2R2RK1 w - - 0 14
d4c5,r4rk1/pb1nqpp1/1p2p2p/2p5/3P4/2Q1PN2/PP2BPPP/2R2RK1 w - - 0 15
f3d4,r4rk1/pb2qpp1/1p2p2p/2n5/8/2Q1PN2/PP2BPPP/2R2RK1 w - - 0 16
f1d1,r2r2k1/pb2qpp1/1p2p2p/2n5/3N4/2Q1P3/PP2BPPP/2R2RK1 w - - 2 17
c3a3,2rr2k1/pb2qpp1/1p2p2p/2n5/3N4/2Q1P3/PP2BPPP/2RR2K1 w - - 4 18
e2f3,2rr2k1/1b2qpp1/1p2p2p/p1n5/3N4/Q3P3/PP2BPPP/2RR2K1 w - - 0 19
d4f3,2rr2k1/4qpp1/1p2p2p/p1n5/3N4/Q3Pb2/PP3PPP/2RR2K1 w - - 0 20
f3d4,2rr1k2/4qpp1/1p2p2p/p1n5/8/Q3PN2/PP3PPP/2RR2K1 w - - 1 21
h2h3,2r2k2/3rqpp1/1p2p2p/p1n5/3N4/Q3P3/PP3PPP/2RR2K1 w - - 3 22
d4b5,2r2k2/2r1qpp1/1p2p2p/p1n5/3N4/Q3P2P/PP3PP1/2RR2K1 w - - 1 23
b2b4,2r2k2/4qpp1/1pr1p2p/pNn5/8/Q3P2P/PP3PP1/2RR2K1 w - - 3 24
