c7c6,r1bq1rk1/ppp2pbp/5np1/4p3/2P5/2N1B1P1/PP2PPBP/R2Q1RK1 b - - 1 10
f8d8,r1bQ1rk1/pp3pbp/2p2np1/4p3/2P5/2N1B1P1/PP2PPBP/R4RK1 b - - 0 11
c8e6,r1br2k1/pp3pbp/2p2np1/4p3/2P5/2N1B1P1/PP2PPBP/3R1RK1 b - - 1 12
f6d7,r2r2k1/pp3pbp/2p1bnp1/4p3/2P5/1PN1B1P1/P3PPBP/3R1RK1 b - - 0 13
h7h6,r2r2k1/pp1n1pbp/2p1b1p1/4p3/2P1N3/1P2B1P1/P3PPBP/3R1RK1 b - - 2 14
d8b8,r2r2k1/pp1n1pb1/2pNb1pp/4p3/2P5/1P2B1P1/P3PPBP/3R1RK1 b - - 1 15
a7a6,rr4k1/pp1n1pb1/2pNb1pp/4p3/1PP5/4B1P1/P3PPBP/3R1RK1 b - - 0 16
f7f5,rr4k1/1p1n1pb1/p1pNb1pp/4p3/PPP5/4B1P1/4PPBP/3R1RK1 b - - 0 17
e5e4,rr4k1/1p1n2b1/p1pNb1pp/P3pp2/1PP5/4B1P1/4PPBP/3R1RK1 b - - 0 18
e4f3,rr4k1/1p1n2b1/p1pNb1pp/P4p2/1PP1p3/4BPP1/4P1BP/3R1RK1 b - - 0 19
d7e5,rr4k1/1p1n2b1/p1pNb1pp/P4p2/1PP5/4BPP1/6BP/3R1RK1 b - - 0 20
e5c4,rr4k1/1p4b1/p1pNb1pp/P3np2/1PP2B2/5PP1/6BP/3R1RK1 b - - 2 21
e6c4,rr4k1/1p4b1/p1p1b1pp/P4p2/1PN2B2/5PP1/6BP/3R1RK1 b - - 0 22
c4f1,rB4k1/1p4b1/p1p3pp/P4p2/1Pb5/5PP1/6BP/3R1RK1 b - - 0 23
g8f7,rB1R2k1/1p4b1/p1p3pp/P4p2/1P6/5PP1/6BP/5bK1 b - - 1 24
g7e5,rB1R4/1p3kb1/p1p3pp/P4p2/1P6/5PP1/7P/5BK1 b - - 0 25
a8d8,r2R4/1pB2k2/p1p3pp/P3bp2/1P6/5PP1/7P/5BK1 b - - 2 26
e5d6,3B4/1p3k2/p1p3pp/P3bp2/1P6/5PP1/7P/5BK1 b - - 0 27
f7e8,3B4/1p3k2/p1pb2pp/P4p2/1PB5/5PP1/7P/6K1 b - - 2 28
d6b4,4k3/1p6/pBpb2pp/P4p2/1PB5/5PP1/7P/6K1 b - - 4 29
c1h6,rn1q1rk1/pp2bppp/5n2/2pp1P2/4P3/2N5/PPP2P1P/R1BQKBR1 w Q - 0 10
c3d5,rn1qnrk1/pp2bppp/7B/2pp1P2/4P3/2N5/PPP2P1P/R2QKBR1 w Q - 2 11
d1g4,r2qnrk1/pp2bppp/2n4B/2pN1P2/4P3/8/PPP2P1P/R2QKBR1 w Q - 1 12
e1c1,r2qnrk1/pp3ppp/2n2b1B/2pN1P2/4P1Q1/8/PPP2P1P/R3KBR1 w Q - 3 13
g4g3,r2qnrk1/pp3ppp/5b1B/2pNnP2/4P1Q1/8/PPP2P1P/2KR1BR1 w - - 5 14
d5f6,r2qnrk1/pp3p1p/5bpB/2pNnP2/4P3/6Q1/PPP2P1P/2KR1BR1 w - - 0 15
h6g5,r3nrk1/pp3p1p/5qpB/2p1nP2/4P3/6Q1/PPP2P1P/2KR1BR1 w - - 0 16
f5f6,r3nrkq/pp3p1p/6p1/2p1nPB1/4P3/6Q1/PPP2P1P/2KR1BR1 w - - 2 17
e4e5,r3nrkq/pp3p1p/2n2Pp1/2p3B1/4P3/6Q1/PPP2P1P/2KR1BR1 w - - 1 18
f2f4,r4rkq/ppn2p1p/2n2Pp1/2p1P1B1/8/6Q1/PPP2P1P/2KR1BR1 w - - 1 19
