f1e1,r2q1rk1/pb2ppbp/1pn2np1/2pp4/P3P3/R2P1NP1/1PPN1PBP/2BQ1RK1 w - - 2 10
d3e4,r2q1rk1/pb2ppbp/1pn2np1/2p5/P3p3/R2P1NP1/1PPN1PBP/2BQR1K1 w - - 0 11
c2c3,r2q1rk1/pb3pbp/1pn1pnp1/2p5/P3P3/R4NP1/1PPN1PBP/2BQR1K1 w - - 0 12
d2c4,r2q1rk1/pb1n1pbp/1pn1p1p1/2p5/P3P3/R1P2NP1/1P1N1PBP/2BQR1K1 w - - 1 13
g2f1,r2q1rk1/p2n1pbp/bpn1p1p1/2p5/P1N1P3/R1P2NP1/1P3PBP/2BQR1K1 w - - 3 14
f1c4,r2q1rk1/p2n1pbp/1pn1p1p1/2p5/P1b1P3/R1P2NP1/1P3P1P/2BQRBK1 w - - 0 15
c4e2,r2q1rk1/p4pbp/1pn1p1p1/2p1n3/P1B1P3/R1P2NP1/1P3P1P/2BQR1K1 w - - 1 16
f3e5,r4rk1/p3qpbp/1pn1p1p1/2p1n3/P3P3/R1P2NP1/1P2BP1P/2BQR1K1 w - - 3 17
f2f4,r4rk1/p3qpbp/1p2p1p1/2p1n3/P3P3/R1P3P1/1P2BP1P/2BQR1K1 w - - 0 18
d1c2,r2r2k1/p3qpbp/1p2p1p1/2p1n3/P3PP2/R1P3P1/1P2B2P/2BQR1K1 w - - 1 19
e4e5,r2r2k1/p3qpbp/1pn1p1p1/2p5/P3PP2/R1P3P1/1PQ1B2P/2B1R1K1 w - - 3 20
c1e3,r2r2k1/p3qpbp/1pn1p1p1/4P3/P1p2P2/R1P3P1/1PQ1B2P/2B1R1K1 w - - 0 21
a3a1,r2r2k1/p3qpbp/1p2p1p1/n3P3/P1p2P2/R1P1B1P1/1PQ1B2P/4R1K1 w - - 2 22
a1d1,r2r1bk1/p3qp1p/1p2p1p1/n3P3/P1p2P2/2P1B1P1/1PQ1B2P/R3R1K1 w - - 4 23
e2f3,r2r1bk1/p1q2p1p/1p2p1p1/n3P3/P1p2P2/2P1B1P1/1PQ1B2P/3RR1K1 w - - 6 24
g1g2,2rr1bk1/p1q2p1p/1p2p1p1/n3P3/P1p2P2/2P1BBP1/1PQ4P/3RR1K1 w - - 8 25
e3c5,2rr2k1/p1q2p1p/1p2p1p1/n1b1P3/P1p2P2/2P1BBP1/1PQ3KP/3RR3 w - - 10 26
h2h4,2rr2k1/p4p1p/1p2p1p1/n1q1P3/P1p2P2/2P2BP1/1PQ3KP/3RR3 w - - 0 27
f3e4,2rr2k1/p4p2/1p2p1p1/n1q1P2p/P1p2P1P/2P2BP1/1PQ3K1/3RR3 w - - 0 28
c2e2,2rr4/p4pk1/1p2p1p1/n1q1P2p/P1p1BP1P/2P3P1/1PQ3K1/3RR3 w - - 2 29
c8e6,rnbqr1k1/ppp2pbp/3pPnp1/8/2P1P3/2N2NP1/PP3PBP/R1BQ1RK1 b - - 0 10
b8d7,rn1qr1k1/ppp2pbp/3pbnp1/8/2P1P3/2NQ1NP1/PP3PBP/R1B2RK1 b - - 1 11
d7e5,r2qr1k1/pppn1pbp/3pbnp1/8/2PNP3/2NQ2P1/PP3PBP/R1B2RK1 b - - 3 12
e5d3,r2qr1k1/ppp2pbp/3pNnp1/4n3/2P1P3/2NQ2P1/PP3PBP/R1B2RK1 b - - 0 13
a8d8,r2Nr1k1/ppp2pbp/3p1np1/8/2P1P3/2Nn2P1/PP3PBP/R1B2RK1 b - - 0 14
d3c1,3rr1k1/ppp2pbp/3p1np1/8/2P1P3/2Nn2P1/PP3PBP/R1BR2K1 b - - 1 15
c7c6,3rr1k1/ppp2pbp/3p1np1/8/2P1P3/2N3P1/PP3PBP/2RR2K1 b - - 0 16
g8f8,3rr1k1/pp3pbp/2pp1np1/8/2P1P3/1PN3P1/P4PBP/2RR2K1 b - - 0 17
f8e7,3rrk2/pp3pbp/2pp1np1/8/2P1P3/1PN2BP1/P4P1P/2RR2K1 b - - 2 18
f6d7,3rr3/pp2kpbp/2pp1np1/8/2P1P3/1PN2BP1/P4PKP/2RR4 b - - 4 19
a7a5,3rr3/pp1nkpbp/2pp2p1/8/2P1P3/1PN3P1/P3BPKP/2RR4 b - - 6 20
d7c5,3rr3/1p1nkpbp/2pp2p1/p7/2P1PP2/1PN3P1/P3B1KP/2RR4 b - - 0 21
h7h6,3rr3/1p2kpbp/2pp2p1/p1n5/2P1PP2/1PN2BP1/P5KP/2RR4 b - - 2 22
d8d7,3rr3/1p2kpb1/2pp2pp/p1n5/2P1PP2/1PN2BP1/P1R3KP/3R4 b - - 1 23
d7d8,4r3/1p1rkpb1/2pp2pp/p1n5/2P1PPB1/1PN3P1/P1R3KP/3R4 b - - 3 24
h6h5,3rr3/1p2kpb1/2pp2pp/p1n5/2P1PP2/1PN2BP1/P1R3KP/3R4 b - - 5 25
e7f8,3rr3/1p2kpb1/2pp2p1/p1n4p/2P1PP2/1P3BP1/P1R1N1KP/3R4 b - - 1 26
c5e4,3rrk2/1p3pb1/2pp2p1/p1n4p/2P1PP2/1P3BP1/P2RN1KP/3R4 b - - 3 27
e8e4,3rrk2/1p3pb1/2pp2p1/p6p/2P1BP2/1P4P1/P2RN1KP/3R4 b - - 0 28
e4e6,3r1k2/1p3pb1/2pp2p1/p6p/2P1rP2/1P3KP1/P2RN2P/3R4 b - - 1 29
e1c1,r1bq1rk1/pp1n1pbp/2pp2p1/4p1Pn/3PP3/2N1BN2/PPPQ1P1P/R3KBR1 w Q - 0 10
c1b1,r1b2rk1/pp1n1pbp/2pp2p1/q3p1Pn/3PP3/2N1BN2/PPPQ1P1P/2KR1BR1 w - - 2 11
f1e2,r1b2rk1/1p1n1pbp/p1pp2p1/q3p1Pn/3PP3/2N1BN2/PPPQ1P1P/1K1R1BR1 w - - 0 12
f3h4,1rb2rk1/1p1n1pbp/p1pp2p1/q3p1Pn/3PP3/2N1BN2/PPPQBP1P/1K1R2R1 w - - 2 13
e3f4,1rb2rk1/1p1n1pbp/p1pp2p1/q3p1P1/3PPn1N/2N1B3/PPPQBP1P/1K1R2R1 w - - 4 14
d2f4,1rb2rk1/1p1n1pbp/p1pp2p1/q5P1/3PPp1N/2N5/PPPQBP1P/1K1R2R1 w - - 0 15
e2f1,1rb2rk1/3n1pbp/p1pp2p1/qp4P1/3PPQ1N/2N5/PPP1BP1P/1K1R2R1 w - - 0 16
c3e2,1rb2rk1/3n1pbp/p1pp2p1/q5P1/1p1PPQ1N/2N5/PPP2P1P/1K1R1BR1 w - - 0 17
f4d6,1rb2rk1/3n1pbp/p2p2p1/q1p3P1/1p1PPQ1N/8/PPP1NP1P/1K1R1BR1 w - - 0 18
d4c5,1rb1r1k1/3n1pbp/p2Q2p1/q1p3P1/1p1PP2N/8/PPP1NP1P/1K1R1BR1 w - - 1 19
d6f4,1rb1rbk1/3n1p1p/p2Q2p1/q1P3P1/1p2P2N/8/PPP1NP1P/1K1R1BR1 w - - 1 20
e2c1,1rb1rbk1/3n1p1p/p5p1/2q3P1/1p2PQ1N/8/PPP1NP1P/1K1R1BR1 w - - 0 21
d1d5,1rb1rbk1/5p1p/p5p1/2q1n1P1/1p2PQ1N/8/PPP2P1P/1KNR1BR1 w - - 2 22
h4f3,1rb1rbk1/4qp1p/p5p1/3Rn1P1/1p2PQ1N/8/PPP2P1P/1KN2BR1 w - - 4 23
f4f3,1rb1rbk1/4qp1p/p5p1/3R2P1/1p2PQ2/5n2/PPP2P1P/1KN2BR1 w - - 0 24
f1c4,1r2rbk1/1b2qp1p/p5p1/3R2P1/1p2P3/5Q2/PPP2P1P/1KN2BR1 w - - 1 25
c4d5,1r2rbk1/4qp1p/p5p1/3b2P1/1pB1P3/5Q2/PPP2P1P/1KN3R1 w - - 0 26
c1d3,1r2r1k1/4qpbp/p5p1/3B2P1/1p2P3/5Q2/PPP2P1P/1KN3R1 w - - 1 27
