Nfxd4,r1bq1rk1/pp1nbppp/2n1p3/3pP3/3p4/2P1BN2/PP1QNPPP/R3KB1R w KQ - 0 10
Nxc6,r1bq1rk1/pp2bppp/1nn1p3/3pP3/3N4/2P1B3/PP1QNPPP/R3KB1R w KQ - 1 11
f4,r1bq1rk1/p3bppp/1np1p3/3pP3/8/2P1B3/PP1QNPPP/R3KB1R w KQ - 0 12
Qc1,r1bq1rk1/p3bppp/2p1p3/3pP3/2n2P2/2P1B3/PP1QN1PP/R3KB1R w KQ - 1 13
b3,1rbq1rk1/p3bppp/2p1p3/3pP3/2n2P2/2P1B3/PP2N1PP/R1Q1KB1R w KQ - 3 14
Qxe3,1rbq1rk1/p3bppp/2p1p3/3pP3/5P2/1PP1n3/P3N1PP/R1Q1KB1R w KQ - 0 15
Qd2,1rb2rk1/p3bppp/2p1p3/q2pP3/5P2/1PP1Q3/P3N1PP/R3KB1R w KQ - 1 16
Nc1,1rb2rk1/p3bppp/4p3/q1ppP3/5P2/1PP5/P2QN1PP/R3KB1R w KQ - 0 17
Bxa6,1r3rk1/p3bppp/b3p3/q1ppP3/5P2/1PP5/P2Q2PP/R1N1KB1R w KQ - 2 18
Ne2,1r3rk1/p3bppp/q3p3/2ppP3/5P2/1PP5/P2Q2PP/R1N1K2R w KQ - 0 19
O-O,1rr3k1/p3bppp/q3p3/2ppP3/5P2/1PP5/P2QN1PP/R3K2R w KQ - 2 20
b4,1rr3k1/p3bppp/q3p3/3pP3/2p2P2/1PP5/P2QN1PP/R4RK1 w - - 0 21
Nd4,1rr3k1/p3bppp/1q2p3/3pP3/1Pp2P2/2P5/P2QN1PP/R4RK1 w - - 1 22
a3,1rr3k1/4bppp/1q2p3/p2pP3/1PpN1P2/2P5/P2Q2PP/R4RK1 w - - 0 23
axb4,1rr3k1/4bppp/1q2p3/3pP3/1ppN1P2/P1P5/3Q2PP/R4RK1 w - - 0 24
f5,r1r3k1/4bppp/1q2p3/3pP3/1PpN1P2/2P5/3Q2PP/R4RK1 w - - 1 25
Kh1,r1r3k1/4bppp/1q6/3pPp2/1PpN4/2P5/3Q2PP/R4RK1 w - - 0 26
Rae1,r1r3k1/4bp1p/1q4p1/3pPp2/1PpN4/2P5/3Q2PP/R4R1K w - - 0 27
e6,2r3k1/4bp1p/1q4p1/3pPp2/1PpN4/r1P5/3Q2PP/4RR1K w - - 2 28
g4,2r3k1/4b2p/1q2Ppp1/3p1p2/1PpN4/r1P5/3Q2PP/4RR1K w - - 0 29
Ne4,rnbqr1k1/ppp3pp/3p1n2/5p2/3P1P2/2PQ3P/PP2BP2/RN2K1NR b KQ - 1 10
Qh4+,rnbqr1k1/ppp3pp/3p4/5p2/3PnP2/2PQ1P1P/PP2B3/RN2K1NR b KQ - 0 11
Nf2+,rnb1r1k1/ppp3pp/3p4/5p2/3PnP1q/2PQ1P1P/PP2B3/RN1K2NR b - - 2 12
Nxd3+,rnb1r1k1/ppp3pp/3p4/5p2/3P1P1q/2PQ1P1P/PP2Bn2/RNK3NR b - - 4 13
Qxf4+,rnb1r1k1/ppp3pp/3p4/5p2/3P1P1q/2PB1P1P/PP6/RNK3NR b - - 0 14
Nc6,rnb1r1k1/ppp3pp/3p4/5p2/3P1q2/2PB1P1P/PPK5/RN4NR b - - 1 15
Bd7,r1b1r1k1/ppp3pp/2np4/1B3p2/3P1q2/2P2P1P/PPK5/RN4NR b - - 3 16
Qxf3,r3r1k1/pppb2pp/2np4/1B3p2/3P1q2/2P2P1P/PPK1N3/RN5R b - - 5 17
Rxe2+,r3r1k1/pppb2pp/2Bp4/5p2/3P4/2P2q1P/PPK1N3/RN5R b - - 0 18
Qxh1+,r5k1/pppb2pp/2Bp4/5p2/3P4/2P2q1P/PP2r3/RNK4R b - - 1 19
Re1+,r5k1/pppb2pp/3p4/5p2/3P4/2P4P/PP2r3/RNK4B b - - 0 20
Rxh1,r5k1/pppb2pp/3p4/5p2/3P4/2P4P/PPK5/RN2r2B b - - 2 21
Rxa1,r5k1/pppb2pp/3p4/5p2/3P4/2P4P/PPKN4/R6r b - - 1 22
f4,r5k1/pppb2pp/3p4/5p2/3P4/2P4P/PPK5/rN6 b - - 1 23
f3,r5k1/pppb2pp/3p4/8/3P1p1P/2P5/PPK5/rN6 b - - 0 24
Rxb1,r5k1/pppb2pp/3p4/8/3P3P/2P2p2/PP1K4/rN6 b - - 1 25
Bc6,r5k1/pppb2pp/3p4/8/3P3P/2P1Kp2/PP6/1r6 b - - 1 26
Re8,r5k1/ppp3pp/2bp4/8/3P3P/2P2p2/PP3K2/1r6 b - - 3 27
Re2+,4r1k1/ppp3pp/2bp4/7P/3P4/2P2p2/PP3K2/1r6 b - - 0 28
f2,6k1/ppp3pp/2bp4/7P/3P4/2P2pK1/PP2r3/1r6 b - - 2 29
c4,N1k3nr/pp1bqppp/2n1p3/3p4/3P4/4PN2/PPP2PPP/R2QKB1R w KQ - 1 10
Bxc4,N1k3nr/pp1bqppp/2n1p3/8/2pP4/4PN2/PP3PPP/R2QKB1R w KQ - 0 11
O-O,Nk4nr/pp1bqppp/2n1p3/8/2BP4/4PN2/PP3PPP/R2QK2R w KQ - 1 12
Ne5,k5nr/pp1bqppp/2n1p3/8/2BP4/4PN2/PP3PPP/R2Q1RK1 w - - 0 13
dxe5,k5nr/pp1bqppp/4p3/4n3/2BP4/4P3/PP3PPP/R2Q1RK1 w - - 0 14
Qb3,k5nr/pp2qppp/2b1p3/4P3/2B5/4P3/PP3PPP/R2Q1RK1 w - - 1 15
f3,k5nr/pp3ppp/2b1p3/4P1q1/2B5/1Q2P3/PP3PPP/R4RK1 w - - 3 16
exf6,k5nr/pp4pp/2b1pp2/4P1q1/2B5/1Q2PP2/PP4PP/R4RK1 w - - 0 17
Bxe6,k6r/pp4pp/2b1pn2/6q1/2B5/1Q2PP2/PP4PP/R4RK1 w - - 0 18
Bh3,k3r3/pp4pp/2b1Bn2/6q1/8/1Q2PP2/PP4PP/R4RK1 w - - 1 19
Qxe3,k3r3/pp4pp/2b2n2/8/8/1Q2qP1B/PP4PP/R4RK1 w - - 0 20
Rae1,k7/pp4pp/2b2n2/8/8/4rP1B/PP4PP/R4RK1 w - - 0 21
