f2f4,r1b1kb1r/pp3pp1/2pp1n1p/q3n3/3NP1P1/2N1B2P/PPP2P2/R2QKBR1 w Qkq - 1 10
d1d2,r1b1kb1r/pp3pp1/2pp1nnp/q7/3NPPP1/2N1B2P/PPP5/R2QKBR1 w Qkq - 1 11
e1c1,r1b1k2r/pp2bpp1/2pp1nnp/q7/3NPPP1/2N1B2P/PPPQ4/R3KBR1 w Qkq - 3 12
d4f5,r3k2r/pp1bbpp1/2pp1nnp/q7/3NPPP1/2N1B2P/PPPQ4/2KR1BR1 w kq - 5 13
f5e7,r4rk1/pp1bbpp1/2pp1nnp/q4N2/4PPP1/2N1B2P/PPPQ4/2KR1BR1 w - - 7 14
d2d6,r4rk1/pp1bnpp1/2pp1n1p/q7/4PPP1/2N1B2P/PPPQ4/2KR1BR1 w - - 0 15
e4e5,r3r1k1/pp1bnpp1/2pQ1n1p/q7/4PPP1/2N1B2P/PPP5/2KR1BR1 w - - 1 16
e3d2,r3r1k1/pp1bnpp1/2pQ3p/q2nP3/5PP1/2N1B2P/PPP5/2KR1BR1 w - - 1 17
f1c4,r3r1k1/pp1bnpp1/1qpQ3p/3nP3/5PP1/2N4P/PPPB4/2KR1BR1 w - - 3 18
c3d5,3rr1k1/pp1bnpp1/1qpQ3p/3nP3/2B2PP1/2N4P/PPPB4/2KR2R1 w - - 5 19
c4d5,3rr1k1/pp1b1pp1/1qpQ3p/3nP3/2B2PP1/7P/PPPB4/2KR2R1 w - - 0 20
d6g6,3rr1k1/pp3pp1/1qpQ3p/3BP3/5Pb1/7P/PPPB4/2KR2R1 w - - 0 21
d5b3,3rr1k1/pp3pp1/2p3Qp/3BP3/5Pb1/1q5P/PPPB4/2KR2R1 w - - 2 22
c8g4,r1bq1rk1/pp3pbp/n1p2np1/3Pp3/2P1P3/2NB1N2/PP4PP/R1BQ1RK1 b - - 1 10
g4f3,r2q1rk1/pp3pbp/n1p2np1/3Pp3/2P1P1b1/2NB1N1P/PP4P1/R1BQ1RK1 b - - 0 11
c6d5,r2q1rk1/pp3pbp/n1p2np1/3Pp3/2P1P3/2NB1Q1P/PP4P1/R1B2RK1 b - - 0 12
f6d7,r2q1rk1/pp3pbp/n4np1/3Pp3/4P3/2NB1Q1P/PP4P1/R1B2RK1 b - - 0 13
a6c5,r2q1rk1/pp1n1pbp/n5p1/3Pp3/4P3/2NB1Q1P/PP4P1/R1B2R1K b - - 2 14
a7a5,r2q1rk1/pp1n1pbp/6p1/2nPp3/4P3/2N2Q1P/PPB3P1/R1B2R1K b - - 4 15
