b1c3,r1bq1rk1/ppp2pp1/2nbpn1p/8/2PP4/5NP1/PB2PPBP/RN1Q1RK1 w - - 0 10
e2e4,r1bq1rk1/ppp1bpp1/2n1pn1p/8/2PP4/2N2NP1/PB2PPBP/R2Q1RK1 w - - 2 11
e4e5,r1bq1rk1/ppp2pp1/2n1pn1p/8/1bPPP3/2N2NP1/PB3PBP/R2Q1RK1 w - - 1 12
d1b3,r1bqnrk1/ppp2pp1/2n1p2p/4P3/1bPP4/2N2NP1/PB3PBP/R2Q1RK1 w - - 1 13
b2c3,r1bqnrk1/ppp2pp1/2n1p2p/4P3/2PP4/1Qb2NP1/PB3PBP/R4RK1 w - - 0 14
a1d1,r1bqnrk1/1pp2pp1/2n1p2p/p3P3/2PP4/1QB2NP1/P4PBP/R4RK1 w - - 0 15
d4d5,r1bqnrk1/2p2pp1/1pn1p2p/p3P3/2PP4/1QB2NP1/P4PBP/3R1RK1 w - - 0 16
c4d5,r1bqnrk1/2p2pp1/1pn4p/p2pP3/2P5/1QB2NP1/P4PBP/3R1RK1 w - - 0 17
f1e1,r1bqnrk1/2p1npp1/1p5p/p2PP3/8/1QB2NP1/P4PBP/3R1RK1 w - - 1 18
f3d4,1rbqnrk1/2p1npp1/1p5p/p2PP3/8/1QB2NP1/P4PBP/3RR1K1 w - - 3 19
d4c6,1rbqnrk1/2p2pp1/1p4np/p2PP3/3N4/1QB3P1/P4PBP/3RR1K1 w - - 5 20
c6b8,1rb1nrk1/2p2pp1/1pN3np/p2PP1q1/8/1QB3P1/P4PBP/3RR1K1 w - - 7 21
f2f3,1N2nrk1/2p2pp1/1p4np/p2PP1q1/6b1/1QB3P1/P4PBP/3RR1K1 w - - 1 22
b8c6,1Nb1nrk1/2p2pp1/1p4np/p2PP1q1/8/1QB2PP1/P5BP/3RR1K1 w - - 1 23
f3f4,4nrk1/1bp2pp1/1pN3np/p2PP1q1/8/1QB2PP1/P5BP/3RR1K1 w - - 3 24
b3c4,4nrk1/1bp2pp1/1pN3np/p2PP3/5Pq1/1QB3P1/P5BP/3RR1K1 w - - 1 25
c4e2,4nrk1/1bp2pp1/1pN3n1/p2PP2p/2Q2Pq1/2B3P1/P5BP/3RR1K1 w - - 0 26
g2e4,4nrk1/1bp2pp1/1pN3n1/p2PPq1p/5P2/2B3P1/P3Q1BP/3RR1K1 w - - 2 27
e2d3,4nrk1/1bp2pp1/1pN3n1/p2PP2p/4BP2/2B3Pq/P3Q2P/3RR1K1 w - - 4 28
e4f5,4nrk1/2p2pp1/1pb3n1/p2PP2p/4BP2/2BQ2Pq/P6P/3RR1K1 w - - 0 29
g5e6,rnbq1rk1/ppp1b1p1/3p1n1p/3P1pN1/2P5/2NB1P2/PP4PP/R1BQK2R w KQ - 0 10
d5e6,rn1q1rk1/ppp1b1p1/3pbn1p/3P1p2/2P5/2NB1P2/PP4PP/R1BQK2R w KQ - 0 11
