c3d5,r2qkb1r/1p1n1pp1/p2pbn2/4p2p/4P3/1NN1BP2/PPPQ2PP/R3KB1R w KQkq - 2 10
e4d5,r2qkb1r/1p1n1pp1/p2p1n2/3bp2p/4P3/1N2BP2/PPPQ2PP/R3KB1R w KQkq - 0 11
f1e2,r2qkb1r/1p1n1p2/p2p1np1/3Pp2p/8/1N2BP2/PPPQ2PP/R3KB1R w KQkq - 0 12
e1g1,r2qk2r/1p1n1pb1/p2p1np1/3Pp2p/8/1N2BP2/PPPQB1PP/R3K2R w KQkq - 2 13
c2c4,r2qk2r/3n1pb1/pp1p1np1/3Pp2p/8/1N2BP2/PPPQB1PP/R4RK1 w kq - 0 14
a1e1,r2q1rk1/3n1pb1/pp1p1np1/3Pp2p/2P5/1N2BP2/PP1QB1PP/R4RK1 w - - 1 15
b3a1,r2q1rk1/5pb1/pp1p1np1/2nPp2p/2P5/1N2BP2/PP1QB1PP/4RRK1 w - - 3 16
a1c2,r2q1rk1/5pb1/1p1p1np1/p1nPp2p/2P5/4BP2/PP1QB1PP/N3RRK1 w - - 0 17
c2a3,r2q1r2/5pbk/1p1p1np1/p1nPp2p/2P5/4BP2/PPNQB1PP/4RRK1 w - - 2 18
a3b5,r2q1rn1/5pbk/1p1p2p1/p1nPp2p/2P5/N3BP2/PP1QB1PP/4RRK1 w - - 4 19
e2d3,r2q1rn1/6bk/1p1p2p1/pNnPpp1p/2P5/4BP2/PP1QB1PP/4RRK1 w - - 0 20
e3h6,r2q1rn1/7k/1p1p2pb/pNnPpp1p/2P5/3BBP2/PP1Q2PP/4RRK1 w - - 2 21
d3c2,r2q1r2/7k/1p1p2pn/pNnPpp1p/2P5/3B1P2/PP1Q2PP/4RRK1 w - - 0 22
b2b3,r2q1r2/6k1/1p1p2pn/pNnPpp1p/2P5/5P2/PPBQ2PP/4RRK1 w - - 2 23
a2a3,r2q1r2/5nk1/1p1p2p1/pNnPpp1p/2P5/1P3P2/P1BQ2PP/4RRK1 w - - 1 24
b3b4,r2q1r2/3n1nk1/1p1p2p1/pN1Ppp1p/2P5/PP3P2/2BQ2PP/4RRK1 w - - 1 25
a3b4,r2q1r2/3n1nk1/1p1p2p1/1N1Ppp1p/1pP5/P4P2/2BQ2PP/4RRK1 w - - 0 26
c2b3,r4r2/3n1nk1/1p1p2p1/1N1Ppp1p/1PP4q/5P2/2BQ2PP/4RRK1 w - - 1 27
d8a5,r1bqr1k1/pp1n1pbp/2pp1np1/4p3/2PPP3/2N1BNPP/PP3PB1/R2Q1RK1 b - - 0 10
e5d4,r1b1r1k1/pp1n1pbp/2pp1np1/q3p3/2PPP3/2N1BNPP/PP3PB1/R2QR1K1 b - - 2 11
d7e5,r1b1r1k1/pp1n1pbp/2pp1np1/q7/2PBP3/2N2NPP/PP3PB1/R2QR1K1 b - - 0 12
d6e5,r1b1r1k1/pp3pbp/2pp1np1/q3N3/2PBP3/2N3PP/PP3PB1/R2QR1K1 b - - 0 13
c8e6,r1b1r1k1/pp3pbp/2p2np1/q3p3/2P1P3/2N1B1PP/PP3PB1/R2QR1K1 b - - 1 14
e8d8,r3r1k1/pp3pbp/2p1bnp1/q3p3/2P1P3/2N1B1PP/PP3P2/R2QRBK1 b - - 3 15
f6d7,r2r2k1/pp3pbp/2p1bnp1/q3p3/2P1P3/2N1B1PP/PPQ2P2/R3RBK1 b - - 5 16
a5c7,r2r2k1/pp1n1pbp/2p1b1p1/q3p3/2P1P3/P1N1B1PP/1PQ2P2/R3RBK1 b - - 0 17
d7f8,r2r2k1/ppqn1pbp/2p1b1p1/4p3/2P1P3/P1N1B1PP/1PQ2P2/R2R1BK1 b - - 2 18
a8d8,r2R1nk1/ppq2pbp/2p1b1p1/4p3/2P1P3/P1N1B1PP/1PQ2P2/R4BK1 b - - 0 19
d8d1,3r1nk1/ppq2pbp/2p1b1p1/4p3/2P1P3/P1N1B1PP/1PQ2P2/3R1BK1 b - - 1 20
b7b6,5nk1/ppq2pbp/2p1b1p1/4p3/2P1P3/P1N1B1PP/1P3P2/3Q1BK1 b - - 0 21
e6c8,5nk1/p1q2pbp/1pp1b1p1/4p3/1PP1P3/P1N1B1PP/5P2/3Q1BK1 b - - 0 22
f8e6,2b2nk1/p1q2pbp/1pp3p1/1P2p3/2P1P3/P1N1B1PP/5P2/3Q1BK1 b - - 0 23
c7c6,2b3k1/p1q2pbp/1pP1n1p1/4p3/2P1P3/P1N1B1PP/5P2/3Q1BK1 b - - 0 24
g7f8,2b3k1/p4pbp/1pq1n1p1/3Np3/2P1P3/P3B1PP/5P2/3Q1BK1 b - - 1 25
h7h5,2b2bk1/p4p1p/1pq1n1p1/3Np3/2P1P3/P3B1PP/3Q1P2/5BK1 b - - 3 26
e6c5,2b2bk1/p4p2/1pq1n1p1/3Np2p/2P1P2P/P3B1P1/3Q1P2/5BK1 b - - 0 27
f7f6,2b2bk1/p4p2/1pq3p1/2nNp2p/2P1P2P/P3B1P1/1Q3P2/5BK1 b - - 2 28
g8f7,2b2bk1/p7/1pq2pp1/2nNp2p/2P1P2P/P3BPP1/1Q6/5BK1 b - - 0 29
h6f7,r1bq1rk1/p3p1bp/2pp2pn/2p1Pp2/5P2/2NP1N2/PPP3PP/R1B1QRK1 b - - 2 10
d6e5,r1bq1rk1/p3pnbp/2pp2p1/2p1Pp2/5P2/1PNP1N2/P1P3PP/R1B1QRK1 b - - 0 11
f7e5,r1bq1rk1/p3pnbp/2p3p1/2p1Pp2/8/1PNP1N2/P1P3PP/R1B1QRK1 b - - 0 12
e5f3,r1bq1rk1/p3p1bp/2p3p1/2p1np2/8/1PNP1N2/PBP3PP/R3QRK1 b - - 1 13
e7e5,r1bq1rk1/p3p1bp/2p3p1/2p2p2/8/1PNP1R2/PBP3PP/R3Q1K1 b - - 0 14
