r1b1kb1r/p1p2ppp/2ppq3/3nP3/2P4P/6P1/PP2QP2/RNB1KB1R b KQkq - 0 10,-0.75,0.0,0.22,-0.42,0.76,0.0,0.22,0.0,d5b6,-0.44,0.0,0.1,-0.38,-0.26,0.0,0.29,0.0,d5b6,-0.44,0.0,0.1,-0.38,-0.26,0.0,0.29,0.0
r1b1kb1r/p1p2ppp/1nppq3/4P3/2P2B1P/6P1/PP2QP2/RN2KB1R b KQkq - 2 11,-0.28,0.0,0.1,-0.38,-0.26,0.0,0.29,0.0,d6e5,-1.06,-0.2,-0.13,-0.77,-0.83,0.0,-0.03,0.0,d6e5,-1.06,-0.2,-0.13,-0.77,-0.83,0.0,-0.03,0.0
r1b1kb1r/p1p2ppp/1np1q3/4Q3/2P2B1P/6P1/PP3P2/RN2KB1R b KQkq - 0 12,-0.29,0.0,-0.07,-0.66,-0.09,0.0,0.12,0.0,f8b4,,,,,,,,,e6e5,,,,,,,,
r1b1k2r/p1p2ppp/1np1q3/4Q3/1bP2B1P/6P1/PP1N1P2/R3KB1R b KQkq - 2 13,-0.1,0.0,-0.42,-0.63,-0.05,0.0,0.09,0.0,e8g8,-0.8,0.0,-0.8,-0.78,-0.12,0.0,0.09,0.0,e6e5,,,,,,,,
r1b2rk1/p1p2ppp/1np1q3/4Q3/1bP2B1P/6P1/PP1N1P2/2KR1B1R b - - 4 14,-0.33,0.0,0.02,-0.64,0.08,0.0,0.09,0.0,b4d6,-0.27,0.0,-0.03,-0.54,-0.5,0.0,0.12,0.0,e6e5,-2.0,-0.46,0.0,0.0,0.0,0.0,0.0,0.0
r1b2rk1/p1p2ppp/1npbQ3/8/2P2B1P/6P1/PP1N1P2/2KR1B1R b - - 0 15,2.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,c8e6,-0.38,0.0,-0.06,-0.9,0.01,0.0,0.0,0.0,c8e6,-0.38,0.0,-0.06,-0.9,0.01,0.0,0.0,0.0
r4rk1/p1p2ppp/1npbb3/8/2P4P/4B1P1/PP1N1P2/2KR1B1R b - - 1 16,-0.42,0.0,0.0,-0.9,0.77,0.0,0.0,0.0,c6c5,-0.39,0.0,-0.06,-0.94,0.03,0.0,0.0,0.0,c6c5,-0.39,0.0,-0.06,-0.94,0.03,0.0,0.0,0.0
r4rk1/p1p2ppp/1n1bb3/2p5/2P4P/1P2B1P1/P2N1P2/2KR1B1R b - - 0 17,-0.48,0.0,-0.03,-1.06,0.12,0.0,0.0,0.0,f7f5,-0.47,0.0,-0.12,-0.69,0.06,0.0,0.0,0.0,e6f5,-0.52,0.0,-0.15,-1.1,0.19,0.0,0.0,0.0
r4rk1/p1p3pp/1n1bb3/2p2p2/2P2P1P/1P2B1P1/P2N4/2KR1B1R b - - 0 18,-0.48,0.0,0.03,-0.66,0.09,0.0,0.0,0.0,f8e8,-0.52,0.0,0.03,-0.66,0.09,0.0,0.0,0.0,a8e8,-0.61,0.0,-0.06,-0.66,0.09,0.0,0.0,0.0
r3r1k1/p1p3pp/1n1bb3/2p2p2/2P2P1P/1P1BB1P1/P2N4/2KR3R b - - 2 19,-0.4,0.0,0.24,-0.58,0.15,0.0,0.0,0.0,a7a5,-0.37,0.0,0.1,-0.66,0.15,0.0,0.0,0.0,a7a5,-0.37,0.0,0.1,-0.66,0.15,0.0,0.0,0.0
r3r1k1/2p3pp/1n1bb3/p1p2p2/P1P2P1P/1P1BB1P1/3N4/2KR3R b - - 0 20,-0.4,0.0,0.14,-0.66,0.15,0.0,0.0,0.0,g7g6,-0.39,0.0,0.07,-0.53,0.09,0.0,0.0,0.0,b6d7,-0.41,0.0,0.18,-0.58,0.06,0.0,0.0,0.0
r3r1k1/2p4p/1n1bb1p1/p1p2p1P/P1P2P2/1P1BB1P1/3N4/2KR3R b - - 0 21,-0.33,0.0,0.07,0.11,0.06,0.0,0.0,0.0,g8g7,-0.22,0.0,-0.06,0.11,0.06,0.0,0.0,0.0,e6d5,-0.44,0.0,-0.16,0.14,-0.11,0.0,0.0,0.0
r3r3/2p3kp/1n1bb1pP/p1p2p2/P1P2P2/1P1BB1P1/3N4/2KR3R b - - 0 22,,,,,,,,,g7f8,-0.12,0.0,0.27,-0.19,0.09,0.0,0.0,0.0,g7g8,-0.39,0.0,0.07,-0.33,0.09,0.0,0.0,0.0
r3rk2/2p4p/1n1bb1pP/p1p2p2/P1P2P2/1P1BB1P1/3N4/2K1R2R b - - 2 23,-0.12,0.0,0.33,-0.19,0.09,0.0,0.0,0.0,a8d8,-0.25,0.0,0.33,-0.15,0.09,0.0,0.0,0.0,e6d7,-0.06,0.0,0.25,-0.19,-0.14,0.0,0.0,0.0
3rrk2/2p4p/1n1bb1pP/p1p2p2/P1P2P2/1P1BB1P1/2KN4/4R2R b - - 4 24,-0.43,0.0,0.34,-0.15,0.09,0.0,0.0,0.0,b6d7,-0.44,0.0,0.44,-0.08,0.0,0.0,0.0,0.0,b6c8,-0.15,0.0,0.49,-0.04,0.09,0.0,0.0,0.0
3rrk2/2pn3p/3bb1pP/p1p2p2/P1P2P2/1P1BBNP1/2K5/4R2R b - - 6 25,-0.34,0.0,0.66,-0.04,0.03,0.0,0.0,0.0,d7b8,0.03,0.0,0.66,0.0,0.09,0.0,0.0,0.0,d7b8,0.03,0.0,0.66,0.0,0.09,0.0,0.0,0.0
1n1rrk2/2p4p/3bb1pP/p1p2pN1/P1P2P2/1P1BB1P1/2K5/4R2R b - - 8 26,0.07,0.0,0.59,0.38,0.78,0.0,0.0,0.0,e6g8,0.17,0.0,0.61,0.08,-0.22,0.0,0.0,0.0,e6g8,0.17,0.0,0.61,0.08,-0.22,0.0,0.0,0.0
1n1rrkb1/2p4p/3b2pP/p1p2pN1/P1P2P2/1P1B2P1/2KB4/4R2R b - - 10 27,0.11,0.0,0.66,0.6,0.41,0.0,0.0,0.0,b8c6,-0.36,0.0,0.49,0.37,0.08,0.0,0.0,0.0,b8c6,-0.36,0.0,0.49,0.37,0.08,0.0,0.0,0.0
3rrkb1/2p4p/2nb2pP/p1p2pN1/P1P2P2/1PBB2P1/2K5/4R2R b - - 12 28,-0.4,0.0,0.57,2.0,0.01,0.0,0.0,0.0,c6b4,,,,,,,,,c6d4,,,,,,,,
3rrkb1/2p4p/3b2pP/p1p2pN1/PnP2P2/1PBB2P1/3K4/4R2R b - - 14 29,-0.7,0.0,0.65,2.0,-0.08,0.0,0.0,0.0,d6f4,,,,,,,,,d6f4,,,,,,,,
r2qkb1r/1p1bpppp/p4n2/n2p4/3P1B2/2NBP3/PPQ2PPP/R3K1NR b KQkq - 7 10,0.1,0.0,0.47,0.23,0.05,0.0,0.12,0.0,e7e6,0.02,0.0,0.01,0.15,-0.2,0.0,0.06,0.0,e7e6,0.02,0.0,0.01,0.15,-0.2,0.0,0.06,0.0
r2qkb1r/1p1b1ppp/p3pn2/n2p4/3P1B2/2NBPN2/PPQ2PPP/R3K2R b KQkq - 1 11,0.5,0.0,0.19,0.19,-0.2,0.0,0.06,0.0,a8c8,0.41,0.0,0.23,0.12,-0.2,0.0,0.06,0.0,a8c8,0.41,0.0,0.23,0.12,-0.2,0.0,0.06,0.0
2rqkb1r/1p1b1ppp/p3pn2/n2p4/3P1B2/2NBPN2/PPQ2PPP/R4RK1 b k - 3 12,1.12,0.0,0.31,0.31,-0.2,0.0,0.06,0.0,f8e7,1.06,0.0,0.33,0.31,-0.2,0.0,0.06,0.0,f8b4,0.94,0.0,0.26,0.31,-0.24,0.0,0.06,0.0
