rnbqkbn1/pp3r2/2pppppp/8/7P/PPPPPPP1/8/RNBQKBNR w KQq - 0 10,-0.19,0.0,0.23,0.04,0.0,0.0,0.0,0.0,g3g4,-0.19,0.0,0.23,-0.23,0.0,0.0,0.06,0.0,d3d4,-0.16,0.0,0.37,0.21,-0.07,0.0,0.18,0.0
rnbqkbn1/p4r2/1ppppppp/8/6PP/PPPPPP2/8/RNBQKBNR w KQq - 0 11,-0.11,0.0,-0.02,0.0,0.0,0.0,0.06,0.0,f3f4,-0.13,0.0,0.04,0.0,0.0,0.0,0.23,0.0,d3d4,-0.08,0.0,0.12,0.05,-0.07,0.0,0.27,0.0
rnbqkbn1/5r2/pppppppp/8/5PPP/PPPPP3/8/RNBQKBNR w KQq - 0 12,-0.07,0.0,0.17,0.0,0.0,0.0,0.23,0.0,e3e4,-0.03,0.0,0.29,0.04,0.0,0.0,0.49,0.0,b1d2,0.3,0.0,0.49,0.04,0.0,0.0,0.23,0.0
rnbqkbn1/4r3/pppppppp/8/4PPPP/PPPP4/8/RNBQKBNR w KQq - 1 13,-0.1,0.0,0.33,0.04,0.0,0.0,0.49,0.0,d3d4,-0.08,0.0,0.53,0.13,-0.07,0.0,0.84,0.0,g4g5,-0.18,0.0,0.33,0.04,0.0,0.0,0.43,0.0
rnbqkbn1/3r4/pppppppp/8/3PPPPP/PPP5/8/RNBQKBNR w KQq - 1 14,-0.08,0.0,0.53,0.13,-0.07,0.0,0.84,0.0,c3c4,-0.1,0.0,0.73,0.11,0.0,0.0,1.16,0.0,a1a2,-0.03,0.0,0.71,-0.15,-0.07,0.0,0.84,0.0
rnbqkbn1/2r5/pppppppp/8/2PPPPPP/PP6/8/RNBQKBNR w KQq - 1 15,-0.03,0.0,0.69,0.11,0.0,0.0,1.16,0.0,b3b4,-0.07,0.0,0.8,0.17,0.0,0.0,1.16,0.0,b1c3,0.44,0.0,0.81,0.14,0.0,0.0,1.16,0.0
rnb1kbn1/2rq4/pppppppp/8/1PPPPPPP/P7/8/RNBQKBNR w KQq - 1 16,-0.11,0.0,0.96,0.18,0.0,0.0,1.16,0.0,a3a4,-0.09,0.0,1.08,0.19,0.0,0.0,1.16,0.0,b1c3,0.36,0.0,1.08,0.24,0.0,0.0,1.16,0.0
rnb2bn1/2rqk3/pppppppp/8/PPPPPPPP/8/8/RNBQKBNR w KQ - 1 17,0.0,0.0,1.51,0.43,0.0,0.0,1.16,0.0,a4a5,0.09,0.0,1.51,0.43,0.33,0.0,1.16,0.0,b1c3,0.48,0.0,1.62,0.62,0.0,0.0,1.16,0.0
rnb3n1/2rqk1b1/pppppppp/P7/1PPPPPPP/8/8/RNBQKBNR w KQ - 1 18,0.01,0.0,1.35,0.41,0.33,0.0,1.16,0.0,b4b5,0.12,0.0,1.35,0.41,0.3,0.0,1.16,0.0,a5b6,0.42,0.28,1.67,0.54,0.9,0.77,1.53,0.0
rnb3n1/2rq1kb1/pppppppp/PP6/2PPPPPP/8/8/RNBQKBNR w KQ - 1 19,-0.14,0.0,1.26,0.17,0.3,0.0,1.16,0.0,c4c5,-0.24,0.0,1.26,0.17,0.37,0.0,1.45,0.0,a5b6,0.27,0.28,1.5,0.23,0.98,0.7,1.4,0.0
rnb3n1/2rq1kb1/pppppp1p/PPP3p1/3PPPPP/8/8/RNBQKBNR w KQ - 0 20,-0.23,0.0,1.14,0.31,0.3,0.0,1.45,0.0,e4e5,-0.37,0.0,1.14,0.41,0.3,0.0,1.6,0.0,a5b6,0.18,0.28,1.37,0.35,0.98,0.7,1.66,0.0
rnb3n1/2rq1kb1/ppppp2p/PPP1Ppp1/3P1PPP/8/8/RNBQKBNR w KQ - 0 21,-0.35,0.0,1.14,0.33,0.2,0.0,1.31,0.0,d4d5,-0.44,0.0,1.14,0.51,-0.13,0.0,1.46,0.0,c5d6,0.5,0.28,1.35,0.47,1.1,0.66,1.65,0.0
rnb3n1/2rq2b1/ppppp1kp/PPPPPpp1/5PPP/8/8/RNBQKBNR w KQ - 1 22,-0.55,0.0,1.0,0.12,0.13,0.0,1.46,0.0,h4h5,,,,,,,,,d5e6,0.16,0.28,0.94,0.37,-0.23,0.75,1.68,0.0
rnb3n1/2rq1kb1/ppppp2p/PPPPPppP/5PP1/8/8/RNBQKBNR w KQ - 1 23,-0.38,0.0,1.14,0.7,-0.1,0.0,1.46,0.0,g1f3,0.1,0.0,1.17,1.22,-0.3,0.0,1.46,0.0,c5d6,0.47,0.28,1.35,0.87,1.13,0.7,1.81,0.0
rnbq2n1/2r2kb1/ppppp2p/PPPPPppP/5PP1/5N2/8/RNBQKB1R w KQ - 3 24,0.13,0.0,0.88,1.12,-0.37,0.0,1.46,0.0,f3d2,0.03,0.0,0.79,0.63,-0.73,0.0,1.46,0.0,c5d6,0.98,0.28,1.01,1.29,0.87,0.99,1.81,0.0
rnbq2n1/2r1k1b1/ppppp2p/PPPPPppP/5PP1/8/3N4/RNBQKB1R w KQ - 5 25,0.3,0.0,0.93,0.35,-0.76,0.0,1.46,0.0,b1c3,0.77,0.0,1.0,0.53,-0.43,0.0,1.46,0.0,c5d6,,,,,,,,
