rnbqk2r/2p1ppb1/3p2pn/p2N2Np/1pBPP2P/4BQ2/PPP2PP1/R3K2R b KQkq - 3 10,1.49,0.0,0.3,2.0,-0.82,0.0,0.46,0.0,e7e6,1.41,0.0,0.36,2.0,-1.04,0.0,0.46,0.0,e8g8,0.78,0.0,0.38,2.0,-0.69,0.0,0.46,0.0
rnbqk2r/2p2pb1/3pp1pn/p5Np/1pBPPN1P/4BQ2/PPP2PP1/R3K2R b KQkq - 1 11,1.36,0.0,0.21,2.0,-0.39,0.0,0.38,0.0,c8a6,1.35,0.0,0.13,0.97,-0.69,0.0,0.38,0.0,e8g8,0.65,0.0,0.39,0.95,-0.39,0.0,0.38,0.0
rn1qk2r/2p2pb1/b2pN1pn/p5Np/1pBPP2P/4BQ2/PPP2PP1/R3K2R b KQkq - 0 12,2.0,0.28,0.46,2.0,0.07,0.0,0.44,0.0,f7e6,-1.9,-0.45,0.38,2.0,0.02,0.0,0.27,0.0,f7e6,-1.9,-0.45,0.38,2.0,0.02,0.0,0.27,0.0
rn1qk2r/2p3b1/b2pN1pn/p6p/1pBPP2P/4BQ2/PPP2PP1/R3K2R b KQkq - 0 13,-0.95,-0.17,0.48,2.0,0.97,-0.03,0.33,0.0,d8d7,-0.99,-0.17,0.37,2.0,0.05,-0.03,0.33,0.0,d8e7,-0.99,-0.17,0.39,2.0,0.29,-0.03,0.33,0.0
rn2k2r/2pq2b1/b2pN1pB/p6p/1pBPP2P/5Q2/PPP2PP1/R3K2R b KQkq - 0 14,2.0,0.43,0.38,2.0,-0.78,-0.03,0.39,0.0,h8h6,-1.6,-0.35,0.13,2.0,0.05,-0.03,0.29,0.0,h8h6,-1.6,-0.35,0.13,2.0,0.05,-0.03,0.29,0.0
rn2k3/2pq2b1/b2pN1pr/p6p/1p1PP2P/1B3Q2/PPP2PP1/R3K2R b KQq - 1 15,-1.62,-0.35,-0.05,2.0,0.32,-0.03,0.18,0.0,b8c6,-2.0,-0.35,-0.16,2.0,0.67,-0.03,0.18,0.0,a5a4,-1.7,-0.35,-0.05,2.0,-0.19,-0.03,0.18,0.0
r3k3/2pq2b1/b1npN1pr/p6p/1p1PP2P/1B3Q2/PPP2PP1/2KR3R b q - 3 16,-1.62,-0.35,0.06,2.0,0.67,-0.03,0.18,0.0,c6d8,-1.24,-0.35,0.06,2.0,-0.02,-0.03,0.18,0.0,g6g5,-1.61,-0.35,-0.01,1.88,-0.07,-0.03,0.12,0.0
r2nk3/2pq2b1/b2pN1pr/p3P2p/1p1P3P/1B3Q2/PPP2PP1/2KR3R b q - 0 17,-1.38,-0.35,0.19,2.0,-0.08,0.15,0.24,0.0,a8a7,-1.42,-0.35,0.23,2.0,-0.54,0.15,0.24,0.0,d6d5,-1.4,-0.35,0.01,2.0,0.14,0.15,0.14,0.0
3nk3/r1pq2b1/b2PN1pr/p6p/1p1P3P/1B3Q2/PPP2PP1/2KR3R b - - 0 18,-0.69,-0.15,0.15,2.0,-0.6,0.66,0.18,0.0,c7d6,-1.43,-0.34,-0.1,2.0,-0.93,0.0,0.02,0.0,d8e6,-2.0,-0.88,-0.07,1.84,-0.46,0.66,0.11,0.0
3nk3/r2q2b1/b2pN1pr/p6p/1p1P3P/1B3Q2/PPP2PP1/2KRR3 b - - 1 19,-1.3,-0.34,0.02,2.0,-0.57,0.0,0.02,0.0,d8e6,-2.0,-0.99,0.17,2.0,0.46,0.0,-0.04,0.0,d8e6,-2.0,-0.99,0.17,2.0,0.46,0.0,-0.04,0.0
4k3/r2q2b1/b2pB1pr/p6p/1p1P3P/5Q2/PPP2PP1/2KRR3 b - - 0 20,-1.96,-0.43,-0.02,2.0,-0.29,0.0,0.06,0.0,d7c7,-1.94,-0.43,-0.03,2.0,-0.7,0.0,0.06,0.0,d7c7,-1.94,-0.43,-0.03,2.0,-0.7,0.0,0.06,0.0
4k3/r1q2Bb1/b2p2pr/p6p/1p1P3P/5Q2/PPP2PP1/2KRR3 b - - 2 21,,,,,,,,,e8d7,-1.88,-0.43,0.12,2.0,-0.32,0.0,0.03,0.0,e8d7,-1.88,-0.43,0.12,2.0,-0.32,0.0,0.03,0.0
4R3/r1qk1Bb1/b2p2pr/p6p/1p1P3P/5Q2/PPP2PP1/2KR4 b - - 4 22,-1.81,-0.43,0.22,2.0,-0.57,0.0,0.03,0.0,c7b6,-1.8,-0.43,0.2,2.0,-0.57,0.0,0.03,0.0,h6h8,-1.78,-0.43,0.17,2.0,-0.57,0.0,0.03,0.0
