rnbq1rk1/pp2bppp/4pn2/8/2BP1N2/P1N5/1P3PPP/R1BQ1RK1 b - - 0 10,0.62,0.0,0.5,0.19,-0.3,0.0,0.11,0.0,b8d7,0.25,0.0,0.5,0.15,-0.2,0.0,0.11,0.0,b8d7,0.25,0.0,0.5,0.15,-0.2,0.0,0.11,0.0
r1bq1rk1/pp1nbppp/4pn2/8/2BP1N2/P1N1B3/1P3PPP/R2Q1RK1 b - - 2 11,0.37,0.0,0.59,0.15,-0.2,0.0,0.11,0.0,a7a6,0.43,0.0,0.54,0.15,-0.43,0.0,0.11,0.0,d7b6,0.38,0.0,0.39,0.19,-0.87,0.0,0.11,0.0
r1bq1rk1/1p1nbppp/p3pn2/8/2BP1N2/P1NQB3/1P3PPP/R4RK1 b - - 1 12,0.44,0.0,0.57,0.23,-0.5,0.0,0.11,0.0,b7b5,0.57,0.0,0.36,0.23,-1.2,0.0,0.07,0.0,b7b5,0.57,0.0,0.36,0.23,-1.2,0.0,0.07,0.0
r1bq1rk1/3nbppp/p3pn2/1p6/3P1N2/PBNQB3/1P3PPP/R4RK1 b - - 1 13,0.55,0.0,0.31,0.23,-0.23,0.0,0.07,0.0,c8b7,0.47,0.0,-0.04,0.12,-0.49,0.0,0.07,0.0,g7g5,0.56,0.0,0.26,0.6,-0.87,0.0,0.03,0.0
r2q1rk1/1b1nbppp/p3pn2/1p6/3P1N2/P1NQB3/1PB2PPP/R4RK1 b - - 3 14,0.46,0.0,0.06,0.21,-0.46,0.0,0.07,0.0,g7g6,0.47,0.0,-0.1,0.27,-0.55,0.0,0.07,0.0,d7b6,0.47,0.0,-0.04,0.24,-0.46,0.0,0.07,0.0
r2q1rk1/1b1nbp1p/p3pnp1/1p6/3P1N2/P1NQB3/1PB2PPP/3R1RK1 b - - 1 15,0.6,0.0,-0.06,0.27,-0.55,0.0,0.07,0.0,d7b6,0.61,0.0,-0.16,0.31,-0.55,0.0,0.07,0.0,d7b6,0.61,0.0,-0.16,0.31,-0.55,0.0,0.07,0.0
r2q1rk1/1b2bp1p/pn2pnp1/1p6/3P1N1P/P1NQB3/1PB2PP1/3R1RK1 b - - 0 16,0.59,0.0,-0.16,0.24,-0.32,0.0,0.07,0.0,b6c4,0.3,0.0,-0.12,0.16,-0.83,0.0,0.03,0.0,b6c4,0.3,0.0,-0.12,0.16,-0.83,0.0,0.03,0.0
r2q1rk1/1b2bp1p/p3pnp1/1p6/2nP1N1P/P1NQ4/1PB2PP1/2BR1RK1 b - - 2 17,0.18,0.0,-0.24,0.16,-0.12,0.0,0.03,0.0,e7d6,0.12,0.0,-0.35,0.08,-0.46,0.0,0.03,0.0,e7d6,0.12,0.0,-0.35,0.08,-0.46,0.0,0.03,0.0
r2q1rk1/1b3p1p/p2bpnp1/1p6/2nP3P/P1NQ4/1PB1NPP1/2BR1RK1 b - - 4 18,-0.15,0.0,-0.12,-0.73,-0.12,0.0,0.03,0.0,f6g4,-0.18,0.0,-0.04,-2.0,0.43,0.0,0.03,0.0,a8c8,-0.23,0.0,-0.2,-0.76,-0.15,0.0,0.03,0.0
r2q1rk1/1b3p1p/p2bp1p1/1p4B1/2nP2nP/P1NQ4/1PB1NPP1/3R1RK1 b - - 6 19,-0.0,0.0,0.18,-2.0,0.19,0.0,0.07,0.0,d8c7,-0.02,0.0,0.1,-2.0,-0.23,0.0,0.07,0.0,d8c7,-0.02,0.0,0.1,-2.0,-0.23,0.0,0.07,0.0
r4rk1/1bq2p1p/p2bp1p1/1p4B1/2nPN1nP/P2Q4/1PB1NPP1/3R1RK1 b - - 8 20,0.18,0.0,0.18,-1.04,-0.19,0.0,0.07,0.0,c4b2,-0.1,-0.24,0.21,-0.96,-0.86,0.0,0.01,0.0,c4b2,-0.1,-0.24,0.21,-0.96,-0.86,0.0,0.01,0.0
r4rk1/1bq2p1p/p2bp1p1/1p4B1/3PN1nP/P6Q/1nB1NPP1/3R1RK1 b - - 1 21,-0.14,-0.24,0.3,0.24,-0.34,0.0,0.01,0.0,b2d1,-2.0,-0.1,0.1,-0.6,0.0,0.0,0.0,0.0,d6h2,,,,,,,,
r4rk1/1bq2p1p/p2bp1p1/1p4B1/3PN1QP/P7/2B1NPP1/3n1RK1 b - - 0 22,-2.0,0.46,-0.0,2.0,-0.13,0.0,0.02,0.0,c7c2,-2.0,-0.17,-0.3,1.96,-0.47,0.0,-0.07,0.0,d6h2,,,,,,,,
