r1b1kb1r/pp3p2/1qn1p2p/2pp2pn/3P4/2P1PNB1/PP1N1PPP/1R1QKB1R b Kkq - 1 10,0.4,0.0,0.34,0.45,-0.63,0.0,-0.07,0.0,h5g3,-2.0,-0.82,-0.0,0.22,-0.2,0.0,-0.34,0.0,h5g3,-2.0,-0.82,-0.0,0.22,-0.2,0.0,-0.34,0.0
r1b1kb1r/pp3p2/1qn1p2p/2pp2p1/3P4/2P1PNP1/PP1N1PP1/1R1QKB1R b Kkq - 0 11,-0.03,-0.05,0.22,0.02,-0.3,0.0,-0.18,0.0,f8g7,-0.11,-0.05,0.22,0.02,-0.2,0.0,-0.18,0.0,g5g4,0.05,-0.05,0.22,-0.09,-0.9,0.0,-0.23,0.0
r1b1k2r/pp3pb1/1qn1p2p/2pp2p1/3P4/1NP1PNP1/PP3PP1/1R1QKB1R b Kkq - 2 12,-0.12,-0.05,0.33,-0.02,-0.44,0.0,-0.18,0.0,c5c4,-0.03,-0.05,0.01,-0.06,-1.1,0.0,-0.38,0.0,c5c4,-0.03,-0.05,0.01,-0.06,-1.1,0.0,-0.38,0.0
r1b1k2r/pp3pb1/1qn1p2p/3p2p1/2pP4/2P1PNP1/PP1N1PP1/1R1QKB1R b Kkq - 1 13,-0.02,-0.05,-0.06,-0.02,-0.26,0.0,-0.38,0.0,b6a5,-0.01,-0.05,-0.03,-0.1,-0.3,0.0,-0.38,0.0,b6c7,-0.03,-0.05,-0.14,-0.02,-0.23,0.0,-0.38,0.0
r1b1k2r/pp3pb1/2n1p2p/q2p2p1/2pP4/P1P1PNP1/1P1N1PP1/1R1QKB1R b Kkq - 0 14,-0.07,-0.05,0.03,-0.1,0.07,0.0,-0.38,0.0,b7b5,0.06,-0.05,-0.27,-0.06,-0.03,0.0,-0.43,0.0,a5c7,-0.09,-0.05,-0.14,-0.02,-0.23,0.0,-0.38,0.0
r1b1k2r/p4pb1/2n1p2p/qp1p2p1/2pP4/P1P1PNP1/1P1NBPP1/1R1QK2R b Kkq - 1 15,0.12,-0.05,-0.1,-0.06,-0.03,0.0,-0.43,0.0,c8b7,0.04,-0.05,-0.15,-0.06,-0.03,0.0,-0.43,0.0,f7f5,0.12,-0.05,-0.1,0.22,-0.03,0.0,-0.76,0.0
r3k2r/pb3pb1/2n1p2p/qp1p2p1/2pPP3/P1P2NP1/1P1NBPP1/1R1QK2R b Kkq - 0 16,0.08,-0.05,-0.15,-0.02,-0.03,0.0,-0.17,0.0,d5e4,-0.68,-0.31,-0.27,-0.1,0.39,0.0,-0.33,0.0,d5e4,-0.68,-0.31,-0.27,-0.1,0.39,0.0,-0.33,0.0
r3k2r/pb3pb1/2n1p2p/qp4p1/2pPN3/P1P2NP1/1P2BPP1/1R1QK2R b Kkq - 0 17,0.29,-0.09,-0.09,0.99,-0.2,0.0,-0.17,0.0,a8d8,0.16,-0.09,-0.18,0.02,-0.2,0.0,-0.17,0.0,a8d8,0.16,-0.09,-0.18,0.02,-0.2,0.0,-0.17,0.0
3rk2r/pb3pb1/2n1p2p/qpN3p1/2pP4/P1P2NP1/1P2BPP1/1R1QK2R b Kk - 2 18,0.14,-0.09,-0.18,-0.02,0.71,0.0,-0.17,0.0,c6d4,-0.78,-0.33,-0.41,-1.16,1.5,0.0,-0.47,0.0,c6d4,-0.78,-0.33,-0.41,-1.16,1.5,0.0,-0.47,0.0
3rk2r/pN3pb1/4p2p/qp4p1/2pn4/P1P2NP1/1P2BPP1/1R1QK2R b Kk - 0 19,2.0,0.41,-0.15,-0.51,1.93,0.0,-0.31,0.0,d4f3,,,,,,,,,d4f3,,,,,,,,
3rk2r/pN3pb1/4p2p/qp4p1/2p5/P1P2BP1/1P3PP1/1R1QK2R b Kk - 0 20,2.0,0.51,0.19,1.0,0.9,0.0,-0.17,0.0,d8d1,,,,,,,,,d8d1,,,,,,,,
4k2r/pN3pb1/4p2p/qp4p1/2p5/P1P2BP1/1P3PP1/3RK2R b Kk - 0 21,-2.0,-0.07,0.28,2.0,0.98,0.0,0.0,0.0,a5c7,-2.0,-0.07,0.06,0.04,0.03,0.0,0.0,0.0,a5c7,-2.0,-0.07,0.06,0.04,0.03,0.0,0.0,0.0
4k2r/p1q2pb1/3Np2p/1p4p1/2p5/P1P2BP1/1P3PP1/3RK2R b Kk - 2 22,,,,,,,,,e8e7,-2.0,-0.07,-0.08,0.19,-0.05,0.0,0.0,0.0,e8e7,-2.0,-0.07,-0.08,0.19,-0.05,0.0,0.0,0.0
