r1b1k2r/pp1nqpbp/2p3p1/2p1p3/4P3/P1NP1N1P/1PP2PP1/R1BQR1K1 b kq - 0 10,0.5,-0.05,0.03,0.38,0.19,0.0,0.0,0.0,e8g8,-0.21,-0.05,-0.03,0.42,0.19,0.0,0.0,0.0,e8g8,-0.21,-0.05,-0.03,0.42,0.19,0.0,0.0,0.0
r1b2rk1/pp1nqpbp/2p3p1/2p1p3/4P3/P1NP1N1P/1PP2PP1/1RBQR1K1 b - - 2 11,-0.15,-0.05,-0.03,0.42,0.19,0.0,0.0,0.0,a7a5,-0.12,-0.05,-0.08,0.42,0.19,0.0,0.0,0.0,h7h6,-0.07,-0.05,-0.08,0.35,-0.14,0.0,0.0,0.0
r1b2rk1/1p1nqpbp/2p3p1/p1p1p1B1/4P3/P1NP1N1P/1PP2PP1/1R1QR1K1 b - - 1 12,0.06,-0.05,0.17,0.53,0.28,0.0,0.07,0.0,f7f6,0.04,-0.05,0.13,0.78,-1.26,0.0,-0.07,0.0,f7f6,0.04,-0.05,0.13,0.78,-1.26,0.0,-0.07,0.0
r1b2rk1/1p1nq1bp/2p2pp1/p1p1p3/4P3/P1NP1N1P/1PPB1PP1/1R1QR1K1 b - - 1 13,-0.08,-0.05,0.13,0.75,-0.13,0.0,-0.07,0.0,f8d8,-0.12,-0.05,0.13,0.75,-0.13,0.0,-0.07,0.0,a5a4,-0.16,-0.05,0.13,0.75,-0.11,0.0,-0.09,0.0
r1br2k1/1p1nq1bp/2p2pp1/p1p1p3/4P3/P1NP1N1P/1PPBQPP1/1R2R1K1 b - - 3 14,-0.08,-0.05,0.16,0.75,-0.13,0.0,-0.07,0.0,b7b5,0.04,-0.05,-0.1,0.75,-0.17,0.0,-0.13,0.0,a5a4,-0.16,-0.05,0.16,0.75,-0.11,0.0,-0.09,0.0
r1br2k1/3nq1bp/2p2pp1/ppp1p3/4P3/P2P1N1P/1PPBQPP1/1R1NR1K1 b - - 1 15,-0.34,-0.05,-0.27,0.75,-0.08,0.0,-0.13,0.0,d7f8,-0.05,-0.05,-0.41,0.63,0.02,0.0,-0.13,0.0,a5a4,-0.42,-0.05,-0.27,0.75,-0.1,0.0,-0.17,0.0
r1br1nk1/4q1bp/2p2pp1/ppp1p3/1P2P3/P2P1N1P/2PBQPP1/1R1NR1K1 b - - 0 16,-0.18,-0.05,-0.29,0.63,0.13,0.0,-0.17,0.0,c5b4,-0.64,-0.31,-0.44,0.63,-0.33,0.0,-0.29,0.0,c5b4,-0.64,-0.31,-0.44,0.63,-0.33,0.0,-0.29,0.0
r1br1nk1/4q1bp/2p2pp1/pp2p3/1P2P3/3P1N1P/2PBQPP1/1R1NR1K1 b - - 0 17,-0.11,-0.09,-0.29,0.63,0.03,-0.22,-0.13,0.0,a5a4,-0.19,-0.09,-0.36,0.63,0.1,-0.78,-0.13,0.0,a5a4,-0.19,-0.09,-0.36,0.63,0.1,-0.78,-0.13,0.0
r1br1nk1/4q1bp/2p2pp1/1p2p3/pPP1P3/3P1N1P/3BQPP1/1R1NR1K1 b - - 0 18,-0.21,-0.09,-0.4,0.63,-0.05,-0.78,0.07,0.0,f8e6,-0.62,-0.09,-0.6,0.71,-0.34,-0.78,0.07,0.0,e7d7,-0.21,-0.09,-0.12,0.59,-0.22,-0.78,0.07,0.0
r1br2k1/4q1bp/2p1npp1/1p2p3/pPP1P3/2NP1N1P/3BQPP1/1R2R1K1 b - - 2 19,-0.24,-0.09,-0.42,0.71,-0.4,-0.78,0.07,0.0,e6c7,-0.05,-0.09,-0.28,0.63,-0.12,-0.78,0.07,0.0,e6d4,-0.43,-0.09,-0.25,0.4,-0.35,-0.78,-0.07,0.0
r1br2k1/2n1q1bp/2p2pp1/1p2p3/pPP1P3/2NPBN1P/4QPP1/1R2R1K1 b - - 4 20,0.01,-0.09,-0.13,0.63,0.17,-0.78,0.07,0.0,c8e6,-0.11,-0.09,-0.26,0.67,0.17,-0.78,0.07,0.0,c8e6,-0.11,-0.09,-0.26,0.67,0.17,-0.78,0.07,0.0
r2r2k1/2n1q1bp/2p1bpp1/1pB1p3/pPP1P3/2NP1N1P/4QPP1/1R2R1K1 b - - 6 21,-0.09,-0.09,-0.21,0.63,0.53,-0.78,0.13,0.0,e7f7,-0.07,-0.09,-0.05,0.63,-0.18,-0.78,0.13,0.0,e7e8,-0.05,-0.09,0.01,0.63,-0.18,-0.78,0.13,0.0
r2r2k1/2n2qbp/2p1bpp1/1PB1p3/pP2P3/2NP1N1P/4QPP1/1R2R1K1 b - - 0 22,0.4,0.1,-0.11,0.63,0.45,-0.05,0.12,0.0,c7b5,-0.38,-0.13,-0.31,0.63,-0.64,-0.78,0.04,0.0,c7b5,-0.38,-0.13,-0.31,0.63,-0.64,-0.78,0.04,0.0
r2r2k1/5qbp/2p1bpp1/1NB1p3/pP2P3/3P1N1P/4QPP1/1R2R1K1 b - - 0 23,2.0,0.48,-0.17,0.63,-1.17,-0.48,0.14,0.0,c6b5,-0.2,-0.08,-0.23,0.63,-0.18,-0.78,0.0,0.0,c6b5,-0.2,-0.08,-0.23,0.63,-0.18,-0.78,0.0,0.0
r2r2k1/5qbp/4bpp1/1pB1p3/pP1PP3/5N1P/4QPP1/1R2R1K1 b - - 0 24,-0.18,-0.08,-0.22,0.67,0.16,-0.81,0.1,0.0,e6c4,-0.2,-0.08,-0.29,0.71,-0.53,-0.81,0.0,0.0,e5d4,-0.69,-0.24,-0.18,0.63,0.0,-1.1,-0.12,0.0
r2r2k1/5qbp/5pp1/1pB1p3/pPbPP3/4QN1P/5PP1/1R2R1K1 b - - 2 25,-0.23,-0.08,-0.34,0.82,-0.15,-0.5,0.0,0.0,e5d4,-0.74,-0.24,-0.19,0.8,-0.84,-0.79,-0.15,0.0,e5d4,-0.74,-0.24,-0.19,0.8,-0.84,-0.79,-0.15,0.0
