rnb2rk1/ppp1qpb1/3pp1pp/8/3PPP2/2PB4/PP1NN1PP/R2Q1RK1 b - - 0 10,0.28,-0.05,0.79,-0.08,0.0,0.0,0.53,0.0,e6e5,0.24,-0.05,0.33,-0.23,0.0,0.0,0.41,0.0,e6e5,0.24,-0.05,0.33,-0.23,0.0,0.0,0.41,0.0
rnb2rk1/ppp1qpb1/3p2pp/4P3/4PP2/2PB4/PP1NN1PP/R2Q1RK1 b - - 0 11,1.0,0.17,0.59,-0.15,0.0,0.0,0.39,0.0,d6e5,0.22,-0.09,0.25,-0.67,0.07,0.0,0.2,0.0,d6e5,0.22,-0.09,0.25,-0.67,0.07,0.0,0.2,0.0
rnb2rk1/ppp1qpb1/6pp/4pP2/4P3/2PB4/PP1NN1PP/R2Q1RK1 b - - 0 12,0.12,-0.09,0.49,0.12,0.03,0.0,0.31,0.0,f8d8,0.08,-0.09,0.39,0.1,-0.47,0.0,0.31,0.0,b8d7,-0.25,-0.09,0.31,0.12,0.03,0.0,0.31,0.0
rnbr2k1/ppp1qpb1/6pp/4pP2/4P3/2PB4/PPQNN1PP/R4RK1 b - - 2 13,0.1,-0.09,0.27,0.07,-0.2,0.0,0.31,0.0,b8d7,-0.27,-0.09,0.18,0.09,0.03,0.0,0.31,0.0,b8d7,-0.27,-0.09,0.18,0.09,0.03,0.0,0.31,0.0
r1br2k1/pppnqpb1/6pp/4pP2/4P3/2PB4/PPQNN1PP/3R1RK1 b - - 4 14,-0.14,-0.09,0.23,0.11,0.03,0.0,0.31,0.0,g8h7,0.09,-0.09,0.14,-0.03,0.03,0.0,0.31,0.0,d7f6,-0.25,-0.09,0.18,0.05,-0.2,0.0,0.31,0.0
r1br4/pppnqpbk/6pp/4pP2/2B1P3/2P5/PPQNN1PP/3R1RK1 b - - 6 15,0.13,-0.09,0.21,0.13,0.12,0.0,0.31,0.0,d7f6,0.03,-0.09,0.16,0.01,0.26,0.0,0.31,0.0,b7b5,0.25,-0.09,-0.13,-0.0,0.45,0.0,0.25,0.0
r1br4/ppp1qpbk/5npp/4pP2/2B1P3/2P5/PPQNN1PP/3R1R1K b - - 8 16,-0.24,-0.09,0.29,0.45,0.26,0.0,0.31,0.0,f6g4,-0.27,-0.09,0.29,0.3,0.36,0.0,0.21,0.0,f6g4,-0.27,-0.09,0.29,0.3,0.36,0.0,0.21,0.0
r1br4/ppp1qpbk/6pp/4pP2/2B1P1n1/2P2R2/PPQNN1PP/3R3K b - - 10 17,-0.21,-0.09,0.21,0.28,0.36,0.0,0.21,0.0,e7h4,-0.15,-0.09,0.21,-1.94,1.15,0.0,0.21,0.0,e7h4,-0.15,-0.09,0.21,-1.94,1.15,0.0,0.21,0.0
r1br4/ppp2pbk/6pp/4pP2/2B1P1nq/2P2R1P/PPQNN1P1/3R3K b - - 0 18,-0.24,-0.09,0.22,0.0,1.62,0.0,0.21,0.0,g4f2,,,,,,,,,g4f2,,,,,,,,
r1br4/ppp2pbk/6pp/4pP2/2B1P2q/2P2R1P/PPQNNnP1/3R2K1 b - - 2 19,0.08,-0.09,0.04,-0.21,0.87,0.0,0.25,0.0,f2d1,-2.0,0.07,-0.06,-0.97,0.75,0.0,0.12,0.0,f2d1,-2.0,0.07,-0.06,-0.97,0.75,0.0,0.12,0.0
r1br4/ppp2pbk/6pp/4pP2/2B1P2q/2P2R1P/PP1NN1P1/3Q2K1 b - - 0 20,-2.0,0.79,0.06,0.25,0.55,0.0,0.22,0.0,h4e4,-2.0,0.53,-0.08,0.27,1.16,0.08,-0.03,0.0,g6f5,-2.0,0.53,-0.05,-0.37,0.5,0.0,0.01,0.0
r1br4/ppp2Bbk/6pp/4pP2/4q3/2P2R1P/PP1NN1P1/3Q2K1 b - - 0 21,-2.0,0.66,-0.05,2.0,0.54,0.45,0.0,0.0,c8f5,-2.0,0.42,-0.46,0.02,-0.05,0.08,-0.09,0.0,c8f5,-2.0,0.42,-0.46,0.02,-0.05,0.08,-0.09,0.0
r2r4/ppp2Bbk/6pp/4pb2/4q3/2P2RNP/PP1N2P1/3Q2K1 b - - 1 22,-2.0,0.42,-0.38,0.03,0.45,0.08,-0.09,0.0,e4c2,-2.0,0.42,-0.42,-0.29,-1.24,0.03,-0.09,0.0,e4c2,-2.0,0.42,-0.42,-0.29,-1.24,0.03,-0.09,0.0
r2r4/ppp2Bbk/6pp/4pb2/8/2P2RNP/PPQN2P1/6K1 b - - 0 23,2.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,f5c2,-2.0,0.1,-0.32,0.35,-0.91,0.03,0.0,0.0,f5c2,-2.0,0.1,-0.32,0.35,-0.91,0.03,0.0,0.0
r2r4/ppp2Bbk/6pp/4p3/4N3/2P2RNP/PPb3P1/6K1 b - - 1 24,-2.0,0.1,-0.32,1.0,-0.41,0.08,0.0,0.0,d8f8,-2.0,0.1,-0.22,0.77,-0.58,0.08,0.0,0.0,d8d1,,,,,,,,
r4r2/ppp2Bbk/6pp/4p3/4N2P/2P2RN1/PPb3P1/6K1 b - - 0 25,-2.0,0.1,-0.22,0.63,-0.54,0.08,0.0,0.0,a8d8,-2.0,0.1,-0.36,0.58,-0.58,0.08,0.0,0.0,a8d8,-2.0,0.1,-0.36,0.58,-0.58,0.08,0.0,0.0
3r1r2/ppp2Bbk/6pp/4p2P/4N3/2P2RN1/PPb3P1/6K1 b - - 0 26,-2.0,0.1,-0.36,1.29,-0.58,0.08,0.0,0.0,g6h5,-2.0,-0.13,-0.23,0.69,-0.48,0.08,0.0,0.0,g6h5,-2.0,-0.13,-0.23,0.69,-0.48,0.08,0.0,0.0
