r1b1kb1r/p2n1ppp/1pn1p3/q1ppP3/N2P1P2/2P2N2/PP1B2PP/R2QKB1R b KQkq - 1 10,-0.04,0.0,0.37,-0.35,-0.3,0.0,0.43,0.0,c5c4,0.05,0.0,0.02,-0.39,0.0,0.0,0.32,0.0,c5c4,0.05,0.0,0.02,-0.39,0.0,0.0,0.32,0.0
r1b1kb1r/p2n1ppp/1pn1p3/q2pP3/NPpP1P2/2P2N2/P2B2PP/R2QKB1R b KQkq b3 0 11,-0.07,0.0,0.07,-0.35,0.53,0.0,0.32,0.0,c6b4,-0.6,-0.28,-0.0,-0.46,0.71,0.0,0.09,0.0,a5a6,-0.04,0.0,0.01,-0.35,-0.3,0.0,0.32,0.0
r1b1kb1r/p2n1ppp/1p2p3/q2pP3/NPpP1P2/5N2/P2B2PP/R2QKB1R b KQkq - 0 12,2.0,0.45,0.08,-0.31,0.44,-0.2,0.23,0.0,f8b4,2.0,0.17,-0.35,-0.57,-0.43,-0.37,0.05,0.0,f8b4,2.0,0.17,-0.35,-0.57,-0.43,-0.37,0.05,0.0
r1b1k2r/p2n1ppp/1p2p3/q2pP3/NbpP1P2/5N2/P1QB2PP/R3KB1R b KQkq - 1 13,2.0,0.17,-0.34,-0.45,-0.46,-0.37,0.05,0.0,b4d2,,,,,,,,,b4d2,,,,,,,,
r1b1k2r/p2n1ppp/1p2p3/q2pP3/N1pP1P2/8/P1QN2PP/R3KB1R b KQkq - 0 14,2.0,0.24,-0.46,-0.41,-0.56,-0.37,0.04,0.0,b6b5,2.0,0.24,-0.68,-0.4,-1.53,-0.37,0.04,0.0,b6b5,2.0,0.24,-0.68,-0.4,-1.53,-0.37,0.04,0.0
r1b1k2r/p2n1ppp/4p3/qp1pP3/2pP1P2/2N5/P1QN2PP/R3KB1R b KQkq - 1 15,2.0,0.24,-0.35,-0.24,-0.27,-0.2,0.1,0.0,e8g8,1.95,0.24,-0.36,-0.31,-0.27,-0.2,0.1,0.0,b5b4,2.0,0.24,-0.25,-0.27,-0.93,-0.62,0.04,0.0
r1b2rk1/p2n1ppp/4p3/qp1pP3/2pP1P2/P1N5/2QN2PP/R3KB1R b KQ - 0 16,1.89,0.24,-0.17,-0.31,-0.04,-0.2,0.1,0.0,a5b6,1.88,0.24,-0.19,-0.35,-0.31,-0.2,0.1,0.0,b5b4,1.78,0.24,-0.11,-0.35,-1.13,-0.62,0.04,0.0
r1b2rk1/p2n1ppp/1q2p3/1p1pP3/2pP1P2/P1N5/2QN2PP/1R2KB1R b K - 2 17,1.94,0.24,-0.11,-0.35,0.03,-0.2,0.1,0.0,b6d4,1.24,0.01,-0.23,-2.0,0.03,-0.12,-0.2,0.0,b6d4,1.24,0.01,-0.23,-2.0,0.03,-0.12,-0.2,0.0
r1b2rk1/p2n1ppp/4p3/1p1pP3/2pq1P2/P7/2QNN1PP/1R2KB1R b K - 1 18,1.14,0.01,-0.21,-1.21,0.84,-0.29,-0.2,0.0,d4b6,1.13,0.01,-0.18,-0.77,0.01,-0.17,-0.2,0.0,d4b6,1.13,0.01,-0.18,-0.77,0.01,-0.17,-0.2,0.0
r1b2rk1/p2n1ppp/1q2p3/1p1pP3/2p2P2/P4N2/2Q1N1PP/1R2KB1R b K - 3 19,1.24,0.01,-0.05,-2.0,0.01,-0.17,-0.2,0.0,a7a5,1.27,0.01,-0.14,-0.68,0.01,-0.25,-0.2,0.0,a7a5,1.27,0.01,-0.14,-0.68,0.01,-0.25,-0.2,0.0
r1b2rk1/3n1ppp/1q2p3/pp1pP3/2pN1P2/P4N2/2Q3PP/1R2KB1R b K - 1 20,1.58,0.01,-0.17,-0.24,0.33,-0.2,-0.07,0.0,b5b4,1.47,0.01,-0.2,-0.24,-0.63,-0.72,-0.11,0.0,b5b4,1.47,0.01,-0.2,-0.24,-0.63,-0.72,-0.11,0.0
r1b2rk1/3n1ppp/1q2p3/p2pP3/1ppN1P2/P4N2/2Q1B1PP/1R2K2R b K - 1 21,1.52,0.01,-0.02,-0.24,-0.63,-0.72,-0.11,0.0,f7f6,1.51,0.01,-0.02,0.2,-0.54,-0.72,-0.21,0.0,f7f6,1.51,0.01,-0.02,0.2,-0.54,-0.72,-0.21,0.0
