r1bq1rk1/pp2n1bp/2np2p1/2p1pp2/2P1P3/2NPBNP1/PP1Q1PBP/R4RK1 b - - 1 10,0.27,0.0,0.22,0.47,-0.07,0.0,-0.32,0.0,c6d4,0.05,0.0,0.22,0.38,-0.01,0.0,-0.54,0.0,d8d7,0.23,0.0,0.32,0.47,-0.07,0.0,-0.32,0.0
r1bq1rk1/pp2n1bp/3p2p1/2p1ppB1/2PnP3/2NP1NP1/PP1Q1PBP/R4RK1 b - - 3 11,0.11,0.0,0.35,0.47,0.06,0.0,-0.32,0.0,f5f4,0.2,0.0,0.08,-0.62,0.06,0.0,-0.54,0.0,d4e6,0.3,0.0,0.35,0.47,-0.3,0.0,-0.11,0.0
r1bq1rk1/pp2n1bp/3p2p1/2p1p1B1/2PNPp2/2NP2P1/PP1Q1PBP/R4RK1 b - - 0 12,2.0,0.76,0.25,-0.16,-1.02,0.0,0.0,0.0,c5d4,0.44,0.0,0.16,-0.27,-0.73,0.0,-0.35,0.0,c5d4,0.44,0.0,0.16,-0.27,-0.73,0.0,-0.35,0.0
r1bq1rk1/pp2n1bp/3p2p1/3Np1B1/2PpPp2/3P2P1/PP1Q1PBP/R4RK1 b - - 1 13,0.66,0.0,0.13,1.11,0.49,0.0,-0.35,0.0,f8f7,0.63,0.0,0.13,0.15,0.46,0.0,-0.35,0.0,f8f7,0.63,0.0,0.13,0.15,0.46,0.0,-0.35,0.0
r1bq2k1/pp2Nrbp/3p2p1/4p1B1/2PpPp2/3P2P1/PP1Q1PBP/R4RK1 b - - 0 14,,,,,,,,,f7e7,0.25,0.0,-0.03,-0.24,0.26,0.0,-0.31,0.0,f7e7,0.25,0.0,-0.03,-0.24,0.26,0.0,-0.31,0.0
r1bq2k1/pp2B1bp/3p2p1/4p3/2PpPp2/3P2P1/PP1Q1PBP/R4RK1 b - - 0 15,2.0,-0.16,0.14,-0.24,0.44,0.0,0.0,0.0,d8e7,2.0,-0.95,-0.23,-0.49,0.03,0.0,0.0,0.0,d8e7,2.0,-0.95,-0.23,-0.49,0.03,0.0,0.0,0.0
r1b3k1/pp2q1bp/3p2p1/4p3/2PpPP2/3P4/PP1Q1PBP/R4RK1 b - - 0 16,2.0,-0.77,-0.23,0.13,-0.07,0.0,0.0,0.0,g7h6,2.0,-0.77,-0.18,0.05,-0.41,0.0,0.0,0.0,g7h6,2.0,-0.77,-0.18,0.05,-0.41,0.0,0.0,0.0
r1b3k1/pp2q2p/3p2pb/4p3/2PpPP2/3P4/PP2QPBP/R4RK1 b - - 2 17,2.0,-0.77,-0.18,0.09,-0.39,0.0,0.0,0.0,h6f4,2.0,-0.9,-0.31,-0.65,0.01,0.0,0.0,0.0,h6f4,2.0,-0.9,-0.31,-0.65,0.01,0.0,0.0,0.0
r1b3k1/pp2q2p/3p2p1/4p3/1PPpPb2/3P4/P3QPBP/R4RK1 b - - 0 18,2.0,-0.9,-0.29,-0.64,0.01,0.0,0.0,0.0,e7h4,2.0,-0.9,-0.29,-2.0,-0.35,0.0,0.0,0.0,e7h4,2.0,-0.9,-0.29,-2.0,-0.35,0.0,0.0,0.0
r1b3k1/pp5p/3p2p1/4p3/1PPpPb1q/3P3P/P3QPB1/R4RK1 b - - 0 19,2.0,-0.9,-0.22,-1.22,0.01,0.0,0.0,0.0,c8d7,1.96,-0.9,-0.38,-1.29,0.04,0.0,0.0,0.0,c8h3,1.55,-1.02,-0.38,-2.0,-0.22,-0.04,0.0,0.0
