r1bqk2r/ppp2pp1/2np1n1p/6B1/3PP3/1B6/PPP2RPP/RN1Q2K1 w kq - 0 10,0.93,0.09,0.36,0.41,-1.41,0.0,0.25,0.0,g5f6,2.0,0.75,0.46,0.98,0.59,0.0,0.29,0.0,g5f6,2.0,0.75,0.46,0.98,0.59,0.0,0.29,0.0
r1bqk2r/ppp2p2/2np1p1p/8/3PP3/1B6/PPP2RPP/RN1Q2K1 w kq - 0 11,0.53,0.0,0.37,0.65,0.28,0.0,0.29,0.0,c2c3,0.54,0.0,0.51,0.71,0.44,0.0,0.33,0.0,d1h5,0.51,0.0,0.38,2.0,-0.02,0.0,0.29,0.0
r2qk2r/ppp2p2/2npbp1p/8/3PP3/1BP5/PP3RPP/RN1Q2K1 w kq - 1 12,0.42,0.0,0.24,0.11,0.71,0.0,0.33,0.0,b3e6,2.0,0.44,0.57,1.36,-0.83,0.0,0.38,0.0,d4d5,0.33,0.0,0.21,-0.1,1.91,0.0,0.51,0.0
r2qk2r/ppp5/2nppp1p/8/3PP3/2P5/PP3RPP/RN1Q2K1 w kq - 0 13,0.34,0.0,0.2,0.84,0.15,0.0,0.0,0.0,d1h5,,,,,,,,,d1b3,0.35,0.0,0.12,1.49,0.7,0.0,0.0,0.0
r2q3r/pppk4/2nppp1p/7Q/3PP3/2P5/PP3RPP/RN4K1 w - - 2 14,0.41,0.0,-0.11,1.16,0.08,0.0,0.0,0.0,b1d2,0.78,0.0,0.15,1.38,0.08,0.0,0.0,0.0,b1a3,0.56,0.0,0.11,1.3,0.08,0.0,0.0,0.0
r6r/pppkq3/2nppp1p/7Q/3PP3/2P5/PP1N1RPP/R5K1 w - - 4 15,0.74,0.0,0.16,0.61,0.08,0.0,0.0,0.0,d4d5,0.65,0.0,0.11,0.51,0.88,0.0,0.0,0.0,a1f1,0.82,0.0,0.3,0.69,0.12,0.0,0.0,0.0
r6r/pppkq3/3ppp1p/3Pn2Q/4P3/2P5/PP1N1RPP/R5K1 w - - 1 16,0.44,0.0,0.02,0.4,-0.02,0.0,0.0,0.0,d2f3,0.54,0.0,-0.19,0.31,-0.1,0.0,0.0,0.0,a1f1,0.52,0.0,0.16,0.48,0.01,0.0,0.0,0.0
r6r/pppkq3/3ppp1p/3P3Q/4P3/2P2n2/PP3RPP/R5K1 w - - 0 17,,,,,,,,,h5f3,0.81,0.0,0.04,0.4,0.12,0.0,0.0,0.0,h5f3,0.81,0.0,0.04,0.4,0.12,0.0,0.0,0.0
r6r/pppkq3/3p1p1p/3Pp3/4P3/2P2Q2/PP3RPP/R5K1 w - - 0 18,0.77,0.0,0.04,1.87,0.12,0.0,0.0,0.0,f3f5,,,,,,,,,f3h3,,,,,,,,
r2k3r/ppp1q3/3p1p1p/3PpQ2/4P3/2P5/PP3RPP/R5K1 w - - 2 19,0.68,0.0,0.35,0.77,-0.02,0.0,0.0,0.0,a1f1,0.76,0.0,0.48,0.8,-0.02,0.0,0.0,0.0,a1f1,0.76,0.0,0.48,0.8,-0.02,0.0,0.0,0.0
r2k1r2/ppp1q3/3p1p1p/3PpQ2/4P3/2P5/PP3RPP/5RK1 w - - 4 20,0.68,0.0,0.48,0.8,-0.02,0.0,0.0,0.0,f5g6,0.67,0.0,0.53,0.64,0.35,0.0,0.0,0.0,f5g6,0.67,0.0,0.53,0.64,0.35,0.0,0.0,0.0
r2k1r2/pp2q3/2pp1pQp/3Pp3/4P3/2P5/PP3RPP/5RK1 w - - 0 21,0.66,0.0,0.46,1.09,0.35,0.0,0.0,0.0,f2f6,1.44,0.1,0.49,2.0,0.72,0.0,0.0,0.0,f2f6,1.44,0.1,0.49,2.0,0.72,0.0,0.0,0.0
r2k4/pp2q3/2pp1rQp/3Pp3/4P3/2P5/PP4PP/5RK1 w - - 0 22,-2.0,0.34,0.21,1.44,-0.21,0.0,0.0,0.0,f1f6,1.44,0.11,0.31,2.0,0.9,0.0,0.0,0.0,f1f6,1.44,0.11,0.31,2.0,0.9,0.0,0.0,0.0
