rn1qkb1r/pp3pp1/2p1pn1p/8/3P3P/3Q1NN1/PPPB1PP1/R3K2R b KQkq - 2 10,0.44,0.0,0.35,0.05,-0.03,0.0,0.09,0.0,c6c5,0.46,0.0,0.34,0.44,-0.2,0.0,0.0,0.0,f8e7,0.38,0.0,0.32,0.05,-0.03,0.0,0.09,0.0
rn1qkb1r/pp3pp1/4pn1p/2p5/3PN2P/3Q1N2/PPPB1PP1/R3K2R b KQkq - 1 11,0.78,0.0,0.33,1.15,-0.28,0.0,0.0,0.0,b8c6,0.31,0.0,0.15,0.01,-0.38,0.0,0.0,0.0,b8c6,0.31,0.0,0.15,0.01,-0.38,0.0,0.0,0.0
r2qkb1r/pp3pp1/2n1pn1p/2N5/3P3P/3Q1N2/PPPB1PP1/R3K2R b KQkq - 0 12,0.92,0.23,0.2,0.01,-0.37,0.0,0.13,0.0,f8c5,-2.0,-0.41,-0.04,-0.07,1.06,0.0,0.06,0.0,f8c5,-2.0,-0.41,-0.04,-0.07,1.06,0.0,0.06,0.0
r2qk2r/pp3pp1/2n1pn1p/2P5/7P/3Q1N2/PPPB1PP1/R3K2R b KQkq - 0 13,0.72,0.0,0.19,0.04,-0.39,0.0,0.12,0.0,d8d3,-2.0,-0.36,0.0,0.0,0.0,0.0,0.0,0.0,d8d3,-2.0,-0.36,0.0,0.0,0.0,0.0,0.0,0.0
r3k2r/pp3pp1/2n1pn1p/2P5/7P/3P1N2/PP1B1PP1/R3K2R b KQkq - 0 14,0.73,0.07,0.16,-0.14,0.0,0.0,0.0,0.0,e8c8,0.25,0.07,-0.09,0.74,-0.35,0.0,0.0,0.0,e8c8,0.25,0.07,-0.09,0.74,-0.35,0.0,0.0,0.0
2kr3r/pp3pp1/2n1pn1p/2P5/7P/3P1N2/PP1BKPP1/R6R b - - 2 15,0.16,0.07,0.26,0.3,-0.01,0.0,0.0,0.0,d8d5,0.17,0.07,0.26,0.18,-0.39,0.0,0.0,0.0,e6e5,0.12,0.07,0.19,0.17,-0.02,0.0,0.0,0.0
2k4r/pp3pp1/2n1pn1p/2Pr4/7P/3PBN2/PP2KPP1/R6R b - - 4 16,0.23,0.07,0.16,0.18,-0.03,0.0,0.0,0.0,h8d8,0.11,0.07,0.02,0.14,-0.1,0.0,0.0,0.0,h8d8,0.11,0.07,0.02,0.14,-0.1,0.0,0.0,0.0
2kr4/pp3pp1/2n1pn1p/2Pr4/7P/3PBN2/PP2KPP1/R2R4 b - - 6 17,0.23,0.07,0.01,0.14,-0.06,0.0,0.0,0.0,f6g4,0.2,0.07,0.13,0.11,-0.4,0.0,0.0,0.0,e6e5,0.19,0.07,-0.06,0.06,-0.13,0.0,0.0,0.0
2kr4/pp3pp1/2n1p2p/2Pr4/6nP/3PBN2/PP2KPP1/2RR4 b - - 8 18,0.28,0.07,0.18,0.18,-0.35,0.0,0.0,0.0,g4e5,0.11,0.07,0.22,0.22,0.23,0.0,0.0,0.0,e6e5,0.24,0.07,0.11,0.13,-0.42,0.0,0.0,0.0
2kr4/pp3pp1/2n1p2p/2PrN3/7P/3PB3/PP2KPP1/2RR4 b - - 0 19,2.0,0.61,0.2,0.34,-0.53,0.0,0.0,0.0,c6e5,0.11,-0.03,0.37,0.22,0.23,0.0,0.0,0.0,c6e5,0.11,-0.03,0.37,0.22,0.23,0.0,0.0,0.0
2kr4/pp3pp1/4p2p/2Prn3/7P/2RPB3/PP2KPP1/3R4 b - - 1 20,0.17,-0.03,0.25,0.22,0.23,0.0,0.0,0.0,e5c6,0.38,-0.03,-0.08,0.22,-0.05,0.0,0.0,0.0,e5c6,0.38,-0.03,-0.08,0.22,-0.05,0.0,0.0,0.0
2kr4/pp3pp1/2n1p2p/2Pr4/7P/P1RPB3/1P2KPP1/3R4 b - - 0 21,0.32,-0.03,-0.08,0.26,-0.01,0.0,0.0,0.0,e6e5,0.28,-0.03,-0.12,0.21,-0.05,0.0,0.0,0.0,a7a5,0.35,-0.03,-0.12,0.26,-0.05,0.0,0.0,0.0
2kr4/pp3pp1/2n4p/2Prp3/1P5P/P1RPB3/4KPP1/3R4 b - - 0 22,0.15,-0.03,-0.02,0.33,0.22,0.0,0.0,0.0,f7f5,0.16,-0.03,-0.02,0.24,-0.01,0.0,0.0,0.0,a7a6,0.21,-0.03,-0.07,0.33,-0.01,0.0,0.0,0.0
2kr4/pp4p1/2n4p/2Prpp2/1P5P/P1RPBP2/4K1P1/3R4 b - - 0 23,0.18,-0.03,0.1,-0.01,-0.01,0.0,0.0,0.0,c6d4,,,,,,,,,a7a6,0.24,-0.03,0.05,-0.01,-0.25,0.0,0.0,0.0
2kr4/pp4p1/7p/2Prpp2/1P1B3P/P1RP1P2/4K1P1/3R4 b - - 0 24,2.0,0.53,0.33,0.06,-1.31,0.0,0.0,0.0,e5d4,0.1,0.12,0.12,-1.48,-1.16,0.0,0.0,0.0,d5d4,-0.13,0.12,-0.05,-0.09,-0.29,0.0,0.0,0.0
2kr4/pp4p1/7p/2Pr1p2/1PRp3P/P2P1P2/4K1P1/3R4 b - - 1 25,0.09,0.12,0.12,-1.42,-0.3,0.0,0.0,0.0,d5e5,,,,,,,,,f5f4,0.18,0.12,0.08,-1.38,-0.3,0.0,0.0,0.0
