r1bq1rk1/pp3ppp/2n1p3/2bp3n/5B2/3BPN2/PPPNQPPP/R4RK1 w - - 6 10,0.21,0.0,0.41,0.43,-0.02,0.0,-0.13,0.0,f4g5,0.23,0.0,0.35,0.56,0.34,0.0,-0.13,0.0,f4g5,0.23,0.0,0.35,0.56,0.34,0.0,-0.13,0.0
r1bq1rk1/pp2bppp/2n1p3/3p2Bn/8/3BPN2/PPPNQPPP/R4RK1 w - - 8 11,0.33,0.0,0.32,0.59,-0.04,0.0,-0.13,0.0,g5e7,2.0,0.76,0.73,0.79,0.26,0.0,-0.05,0.0,g5e7,2.0,0.76,0.73,0.79,0.26,0.0,-0.05,0.0
r1b2rk1/pp2qppp/2n1p3/3p3n/8/3BPN2/PPPNQPPP/R4RK1 w - - 0 12,0.17,0.0,0.41,0.19,0.29,0.0,-0.14,0.0,c2c4,0.15,0.0,0.46,0.2,0.32,0.0,-0.03,0.0,c2c4,0.15,0.0,0.46,0.2,0.32,0.0,-0.03,0.0
r1b2rk1/pp2qppp/2n1p3/7n/2p5/3BPN2/PP1NQPPP/R4RK1 w - - 0 13,-0.33,-0.23,0.58,0.25,0.58,0.0,-0.21,0.0,d2c4,0.48,0.0,0.64,0.26,0.09,0.0,0.0,0.0,d3c4,0.25,0.0,0.62,0.0,0.26,0.0,0.0,0.0
r4rk1/pp1bqppp/2n1p3/7n/2N5/3BPN2/PP2QPPP/R4RK1 w - - 1 14,0.42,0.0,0.34,0.22,0.09,0.0,0.0,0.0,f3e5,0.64,0.0,0.42,0.63,0.53,0.0,0.0,0.0,f1d1,0.47,0.0,0.43,0.23,0.09,0.0,0.0,0.0
r4rk1/pp1bqppp/2n1pn2/4N3/2N5/3BP3/PP2QPPP/R4RK1 w - - 3 15,0.44,0.0,0.18,0.4,0.0,0.0,0.0,0.0,e5d7,2.0,0.41,0.23,0.57,-0.24,0.0,0.06,0.0,e5d7,2.0,0.41,0.23,0.57,-0.24,0.0,0.06,0.0
r4rk1/pp1q1ppp/2n1pn2/8/2N5/3BP3/PP2QPPP/R4RK1 w - - 0 16,0.43,-0.17,0.15,0.12,-0.36,0.0,0.0,0.0,f1d1,0.47,-0.17,0.25,0.12,0.03,0.0,0.0,0.0,a1c1,0.51,-0.17,0.29,0.12,-0.36,0.0,0.0,0.0
r4rk1/pp2qppp/2n1pn2/8/2N5/3BP3/PP2QPPP/R2R2K1 w - - 2 17,0.47,-0.17,0.25,0.12,-0.3,0.0,0.0,0.0,e3e4,0.51,-0.17,0.36,0.04,-0.04,0.0,0.07,0.0,a1c1,0.55,-0.17,0.38,0.13,-0.3,0.0,0.0,0.0
r4rk1/pp2qppp/2n2n2/4p3/2N1P3/3B4/PP2QPPP/R2R2K1 w - - 0 18,0.47,-0.17,0.27,0.0,-0.27,0.0,0.0,0.0,c4e3,0.34,-0.17,0.37,0.0,0.12,0.0,0.0,0.0,e2e3,0.45,-0.17,0.31,0.04,-0.38,0.0,0.0,0.0
r4rk1/pp2qppp/5n2/4p3/3nP3/3BN3/PP2QPPP/R2R2K1 w - - 2 19,0.12,-0.17,0.37,-0.08,-0.05,0.0,-0.03,0.0,e2e1,0.08,-0.17,0.18,-0.17,0.33,0.0,-0.03,0.0,e2e1,0.08,-0.17,0.18,-0.17,0.33,0.0,-0.03,0.0
r2r2k1/pp2qppp/5n2/4p3/3nP3/3BN3/PP3PPP/R2RQ1K1 w - - 4 20,0.04,-0.17,0.04,-0.18,0.33,0.0,-0.03,0.0,a1c1,0.12,-0.17,0.22,-0.16,0.26,0.0,-0.03,0.0,a1c1,0.12,-0.17,0.22,-0.16,0.26,0.0,-0.03,0.0
r2r2k1/pp2qp1p/5np1/4p3/3nP3/3BN3/PP3PPP/2RRQ1K1 w - - 0 21,0.13,-0.17,0.19,0.03,0.15,0.0,-0.03,0.0,d3c4,0.17,-0.17,0.17,0.1,-0.44,0.0,0.0,0.0,d3c4,0.17,-0.17,0.17,0.1,-0.44,0.0,0.0,0.0
2rr2k1/pp2qp1p/5np1/4p3/2BnP3/4N3/PP3PPP/2RRQ1K1 w - - 2 22,0.09,-0.17,0.03,0.08,-0.41,0.0,0.0,0.0,e3d5,0.27,-0.17,0.04,0.87,0.21,0.0,0.0,0.0,g1h1,-0.18,-0.17,0.18,0.23,-0.41,0.0,0.0,0.0
2rr2k1/pp2qp1p/6p1/3np3/2BnP3/8/PP3PPP/2RRQ1K1 w - - 0 23,-2.0,-0.79,-0.08,-0.16,1.05,0.0,-0.12,0.0,c4d5,0.09,-0.22,-0.08,0.1,-0.02,0.0,0.0,0.0,c4d5,0.09,-0.22,-0.08,0.1,-0.02,0.0,0.0,0.0
2rr4/pp2qpkp/6p1/3Bp3/3nP3/8/PP3PPP/2RRQ1K1 w - - 1 24,0.2,-0.22,-0.18,0.02,-0.02,0.0,0.0,0.0,c1c3,0.26,-0.22,-0.12,0.03,0.01,0.0,0.0,0.0,c1c3,0.26,-0.22,-0.12,0.03,0.01,0.0,0.0,0.0
3r4/pp2qpkp/6p1/3Bp3/3nP3/2r5/PP3PPP/3RQ1K1 w - - 0 25,-2.0,-0.02,-0.37,-0.35,0.0,0.0,0.0,0.0,b2c3,0.24,-0.25,-0.17,0.03,0.88,0.0,0.0,0.0,b2c3,0.24,-0.25,-0.17,0.03,0.88,0.0,0.0,0.0
3r4/pp2qpkp/4n1p1/3Bp3/4P3/2P5/P4PPP/3RQ1K1 w - - 1 26,0.43,-0.25,-0.22,0.15,0.36,0.0,0.0,0.0,g2g3,0.42,-0.25,-0.17,-0.04,0.39,0.0,0.0,0.0,g2g3,0.42,-0.25,-0.17,-0.04,0.39,0.0,0.0,0.0
3r4/pp2qpkp/6p1/2nBp3/4P3/2P3P1/P4P1P/3RQ1K1 w - - 1 27,0.28,-0.25,-0.15,0.0,-0.08,0.0,0.0,0.0,e1e3,0.3,-0.25,0.03,0.24,0.1,0.0,0.0,0.0,e1e3,0.3,-0.25,0.03,0.24,0.1,0.0,0.0,0.0
3r4/p3qpkp/1p4p1/2nBp3/4P3/2P1Q1P1/P4P1P/3R2K1 w - - 0 28,0.38,-0.25,-0.01,0.24,0.03,0.0,0.0,0.0,g1g2,0.27,-0.25,-0.0,0.24,0.03,0.0,0.0,0.0,c3c4,0.36,-0.25,0.05,0.25,0.03,0.0,0.0,0.0
3r4/p3qpk1/1p4p1/2nBp2p/4P3/2P1Q1P1/P4PKP/3R4 w - - 0 29,0.28,-0.25,-0.0,0.32,0.03,0.0,0.0,0.0,h2h4,0.27,-0.25,0.01,0.22,0.07,0.0,0.0,0.0,h2h4,0.27,-0.25,0.01,0.22,0.07,0.0,0.0,0.0
r2qkb1r/p1p2pp1/2p2n2/3p1b2/P3pP2/2N3P1/1PPPP1BP/R1BQK2R b KQkq - 0 10,0.43,0.23,-1.09,-0.13,-0.28,0.0,-0.18,0.0,d5d4,0.52,0.23,-1.08,-0.18,-0.82,0.0,-0.27,0.0,d5d4,0.52,0.23,-1.08,-0.18,-0.82,0.0,-0.27,0.0
r2qkb1r/p1p2pp1/2p2n2/5b2/P2ppP2/6P1/NPPPP1BP/R1BQK2R b KQkq - 1 11,0.12,0.23,-1.19,-0.29,-0.01,0.0,-0.31,0.0,a7a5,0.15,0.23,-1.39,-0.31,-0.05,0.0,-0.43,0.0,d8d7,0.08,0.23,-1.09,-0.33,-0.01,0.0,-0.31,0.0
r2qkb1r/2p2pp1/2p2n2/p4b2/P2ppP2/3P2P1/NPP1P1BP/R1BQK2R b KQkq - 0 12,0.13,0.23,-1.12,-0.39,0.01,0.0,-0.34,0.0,e4e3,0.23,0.23,-1.22,-0.43,0.31,0.0,-0.47,0.0,f8c5,-0.02,0.23,-1.19,-0.4,0.01,0.0,-0.34,0.0
r2qkb1r/2p2pp1/2p2n2/p4b2/P2p1P2/2PPp1P1/NP2P1BP/R1BQK2R b KQkq - 0 13,0.23,0.23,-1.13,-0.83,0.44,0.0,-0.27,0.0,f6g4,0.2,0.23,-1.01,-1.89,0.61,0.0,-0.27,0.0,c6c5,0.25,0.23,-1.06,-0.85,0.45,0.0,-0.37,0.0
r2qkb1r/2p2pp1/2p5/p4b2/P2p1Pn1/2PPp1P1/NPQ1P1BP/R1B1K2R b KQkq - 2 14,0.22,0.23,-0.89,-1.81,0.68,0.0,-0.27,0.0,f5e6,0.25,0.23,-0.92,-1.08,0.38,0.0,-0.27,0.0,a8a6,0.19,0.23,-0.88,-1.98,0.35,0.0,-0.27,0.0
