r1b1kb1r/1pqn1p1p/p2p1np1/4p1B1/3NPP2/2N5/PPP1Q1PP/2KR1B1R w kq - 0 10,1.01,0.0,0.06,0.12,-0.79,0.0,0.18,0.0,d4b3,0.7,0.0,0.19,0.11,0.08,0.0,0.12,0.0,e2f2,1.0,0.0,0.17,0.13,-0.93,0.0,0.18,0.0
r1b1kb1r/2qn1p1p/p2p1np1/1p2p1B1/4PP2/1NN5/PPP1Q1PP/2KR1B1R w kq - 0 11,0.82,0.0,-0.28,-0.05,-0.22,0.0,0.06,0.0,h2h4,0.81,0.0,-0.24,-0.05,-0.22,0.0,0.07,0.0,f4e5,1.59,0.26,-0.1,0.06,-0.03,0.0,0.19,0.0
r1b1kb1r/2qn1p2/p2p1npp/1p2p1B1/4PP1P/1NN5/PPP1Q1P1/2KR1B1R w kq - 0 12,0.89,0.0,-0.22,-0.11,-0.86,0.0,0.07,0.0,g5f6,2.0,0.66,0.0,0.01,-0.63,0.0,0.21,0.0,f4e5,1.66,0.26,-0.03,0.01,-0.66,0.0,0.19,0.0
r1b1kb1r/2q2p2/p2p1npp/1p2p3/4PP1P/1NN5/PPP1Q1P1/2KR1B1R w kq - 0 13,0.47,-0.09,-0.42,-0.18,-0.84,0.0,0.06,0.0,f4e5,1.24,0.1,-0.35,-0.07,-0.36,0.0,0.16,0.0,e2f2,0.45,-0.09,-0.16,-0.18,-0.5,0.0,0.06,0.0
r1b1kb1r/2q2p2/p4npp/1p2p3/4P2P/1NN5/PPP1Q1P1/2KR1B1R w kq - 0 14,0.46,-0.13,-0.5,-0.21,-0.54,0.0,-0.04,0.0,h4h5,0.52,-0.13,-0.5,-0.12,-0.63,0.0,-0.06,0.0,h4h5,0.52,-0.13,-0.5,-0.12,-0.63,0.0,-0.06,0.0
r1b1kb1r/2q2p2/p4n1p/1p2p1pP/4P3/1NN5/PPP1Q1P1/2KR1B1R w kq - 0 15,0.52,-0.13,-0.54,-0.08,-0.48,0.0,-0.06,0.0,e2f2,0.5,-0.13,-0.27,0.28,-0.38,0.0,-0.06,0.0,c1b1,0.79,-0.13,-0.53,0.21,-0.48,0.0,-0.06,0.0
r1b1k2r/2q1bp2/p4n1p/1p2p1pP/4P3/1NN5/PPP2QP1/2KR1B1R w kq - 2 16,0.45,-0.13,-0.27,0.09,-0.71,0.0,-0.06,0.0,c3d5,0.66,-0.13,-0.28,1.08,0.69,0.0,0.0,0.0,c1b1,0.72,-0.13,-0.25,0.38,-0.71,0.0,-0.06,0.0
r1b1k2r/2q1bp2/p6p/1p1np1pP/4P3/1N6/PPP2QP1/2KR1B1R w kq - 0 17,-2.0,-0.69,-0.45,-0.47,0.99,0.0,-0.18,0.0,e4d5,0.26,-0.08,-0.35,-0.2,-0.25,0.31,0.03,0.0,e4d5,0.26,-0.08,-0.35,-0.2,-0.25,0.31,0.03,0.0
r1b2rk1/2q1bp2/p6p/1p1Pp1pP/8/1N6/PPP2QP1/2KR1B1R w - - 1 18,-0.44,-0.08,-0.35,-0.4,-0.29,0.31,0.03,0.0,c1b1,-0.17,-0.08,-0.25,0.01,-0.29,0.31,0.03,0.0,c1b1,-0.17,-0.08,-0.25,0.01,-0.29,0.31,0.03,0.0
r1b2rk1/4bp2/p2q3p/1p1Pp1pP/8/1N6/PPP2QP1/1K1R1B1R w - - 3 19,-0.17,-0.08,-0.26,0.05,-0.39,0.14,0.03,0.0,b3a5,-0.25,-0.08,-0.34,0.04,-0.31,0.14,0.03,0.0,b3a5,-0.25,-0.08,-0.34,0.04,-0.31,0.14,0.03,0.0
r1b2rk1/4b3/p2q3p/Np1PpppP/8/8/PPP2QP1/1K1R1B1R w - - 0 20,-0.24,-0.08,-0.38,0.33,-0.28,0.09,-0.07,0.0,a5c6,0.2,-0.08,-0.22,0.49,0.07,0.09,-0.03,0.0,c2c4,-0.26,-0.08,-0.37,-0.19,0.02,0.12,0.07,0.0
r1b2rk1/8/p1Nq1b1p/1p1PpppP/8/8/PPP2QP1/1K1R1B1R w - - 2 21,0.25,-0.08,-0.18,0.61,-0.13,0.09,-0.03,0.0,c2c4,0.23,-0.08,-0.16,0.19,0.16,0.12,0.11,0.0,g2g4,0.23,-0.08,0.01,0.62,-0.43,0.07,-0.05,0.0
