rnbq1rk1/pp3pp1/5n1p/2bp4/8/2NBBN2/PPP2PPP/R2QR1K1 b - - 1 10,0.63,0.0,0.14,0.11,-0.23,0.0,-0.14,0.0,c5e3,-2.0,-0.71,-0.15,-0.47,0.98,0.0,-0.19,0.0,c5e3,-2.0,-0.71,-0.15,-0.47,0.98,0.0,-0.19,0.0
rnbq1rk1/pp3pp1/5n1p/3p4/8/2NBRN2/PPP2PPP/R2Q2K1 b - - 0 11,0.71,0.0,0.25,0.13,-0.27,0.0,-0.12,0.0,b8c6,0.24,0.0,0.03,0.08,-0.73,0.0,-0.12,0.0,b8c6,0.24,0.0,0.03,0.08,-0.73,0.0,-0.12,0.0
r1bq1rk1/pp3pp1/2n2n1p/3p4/8/3BRN2/PPP1NPPP/R2Q2K1 b - - 2 12,0.13,0.0,-0.14,0.12,-0.43,0.0,-0.12,0.0,c8g4,-0.04,0.0,-0.24,0.08,-0.43,0.0,-0.12,0.0,f6g4,0.1,0.0,-0.03,0.13,-0.66,0.0,-0.12,0.0
r2q1rk1/pp3pp1/2n2n1p/3p4/6b1/3BRN1P/PPP1NPP1/R2Q2K1 b - - 0 13,-0.12,0.0,-0.16,0.15,0.2,0.0,-0.12,0.0,g4f3,-2.0,-0.57,-0.26,-0.02,0.61,0.0,-0.17,0.0,g4f3,-2.0,-0.57,-0.26,-0.02,0.61,0.0,-0.17,0.0
r2q1rk1/pp3pp1/2n2n1p/3p4/8/3B1R1P/PPP1NPP1/R2Q2K1 b - - 0 14,0.18,-0.17,-0.06,0.14,-0.17,0.0,-0.1,0.0,f8e8,0.13,-0.17,-0.23,0.01,-0.1,0.0,-0.1,0.0,f8e8,0.13,-0.17,-0.23,0.01,-0.1,0.0,-0.1,0.0
r2qr1k1/pp3pp1/2n2n1p/3p4/8/3B1R1P/PPPQNPP1/R5K1 b - - 2 15,0.17,-0.17,-0.08,0.18,-0.28,0.0,-0.1,0.0,f6e4,-0.04,-0.17,-0.15,0.04,-0.57,0.0,-0.1,0.0,d8b6,0.16,-0.17,-0.15,0.09,-0.61,0.0,-0.1,0.0
r2qr1k1/pp3pp1/2n4p/3p4/4nQ2/3B1R1P/PPP1NPP1/R5K1 b - - 4 16,-0.06,-0.17,-0.22,1.62,-0.41,0.0,-0.07,0.0,e4g5,0.15,-0.17,0.02,0.53,-0.86,0.0,-0.07,0.0,e4g5,0.15,-0.17,0.02,0.53,-0.86,0.0,-0.07,0.0
r2qr1k1/pp3pp1/2n4p/3p2n1/5Q2/3B2RP/PPP1NPP1/R5K1 b - - 6 17,0.1,-0.17,-0.02,0.18,-0.48,0.0,-0.07,0.0,c6e5,-0.11,-0.17,0.11,0.07,-0.43,0.0,-0.1,0.0,d8b6,0.09,-0.17,-0.08,-0.12,-0.78,0.0,-0.07,0.0
r2qr1k1/pp3pp1/7p/3pn1n1/3N1Q2/3B2RP/PPP2PP1/R5K1 b - - 8 18,0.2,-0.17,0.21,0.1,-0.5,0.0,-0.1,0.0,d8b6,0.19,-0.17,0.13,0.12,-0.79,0.0,-0.1,0.0,d8b6,0.19,-0.17,0.13,0.12,-0.79,0.0,-0.1,0.0
r3r1k1/pp3pp1/1q5p/3pnNn1/5Q2/3B2RP/PPP2PP1/R5K1 b - - 10 19,0.17,-0.17,0.15,-0.36,-0.7,0.0,-0.07,0.0,e5g6,0.49,-0.17,0.03,-0.33,-1.09,0.0,-0.07,0.0,b6b2,-0.45,-0.32,0.15,-1.25,-0.76,0.0,-0.11,0.0
