r2q1rk1/p2pbppp/np2pn2/6B1/3P1P2/2P5/PP1NQ1PP/R3K1NR b KQ - 1 10,-0.81,0.0,0.01,-0.08,0.33,0.0,0.26,0.0,a6c7,-0.98,0.0,-0.11,-0.08,0.03,0.0,0.26,0.0,a6c7,-0.98,0.0,-0.11,-0.08,0.03,0.0,0.26,0.0
r2q1rk1/p1npbppp/1p2pn2/6B1/3P1P2/2P2N2/PP1NQ1PP/R3K2R b KQ - 3 11,-0.5,0.0,0.15,-0.08,0.03,0.0,0.26,0.0,b6b5,-0.47,0.0,0.09,-0.08,0.07,0.0,0.22,0.0,f6d5,-0.71,0.0,0.18,-0.12,-0.13,0.0,0.3,0.0
r2q1rk1/p1npbppp/4pn2/1p2N1B1/3P1P2/2P5/PP1NQ1PP/R3K2R b KQ - 1 12,-0.25,0.0,0.07,0.03,-0.23,0.0,0.22,0.0,c7d5,-0.62,0.0,-0.06,-0.11,0.0,0.0,0.22,0.0,f6d5,-0.46,0.0,0.1,0.06,-0.54,0.0,0.26,0.0
r2q1rk1/p2pbppp/4pn2/1p1nN1B1/3P1P2/2P5/PP1NQ1PP/R4RK1 b - - 3 13,0.09,0.0,0.16,0.08,0.13,0.0,0.22,0.0,d8b6,0.08,0.0,0.09,0.08,0.0,0.0,0.22,0.0,a8c8,0.0,0.0,0.12,0.08,0.03,0.0,0.22,0.0
r4rk1/p2pbppp/1q2pn2/1p1nN1B1/3P1P2/2P5/PP1NQ1PP/R4R1K b - - 5 14,-0.19,0.0,0.15,0.16,0.0,0.0,0.22,0.0,d7d6,-0.17,0.0,0.25,0.17,-0.59,0.0,0.22,0.0,d7d6,-0.17,0.0,0.25,0.17,-0.59,0.0,0.22,0.0
r4rk1/p3bppp/1q1ppn2/1p1n2B1/3P1P2/2PN4/PP1NQ1PP/R4R1K b - - 1 15,-0.36,0.0,0.21,0.03,0.07,0.0,0.17,0.0,f8e8,-0.4,0.0,0.15,0.03,0.07,0.0,0.17,0.0,a8e8,-0.49,0.0,0.15,0.03,0.07,0.0,0.17,0.0
r3r1k1/p3bppp/1q1ppn2/1p1n1PB1/3P4/2PN4/PP1NQ1PP/R4R1K b - - 0 16,-0.5,0.0,0.27,0.25,0.1,0.0,0.18,0.0,e6e5,-0.53,0.0,0.18,0.41,-0.27,0.03,0.14,0.0,e7f8,-0.44,0.0,0.51,0.25,0.1,0.0,0.18,0.0
r3r1k1/p3bppp/1q1p1n2/1p1nPPB1/8/2PN4/PP1NQ1PP/R4R1K b - - 0 17,0.22,0.23,0.25,0.41,1.29,0.0,0.2,0.0,d6e5,-0.56,0.0,0.01,0.33,0.4,0.03,0.0,0.0,d6e5,-0.56,0.0,0.01,0.33,0.4,0.03,0.0,0.0
r3r1k1/p3bppp/1q3n2/1p1nQPB1/8/2PN4/PP1N2PP/R4R1K b - - 0 18,0.21,0.2,0.07,0.41,-0.7,0.0,0.12,0.0,e7d6,0.14,0.2,-0.1,0.28,-2.0,0.0,0.12,0.0,a8d8,0.08,0.2,-0.07,0.41,-1.02,0.0,0.12,0.0
r3r1k1/p4ppp/1q1b1n2/1p1n1PB1/3Q4/2PN4/PP1N2PP/R4R1K b - - 2 19,0.16,0.2,-0.04,0.32,-0.79,0.0,0.15,0.0,b6d4,-2.0,-0.19,0.0,0.0,0.0,0.0,0.0,0.0,b6d4,-2.0,-0.19,0.0,0.0,0.0,0.0,0.0,0.0
r3r1k1/p4ppp/3b1n2/1p1n1PB1/3P4/3N4/PP1N2PP/R4R1K b - - 0 20,0.19,0.23,-0.1,0.22,0.01,-0.08,0.0,0.0,f6g4,0.16,0.23,0.02,0.25,-0.06,-0.08,0.0,0.0,f6g4,0.16,0.23,0.02,0.25,-0.06,-0.08,0.0,0.0
r3r1k1/p4ppp/3b4/1p1n1PB1/3P2n1/3N3P/PP1N2P1/R4R1K b - - 0 21,0.08,0.23,0.01,0.33,0.87,-0.08,0.0,0.0,g4e3,-0.12,0.23,-0.06,0.25,-0.44,-0.08,0.0,0.0,g4e3,-0.12,0.23,-0.06,0.25,-0.44,-0.08,0.0,0.0
r3r1k1/p4ppp/3b4/1p1n1PB1/3P4/3Nn2P/PP1N2P1/R3R2K b - - 2 22,-0.07,0.23,-0.07,0.21,0.2,-0.08,0.0,0.0,e3f5,-0.61,0.0,-0.01,-0.64,-0.36,-0.08,0.0,0.0,e3f5,-0.61,0.0,-0.01,-0.64,-0.36,-0.08,0.0,0.0
r3R1k1/p4ppp/3b4/1p1n1nB1/3P4/3N3P/PP1N2P1/R6K b - - 0 23,,,,,,,,,a8e8,-0.73,0.0,-0.24,-0.88,-0.39,-0.08,0.0,0.0,a8e8,-0.73,0.0,-0.24,-0.88,-0.39,-0.08,0.0,0.0
4r1k1/p4ppp/3b4/1p1n1nB1/3P4/3N3P/PP1N2P1/2R4K b - - 1 24,-0.65,0.0,-0.06,-0.81,-0.39,-0.08,0.0,0.0,h7h6,-0.57,0.0,-0.03,-0.88,-1.55,-0.08,0.0,0.0,f5g3,,,,,,,,
4r1k1/p4pp1/2Rb3p/1p1n1nB1/3P4/3N3P/PP1N2P1/7K b - - 1 25,-0.47,0.0,-0.12,-0.91,-1.42,-0.08,0.0,0.0,h6g5,-2.0,-0.32,-0.45,-1.12,0.08,-0.08,0.0,0.0,h6g5,-2.0,-0.32,-0.45,-1.12,0.08,-0.08,0.0,0.0
4r1k1/p4pp1/2Rb4/1p1n1np1/3P2P1/3N3P/PP1N4/7K b - - 0 26,-2.0,-0.32,-0.45,-1.37,1.01,-0.08,0.0,0.0,e8e3,-2.0,-0.32,-0.42,-2.0,0.0,-0.08,0.0,0.0,f5g3,,,,,,,,
6k1/p4pp1/2Rb4/1p1n1Pp1/3P4/3Nr2P/PP1N4/7K b - - 0 27,-0.88,0.11,-0.28,-1.66,-0.32,-0.08,0.0,0.0,e3h3,,,,,,,,,e3h3,,,,,,,,
6k1/p4pp1/2Rb4/1p1n1Pp1/3P4/3N3r/PP1N4/6K1 b - - 1 28,-0.95,-0.09,-0.31,-2.0,-0.01,-0.19,0.0,0.0,d6h2,,,,,,,,,d6h2,,,,,,,,
