r2q1rk1/p2nbppp/bpp1pn2/3p4/2PP4/1PNQ1NP1/P3PPBP/R1BR2K1 b - - 2 10,0.06,0.0,0.11,0.04,-0.13,0.0,0.07,0.0,a8c8,-0.02,0.0,0.16,0.04,-0.13,0.0,0.07,0.0,c6c5,0.09,0.0,0.25,0.04,-0.1,0.0,-0.09,0.0
2rq1rk1/p2nbppp/bpp1pn2/3p4/2PPP3/1PNQ1NP1/P4PBP/R1BR2K1 b - - 0 11,0.1,0.0,0.25,-0.04,0.11,0.0,0.34,0.0,c6c5,0.12,0.0,0.36,-0.04,0.14,0.0,0.26,0.0,d5c4,-0.38,-0.28,0.38,0.0,-0.6,-0.2,0.15,0.0
2rq1rk1/p2nbppp/bp2pn2/2pP4/2PP4/1PNQ1NP1/P4PBP/R1BR2K1 b - - 0 12,0.63,0.28,0.52,0.12,0.03,0.32,0.4,0.0,e6d5,0.08,0.0,0.47,0.08,-0.01,0.0,0.0,0.0,e6d5,0.08,0.0,0.47,0.08,-0.01,0.0,0.0,0.0
2rq1rk1/p2nbppp/bp3n2/2Pp4/2P5/1PNQ1NP1/P4PBP/R1BR2K1 b - - 0 13,0.56,0.26,0.5,0.04,-0.52,0.23,0.12,0.0,d5c4,0.08,0.0,0.5,0.08,-0.49,0.0,-0.04,0.0,d5c4,0.08,0.0,0.5,0.08,-0.49,0.0,-0.04,0.0
2rq1rk1/p2nbppp/bp3n2/2P5/2P5/2NQ1NP1/P4PBP/R1BR2K1 b - - 0 14,0.73,0.24,0.54,0.08,0.28,0.2,0.16,0.0,e7c5,0.08,0.0,0.33,-0.08,0.7,0.0,0.06,0.0,e7c5,0.08,0.0,0.33,-0.08,0.7,0.0,0.06,0.0
2rq1rk1/p2n1ppp/bp3n2/1Nb5/2P5/3Q1NP1/P4PBP/R1BR2K1 b - - 1 15,0.12,0.0,0.38,-0.11,0.85,0.0,0.06,0.0,f6g4,0.08,0.0,0.36,-1.53,1.36,0.0,0.06,0.0,f8e8,0.07,0.0,0.27,-0.47,0.81,0.0,0.06,0.0
2rq1rk1/p2n1ppp/bp6/1Nb5/2P3n1/3Q1NP1/P2R1PBP/R1B3K1 b - - 3 16,0.13,0.0,0.24,-0.51,1.1,0.0,0.06,0.0,d8f6,0.09,0.0,0.11,-0.91,1.06,0.0,0.03,0.0,g4f2,-0.52,-0.22,0.18,-1.08,1.25,0.0,0.01,0.0
2r2rk1/p2n1ppp/bp3q2/1Nb5/2P3n1/3Q1NP1/PB1R1PBP/R5K1 b - - 5 17,0.17,0.0,0.3,-0.64,2.0,0.0,0.03,0.0,g4f2,-0.49,-0.22,0.21,-1.36,2.0,0.0,-0.01,0.0,g4f2,-0.49,-0.22,0.21,-1.36,2.0,0.0,-0.01,0.0
2r2rk1/p2n1ppp/bp3q2/1Nb5/2P5/5NP1/PBQR1nBP/R5K1 b - - 1 18,-0.48,-0.22,0.19,-1.37,2.0,0.0,-0.01,0.0,f2d3,,,,,,,,,f2d3,,,,,,,,
2r2rk1/p2n1ppp/bp3q2/1Nb5/2P5/3n1NP1/PBQR2BP/R6K b - - 3 19,-0.99,-0.22,0.01,-1.0,1.1,0.0,-0.01,0.0,d3b2,-2.0,-0.84,0.0,-0.56,1.58,0.0,-0.07,0.0,d3b2,-2.0,-0.84,0.0,-0.56,1.58,0.0,-0.07,0.0
2r2rk1/p2n1ppp/bp3q2/1Nb5/2P5/5NP1/PQ1R2BP/R6K b - - 0 20,-1.0,-0.37,0.02,-0.64,0.77,0.0,-0.01,0.0,a6b5,-2.0,-0.75,-0.27,-0.65,-0.1,0.0,-0.07,0.0,c5b4,-1.01,-0.37,0.04,-0.56,0.56,0.0,-0.01,0.0
2r2rk1/p2n1ppp/1p3q2/1Pb5/8/5NP1/PQ1R2BP/R6K b - - 0 21,-0.91,-0.12,0.02,-0.64,0.25,0.0,-0.01,0.0,f8d8,-0.95,-0.12,-0.03,-0.64,-0.08,0.0,-0.01,0.0,f6b2,-2.0,-0.49,0.0,0.0,0.0,0.0,0.0,0.0
2rr2k1/p2n1ppp/1p3q2/1Pb5/8/5NP1/PQ1R2BP/3R3K b - - 2 22,-0.83,-0.12,0.14,-0.64,0.61,0.0,-0.01,0.0,f6b2,-2.0,-0.49,0.0,0.0,0.0,0.0,0.0,0.0,f6b2,-2.0,-0.49,0.0,0.0,0.0,0.0,0.0,0.0
2rr2k1/p2n1ppp/1p6/1Pb5/8/5NP1/PR4BP/3R3K b - - 0 23,-0.88,-0.14,0.1,-0.52,0.28,0.0,0.0,0.0,d7f6,-0.98,-0.14,-0.12,-0.65,-0.33,0.0,0.0,0.0,d7f6,-0.98,-0.14,-0.12,-0.65,-0.33,0.0,0.0,0.0
2rR2k1/p4ppp/1p3n2/1Pb5/8/5NP1/PR4BP/7K b - - 0 24,,,,,,,,,c8d8,-1.02,-0.16,-0.25,-0.67,0.03,0.0,0.0,0.0,c8d8,-1.02,-0.16,-0.25,-0.67,0.03,0.0,0.0,0.0
3r2k1/p4ppp/1p3n2/1Pb5/8/5NP1/P2R2BP/7K b - - 1 25,-0.93,-0.16,-0.1,-0.6,0.26,0.0,0.0,0.0,d8e8,-0.93,-0.16,-0.16,-0.6,0.07,0.0,0.0,0.0,d8e8,-0.93,-0.16,-0.16,-0.6,0.07,0.0,0.0,0.0
4r1k1/p4ppp/1p3n2/1Pb5/8/5NP1/P2R3P/5B1K b - - 3 26,-1.01,-0.16,-0.04,-0.6,0.1,0.0,0.0,0.0,g7g5,-1.0,-0.16,-0.08,-0.23,0.23,0.0,0.0,0.0,g8f8,-0.74,-0.16,0.01,-0.34,0.1,0.0,0.0,0.0
4r1k1/p4p1p/1p3n2/1Pb3p1/8/5NP1/P3R2P/5B1K b - - 1 27,-1.0,-0.16,-0.19,-0.04,0.06,0.0,0.0,0.0,e8e2,-2.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,c5e3,-0.93,-0.16,-0.2,-0.31,0.06,0.0,0.0,0.0
6k1/p4p1p/1p3n2/1Pb3p1/8/5NP1/P3B2P/7K b - - 0 28,-0.99,-0.17,-0.08,-0.23,0.16,0.0,0.0,0.0,f6e4,-1.21,-0.17,-0.11,-0.42,-0.14,0.0,0.0,0.0,f6e4,-1.21,-0.17,-0.11,-0.42,-0.14,0.0,0.0,0.0
6k1/p4p1p/1p6/1Pb3p1/4n3/5NP1/P3B1KP/8 b - - 2 29,-1.05,-0.17,-0.11,-0.31,-0.17,0.0,0.0,0.0,f7f6,-1.07,-0.17,-0.16,-0.1,-0.26,0.0,0.0,0.0,f7f6,-1.07,-0.17,-0.16,-0.1,-0.26,0.0,0.0,0.0
r1bqk2r/pp3pbp/2n1p1p1/1B1n4/3P4/1QN2N2/PP3PPP/R1B1K2R w KQkq - 2 10,-0.14,0.0,0.58,0.38,0.33,0.0,0.11,0.0,e1g1,0.56,0.0,0.58,0.42,0.33,0.0,0.11,0.0,c1g5,0.03,0.0,0.67,0.88,0.09,0.0,0.14,0.0
r1bq1rk1/pp3pbp/2n1p1p1/1B1n4/3P4/1QN2N2/PP3PPP/R1B2RK1 w - - 4 11,-0.14,0.0,0.22,0.23,0.11,0.0,0.11,0.0,b5c6,2.0,0.57,0.34,0.31,-0.84,0.0,0.16,0.0,b5c6,2.0,0.57,0.34,0.31,-0.84,0.0,0.16,0.0
r1bq1rk1/p4pbp/2p1p1p1/3n4/3P4/1QN2N2/PP3PPP/R1B2RK1 w - - 0 12,-0.5,-0.13,-0.2,0.27,0.33,0.0,0.11,0.0,f1e1,-0.46,-0.13,-0.06,0.35,0.3,0.0,0.11,0.0,c3e4,-0.3,-0.13,-0.05,0.37,0.03,0.0,0.11,0.0
r1b2rk1/p1q2pbp/2p1p1p1/3n4/3P4/1QN2N2/PP3PPP/R1B1R1K1 w - - 2 13,-0.48,-0.13,-0.01,0.27,-0.35,0.0,0.11,0.0,c3e4,-0.27,-0.13,0.09,0.36,-0.61,0.0,0.11,0.0,c3d5,2.0,0.48,0.19,0.75,-0.61,0.0,0.23,0.0
r1b2rk1/p1q2pbp/4p1p1/2pn4/3PN3/1Q3N2/PP3PPP/R1B1R1K1 w - - 0 14,-0.25,-0.13,0.09,0.36,-0.52,0.0,0.03,0.0,d4c5,0.23,0.03,0.14,0.32,-0.52,0.2,0.15,0.0,e4c5,0.36,0.03,0.1,0.31,-0.24,0.0,0.14,0.0
1rb2rk1/p1q2pbp/4p1p1/2Pn4/4N3/1Q3N2/PP3PPP/R1B1R1K1 w - - 1 15,0.17,0.03,0.05,0.31,-1.13,0.2,0.15,0.0,b3c4,0.19,0.03,0.05,0.35,-0.49,0.37,0.15,0.0,b3d1,0.16,0.03,-0.03,0.29,-0.2,0.2,0.15,0.0
2b2rk1/p1q2pbp/4p1p1/2Pn4/1rQ1N3/5N2/PP3PPP/R1B1R1K1 w - - 3 16,0.16,0.03,-0.03,0.3,-0.84,0.37,0.12,0.0,c4c2,0.16,0.03,-0.04,0.29,-0.34,0.37,0.12,0.0,c4c2,0.16,0.03,-0.04,0.29,-0.34,0.37,0.12,0.0
2br2k1/p1q2pbp/4p1p1/2Pn4/1r2N3/5N2/PPQ2PPP/R1B1R1K1 w - - 5 17,0.12,0.03,-0.08,0.29,-0.34,0.37,0.12,0.0,a2a3,0.06,0.03,-0.05,0.29,0.34,0.37,0.12,0.0,a2a3,0.06,0.03,-0.05,0.29,0.34,0.37,0.12,0.0
1rbr2k1/p1q2pbp/4p1p1/2Pn4/4N3/P4N2/1PQ2PPP/R1B1R1K1 w - - 1 18,0.08,0.03,0.04,0.35,-0.52,0.37,0.15,0.0,a1b1,0.13,0.03,0.03,0.35,-0.52,0.37,0.15,0.0,c1g5,0.26,0.03,0.29,0.53,-0.29,0.37,0.17,0.0
1rbr2k1/p1q3bp/4p1p1/2Pn1p2/4N3/P4N2/1PQ2PPP/1RB1R1K1 w - - 0 19,0.14,0.03,-0.03,0.61,-1.12,0.37,0.1,0.0,e4g5,-0.03,0.03,-0.08,0.78,-0.49,0.37,0.1,0.0,e4g3,-0.17,0.03,-0.08,0.66,-0.68,0.37,0.07,0.0
1rbr2k1/p1q3bp/6p1/2PnppN1/8/P4N2/1PQ2PPP/1RB1R1K1 w - - 0 20,-0.07,0.03,-0.29,0.77,-0.36,0.37,0.03,0.0,c2c4,-0.06,0.03,0.04,1.11,-0.32,0.37,0.06,0.0,c2c4,-0.06,0.03,0.04,1.11,-0.32,0.37,0.06,0.0
1rbr2k1/p1q3b1/6pp/2PnppN1/2Q5/P4N2/1P3PPP/1RB1R1K1 w - - 0 21,0.02,0.03,-0.01,1.01,-0.95,0.37,0.06,0.0,g5h3,-0.34,0.03,-0.29,0.66,-0.13,0.37,0.01,0.0,b2b4,-0.11,0.03,0.21,1.07,-0.85,0.37,0.09,0.0
1r1r2k1/p1q3b1/4b1pp/2Pnpp2/2Q5/P4N1N/1P3PPP/1RB1R1K1 w - - 2 22,-0.46,0.03,-0.79,0.59,-0.42,0.37,-0.01,0.0,c4c2,-0.46,0.03,-0.8,0.55,-0.17,0.37,-0.01,0.0,c1h6,0.0,0.18,-0.53,0.91,-0.86,0.37,0.05,0.0
