r1bq1rk1/pp2n1pp/2nbpp2/3p4/2PP4/2NB1NB1/PP3PPP/R2QK2R b KQ - 2 10,-0.6,0.0,0.21,0.5,0.26,0.0,0.12,0.0,c6b4,-0.63,0.0,0.21,0.36,0.12,0.0,0.0,0.0,d5c4,-1.08,-0.26,0.16,0.53,0.29,0.0,-0.16,0.0
r1bq1rk1/pp2n1pp/3bpp2/2Pp4/1n1P4/2NB1NB1/PP3PPP/R2QK2R b KQ - 0 11,-0.73,0.0,0.36,0.41,1.01,0.0,0.06,0.0,b4d3,,,,,,,,,d6c7,-0.74,0.0,0.52,0.51,-0.18,0.0,0.06,0.0
r1bq1rk1/pp2n1pp/3bpp2/2Pp4/3P4/2NQ1NB1/PP3PPP/R3K2R b KQ - 0 12,-0.94,-0.09,0.23,0.39,1.13,0.0,0.15,0.0,d6c7,-0.95,-0.09,0.39,0.45,-0.07,0.0,0.15,0.0,d6c7,-0.95,-0.09,0.39,0.45,-0.07,0.0,0.15,0.0
r1bq1rk1/ppb1n1pp/4pp2/2Pp4/3P4/2NQ1NB1/PP3PPP/R4RK1 b - - 2 13,-0.25,-0.09,0.47,0.5,-0.07,0.0,0.15,0.0,c7g3,-2.0,-0.55,0.1,0.23,1.03,0.0,0.06,0.0,a7a5,-0.22,-0.09,0.43,0.5,-0.03,0.0,0.15,0.0
r1bq1rk1/pp2n1pp/4pp2/2Pp4/3P4/2NQ1NP1/PP3PP1/R4RK1 b - - 0 14,-0.21,0.22,0.38,0.22,-0.17,0.0,0.13,0.0,c8d7,-0.27,0.22,-0.1,0.16,-0.17,0.0,0.13,0.0,b7b6,-0.12,0.22,0.22,0.19,-0.13,0.2,0.13,0.0
r2q1rk1/pp1bn1pp/4pp2/2Pp4/3P4/2NQ1NP1/PP3PP1/R3R1K1 b - - 2 15,-0.23,0.22,0.04,0.22,-0.15,0.0,0.13,0.0,a7a5,-0.19,0.22,-0.09,0.2,-0.12,0.0,0.13,0.0,a7a5,-0.19,0.22,-0.09,0.2,-0.12,0.0,0.13,0.0
r2q1rk1/1p1bn1pp/4pp2/pNPp4/3P4/3Q1NP1/PP3PP1/R3R1K1 b - - 1 16,-0.16,0.22,-0.01,0.21,-0.42,0.0,0.13,0.0,e7c8,0.12,0.22,0.27,0.28,-0.45,0.0,0.13,0.0,b7b6,-0.07,0.22,0.05,0.22,-0.35,0.2,0.13,0.0
r1nq1rk1/1p1b2pp/4pp2/pNPp4/P2P4/3Q1NP1/1P3PP1/R3R1K1 b - - 0 17,0.09,0.22,0.52,0.32,-0.35,0.0,0.18,0.0,f8e8,0.05,0.22,0.51,0.32,-0.4,0.0,0.18,0.0,b7b6,0.18,0.22,0.52,0.32,-0.35,0.2,0.18,0.0
r1nqr1k1/1p1b2pp/4pp2/pNPp4/P2P4/3QRNP1/1P3PP1/R5K1 b - - 2 18,0.09,0.22,0.47,0.31,-0.4,0.0,0.18,0.0,b7b6,0.17,0.22,0.47,0.31,-0.4,0.2,0.18,0.0,b7b6,0.17,0.22,0.47,0.31,-0.4,0.2,0.18,0.0
r1nqr1k1/3b2pp/1p2pp2/pNPp4/P2P4/3QRNP1/1P3PP1/2R3K1 b - - 1 19,0.25,0.22,0.47,0.31,-0.37,0.37,0.18,0.0,b6c5,-0.39,0.0,0.44,0.31,-0.28,0.0,-0.14,0.0,d7c6,0.3,0.22,0.42,0.3,-0.32,0.2,0.18,0.0
r1nqr1k1/3b2pp/4pp2/pNPp4/P7/3QRNP1/1P3PP1/2R3K1 b - - 0 20,0.09,0.17,0.6,0.33,-0.4,0.4,0.0,0.0,c8e7,-0.2,0.17,0.3,0.25,-0.32,0.4,0.0,0.0,c8e7,-0.2,0.17,0.3,0.25,-0.32,0.4,0.0,0.0
r2qr1k1/3bn1pp/4pp2/pNPp4/P2N4/3QR1P1/1P3PP1/2R3K1 b - - 2 21,0.01,0.17,0.42,0.22,-0.18,0.45,0.0,0.0,e6e5,-0.03,0.17,0.26,0.03,-1.31,0.45,-0.07,0.0,e7c6,-0.09,0.17,0.29,0.2,-0.23,0.28,0.0,0.0
r2qr1k1/3bn1pp/2P2p2/pN1pp3/P2N4/3QR1P1/1P3PP1/2R3K1 b - - 0 22,0.0,0.17,0.26,0.04,-0.17,1.08,-0.07,0.0,e5d4,-2.0,-0.39,0.12,0.02,1.07,0.86,-0.15,0.0,e5d4,-2.0,-0.39,0.12,0.02,1.07,0.86,-0.15,0.0
r2qr1k1/3Pn1pp/5p2/pN1p4/P2p4/3QR1P1/1P3PP1/2R3K1 b - - 0 23,0.15,0.0,0.6,0.25,0.28,1.02,0.0,0.0,d4e3,-2.0,0.22,0.5,-0.35,0.22,0.25,0.0,0.0,d4e3,-2.0,0.22,0.5,-0.35,0.22,0.25,0.0,0.0
r2qQ1k1/4n1pp/5p2/pN1p4/P7/3Qp1P1/1P3PP1/2R3K1 b - - 0 24,,,,,,,,,d8e8,-0.38,-0.14,0.17,-0.39,0.32,-0.88,0.0,0.0,d8e8,-0.38,-0.14,0.17,-0.39,0.32,-0.88,0.0,0.0
