r2qkb1r/3b1ppp/p1nppn2/1p4B1/3NPP2/2N5/PPPQ2PP/2KR1B1R w kq - 0 10,1.03,0.0,0.04,-0.17,-0.36,0.0,0.17,0.0,g5f6,2.0,0.66,0.28,0.0,-1.05,0.0,0.27,0.0,g5f6,2.0,0.66,0.28,0.0,-1.05,0.0,0.27,0.0
r2qkb1r/3b1p1p/p1nppp2/1p6/3NPP2/2N5/PPPQ2PP/2KR1B1R w kq - 0 11,0.63,-0.09,-0.14,0.29,-0.22,0.0,0.22,0.0,d4c6,2.0,0.62,0.16,0.88,-0.34,0.0,0.3,0.0,c1b1,0.9,-0.09,-0.09,0.58,-0.22,0.0,0.22,0.0
r2qkb1r/5p1p/p1bppp2/1p6/4PP2/2N5/PPPQ2PP/2KR1B1R w kq - 0 12,0.47,-0.03,-0.16,0.29,0.01,0.0,0.18,0.0,f1d3,0.59,-0.03,-0.19,0.17,-0.3,0.0,0.18,0.0,c1b1,0.74,-0.03,-0.12,0.58,0.01,0.0,0.18,0.0
r3kb1r/5p1p/pqbppp2/1p6/4PP2/2NB4/PPPQ2PP/2KR3R w kq - 2 13,0.58,-0.03,-0.34,0.1,-0.26,0.0,0.11,0.0,c1b1,0.85,-0.03,-0.22,0.38,-0.26,0.0,0.11,0.0,h1e1,0.71,-0.03,-0.21,0.1,-0.23,0.0,0.11,0.0
r3kb1r/5p2/pqbppp2/1p5p/4PP2/2NB4/PPPQ2PP/1K1R3R w kq - 0 14,0.87,-0.03,-0.26,0.49,-0.26,0.0,0.11,0.0,c3e2,0.76,-0.03,-0.16,0.49,-0.06,0.0,0.11,0.0,d2e2,0.87,-0.03,-0.28,0.45,-0.3,0.0,0.11,0.0
r3k2r/5p2/pqbppp1b/1p5p/4PP2/3B4/PPPQN1PP/1K1R3R w kq - 2 15,0.76,-0.03,-0.13,0.49,-0.02,0.0,0.11,0.0,d2e1,0.72,-0.03,-0.14,0.45,-0.08,0.0,0.11,0.0,e2g3,0.75,-0.03,-0.09,0.49,0.03,0.0,0.11,0.0
2kr3r/5p2/pqbppp1b/1p5p/4PP2/3B4/PPP1N1PP/1K1RQ2R w - - 4 16,0.25,-0.03,-0.26,0.9,-0.08,0.0,0.11,0.0,h1f1,0.33,-0.03,-0.15,0.9,0.01,0.0,0.11,0.0,e1c3,0.29,-0.03,0.24,1.28,0.38,0.0,0.11,0.0
2kr3r/5p2/p1bppp1b/1pq4p/4PP2/3B4/PPP1N1PP/1K1RQR2 w - - 6 17,0.31,-0.03,-0.15,0.79,0.34,0.0,0.11,0.0,f4f5,0.22,-0.03,-0.3,0.68,0.41,0.0,0.15,0.0,e1h4,0.31,-0.03,-0.2,0.71,0.48,0.0,0.11,0.0
2kr3r/5p2/p1bppp1b/1p2qP1p/4P3/3B4/PPP1N1PP/1K1RQR2 w - - 1 18,0.23,-0.03,-0.31,0.66,-0.32,0.0,0.2,0.0,f5e6,0.96,0.1,-0.37,0.69,0.31,0.95,0.18,0.0,f5e6,0.96,0.1,-0.37,0.69,0.31,0.95,0.18,0.0
2kr3r/8/p1bppp1b/1p2q2p/4P3/3B4/PPP1N1PP/1K1RQR2 w - - 0 19,0.33,-0.08,-0.35,0.65,-0.24,0.0,0.0,0.0,g2g3,0.32,-0.08,-0.39,0.65,0.12,0.0,0.0,0.0,a2a4,0.29,-0.08,-0.29,0.2,-0.54,0.0,0.0,0.0
