r1bq1rk1/1pp2pb1/n2p1np1/p2Pp2p/2P1P1P1/2N1B2P/PP2NP2/R2QKB1R w KQ - 0 10,-0.56,0.0,0.4,0.34,0.17,0.0,0.61,0.0,g4g5,-0.64,0.0,0.19,-0.19,0.84,0.0,0.87,0.0,e3g5,-0.5,0.0,0.4,0.38,0.24,0.0,0.61,0.0
r1bq1rk1/1ppn1pb1/n2p2p1/p2Pp1Pp/2P1P3/2N1B2P/PP2NP2/R2QKB1R w KQ - 1 11,-0.54,0.0,0.41,-0.12,-0.03,0.0,0.87,0.0,e2g3,-0.55,0.0,0.55,0.04,-0.3,0.0,0.87,0.0,e2g3,-0.55,0.0,0.55,0.04,-0.3,0.0,0.87,0.0
r1bq1rk1/1ppn1pb1/n2p2p1/p2Pp1P1/2P1P2p/2N1B1NP/PP3P2/R2QKB1R w KQ - 0 12,-0.62,0.0,0.57,0.18,-0.9,0.0,1.06,0.0,g3f5,-0.32,0.0,0.64,0.85,-0.24,0.0,1.19,0.0,g3f5,-0.32,0.0,0.64,0.85,-0.24,0.0,1.19,0.0
r1bq1rk1/1ppn1pb1/n2p4/p2PppP1/2P1P2p/2N1B2P/PP3P2/R2QKB1R w KQ - 0 13,-2.0,-0.76,0.63,0.41,0.0,0.0,0.73,0.0,e4f5,-2.0,-0.45,0.56,0.77,0.16,0.42,0.54,0.0,e4f5,-2.0,-0.45,0.56,0.77,0.16,0.42,0.54,0.0
r1bq1rk1/1pp2pb1/n2p4/p1nPpPP1/2P4p/2N1B2P/PP3P2/R2QKB1R w KQ - 1 14,-2.0,-0.45,0.3,0.66,0.21,0.42,0.46,0.0,f5f6,-2.0,-0.45,0.33,1.0,1.3,0.72,0.78,0.0,f5f6,-2.0,-0.45,0.33,1.0,1.3,0.72,0.78,0.0
r1bq1rkb/1pp2p2/n2p1P2/p1nPp1P1/2P4p/2N1B2P/PP3P2/R2QKB1R w KQ - 1 15,-2.0,-0.45,0.62,1.05,0.4,0.72,0.78,0.0,d1f3,-2.0,-0.45,0.6,1.27,0.17,0.72,0.78,0.0,d1h5,-2.0,-0.45,0.65,2.0,0.56,0.72,0.78,0.0
r1b2rkb/1ppq1p2/n2p1P2/p1nPp1P1/2P4p/2N1BQ1P/PP3P2/R3KB1R w KQ - 3 16,-2.0,-0.45,0.68,1.25,0.01,0.72,0.78,0.0,e3c5,0.13,0.23,0.76,1.25,-1.92,0.72,0.92,0.0,f3h5,-2.0,-0.45,0.74,2.0,0.54,0.72,0.78,0.0
r1b2rkb/1ppq1p2/3p1P2/p1nPp1P1/2P4p/2N2Q1P/PP3P2/R3KB1R w KQ - 0 17,-2.0,-0.56,0.56,1.17,-0.19,0.72,0.69,0.0,f1d3,-2.0,-0.56,0.7,2.0,-0.6,0.72,0.69,0.0,f3h5,-2.0,-0.56,0.55,2.0,0.38,0.72,0.69,0.0
r1b2rkb/1ppq1p2/3p1P2/p2Pp1P1/2P4p/2Nn1Q1P/PP3P2/R3K2R w KQ - 0 18,,,,,,,,,f3d3,-2.0,-0.31,0.45,1.43,-0.38,0.72,0.69,0.0,f3d3,-2.0,-0.31,0.45,1.43,-0.38,0.72,0.69,0.0
r1b2rkb/1pp2p2/3p1P2/p2PpqP1/2P4p/2NQ3P/PP3P2/R3K2R w KQ - 1 19,-2.0,-0.31,0.22,0.59,-0.99,0.0,0.54,0.0,c3e4,-2.0,-0.31,0.13,1.35,-0.19,0.0,0.62,0.0,d3e3,-2.0,-0.31,0.14,0.75,-0.23,0.0,0.46,0.0
